"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수","주사육업종",
"1","가축사육업","02_04_01_P","5480000","548000003320260009","2026-03-02","","01","영업/정상","0000","정상","","","","","","","","경상남도 합천군 율곡면 갑산리 ***","경상남도 합천군 율곡면 갑산*길 **-*","50243","홍연식","2026-03-02 21:06:58","I","2026-03-04 00:20:37","","313625.981094457","233218.377916082","가축사육업","","2839","000","0","한우",
"2","가축사육업","02_04_01_P","5060000","506000003320050172","2005-07-01","","03","폐업","0002","폐업","2025-12-24","","","","432-9757","0","740-832","경상북도 김천시 어모면 남산리 ***","경상북도 김천시 어모면 다남로 ***","","하남농장","2026-03-02 17:57:07","U","2026-03-04 02:40:00","","","","가축사육업","","207","000","0","한우",
"3","가축사육업","02_04_01_P","4050000","405000003320050469","2005-10-31","","01","영업/정상","0000","정상","","","","","","0","449-814","경기도 용인시 처인구 포곡읍 신원리 ***-* (***-*, ***-*)","경기도 용인시 처인구 포곡읍 선장*로 **-**, **-**(지번 ***-* 범위 내), **-*","17022","형제축산","2026-03-01 22:43:41","U","2026-03-04 02:40:00","","218915.066102735","423483.241347831","가축사육업","","516","000","0","돼지",
"4","가축사육업","02_04_01_P","5060000","506000003320110083","2011-10-11","","01","영업/정상","0000","정상","","","","","","","740-953","경상북도 김천시 대덕면 문의리 * (외*,*-*,*-*,*-*,**,**-*,**-*,**-*)","경상북도 김천시 대덕면 남김천대로 ***-**, (외*,*-*,*-*,*-*,**,**-*,**-*,**-*)","39698","국사봉","2026-03-02 16:21:05","U","2026-03-04 02:40:00","","285089.300205757","265446.852429636","가축사육업","","1276","000","0","종계/산란계",
"5","가축사육업","02_04_01_P","5060000","506000003320140520","2014-11-11","","03","폐업","0002","폐업","2026-02-27","","","","","","740-950","","경상북도 김천시 대덕면 남김천대로 ***-**","39698","문의축산","2026-03-02 16:16:04","U","2026-03-04 02:40:00","","285089.300205757","265446.852429636","가축사육업","","2122","000","0","종계/산란계",
"6","가축사육업","02_04_01_P","5060000","506000003320140521","2014-11-11","","01","영업/정상","0000","정상","","","","","054-435-8179","","740-950","경상북도 김천시 대덕면 문의리 *","경상북도 김천시 대덕면 남김천대로 ***-**","39698","농업회사법인 (주)산들란","2026-03-02 16:38:22","U","2026-03-04 02:40:00","","285089.300205757","265446.852429636","가축사육업","","2123","L00","0","종계/산란계",
"7","가축사육업","02_04_01_P","4490000","449000003320260002","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","충청남도 천안시 서북구 성환읍 양령리 ***-*","충청남도 천안시 서북구 성환읍 양령*길 ***-*","31004","청운농장","2026-03-03 09:30:21","I","2026-03-05 00:20:02","","215236.323225192","384541.66329651","가축사육업","","1693","000","0","염소",
"8","가축사육업","02_04_01_P","4900000","490000003320260005","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","전라남도 화순군 사평면 대곡리 ***","전라남도 화순군 사평면 대곡길 ***","58144","없음","2026-03-03 10:10:35","I","2026-03-05 00:20:02","","209541.903340652","164739.782755666","가축사육업","","1462","000","0","한우",
"9","가축사육업","02_04_01_P","4400000","440000003320260002","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","충청북도 제천시 백운면 평동리 ***-*","","","최병구농장","2026-03-03 17:47:01","I","2026-03-05 00:20:02","","291275.610655121","405465.106213448","가축사육업","","909","000","0","염소",
"10","가축사육업","02_04_01_P","4880000","488000003320260006","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","전라남도 고흥군 포두면 송산리 ***","","","전공수","2026-03-03 17:17:37","I","2026-03-05 00:20:02","","233109.428154988","123655.061958191","가축사육업","","3177","000","0","한우",
"11","가축사육업","02_04_01_P","5690000","569000003320260002","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","세종특별자치시 연서면 봉암리 ***-*번지 외 *필지(***-*번지)","","","임광목장","2026-03-03 15:55:04","I","2026-03-05 00:20:02","","","","가축사육업","","2089","000","0","한우",
"12","가축사육업","02_04_01_P","4580000","458000003320260007","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","충청남도 서천군 한산면 연봉리 ***-*","","","갈숲농장","2026-03-03 09:59:51","I","2026-03-05 00:20:02","","185801.065402041","285380.058422434","가축사육업","","797","000","0","염소",
"13","가축사육업","02_04_01_P","4671000","467100003320260001","2026-03-03","","01","영업/정상","0000","정상","","","","","","","","전북특별자치도 군산시 개정면 옥석리 ****","","","이서랑팜","2026-03-03 16:30:32","I","2026-03-05 00:20:02","","","","가축사육업","","435","000","0","염소",
"14","가축사육업","02_04_01_P","4500000","450000003320150022","2015-01-29","","01","영업/정상","0000","정상","","","","","","","","충청남도 공주시 계룡면 경천리 ***-*","충청남도 공주시 계룡면 경천용두길 ***-**","32619","은하농장","2026-03-03 15:25:56","U","2026-03-05 02:40:00","","213048.599276111","312156.824754723","가축사육업","","2742","000","0","한우",
"15","가축사육업","02_04_01_P","4390000","439000003320180023","2018-11-08","","01","영업/정상","0000","정상","","","","","","","","충청북도 충주시 주덕읍 창전리 ***-* 외 *필지","충청북도 충주시 주덕읍 창전길 **","27463","승화농장","2026-03-03 17:46:37","U","2026-03-05 02:40:00","","268933.253625912","386125.773967305","가축사육업","","1499","000","0","산란육성계",
"16","가축사육업","02_04_01_P","5070000","507000003320080079","2008-04-01","","01","영업/정상","0000","정상","","","","","","0","760-805","경상북도 안동시 풍산읍 매곡리 ***","경상북도 안동시 풍산읍 밤실길 **","","권중진농장","2026-03-03 14:12:15","U","2026-03-05 02:40:00","","339862.353279662","345271.278165874","가축사육업","","830","000","0","한우",
"17","가축사육업","02_04_01_P","4490000","449000003320050589","2005-12-26","","02","휴업","0001","휴업","","2026-03-03","2027-02-28","","","0","330-882","충청남도 천안시 동남구 수신면 장산리 산 **-*","충청남도 천안시 동남구 수신면 장산동길 ***-***","31252","천안제일고 제2농장","2026-03-03 17:36:13","U","2026-03-05 02:40:00","","227365.161892383","360191.180661996","가축사육업","","698","L00","0","돼지",
"18","가축사육업","02_04_01_P","4520000","452000003320040008","2004-10-28","","01","영업/정상","0000","정상","","","","","","0","336-873","충청남도 아산시 둔포면 봉재리 ***","충청남도 아산시 둔포면 충무로****번길 **","31421","덕수목장","2026-03-03 13:25:18","U","2026-03-05 02:40:00","","202788.912627996","376535.131539374","가축사육업","","31","000","0","젖소",
"19","가축사육업","02_04_01_P","4050000","405000003320050147","2005-10-31","","01","영업/정상","0000","정상","","","","","","0","449-851","경기도 용인시 처인구 모현읍 갈담리 *** 소망농장","경기도 용인시 처인구 모현읍 곡현로***번길 **, 소망농장","17031","소망농장","2026-03-03 14:49:16","U","2026-03-05 02:40:00","","220126.336165746","424948.222644846","가축사육업","","194","000","0","돼지",
"20","가축사육업","02_04_01_P","4050000","405000003320050068","2005-10-31","","01","영업/정상","0000","정상","","","","","","0","449-871","경기도 용인시 처인구 원삼면 미평리 ***-*","경기도 용인시 처인구 원삼면 원양로***번길 ***","","쌍둥이농장","2026-03-03 15:57:06","U","2026-03-05 02:40:00","","228189.188093835","408865.952167363","가축사육업","","115","000","0","돼지",
"21","가축사육업","02_04_01_P","4721000","472100003320200039","2020-07-03","","03","폐업","0002","폐업","2026-02-27","","","","","","","전북특별자치도 완주군 화산면 와룡리 ****-*","전북특별자치도 완주군 화산면 화산남로 ***-**","55309","반석농장","2026-03-03 21:36:01","U","2026-03-05 02:40:00","","218534.615486396","279468.993552425","가축사육업","","1439","000","0","한우",
"22","가축사육업","02_04_01_P","5230000","523000003320140650","2014-05-01","","01","영업/정상","0000","정상","","","","","","","757-862","경상북도 예천군 풍양면 와룡리 ***-*","경상북도 예천군 풍양면 삼탄길 *-**","36861","대안농장","2026-03-03 09:20:50","U","2026-03-05 02:40:00","","314896.940020398","334523.273833998","가축사육업","","1743","000","0","한우",
"23","가축사육업","02_04_01_P","5050000","505000003320131763","2013-12-18","","01","영업/정상","0000","정상","","","","","748-4206","","","경상북도 경주시 건천읍 화천리 ****-*","","","박곤국","2026-03-03 14:18:56","U","2026-03-05 02:40:00","","392575.889907867","257729.952377801","가축사육업","","4398","000","0","한우",
"24","가축사육업","02_04_01_P","5100000","510000003320050050","2005-01-25","","01","영업/정상","0000","정상","","","","2026-03-03","","0","770-912","경상북도 영천시 대창면 조곡리 ***-* 외 *필(***-*, ***, ***-*, ***, ***)","경상북도 영천시 대창면 영지길 **-**","38911","중원농장","2026-03-03 22:43:26","U","2026-03-05 02:40:00","","373169.733442758","264520.715115714","가축사육업","","58","000","0","돼지",
"25","가축사육업","02_04_01_P","3570000","357000003320070022","2007-05-14","","01","영업/정상","0000","정상","","","","","","0","417-841","인천광역시 강화군 길상면 온수리 ***-**","인천광역시 강화군 길상면 해란길**번길 *-**","","행복농장","2026-03-03 13:26:16","U","2026-03-05 02:40:00","","153943.935871598","460808.619211096","가축사육업","","421","000","0","한우",
"26","가축사육업","02_04_01_P","4600000","460000003320080254","2008-06-04","","01","영업/정상","0000","정상","","","","","","0","","충청남도 홍성군 홍동면 신기리 **-* ,-*","충청남도 홍성군 홍동면 광금북로**번길 **","32283",".","2026-03-03 11:03:27","U","2026-03-05 02:40:00","","174630.088777889","342137.727084815","가축사육업","","1958","000","0","한우",
"27","가축사육업","02_04_01_P","3910000","391000003320090047","2009-10-05","","01","영업/정상","0000","정상","","","","","","0","451-832","경기도 평택시 청북읍 삼계리 **-* ,-*,**","경기도 평택시 청북읍 현곡길 **-**","17800","제일농원","2026-03-03 17:40:20","U","2026-03-05 02:40:00","","193304.320435254","393870.37010388","가축사육업","","901","000","0","종계/산란계",
"28","가축사육업","02_04_01_P","3910000","391000003320040041","2004-10-07","","01","영업/정상","0000","정상","","","","","","0","451-873","경기도 평택시 오성면 숙성리 ***-** ***-**, ***-**","경기도 평택시 오성면 숙성*길 **-**  (***-**, ***-**)","","태성농장","2026-03-03 16:56:54","U","2026-03-05 02:40:00","","197127.486949521","388573.635311058","가축사육업","","58","000","0","종계/산란계",
"29","가축사육업","02_04_01_P","3910000","391000003320040033","2004-09-06","","01","영업/정상","0000","정상","","","","2024-08-26","","0","451-832","경기도 평택시 청북읍 고잔리 *** , ***, ***-*","경기도 평택시 청북읍 원목길 **","17794","봉화농장","2026-03-03 17:52:25","U","2026-03-05 02:40:00","","190688.907631202","395085.05394307","가축사육업","","50","000","0","종계/산란계",
"30","가축사육업","02_04_01_P","4900000","490000003320190011","2019-06-12","","01","영업/정상","0000","정상","","","","","","","","전라남도 화순군 사평면 대곡리 ***-**","전라남도 화순군 사평면 대곡*길 **-**","58144","혜미농장","2026-03-03 17:05:25","U","2026-03-05 02:40:00","","208719.170787711","165676.552794882","가축사육업","","1264","000","0","한우",
"31","가축사육업","02_04_01_P","4751000","475100003320040182","2004-10-19","","01","영업/정상","0000","정상","","","","","","0","597-811","전북특별자치도 장수군 번암면 국포리 *** ,***, ***, ***, ***","전북특별자치도 장수군 번암면 먹방길 **-**","55657","정창조","2026-03-03 17:08:45","U","2026-03-05 02:40:00","","244824.118067598","228205.381496209","가축사육업","","184","000","0","한우",
"32","가축사육업","02_04_01_P","4751000","475100003320080191","2008-07-09","","01","영업/정상","0000","정상","","","","","","0","597-841","전북특별자치도 장수군 장계면 금덕리 ***-*","전북특별자치도 장수군 장계면 금남로 ***-*","","기준농장","2026-03-03 17:07:46","U","2026-03-05 02:40:00","","253360.175791605","250076.27871676","가축사육업","","2099","000","0","한우",
"33","가축사육업","02_04_01_P","4751000","475100003320040189","2004-10-19","","01","영업/정상","0000","정상","","","","","","0","597-804","전북특별자치도 장수군 장수읍 용계리 **** 외 *필지","전북특별자치도 장수군 장수읍 팔공로 **-* (외 *필지)","","혁인목장","2026-03-03 17:07:22","U","2026-03-05 02:40:00","","244367.041822638","236154.795419802","가축사육업","","191","000","0","한우",
"34","가축사육업","02_04_01_P","4671000","467100003320110030","2011-09-22","","01","영업/정상","0000","정상","","","","","","","573-932","전북특별자치도 군산시 임피면 술산리 ***-**","전북특별자치도 군산시 임피면 탑천로 ***-**","","한울농장","2026-03-03 16:52:35","U","2026-03-05 02:40:00","","188548.781576577","272711.850215243","가축사육업","","276","000","0","한우",
"35","가축사육업","02_04_01_P","4751000","475100003320230015","2023-10-20","","01","영업/정상","0000","정상","","","","","","","","전북특별자치도 장수군 계북면 어전리 ****","","","장수한우농장","2026-03-03 09:09:26","U","2026-03-05 02:40:00","","255429.551247782","253175.00500758","가축사육업","","2806","000","0","한우",
