"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","전화권유판매업","08_26_03_P","3180000","2026318025424200002","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 영등포구 영등포동*가 ** KnK디지털타워","서울특별시 영등포구 영신로 ***, KnK디지털타워 *층 ***호 (영등포동*가)","07228","제노솔루션 주식회사","2026-03-03 14:45:16","I","2026-03-05 00:20:02","","191457.663413167","447179.850506981","7778503200","3866298880","2100000000","",
"2","전화권유판매업","08_26_03_P","3560000","2026356028524200003","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","인천광역시 서구 청라동 ***-* 청라프라자","인천광역시 서구 중봉대로***번길 **-**, 청라프라자 ***-J***호 (청라동)","22736","로얄입찰","2026-03-03 10:20:12","I","2026-03-05 00:20:02","","169173.79","447961.405","0","0","0","",
"3","전화권유판매업","08_26_03_P","4191000","2019419024124200005","2019-05-17","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 단구동 ***번지 *호","강원특별자치도 원주시 단관공원길 *** (단구동)","26400","주식회사스마트폰센터","2026-03-04 15:01:42","U","2026-03-06 02:40:00","","284763.348664102","424022.720555019","0","0","2000000","",
"4","전화권유판매업","08_26_03_P","4191000","2016419024124200001","2016-01-04","","01","영업/정상","01","정상영업","","","","2023-10-16","","","","강원특별자치도 원주시 일산동 ***-*** 스카이빌라트","강원특별자치도 원주시 일산로**번길 **, ***호 (일산동, 스카이빌라트)","26427","샬롬","2026-03-04 15:04:36","U","2026-03-06 02:40:00","","283778.957785278","427586.7891873","0","0","0","",
"5","전화권유판매업","08_26_03_P","4191000","2018419024124200002","2018-02-09","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 단구동 ****번지 *호","강원특별자치도 원주시 단구초교길 *-**, ***호 (단구동)","26452","OH&J/오앤제이","2026-03-04 14:54:29","U","2026-03-06 02:40:00","","285507.521651483","424748.089882315","0","0","0","",
"6","전화권유판매업","08_26_03_P","4191000","2018419024124200005","2018-06-25","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 명륜동 ***번지","강원특별자치도 원주시 명륜로 **, A동 ***호 (명륜동)","26441","주식회사 에스앤제이","2026-03-04 15:02:02","U","2026-03-06 02:40:00","","283995.057920591","426548.429869143","0","0","10000000","",
"7","전화권유판매업","08_26_03_P","4191000","2019419024124200001","2019-01-10","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 일산동 ***번지 *호","강원특별자치도 원주시 천사로 ***-*, *층 *호 (일산동)","26417","한국생약 원주지부","2026-03-04 14:54:57","U","2026-03-06 02:40:00","","283772.715024496","428089.955080651","0","0","0","",
"8","전화권유판매업","08_26_03_P","3050000","2019305014024200011","2007-07-16","","01","영업/정상","01","정상영업","","","","2007-07-16","02-2231-3000","","","서울특별시 동대문구 신설동 ***번지 *호","서울특별시 동대문구 난계로 ***, *층 (신설동)","02586","(주) 고려수지","2026-03-04 14:27:33","U","2026-03-06 02:40:00","","202023.921749857","452387.764894439","5719153200","5184290300","100000000","",
"9","전화권유판매업","08_26_03_P","3210000","2020321015324200011","2020-06-15","","01","영업/정상","01","정상영업","","","","","02-6190-0100","","","서울특별시 서초구 양재동 *** 아이넷빌딩","서울특별시 서초구 양재천로**길 **, 아이넷빌딩 *층 (양재동)","06754","(주) 아이넷홈쇼핑","2026-03-04 11:32:42","U","2026-03-06 02:40:00","","203091.887944423","441525.467888004","117498280","14038108","103460176","",
"10","전화권유판매업","08_26_03_P","3130000","2025313027824200004","2025-02-21","","03","폐업","03","폐업처리","2026-02-25","","","","","","","서울특별시 마포구 공덕동 *** 한국사회복지회관 르네상스타워","서울특별시 마포구 만리재로 **, 한국사회복지회관 르네상스타워 ****호 (공덕동)","04195","주식회사 풀리오서비스케어","2026-03-04 13:42:47","U","2026-03-06 02:40:00","","195766.588069694","449083.306922623","0","0","0","",
