"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","당구장업","10_32_01_P","3710000","CDFH3301082024000005","2024-11-20","","01","영업/정상","13","영업중","","","","","","","","울산광역시 동구 일산동 464-5","울산광역시 동구 방어진순환도로 695, 2층 (일산동)","44053","매니아 당구클럽","2026-03-03 11:26:14","D","2026-03-05 02:30:00","","420335.106490176","225397.837503202","당구장업","사립","","0","0","1564.3","0","","",
"2","당구장업","10_32_01_P","4540000","CDFH3301082017000006","2017-12-08","","03","폐업","03","폐업","2026-03-03","","","","","","","충청남도 논산시 취암동 1045-1","충청남도 논산시 계백로 1000, 3층 (취암동)","32974","J&J당구클럽","2026-03-03 17:26:32","U","2026-03-05 02:40:00","","207865.490512359","300277.481482812","당구장업","사립","","0","0","0","0","","",
"3","당구장업","10_32_01_P","3290000","CDFH3301082023000004","2023-07-05","","03","폐업","03","폐업","2026-03-03","","","","051-894-4930","","","부산광역시 부산진구 개금동 462-24","부산광역시 부산진구 백양대로 305, 3층 (개금동)","47266","한큐당구장","2026-03-03 13:23:05","U","2026-03-05 02:40:00","","383828.537350499","185752.692611456","당구장업","사립","","0","0","656.3","0","","",
"4","당구장업","10_32_01_P","4301000","CDFH3301082012000001","2012-03-20","","01","영업/정상","13","영업중","","","","","452-3100","","269-804","강원특별자치도 철원군 갈말읍 문혜리 887-18","강원특별자치도 철원군 갈말읍 두루미로 89-1, 2층","24031","그랜드다마클럽","2026-03-03 17:45:35","U","2026-03-05 02:40:00","","228056.17330767","520203.116540673","당구장업","사립","","0","1","475.34","0","","",
"5","당구장업","10_32_01_P","3600000","CDFH3301082016000013","2016-09-30","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 치평동 1306-17","광주광역시 서구 마륵로 126, 2층 (치평동)","61961","히든당구장","2026-03-03 10:06:47","U","2026-03-05 02:40:00","","185813.171347226","183041.86371487","당구장업","사립","","0","0","0","0","","",
"6","당구장업","10_32_01_P","3940000","CDFH3301082011000014","2011-05-27","","01","영업/정상","13","영업중","","","","","070-8846-1393","","","경기도 고양시 일산서구 탄현동 1592-4 3층","경기도 고양시 일산서구 탄현로 7, 3층 (탄현동)","10345","승승당구장","2026-03-03 17:10:47","U","2026-03-05 02:40:00","","179894.214684345","465643.670300406","당구장업","사립","","0","0","0","0","","",
"7","당구장업","10_32_01_P","5230000","CDFH3301082015000001","2015-07-13","","03","폐업","03","폐업","2026-02-27","","","","","","757-803","경상북도 예천군 예천읍 남본리 221-8","경상북도 예천군 예천읍 시장로 102","36828","그린당구클럽","2026-03-03 09:41:54","U","2026-03-05 02:40:00","","330043.753353248","351531.44514161","당구장업","사립","","0","0","368.8","0","","",
"8","당구장업","10_32_01_P","4390000","CDFH3301082022000004","2022-09-22","","03","폐업","03","폐업","2026-03-03","","","","","","","충청북도 충주시 연수동 590-3","충청북도 충주시 갱고개로 219, 4층 401호 (연수동)","27342","하이런 당구클럽","2026-03-03 17:48:55","U","2026-03-05 02:40:00","","283479.077654253","388068.350091933","당구장업","사립","","0","0","1897.84","0","","",
"9","당구장업","10_32_01_P","3860000","CDFH3301082008000019","2008-04-10","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 춘의동 131-2 2층","경기도 부천시 원미구 옥산로 138 (춘의동)","14527","로얄당구장","2026-03-03 10:41:55","U","2026-03-05 02:40:00","","180524.723361985","444855.541757602","당구장업","사립","","0","0","0","0","","",
"10","당구장업","10_32_01_P","4530000","CDFH3301082026000002","2026-02-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 서산시 동문동 208-1","충청남도 서산시 율지11로 8, 2층 (동문동)","31992","LUXURY BILLIARDS","2026-03-03 16:55:25","U","2026-03-05 02:40:00","","151780.293554785","364489.645252099","당구장업","사립","","0","0","917.92","0","","",
