번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),목재생산업구분코드명,목재생산업종류명,취급목재제품,인력보유현황,년간생산량,자본금,상태구분명,Unnamed: 35,record_key
529,원목생산업,09_27_02_P,5420000,542000090202600001,2026-02-25,,1,영업/정상,1,정상,,,,,,,,경상남도 고성군 상리면 척번정리 425-46,경상남도 고성군 상리면 척번정7길 56,52951,주식회사 우산임업,2026-02-26 11:10:39,I,2026-02-28 00:20:02,,308379.34509953,167339.774398148,원목생산업,1종,"편백, 소나무류, 기타활엽수 등",6명,0,100,영업,,주식회사우산임업_경상남도고성군상리면척번정리425-46
522,원목생산업,09_27_02_P,4540000,454000090202600007,2026-02-25,,1,영업/정상,1,정상,,,,,,,,충청남도 논산시 덕지동 303,충청남도 논산시 강변로 507 (덕지동),32963,산들임업,2026-02-25 15:00:04,I,2026-02-27 00:20:02,,208533.107143496,301223.932336407,원목생산업,2종,원목,,0,0,영업,,산들임업_충청남도논산시덕지동303
521,원목생산업,09_27_02_P,4540000,454000090202600006,2026-02-25,,1,영업/정상,1,정상,,,,,,,,,"충청남도 논산시 중앙로 278, A동 305호 (취암동)",320-802,두산임업,2026-02-25 14:42:17,I,2026-02-27 00:20:02,,208752.110101026,299079.689825795,원목생산업,1종,,,0,0,영업,,두산임업_
520,원목생산업,09_27_02_P,4540000,454000090202600001,2026-02-25,,2,휴업,2,휴업,,,,,,,,,충청남도 논산시 연무읍 평화1길 4,,푸른나무 임업,2026-02-25 14:03:29,I,2026-02-27 00:20:02,,,,원목생산업,2종,,,0,0,휴업,,푸른나무임업_
433,원목생산업,09_27_02_P,5070000,507000090202600005,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 길안면 구수리 820,경상북도 안동시 길안면 수곡용계로 317,36737,***,2026-02-19 11:10:48,I,2026-02-21 00:20:05,,373337.761106659,332365.828730395,원목생산업,2종,,교육이수,0,0,영업,,***_경상북도안동시길안면구수리820
434,원목생산업,09_27_02_P,5070000,507000090202600003,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 용상동 1078-34,경상북도 안동시 마들큰길 28 (용상동),36725,***,2026-02-19 11:05:46,I,2026-02-21 00:20:05,,357116.886220409,340540.816746273,원목생산업,2종,,교육이수,0,0,영업,,***_경상북도안동시용상동1078-34
430,원목생산업,09_27_02_P,5070000,507000090202600004,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 정하동 300-1 화성드림파크 101동 1505호,"경상북도 안동시 강남1길 108 (정하동, 화성드림파크)",36750,경북임업,2026-02-19 11:09:03,I,2026-02-21 00:20:05,,355124.086206146,339943.705492993,원목생산업,2종,,교육이수,0,0,영업,,경북임업_경상북도안동시정하동300-1화성드림파크101동1505호
431,원목생산업,09_27_02_P,5070000,507000090202600006,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 송현동 623-1,경상북도 안동시 경동로 156-104 (송현동),36635,***,2026-02-19 11:13:16,I,2026-02-21 00:20:05,,350540.459907906,342696.62205247,원목생산업,2종,,교육이수,0,0,영업,,***_경상북도안동시송현동623-1
432,원목생산업,09_27_02_P,5070000,507000090202600007,2026-02-19,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 풍산읍 괴정리 202-2,경상북도 안동시 풍산읍 절뒤길 53,36618,라성에너지 주식회사,2026-02-19 11:15:55,I,2026-02-21 00:20:05,,337490.790987759,345533.949279111,원목생산업,2종,,교육이수,0,0,영업,,라성에너지주식회사_경상북도안동시풍산읍괴정리202-2
530,원목생산업,09_27_02_P,5160000,516000090202600003,2026-02-13,,1,영업/정상,1,정상,,,,,,,,경상북도 청송군 부남면 대전리 75-13 새마을금고,"경상북도 청송군 부남면 대전로 151, 새마을금고",37443,윤국희,2026-02-26 08:56:10,I,2026-02-28 00:20:02,,385241.036887627,318271.382661453,원목생산업,1종,,,0,0,영업,,윤국희_경상북도청송군부남면대전리75-13새마을금고
