"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","577000053201900005","2019-10-26","","02","휴업","1","휴업","","2023-04-04","","","031-377-2984","","","경기도 화성시 동탄구 영천동  397 동탄 SK V1 center","경기도 화성시 동탄구 동탄순환대로 830, 동탄 SK V1 center 1103호 (영천동)","18468","주식회사 동진씨앤지","2023-04-04 16:45:15","I","2026-02-04 01:35:23","","208532.427254134","412025.235557874","분뇨등관련영업관리","","","","","0","","0",
"2","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","574000053202300001","2023-06-05","","01","영업/정상","11","영업","","","","","0313558101","","","경기도 화성시 만세구 남양읍 무송리 180-5","경기도 화성시 만세구 남양읍 현대기아로 498-2, 202호","18274","대명엔텍(주)","2025-10-10 13:15:20","I","2026-02-04 01:35:23","","186405.827949734","410226.280292929","분뇨등관련영업관리","","","","","0","","0",
"3","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","574000053202300002","2023-06-05","","01","영업/정상","11","영업","","","","","07050560948","","","경기도 화성시 만세구 남양읍 무송리 180-5","경기도 화성시 만세구 남양읍 현대기아로 498-2, 201호","18274","(주)뎀코","2025-05-09 14:07:58","I","2026-02-04 01:35:23","","186405.827949734","410226.280292929","분뇨등관련영업관리","","","","","0","","0",
"4","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","576000053202500004","2025-07-25","","01","영업/정상","11","영업","","","","","031-224-4300","","","경기도 화성시 병점구 반월동  345-3","경기도 화성시 병점구 효행로 1369, 2층 201호 (반월동)","18384","(주)청녹엔텍","2026-01-29 22:44:57","I","2026-02-04 01:35:23","","205679.955113963","414216.973000048","분뇨등관련영업관리","","","","","0","","0",
"5","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","577000053201500001","2015-06-08","","01","영업/정상","11","영업","","","","","8003-8432","","445-160","경기도 화성시 동탄구 반송동  130-1","경기도 화성시 동탄구 노작로4길 8 (반송동,4층)동 (반송동)","445-160","(주)동명기술공단종합건축사사무소","2024-08-06 16:26:41","I","2026-02-04 01:35:23","","206815.716001795","410542.36823571","분뇨등관련영업관리","","","","","0","","0",
"6","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","576000053201700001","2017-12-27","","01","영업/정상","11","영업","","","","","031-236-1215","","","경기도 화성시 병점구 진안동  859-1 광림빌딩 201호","경기도 화성시 병점구 병점동로164번길 39, 광림빌딩 201호 (진안동)","18392","주흥환경(주)","2022-12-28 17:21:25","I","2026-02-04 01:35:23","","203443.683623945","412661.766212712","분뇨등관련영업관리","","","","","0","","0",
"7","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","576000053201900002","2019-06-05","","01","영업/정상","11","영업","","","","","0312243320","","","경기도 화성시 병점구 황계동  162-12","경기도 화성시 병점구 황계길131번길 13 (황계동)","18347","한솔개발","2019-06-05 18:54:13","I","2026-02-04 01:35:23","","201257.368745853","413540.559777116","분뇨등관련영업관리","","","","","0","","0",
"8","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","574000053201200005","2012-02-14","","01","영업/정상","11","영업","","","","","351-9932","","445-944","경기도 화성시 만세구 장안면 독정리 34-6","경기도 화성시 만세구 장안면 고해길 27","","화성양돈영농조합","2023-04-03 10:53:23","I","2026-02-04 01:35:23","기타 비료 및 질소화합물 제조업","187954.212000695","396378.965229626","분뇨등관련영업관리","기타 비료 및 질소화합물 제조업","","","","0","","0",
"9","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","574000053202400003","2024-07-16","","01","영업/정상","11","영업","","","","","031-356-4767","","","경기도 화성시 만세구 새솔동 76-6","경기도 화성시 만세구 수노을중앙로 130, 401호,402호,405호 (새솔동)","18244","(주)케이이씨시스템","2024-07-16 11:23:47","I","2026-02-04 01:35:23","","183773.41972924","420356.957910204","분뇨등관련영업관리","","","","","0","","0",
"10","가축분뇨배출시설관리업(사업장)","09_30_02_P","4540000","454000053201400001","2014-09-05","","01","영업/정상","11","영업","","","","","041-736-1055","","","충청남도 논산시 내동 363-7","충청남도 논산시 시민로 227 (내동)","320-030","좋은환경(주)","2026-02-05 14:29:18","U","2026-02-07 02:40:00","","208585.23273558","298503.125875793","분뇨등관련영업관리","","","","","0","","0",
"11","가축분뇨배출시설관리업(사업장)","09_30_02_P","5700000","570000053200000001","2001-02-12","","01","영업/정상","11","영업","","","","","0318851122","","","경기도 여주시 창동 228","경기도 여주시 영릉로 72, B동 2층 (창동)","12626","유진환경건설(주)","2026-02-03 16:30:58","U","2026-02-06 02:40:00","축산분뇨 처리업","255794.578025454","421424.056818437","분뇨등관련영업관리","축산분뇨 처리업","","","","0","","0",
"12","가축분뇨배출시설관리업(사업장)","09_30_02_P","4910000","491000053202400003","2024-04-01","","01","영업/정상","11","영업","","","","","070-4247-3085","","","전라남도 장흥군 장흥읍 건산리 720-69 , 2층","전라남도 장흥군 장흥읍 중앙로 47-2, 2층","59327","주식회사 서영기술","2026-02-03 16:12:41","U","2026-02-06 02:40:00","","191423.491406802","131307.620519989","분뇨등관련영업관리","","","","","0","","0",
"13","가축분뇨배출시설관리업(사업장)","09_30_02_P","3780000","378000053200700003","2007-11-06","","01","영업/정상","11","영업","","","","","031-726-0780","","","경기도 성남시 분당구 수내동 16-3 코포모빌딩","경기도 성남시 분당구 황새울로200번길 34, 코포모빌딩 1202호 (수내동)","13595","㈜파이닉스알엔디","2026-01-30 09:22:26","U","2026-02-04 11:04:37","","210014.16","430569.655","분뇨등관련영업관리","","","","","0","","0",
"14","가축분뇨배출시설관리업(사업장)","09_30_02_P","4470000","447000053202600001","2026-02-05","","01","영업/정상","11","영업","","","","","0438732592","","","충청북도 음성군 음성읍 읍내리 726-3","충청북도 음성군 음성읍 용광로 58","27690","(주)두원건설.환경","2026-02-05 09:26:52","I","2026-02-07 00:20:02","환경설비 건설업","261170.456582927","382647.138430031","분뇨등관련영업관리","환경설비 건설업","","","","0","","0",
"15","가축분뇨배출시설관리업(사업장)","09_30_02_P","5670000","567000053201300001","2013-10-01","","01","영업/정상","11","영업","","","","","055-297-9771","","","경상남도 창원시 의창구 소답동 115-5 범한빌딩 4층","경상남도 창원시 의창구 의안로8번길 23 (소답동)","641-835","(주)범한엔지니어링","2026-02-03 16:07:58","U","2026-02-06 02:40:00","","347921.440050932","197085.423572113","분뇨등관련영업관리","","","","","0","","0",
"16","가축분뇨배출시설관리업(사업장)","09_30_02_P","4500000","450000053202200003","2022-11-23","","01","영업/정상","11","영업","","","","","041-852-4333","","","충청남도 공주시 동현동 106-13","충청남도 공주시 장척로 216-5, 103,104호 (동현동)","32590","주식회사 금강환경건설","2026-02-06 14:55:38","U","2026-02-08 02:40:00","폐기물처리 및 오염방지시설 건설업","216932.870455782","331794.377667255","분뇨등관련영업관리","폐기물처리 및 오염방지시설 건설업","","","","0","","0",
"17","가축분뇨배출시설관리업(사업장)","09_30_02_P","4500000","450000053201700001","2017-11-10","","01","영업/정상","11","영업","","","","","042-828-0770","","","충청남도 공주시 신관동 276-5","충청남도 공주시 번영1로 156, 3층 (신관동)","32580","(주)드림이앤디","2026-02-06 14:48:50","U","2026-02-08 02:40:00","","212899.567886731","330366.215359683","분뇨등관련영업관리","","","","","0","","0",
"18","가축분뇨배출시설관리업(사업장)","09_30_02_P","5690000","569000053202100001","2021-02-09","","01","영업/정상","11","영업","","","","","044-868-7048","","","세종특별자치시 소정면 대곡리 368-8","세종특별자치시 소정면 학수소사길 63","30001","(주)금강피스코","2026-02-04 11:10:56","U","2026-02-06 02:40:00","","215014.802076103","358977.576727747","분뇨등관련영업관리","","","","","0","","0",
"19","가축분뇨배출시설관리업(사업장)","09_30_02_P","3860000","386000053202000001","2020-06-16","","01","영업/정상","11","영업","","","","","0327287325","","","경기도 부천시 원미구 도당동 10 석산빌딩","경기도 부천시 원미구 옥산로 255, 석산빌딩 5층 (도당동)","14519","청호나이스(주)","2026-02-04 15:05:03","U","2026-02-06 02:40:00","하수, 폐수 및 분뇨 처리업","180469.257875138","446033.90285071","분뇨등관련영업관리","하수, 폐수 및 분뇨 처리업","","","","0","","0",
"20","가축분뇨배출시설관리업(사업장)","09_30_02_P","5130000","513000053202500001","2025-01-06","","01","영업/정상","11","영업","","","","","053-384-3890","","","경상북도 경산시 중방동 869-9","경상북도 경산시 원효로 17, 2층 (중방동)","38618","(주)보원씨엠건축사사무소","2026-02-13 16:24:10","U","2026-02-15 02:40:00","연구개발업","357136.695224118","259610.223740612","분뇨등관련영업관리","연구개발업","","","","0","","0",
"21","가축분뇨배출시설관리업(사업장)","09_30_02_P","5530000","574000053201600002","2017-01-04","","03","폐업","2","폐업","2018-01-24","","","","0313666236","","","","경기도 화성시 만세구 향남읍 서봉로 651-5","18589","비케이환경종합건설(주)","2018-01-24 13:52:40","I","2026-02-04 01:35:23","","195746.336003144","403591.831740575","분뇨등관련영업관리","","","","","0","","0",
"22","가축분뇨배출시설관리업(사업장)","09_30_02_P","4261000","426100053202500004","2025-08-13","","03","폐업","2","폐업","2026-01-29","","","","","","","강원특별자치도 횡성군 우천면 양적리 37-11","강원특별자치도 횡성군 우천면 수남로266번길 56","25249","주식회사 이앤에이","2026-02-03 14:40:06","U","2026-02-06 02:40:00","축산 관련 서비스업","293716.374704997","439710.421022806","분뇨등관련영업관리","축산 관련 서비스업","","","","0","","0",
