번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,Unnamed: 32,record_key
42,의료기기수리업,01_02_02_P,5020000,PHMG320265020055047400002,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,,경상북도 포항시 남구 상공로 123 (대도동),37782,효성의료기,2026-02-26 10:38:14,I,2026-02-28 00:20:02,,412778.270424799,282387.278081232,,,,,,효성의료기_
41,의료기기수리업,01_02_02_P,4701000,PHMG320264701035047400001,2026-02-25,,1,영업/정상,13,영업중,,,,,063-625-0004,,,전북특별자치도 남원시 향교동 324-2,"전북특별자치도 남원시 붕맛1길 10, 2층 (향교동)",55741,꿈드래장애인협회 남원시지부,2026-02-26 09:31:42,I,2026-02-28 00:20:02,,234517.246504682,213118.749989568,,,,,,꿈드래장애인협회남원시지부_전북특별자치도남원시향교동324-2
38,의료기기수리업,01_02_02_P,3240000,PHMG320263240033047400001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 성내동 539-3 (주)서경산업개발,"서울특별시 강동구 성내로 19, (주)서경산업개발 404호 (성내동)",5392,에이제이(A.J),2026-02-26 07:33:12,I,2026-02-28 00:20:02,,210796.444013683,447563.523425485,,,,,,에이제이(A.J)_서울특별시강동구성내동539-3(주)서경산업개발
46,의료기기수리업,01_02_02_P,5410000,PHMG320165410012047400002,2026-02-24,,1,영업/정상,13,영업중,,,,,055-532-2242,,,경상남도 창녕군 창녕읍 교리 273-20,경상남도 창녕군 창녕읍 문화공원길 5-1,50317,효성의료기,2026-02-25 14:11:24,U,2026-02-28 02:40:00,,335554.954949967,227978.665415827,,,,,,효성의료기_경상남도창녕군창녕읍교리273-20
35,의료기기수리업,01_02_02_P,3590000,PHMG320263590019047400001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,광주광역시 동구 산수동 494-8,"광주광역시 동구 경양로 316-1, 1층 (산수동)",61430,광주엠코리아,2026-02-25 10:54:19,I,2026-02-27 00:20:02,,192983.077349797,183875.115959241,,,,,,광주엠코리아_광주광역시동구산수동494-8
40,의료기기수리업,01_02_02_P,5360000,PHMG320265360021047400002,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경상남도 밀양시 무안면 무안리 813-27,경상남도 밀양시 무안면 사명로 508-1,50408,시그니아 독일보청기·의료기 무안센터,2026-02-26 10:05:26,I,2026-02-28 00:20:02,,349875.796532397,220190.748998795,,,,,,시그니아독일보청기·의료기무안센터_경상남도밀양시무안면무안리813-27
23,의료기기수리업,01_02_02_P,5020000,PHMG320265020055047400001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,,경상북도 포항시 남구 중앙로 136 (해도동),37789,동행전동보조기기,2026-02-12 13:52:38,I,2026-02-14 00:20:02,,413412.811439187,283136.151951976,,,,,,동행전동보조기기_
21,의료기기수리업,01_02_02_P,4050000,PHMG320204050148047400004,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 기흥구 중동 760-4,경기도 용인시 기흥구 어정로 134-14 (중동),16995,주식회사 배터리파크,2026-02-11 17:35:45,U,2026-02-13 02:40:00,,212856.628357193,419165.184598183,,,,,,주식회사배터리파크_경기도용인시기흥구중동760-4
19,의료기기수리업,01_02_02_P,3780000,PHMG320263780063047400001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,,"경기도 성남시 중원구 둔촌대로80번길 3-10, 성남 아리스타 119호 (성남동)",13383,스마일보조기구센터,2026-02-11 13:19:43,I,2026-02-13 00:20:38,,211295.288709461,436367.591449225,,,,,,스마일보조기구센터_
15,의료기기수리업,01_02_02_P,3600000,PHMG320153600020047400002,2026-02-10,,1,영업/정상,13,영업중,,,,,062-529-3329,,,광주광역시 서구 동천동 619번지,"광주광역시 서구 하남대로680번길 1, 4층 (동천동)",61903,광주광역시지체장애인협회,2026-02-10 18:08:29,U,2026-02-12 02:40:00,,187831.284830981,185818.723068422,,,,,,광주광역시지체장애인협회_광주광역시서구동천동619번지
