"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내외여행업","03_12_02_P","3310000","CDFI2260022024000006","2024-12-05","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 381-15 우성빌딩","부산광역시 남구 수영로 274-23, 우성빌딩 303호 (대연동)","48498","한국지방자치학술연구원","2026-02-01 15:19:38","U","2026-02-03 02:40:00","","391107.728411953","183797.205589436","국내외여행업","","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260221","20270221","","0","",
"2","국내외여행업","03_12_02_P","3310000","CDFI2260022025000001","2025-01-21","","01","영업/정상","13","영업중","","","","","070-4320-6549","","","부산광역시 남구 대연동 72-7 산암빌딩","부산광역시 남구 수영로 298, 산암빌딩 1001-162호 (대연동)","48499","(주)동주기획","2026-02-01 15:18:30","U","2026-02-03 02:40:00","","391236.731928081","183961.925783628","국내외여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20260121","20270120","","0","",
"3","국내외여행업","03_12_02_P","4820000","CDFI2260022026000003","2026-02-02","","01","영업/정상","13","영업중","","","","","070-8983-8669","","","전라남도 순천시 덕암동 436-3 산수부동산","전라남도 순천시 이수1길 86-1, 산수부동산 2층 (덕암동)","57966","(주)서아여행사","2026-02-02 13:46:43","I","2026-02-04 00:20:02","","246382.330016319","161443.420635319","국내외여행업","","","4","주택가주변","","","사무실","4","1","0","0","","","0","0","","0","0","","0","75","","0","","","","","","","30000000","","","","75","",
"4","국내외여행업","03_12_02_P","5130000","CDFI2260022026000001","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 옥곡동 821-7 주대경산림","경상북도 경산시 경산로13길 17-9, 주대경산림 (옥곡동)","38687","푸른소금(경산지점)","2026-02-02 09:18:36","I","2026-02-04 00:20:02","","356367.937910884","258457.32362869","국내외여행업","","일반주거지역","0","주택가주변","","","근린생활시설","0","0","0","0","BLUE SALT TOUR CORP","","0","0","","0","0","","0","0","","0","","","","","","","30000000","","","","0","",
"5","국내외여행업","03_12_02_P","3240000","CDFI2260022026000002","2000-02-19","","01","영업/정상","13","영업중","","","","","02-736-8800","","","서울특별시 강동구 강일동 677-5","서울특별시 강동구 아리수로91길 32-6, 903호 (강일동, 유러피안하우스2)","05211","(주)다보탑여행사","2026-02-02 10:59:11","I","2026-02-04 00:20:02","","215221.360049311","451461.931967027","국내외여행업","관광사업","","0","","","한국관광협회중앙회 여행공제회","","0","0","0","0","DABOTOP TRAVEL SERVICE Co.,Ltd","Overseas Travel Agency","0","0","","0","0","","0","0","","0","","","","","","","0","20170411","20180411","","0","",
"6","국내외여행업","03_12_02_P","5530000","CDFI2260022019000003","2019-02-14","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 효행구 봉담읍 상리 686-3","경기도 화성시 효행구 봉담읍 상리중심상가길 28-9, 6층 604-07호","18309","아름여행사","2026-01-30 09:07:50","I","2026-02-04 01:35:23","","195080.24610395","413862.774754655","국내외여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20240617","20250616","","0","",
"7","국내외여행업","03_12_02_P","5530000","CDFI2260022008000007","2008-12-09","","03","폐업","03","폐업","2016-12-06","","","","031-233-1234","","445-310","경기도 화성시 효행구 기안동  333-1","","","(합자)애경투어","2016-12-06 14:30:14","I","2026-02-04 01:35:23","","197415.140825396","414081.680788143","국내외여행업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","310000000","","","","0","",
"8","국내외여행업","03_12_02_P","3000000","CDFI2260022011000009","2009-05-12","","01","영업/정상","13","영업중","","","","","02-733-5734","","","서울특별시 종로구 내수동 72 경희궁의아침 3단지","서울특별시 종로구 사직로8길 34, 경희궁의아침 3단지 1417호 (내수동)","03174","(주)엠에스투어앤라이프","2026-02-02 16:31:26","U","2026-02-04 02:40:00","","197465.223921125","452366.613899898","국내외여행업","","준주거지역","5","기타","","한국관광협회(30,000,000)","사무실","4","1","0","0","","","0","0","","0","0","","0","33","","0","","","","","","","100000000","20260202","20270202","","33","",
"9","국내외여행업","03_12_02_P","3220000","CDFI2260022022000006","2022-02-21","","01","영업/정상","13","영업중","","","","","02-1599-1659","","","서울특별시 강남구 역삼동 736-42 예동빌딩 6층","서울특별시 강남구 테헤란로22길 13, 예동빌딩 6층 (역삼동)","06236","(주)크루즈여행닷컴","2026-02-02 17:47:17","U","2026-02-04 02:40:00","","203056.407469338","444102.214478187","국내외여행업","","","0","","","관광공제회(3천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260213","20270213","","0","",
"10","국내외여행업","03_12_02_P","3620000","CDFI2260022022000001","2022-02-21","","03","폐업","03","폐업","2026-01-30","","","","","","","광주광역시 북구 신용동 733","광주광역시 북구 첨단연신로 97, 5층 501호 (신용동)","61087","브라보골프투어","2026-02-02 08:56:04","U","2026-02-04 02:40:00","","187543.487758868","189718.506722483","국내외여행업","","근린상업지역","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20240723","20250722","","0","",
