"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","3560000","356000031200800002","2008-05-27","","01","영업/정상","11","정상","","","","","032-566-0010","","","인천광역시 서구 원당동 원당지구 **블럭 *로","","","브니엘네이처(주)","2026-04-01 15:33:32","U","2026-04-03 02:40:00","","","","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","4490000","449000031200000001","2023-04-25","","01","영업/정상","11","정상","","","","","041-578-7375","","","충청남도 천안시 서북구 쌍용동 *** 계광빌딩","충청남도 천안시 서북구 쌍용대로 ***, 계광빌딩 *층 ***호 (쌍용동)","31149","(주)푸른솔","2026-04-01 08:37:59","U","2026-04-03 02:40:00","","211759.211855172","367478.642200745","31","","0","","","","","저수조청소업",
"3","저수조청소업","09_30_14_P","5690000","569000031201600008","2021-01-11","","01","영업/정상","11","정상","","","","","044-867-0423","","","세종특별자치시 장군면 도계리 ***-**","세종특별자치시 장군면 장기초교길 **","30053","(주)에코텍","2026-04-01 18:10:41","U","2026-04-03 02:40:00","","218511.364651309","332878.770498222","31","","0","","","","","저수조청소업",
"4","저수조청소업","09_30_14_P","3580000","358000031202600001","2026-04-02","","01","영업/정상","11","정상","","","","","","","","인천광역시 옹진군 북도면 장봉리 ***-*","인천광역시 옹진군 북도면 장봉로 ***-**","23111","정도환경","2026-04-02 16:25:37","I","2026-04-04 00:20:02","","141576.67845097","447868.918969128","31","","0","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","3900000","390000031202600001","2026-03-26","","01","영업/정상","11","정상","","","","","","","","경기도 광명시 일직동 *** 광명역파크자이","경기도 광명시 광명역로 **, 상가동 지하*층 B**호 (일직동, 광명역파크자이)","14349","(주)써브원","2026-04-02 16:24:41","U","2026-04-04 02:40:00","","189852.710596933","434738.713848355","31","","0","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","3230000","323000031200600001","2026-04-02","","01","영업/정상","11","정상","","","","","02-425-3060","","","서울특별시 송파구 송파동 ***-* B**호","서울특별시 송파구 백제고분로**길 **-**, B**호 (송파동)","05663","서울환경컴퍼니","2026-04-02 14:12:21","U","2026-04-04 02:40:00","","210174.7731322","445002.235824616","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","5690000","569000031202600001","2026-01-06","","01","영업/정상","11","정상","","","","","044-866-7328","","","세종특별자치시 금남면 영곡리 ***","세종특별자치시 금남면 성덕영곡길 ***-**","30084","주식회사  효산","2026-04-02 17:37:56","U","2026-04-04 02:40:00","","223419.385557101","327969.199791033","31","","0","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","5690000","569000031202400006","2024-04-23","","01","영업/정상","11","정상","","","","","070-4948-7040","","","세종특별자치시 금남면 영곡리 **","세종특별자치시 금남면 성덕영곡길 ***-*","30084","주식회사 세연","2026-04-02 17:06:53","U","2026-04-04 02:40:00","","223515.568576771","327989.627485445","31","","0","","","","","저수조청소업",
"9","저수조청소업","09_30_14_P","4010000","401000031202000001","2022-08-10","","01","영업/정상","11","정상","","","","","031-495-2604","","","경기도 시흥시 거모동 ****-* 재정빌딩","경기도 시흥시 군자로 ***, 재정빌딩 ***호 (거모동)","15068","주식회사 보라","2026-04-02 13:36:25","U","2026-04-04 02:40:00","","180749.468454166","427288.836589916","31","","0","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","5690000","569000031202200003","2022-11-21","","01","영업/정상","11","정상","","","","","","","","세종특별자치시 도담동 *** 도담센트럴프라자","세종특별자치시 한누리대로 ***, 도담센트럴프라자 ***층 *호 (도담동)","30098","노벰버원 주식회사","2026-04-02 15:51:43","U","2026-04-04 02:40:00","","223079.820956325","334949.408036074","31","","0","","","","","저수조청소업",
"11","저수조청소업","09_30_14_P","5690000","569000031202200002","2025-11-25","","01","영업/정상","11","정상","","","","","044-868-0944","","","세종특별자치시 대평동 *** 쁘띠테라스","세종특별자치시 대평*길 **, 쁘띠테라스 *층 ***호 (대평동)","30152","행복종합자산관리(주)","2026-04-02 15:38:17","U","2026-04-04 02:40:00","","224639.428614204","330349.030473047","31","","0","","","","","저수조청소업",
"12","저수조청소업","09_30_14_P","3690000","369000031200500001","2026-04-03","","01","영업/정상","11","정상","","","","","052-294-7250","","","울산광역시 중구 복산동 ***-*","울산광역시 중구 손골*길 **-* (복산동)","44430","가나용역(주)","2026-04-03 13:30:49","U","2026-04-05 02:40:00","","410837.29520106","231985.025380333","31","","0","","","","","저수조청소업",
"13","저수조청소업","09_30_14_P","3060000","306000031200500004","2013-07-08","","01","영업/정상","11","정상","","","","","02-495-0967","","","서울특별시 중랑구 신내동 ***-* 데시앙플렉스 A동 ***호","서울특별시 중랑구 신내역로*길 **-**, 데시앙플렉스 A동 ***호 (신내동)","02055","(주)람보씨엠개발","2026-04-03 13:54:34","U","2026-04-05 02:40:00","","209085.926142332","457283.215342184","31","","0","","","","","저수조청소업",
"14","저수조청소업","09_30_14_P","3930000","393000031202400004","2024-04-15","","01","영업/정상","11","정상","","","","","","","","경기도 안산시 상록구 사동 ****-* *층","경기도 안산시 상록구 당골*길 *, *층 (사동)","15582","(주)비즈니스클럽","2026-04-03 09:19:58","U","2026-04-05 02:40:00","","187013.690781575","421648.814586852","31","","0","","","","","저수조청소업",
"15","저수조청소업","09_30_14_P","3060000","306000031202300002","2023-10-23","","01","영업/정상","11","정상","","","","","","","","서울특별시 중랑구 면목동 ***-** 지하*층","서울특별시 중랑구 겸재로**가길 *, 지하*층 (면목동)","02147","태영종합환경","2026-04-03 14:10:26","U","2026-04-05 02:40:00","","207152.801172426","453936.570287507","31","","0","","","","","저수조청소업",
"16","저수조청소업","09_30_14_P","4181000","418100031201800012","2024-10-29","","01","영업/정상","11","정상","","","","","033-244-8555","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 퇴계로**번길 **-**, *층 (퇴계동)","24376","(주)하이토탈크리닝","2026-04-05 17:47:36","U","2026-04-07 02:40:00","","264437.678619208","484753.975549351","31","","0","","","","","저수조청소업",
"17","저수조청소업","09_30_14_P","4181000","418100031201800013","2019-10-08","","01","영업/정상","11","정상","","","","","033-262-1196","","","강원특별자치도 춘천시 신북읍 산천리 ***-**","강원특별자치도 춘천시 신북읍 장본길 **-**, *층","24203","유디코","2026-04-05 17:43:59","U","2026-04-07 02:40:00","","266393.500646282","494405.529173788","31","","0","","","","","저수조청소업",
"18","저수조청소업","09_30_14_P","4181000","418100031199600001","2025-09-29","","01","영업/정상","11","정상","","","","","263-0623","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후만로***번길 ** (후평동)","24307","호반방역청소용역(주)","2026-04-05 17:08:22","U","2026-04-07 02:40:00","","266714.040864621","486143.431207098","31","","0","","","","","저수조청소업",
