"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","통신판매업","08_26_04_P","4191000","2026419100630200973","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 혁신로 **-*, *층 ***-D**호 (반곡동)","26465","큐브스토어","2026-04-01 17:40:48","I","2026-04-03 00:20:02","종합몰","286737.127898559","425074.335936994","0","0","0","인터넷",
"2","통신판매업","08_26_04_P","4341000","2026434103030200020","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 고성군 토성면 봉포리 *** 봉포코아루오션비치아파트","강원특별자치도 고성군 토성면 학사촌길 **-*, ***동 ***호 (봉포코아루오션비치아파트)","24764","고고학","2026-04-01 14:37:26","I","2026-04-03 00:20:02","종합몰","336542.594825084","529024.337643899","0","0","0","인터넷",
"3","통신판매업","08_26_04_P","4211000","2026421106430200057","2026-03-31","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 동해시 이도동 *** 이도주공아파트 ***동 ***호","강원특별자치도 동해시 이원길 ***-*, ***동 *층 ***호 (이도동, 이도주공아파트)","25819","오브앤무드","2026-04-01 16:05:59","I","2026-04-03 00:20:02","종합몰 가구/수납용품","386717.696428473","443878.992976255","0","0","0","인터넷",
"4","통신판매업","08_26_04_P","6510000","2026651003730200017","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","제주특별자치도 제주시 한림읍 금능리 ****-*","제주특별자치도 제주시 한림읍 금능길 **, *층","63010","금능샌드","2026-04-01 14:04:32","I","2026-04-03 00:20:02","건강/식품","128510.203584269","-11621.5831941811","0","0","0","인터넷",
"5","통신판매업","08_26_04_P","6510000","2026651004030200050","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","제주특별자치도 제주시 조천읍 조천리 ****-* 조천도화썬빌리지","제주특별자치도 제주시 조천읍 조천**길 **-*, ***동 ***호 (조천도화썬빌리지)","63331","아리즈웰","2026-04-01 17:49:46","I","2026-04-03 00:20:02","종합몰","166981.308025781","4821.51770730443","0","0","0","인터넷",
"6","통신판매업","08_26_04_P","3620000","2026362026130200322","2026-04-01","","01","영업/정상","01","정상영업","","","","","062 - 416 - 5155","","","광주광역시 북구 일곡동 ***-*","광주광역시 북구 설죽로 ***-**, *층 (일곡동)","61040","프리즘학습심리센터","2026-04-01 11:11:17","I","2026-04-03 00:20:02","교육/도서/완구/오락","190578.997257029","189338.036792832","0","0","0","기타",
"7","통신판매업","08_26_04_P","3620000","2026362026130200323","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","광주광역시 북구 대촌동 ***-* 광주테크노파크","광주광역시 북구 첨단과기로 ***, 광주테크노파크 ***호 (대촌동)","61008","우리자동화","2026-04-01 13:15:00","I","2026-04-03 00:20:02","종합몰 가구/수납용품","187300.193734202","192279.356490794","0","0","0","인터넷",
"8","통신판매업","08_26_04_P","3050000","2026305021030200687","2026-03-31","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 장안동 **-** 시온그랜드빌","서울특별시 동대문구 사가정로**길 **-*, ***동 ***호 (장안동, 시온그랜드빌)","02515","그레이빅스(GRAVYX)","2026-04-01 10:59:27","I","2026-04-03 00:20:02","기타","206221.158650389","453068.697412636","0","0","0","인터넷",
"9","통신판매업","08_26_04_P","3050000","2026305021030200688","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 휘경동 ** 휘경베스트빌현대아파트","서울특별시 동대문구 장안벚꽃로*길 **, ***동 ****호 (휘경동, 휘경베스트빌현대아파트)","02513","블리스","2026-04-01 11:00:40","I","2026-04-03 00:20:02","의류/패션/잡화/뷰티","206483.555525111","453265.197034985","0","0","0","인터넷",
"10","통신판매업","08_26_04_P","3050000","2026305021030200689","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 이문동 *** 이문동대성유니드아파트","서울특별시 동대문구 한천로**길 ***, ***동 *층 ***호 (이문동, 이문동대성유니드아파트)","02422","다올","2026-04-01 11:13:33","I","2026-04-03 00:20:02","의류/패션/잡화/뷰티","206167.086909617","455653.791303608","0","0","0","인터넷",
"11","통신판매업","08_26_04_P","3050000","2026305021030200690","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 전농동 *** 래미안 크레시티","서울특별시 동대문구 사가정로 **, ***동 ****호 (전농동, 래미안 크레시티)","02553","쪼물룸","2026-04-01 11:14:21","I","2026-04-03 00:20:02","교육/도서/완구/오락","204405.177383183","452666.692448624","0","0","0","인터넷",
"12","통신판매업","08_26_04_P","3050000","2026305021030200691","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 전농동 **-**","서울특별시 동대문구 전농로 ***, *층 H***호 (전농동)","02531","오구마켓","2026-04-01 11:15:07","I","2026-04-03 00:20:02","종합몰","205045.113789624","452623.143798554","0","0","0","인터넷",
"13","통신판매업","08_26_04_P","3050000","2026305021030200692","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 제기동 ***-*** 라테라스빌","서울특별시 동대문구 안암로**길 **-*, 라테라스빌 ***호 (제기동)","02473","비베레(Vivere)","2026-04-01 11:16:03","I","2026-04-03 00:20:02","건강/식품","203126.459342353","453999.484789079","0","0","0","인터넷",
"14","통신판매업","08_26_04_P","3050000","2026305021030200693","2025-07-28","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 은평구 불광동 ***-**","서울특별시 은평구 연서로**길 *-*, *층 (불광동)","03345","퍼플샌드","2026-04-01 14:54:01","I","2026-04-03 00:20:02","의류/패션/잡화/뷰티","193151.168681126","457574.036865519","0","0","0","인터넷",
"15","통신판매업","08_26_04_P","3610000","2026361026130200127","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","광주광역시 남구 진월동 ***-*","광주광역시 남구 효덕로 ***, 나동 *층 (진월동)","61744","픽커피(PICK COFFEE)","2026-04-01 10:08:08","I","2026-04-03 00:20:02","종합몰","190569.009492292","178734.935331684","0","0","0","인터넷",
"16","통신판매업","08_26_04_P","4580000","2026458012530200021","2026-03-31","","01","영업/정상","01","정상영업","","","","","","","","충청남도 서천군 장항읍 창선*리 ***-*","충청남도 서천군 장항읍 장서로 **","33672","데구르르","2026-04-01 09:13:35","I","2026-04-03 00:20:02","건강/식품","172724.511508595","279379.208512698","0","0","0","인터넷",
"17","통신판매업","08_26_04_P","3740000","2026375003230200275","2026-03-31","","01","영업/정상","01","정상영업","","","","","","","","경기도 수원시 장안구 율전동 ***-* 반석아파트 ***동 ***호","경기도 수원시 장안구 덕영대로***번길 **, ***동 ***호 (율전동, 반석아파트)","16357","에스씨물류","2026-04-01 09:53:58","I","2026-04-03 00:20:02","종합몰","197112.446143276","422201.899755918","0","0","0","인터넷",
"18","통신판매업","08_26_04_P","3740000","2026375003230200276","2026-03-31","","01","영업/정상","01","정상영업","","","","","","","","경기도 수원시 장안구 정자동 ***-* 꽃뫼노을마을신안아파트 ***동 ***호","경기도 수원시 장안구 대평로**번길 **, ***동 ***호 (정자동, 꽃뫼노을마을신안아파트)","16319","효도다하네","2026-04-01 09:51:47","I","2026-04-03 00:20:02","교육/도서/완구/오락 가전 컴퓨터/사무용품 의류/패션/잡화/뷰티","199327.597478532","421241.328481634","0","0","0","인터넷",
"19","통신판매업","08_26_04_P","3740000","2026375003230200277","2020-12-17","","01","영업/정상","01","정상영업","","","","","","","","경기도 수원시 장안구 천천동 *** 삼호진덕아파트 ***동 ***호","경기도 수원시 장안구 하률로**번길 **, ***동 ***호 (천천동, 삼호진덕아파트)","16324","이스턴프리미어","2026-04-01 15:36:46","I","2026-04-03 00:20:02","종합몰","197929.735779482","422225.424910929","0","0","0","인터넷",
"20","통신판매업","08_26_04_P","3740000","2026375003230200278","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 수원시 장안구 정자동 ***-* 동신","경기도 수원시 장안구 장안로 ***, ***동 ***호 (정자동, 동신)","16339","몽크로스상사(Moncross)","2026-04-01 15:00:14","I","2026-04-03 00:20:02","건강/식품 의류/패션/잡화/뷰티","199351.941024612","422056.672734772","0","0","0","인터넷",
"21","통신판매업","08_26_04_P","4060000","2026406055230201506","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 와동동 ****-*","경기도 파주시 가람로 **, *층 ***- A*호 (와동동)","10870","로켓터틀리빙","2026-04-01 14:05:11","I","2026-04-03 00:20:02","종합몰","178290.790438686","470239.77209774","0","0","0","인터넷",
"22","통신판매업","08_26_04_P","4060000","2026406055230201507","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 당하동 ***-***","경기도 파주시 당하*길 **-**, *동 *층 (당하동)","10866","파운투","2026-04-01 14:16:26","I","2026-04-03 00:20:02","종합몰","177634.552856372","471004.955807417","0","0","0","인터넷",
"23","통신판매업","08_26_04_P","4060000","2026406055230201508","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 다율동 **** 운정자이 퍼스트시티","경기도 파주시 운정중앙로 ***, ***동 ***호 (다율동, 운정자이 퍼스트시티)","10865","진아온","2026-04-01 14:33:50","I","2026-04-03 00:20:02","의류/패션/잡화/뷰티","","","0","0","0","인터넷",
"24","통신판매업","08_26_04_P","4060000","2026406055230201509","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 문발동 ***-*","경기도 파주시 유채꽃길 ** (문발동)","10884","아인스","2026-04-01 14:37:32","I","2026-04-03 00:20:02","종합몰 의류/패션/잡화/뷰티","173881.134213222","468718.075407957","0","0","0","인터넷, 카다로그",
"25","통신판매업","08_26_04_P","3700000","2026370023330200242","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","울산광역시 남구 무거동 ***-*","울산광역시 남구 대학로 **-*, ***-*호 (무거동)","44611","에이앤지","2026-04-01 17:08:12","I","2026-04-03 00:20:02","의류/패션/잡화/뷰티","404875.371485026","229301.928203254","0","0","0","인터넷",
"26","통신판매업","08_26_04_P","4060000","2026406055230201510","2023-11-15","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 동패동 ***-* 한울마을*단지 운정벽산블루밍아파트","경기도 파주시 동패로 ***, ***동 *층 ***호 (동패동, 한울마을*단지 운정벽산블루밍아파트)","10902","도니몰","2026-04-01 14:44:41","I","2026-04-03 00:20:02","종합몰","176892.124134536","467893.262351708","0","0","0","인터넷",
"27","통신판매업","08_26_04_P","4060000","2026406055230201511","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 동패동 ****-* 센타프라자*","경기도 파주시 청석로 ***, *층 ***호 P***(센타프라자*) (동패동)","10874","하루스토어","2026-04-01 14:52:27","I","2026-04-03 00:20:02","종합몰","175051.536682254","469329.561686701","0","0","0","인터넷",
"28","통신판매업","08_26_04_P","5530000","2026577000730200828","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 화성시 동탄구 반송동 **-* 삼현빌딩","경기도 화성시 동탄구 동탄지성로 **, 삼현빌딩 *층 ***,***호 (반송동)","18453","동탄위드피아노학원","2026-04-01 13:55:03","I","2026-04-03 00:20:02","교육/도서/완구/오락","206406.34772934","411476.595964309","0","0","0","인터넷",
"29","통신판매업","08_26_04_P","5530000","2026577000730200829","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경기도 화성시 동탄구 반송동 **-* 로하스애비뉴","경기도 화성시 동탄구 동탄중심상가*길 *, 로하스애비뉴 *층 ***-하**호 (반송동)","18453","꿀이맘투","2026-04-01 14:00:55","I","2026-04-03 00:20:02","종합몰","206378.247090083","411519.526668326","0","0","0","인터넷",
