번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,Unnamed: 44,record_key
205,의원,01_01_02_P,3330000,PHMA120263330024041100003,2026-03-05,,1,영업/정상,13,영업중,,,,,,,,"부산광역시 해운대구 좌동 1466-4 일진빌딩(101호,201호)","부산광역시 해운대구 세실로 75, 일진빌딩 101호,201호 (좌동)",48106,365만세곰한의원,2026-03-05 17:26:14,I,2026-03-07 00:20:02,한의원,398239.876524922,187950.287932934,한의원,1,0,0,365.15,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,"365만세곰한의원_부산광역시해운대구좌동1466-4일진빌딩(101호,201호)"
204,의원,01_01_02_P,3560000,PHMA120263560021041100004,2026-03-05,,1,영업/정상,13,영업중,,,,,032-201-2090,,,인천광역시 서구 가정동 505-6,"인천광역시 서구 가정로 376, 2~4층 (가정동)",22777,서울다온치과의원,2026-03-05 17:23:21,I,2026-03-07 00:20:02,치과의원,171044.353327442,446295.010279114,치과의원,1,0,0,287.49,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,서울다온치과의원_인천광역시서구가정동505-6
203,의원,01_01_02_P,3390000,PHMA120263390023041100002,2026-03-05,,1,영업/정상,13,영업중,,,,,051-976-2000,,,부산광역시 사상구 모라동 459-1,"부산광역시 사상구 백양대로 900, 101호 (모라동)",46928,다나은재활의학과의원,2026-03-05 16:57:04,I,2026-03-07 00:20:02,의원,381310.144568166,189307.201476314,의원,1,0,0,136.3,122 120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,,다나은재활의학과의원_부산광역시사상구모라동459-1
200,의원,01_01_02_P,3610000,PHMA120263610019041100001,2026-03-05,,1,영업/정상,13,영업중,,,,,062-366-0010,,,광주광역시 남구 월산동 970-2,"광주광역시 남구 금화로 403, 2층 202호 (월산동)",61600,우리신경과의원,2026-03-05 14:37:17,I,2026-03-07 00:20:02,의원,189844.902541366,182647.865997216,의원,1,0,0,209.08,109 106 102,"신경과, 신경외과, 마취통증의학과",,,,0,0,,,0,,,우리신경과의원_광주광역시남구월산동970-2
195,의원,01_01_02_P,3460000,PHMA120263460023041100007,2026-03-05,,1,영업/정상,13,영업중,,,,,053-754-0123,,,대구광역시 수성구 범어동 177-7,"대구광역시 수성구 달구벌대로 2421, 7층 (범어동)",42028,서울베리굿치과의원,2026-03-05 16:33:04,I,2026-03-07 00:20:02,치과의원,346946.370685064,263395.224459952,치과의원,1,0,0,258.55,412 411 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",,,,0,0,,,0,,,서울베리굿치과의원_대구광역시수성구범어동177-7
192,의원,01_01_02_P,3230000,PHMA120263230034041100012,2026-03-05,,1,영업/정상,13,영업중,,,,,02-6413-8275,,,서울특별시 송파구 거여동 567,"서울특별시 송파구 양산로 38, 4층 (거여동)",5773,아산온유이비인후과의원,2026-03-05 17:31:46,I,2026-03-07 00:20:02,의원,212693.153007399,443344.439076507,의원,1,0,0,154.0,122 113 111 101,"내과, 소아청소년과, 이비인후과, 가정의학과",,,,0,0,,,0,,,아산온유이비인후과의원_서울특별시송파구거여동567
197,의원,01_01_02_P,3470000,PHMA120263470022041100003,2026-03-04,,1,영업/정상,13,영업중,,,,,053-263-3366,,,대구광역시 달서구 감삼동 455-8,"대구광역시 달서구 용산로24길 87, 2층 205호 (감삼동)",42688,나우샘유영상의학과의원,2026-03-05 23:13:23,I,2026-03-07 00:20:02,의원,338608.056657502,262096.520438343,의원,1,2,2,244.3,116,영상의학과,,,,0,0,,,0,,,나우샘유영상의학과의원_대구광역시달서구감삼동455-8
198,의원,01_01_02_P,3220000,PHMA120263220033041100037,2026-03-04,,1,영업/정상,13,영업중,,,,,02-566-7800,,,서울특별시 강남구 역삼동 641-10 아승빌딩,"서울특별시 강남구 논현로 515, 아승빌딩 3층 (역삼동)",6131,조각의원,2026-03-05 19:43:33,I,2026-03-07 00:20:02,의원,203088.505,444482.41,의원,1,0,0,181.4,114 108,"성형외과, 피부과",,,,0,0,,,0,,,조각의원_서울특별시강남구역삼동641-10아승빌딩
193,의원,01_01_02_P,3210000,PHMA120263210034041100027,2026-03-04,,1,영업/정상,13,영업중,,,,,02-0000-0000,,,서울특별시 서초구 잠원동 57-20,"서울특별시 서초구 잠원로8길 25, 3층 301,325~327호 (잠원동)",6518,잠원연세이비인후과의원,2026-03-05 21:13:17,I,2026-03-07 00:20:02,의원,200958.810528572,445792.191399183,의원,2,1,1,204.67,113,이비인후과,,,,0,0,,,0,,,잠원연세이비인후과의원_서울특별시서초구잠원동57-20
156,의원,01_01_02_P,3220000,PHMA120263220033041100035,2026-03-04,,1,영업/정상,13,영업중,,,,,02-2135-5821,,,서울특별시 강남구 신사동 581-15 한승빌딩 6층,"서울특별시 강남구 논현로 867, 한승빌딩 6층 (신사동)",6030,이고의원,2026-03-04 17:52:00,I,2026-03-06 00:20:02,의원,202424.924027857,447107.249354424,의원,1,0,0,289.58,114 108,"성형외과, 피부과",,,,0,0,,,0,,,이고의원_서울특별시강남구신사동581-15한승빌딩6층
