번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,Unnamed: 63,record_key
2288,외국인관광도시민박업,03_11_04_P,3130000,CDFI2262212026000104,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 망원동 425-21,"서울특별시 마포구 월드컵로29길 45-14, 지층 B02호 (망원동)",03964,머무르다(망원),2026-02-26 16:57:44,I,2026-02-28 00:20:02,,191445.521917304,450722.031389633,외국인관광 도시민박업,,,0,,,4,다가구용 주택(공동주택적용),0,0,1,0,Stay(mangwon),URBAN HOMESTAY FOR FOREIGN TOURISTS,0,0,,0,0,,0,41.0,,0,,,,,,,0,,,,41,,머무르다(망원)_서울특별시마포구망원동425-21
2305,외국인관광도시민박업,03_11_04_P,3380000,CDFI2262212026000036,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,부산광역시 수영구 광안동 145-10,"부산광역시 수영구 수영로588번길 22, 3층 (광안동)",48297,슬로우광안,2026-02-26 18:25:43,I,2026-02-28 00:20:02,,392595.530011438,186366.101896972,외국인관광 도시민박업,,일반주거지역,0,,,,,3,0,0,0,,,0,0,,0,0,,0,93.28,,0,,,,,,,10000000,,,,93,,슬로우광안_부산광역시수영구광안동145-10
2289,외국인관광도시민박업,03_11_04_P,3130000,CDFI2262212026000105,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 연남동 383-78,"서울특별시 마포구 동교로38길 33-18, 3층 (연남동)",03982,프라임스테이 홍대,2026-02-26 16:59:33,I,2026-02-28 00:20:02,,193422.949366218,451078.847882045,외국인관광 도시민박업,,,0,,,4,단독주택,0,0,1,0,PRIME STAY HONGDAE,URBAN HOMESTAY FOR FOREIGN TOURISTS,0,0,,0,0,,0,38.54,,0,,,,,,,0,,,,39,,프라임스테이홍대_서울특별시마포구연남동383-78
2290,외국인관광도시민박업,03_11_04_P,3130000,CDFI2262212026000106,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 성산동 199-25,"서울특별시 마포구 새터산5길 42, 2층 302호 (성산동)",03939,미스 미,2026-02-26 15:46:37,I,2026-02-28 00:20:02,,191546.793163141,451469.756548858,외국인관광 도시민박업,,,0,,,3,다가구용 주택(공동주택적용),0,0,1,0,Miss Me,URBAN HOMESTAY FOR FOREIGN TOURISTS,0,0,,0,0,,0,45.0,,0,,,,,,,0,,,,45,,미스미_서울특별시마포구성산동199-25
2291,외국인관광도시민박업,03_11_04_P,3130000,CDFI2262212026000107,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 합정동 433-26,"서울특별시 마포구 동교로 44-6, 지층 101호 (합정동)",04021,스테이어 합정,2026-02-26 17:50:06,I,2026-02-28 00:20:02,,191721.026265861,450025.570990991,외국인관광 도시민박업,,,0,,,6,다가구용 주택(공동주택적용),0,0,1,0,STAY:R Hapjeong,URBAN HOMESTAY FOR FOREIGN TOURISTS,0,0,,0,0,,0,36.0,,0,,,,,,,0,,,,36,,스테이어합정_서울특별시마포구합정동433-26
2292,외국인관광도시민박업,03_11_04_P,3130000,CDFI2262212026000108,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 망원동 413-50,"서울특별시 마포구 월드컵로11길 72, 4층 401호 (망원동)",04014,LUMINA,2026-02-26 17:59:12,I,2026-02-28 00:20:02,,191723.345822149,450183.80821535,외국인관광 도시민박업,,,0,,,4,다세대주택,0,0,1,0,LUMINA,URBAN HOMESTAY FOR FOREIGN TOURISTS,0,0,,0,0,,0,27.94,,0,,,,,,,0,,,,28,,LUMINA_서울특별시마포구망원동413-50
2293,외국인관광도시민박업,03_11_04_P,3030000,CDFI2262212026000018,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 도선동 185-70,서울특별시 성동구 무학로2나길 5-20 (도선동),04708,나비원,2026-02-26 14:05:18,I,2026-02-28 00:20:02,,202843.788419188,451304.865230943,외국인관광 도시민박업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,나비원_서울특별시성동구도선동185-70
2294,외국인관광도시민박업,03_11_04_P,3030000,CDFI2262212026000019,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 성수동2가 256-4,"서울특별시 성동구 뚝섬로15길 29-1, 2층 (성수동2가)",04786,오늘도 성수,2026-02-26 14:10:49,I,2026-02-28 00:20:02,,205398.77552913,448554.257742221,외국인관광 도시민박업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,오늘도성수_서울특별시성동구성수동2가256-4
2295,외국인관광도시민박업,03_11_04_P,5020000,CDFI2262212026000013,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경상북도 포항시 북구 장성동 1547-16,"경상북도 포항시 북구 법원로51번길 37, 303호 (장성동)",37583,제니하우스,2026-02-26 09:21:07,I,2026-02-28 00:20:02,,414447.516885066,289159.16880279,외국인관광 도시민박업,,주거지역,4,,,,,4,0,0,0,,,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,제니하우스_경상북도포항시북구장성동1547-16
2296,외국인관광도시민박업,03_11_04_P,3240000,CDFI2262212026000010,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 천호동 141-9 크리스탈 하우스,"서울특별시 강동구 천중로32길 13-10, 3층 301호 (천호동, 크리스탈 하우스)",05331,수 스테이,2026-02-26 11:45:39,I,2026-02-28 00:20:02,,211910.868666428,448794.192883004,외국인관광 도시민박업,,,0,,,,,0,0,2,55,SUU STAY,Urban Homestay For Foreign Tourist,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,수스테이_서울특별시강동구천호동141-9크리스탈하우스
2297,외국인관광도시민박업,03_11_04_P,3240000,CDFI2262212026000011,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 천호동 141-9 크리스탈 하우스,"서울특별시 강동구 천중로32길 13-10, 3층 302호 (천호동, 크리스탈 하우스)",05331,휴 스테이,2026-02-26 11:40:13,I,2026-02-28 00:20:02,,211910.868666428,448794.192883004,외국인관광 도시민박업,,,0,,,,,0,0,0,0,HUE STAY,Urban Homestay For Foreign Tourist,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,휴스테이_서울특별시강동구천호동141-9크리스탈하우스
2298,외국인관광도시민박업,03_11_04_P,3240000,CDFI2262212026000012,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 둔촌동 98-51,"서울특별시 강동구 진황도로61길 28-14, 지하층 B02호 (둔촌동)",05369,가온휴,2026-02-26 11:44:16,I,2026-02-28 00:20:02,,212708.739709817,447336.321760028,외국인관광 도시민박업,,,0,,,,,0,0,0,0,Gaon-Hue,Urban Homestay For Foreign Tourist,0,0,,0,0,,0,0.0,,0,,,,,,,0,,,,0,,가온휴_서울특별시강동구둔촌동98-51
2299,외국인관광도시민박업,03_11_04_P,3410000,CDFI2262212026000008,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,대구광역시 중구 삼덕동3가 132-10,"대구광역시 중구 동덕로30길 104-4, 2층 (삼덕동3가)",41946,스테이온담,2026-02-26 14:43:22,I,2026-02-28 00:20:02,,345273.438302237,264069.267610747,외국인관광 도시민박업,,일반주거지역,0,,,,단독주택,2,0,0,0,,,0,0,,0,0,,0,53.06,,0,,,,,,,15000000,,,,53,,스테이온담_대구광역시중구삼덕동3가132-10
2304,외국인관광도시민박업,03_11_04_P,3000000,CDFI2262212026000019,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 동숭동 201-37,"서울특별시 종로구 낙산3길 24, 201호 (동숭동)",03088,영스테이,2026-02-26 14:12:37,I,2026-02-28 00:20:02,,200480.725328837,453034.022539658,외국인관광 도시민박업,,,4,,,,다가구용 주택(공동주택적용),3,1,0,0,,,0,0,,0,0,,0,27.0,,0,,,,,,,0,,,,27,,영스테이_서울특별시종로구동숭동201-37
2300,외국인관광도시민박업,03_11_04_P,3510500,CDFI2262212026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,인천광역시 미추홀구 문학동 0,"인천광역시 미추홀구 소성로294번길 41, 더리치타운2차 202호 (문학동)",22237,리치휴먼스테이,2026-02-26 17:58:10,I,2026-02-28 00:20:02,,171606.509607972,437178.133367537,외국인관광 도시민박업,,일반주거지역,0,,,,연립주택,2,0,0,0,,,0,0,,0,0,,0,84.74,,0,,,,,,,20000000,,,,85,,리치휴먼스테이_인천광역시미추홀구문학동0
2306,외국인관광도시민박업,03_11_04_P,3380000,CDFI2262212026000037,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,부산광역시 수영구 광안동 187-5,"부산광역시 수영구 남천바다로9번길 27, 202호 (광안동)",48301,모티프룸,2026-02-26 18:25:59,I,2026-02-28 00:20:02,,392398.69387449,185588.592017034,외국인관광 도시민박업,,일반주거지역,0,,,,,2,0,0,0,,,0,0,,0,0,,0,33.96,,0,,,,,,,0,,,,34,,모티프룸_부산광역시수영구광안동187-5
