"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","6530000","201964200001000002","2019-12-23","","01","영업/정상","BBBB","","","","","","0335923121","","","강원특별자치도 정선군 사북읍 사북리 305번지 16호 정선군립병원","강원특별자치도 정선군 사북읍 지장천로 727-0, 정선군립병원층 (정선군립병원)","","재단법인 정선의료재단","2026-02-02 00:00:00","U","2026-02-04 02:40:00","재단법인","362023.877879962","415331.483541067","","0","0","30","0","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","6300000","200763000001000006","2007-12-27","","01","영업/정상","BBBB","","","","","","0425280001","","","대전광역시 서구 갈마동  393번지 1호","대전광역시 서구 신갈마로 126 (갈마동)","","의료법인 지덕사의료재단","2026-02-02 00:00:00","U","2026-02-04 02:40:00","의료법인","233036.583159842","316043.718041984","","0","0","182","0","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","6470000","199664700001000001","1996-04-16","","01","영업/정상","BBBB","","","","","","","","","경상북도 김천시 신음동  462-14","","","의료법인 덕산의료재단","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","","","","0","0","0","0","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","5590000","PHMA420165590021021400001","2016-07-08","","01","영업/정상","10","변경","","","","","","","","","경기도 양주시 광적면 부흥로 955-13","11416","의료법인 예안의료재단","2026-01-30 14:17:15","U","2026-02-04 11:04:37","","199535.390364823","478639.253057701","","0","0","0","0","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","6480000","200064800001000003","2000-12-30","","01","영업/정상","BBBB","","","","","","0552430100","","","5번지","","","의료법인 합포의료재단","2026-01-29 00:00:00","U","2026-02-04 11:04:37","의료법인","","","","0","0","201","0","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","6290000","201462900001000002","2014-04-02","","01","영업/정상","BBBB","","","","","","0626111600","","","광주광역시 광산구 쌍암동  694번지 63호 쌍암동첨단프라자","광주광역시 광산구 월계로 217-0, 쌍암동첨단프라자층 (쌍암동,쌍암동첨단프라자)","","의료법인금성의료재단","2026-02-04 00:00:00","U","2026-02-06 02:40:00","의료법인","186207.239105514","190507.986787863","","0","0","454","0","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","6280000","200162800001000001","2001-02-22","","01","영업/정상","BBBB","","","","","","0325539991","","","인천광역시 계양구 효성동  506-19,20,21","","","의료법인 순의료재단","2026-02-04 00:00:00","U","2026-02-06 02:40:00","의료법인","","","","0","0","0","0","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","6430000","200264300001000002","2002-07-23","","01","영업/정상","BBBB","","","","","","","","","충청북도 청주시 흥덕구 복대동  850번지 3호","충청북도 청주시 흥덕구 사직대로 26-0 (복대동)","","의료법인 송암의료재단","2026-02-04 00:00:00","U","2026-02-06 02:40:00","의료법인","240195.771889531","348187.374035495","","0","0","133","0","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","6460000","201664600001000004","2016-07-11","","01","영업/정상","BBBB","","","","","","","","","전라남도 장흥군 장흥읍 건산리 371번지 5호","전라남도 장흥군 장흥읍 흥성로 74","","의료법인 우범의료재단","2026-02-03 00:00:00","U","2026-02-06 02:40:00","의료법인","191763.074145504","130964.055189172","","0","0","200","0","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","5690000","PHMA420105690045021400001","2010-10-21","","01","영업/정상","10","변경","","","","","","","","세종특별자치시 연서면 기룡리 39 은혜병원","세종특별자치시 연서면 효교로 135-16, 은혜병원","30045","의료법인 은혜의료재단","2026-02-04 17:58:24","U","2026-02-06 02:40:00","","221205.013428916","341288.757113692","","0","0","0","0","","","","","","0","0","","","0","",
"11","의료법인","01_01_08_P","6540000","199964500001000101","1999-10-26","","01","영업/정상","BBBB","","","","","","","","","전북특별자치도 남원시 사매면 관풍리 665번지 1호","전북특별자치도 남원시 사매면 춘향로 822-129","","의료법인 성일의료재단","2026-02-04 00:00:00","U","2026-02-06 02:40:00","의료법인","233429.820415322","219651.825040206","","0","0","0","0","","","","","","0","0","","","0","",
"12","의료법인","01_01_08_P","3830000","PHMA419983830076021400002","1998-06-18","","01","영업/정상","10","변경","","","","","449-0001","","430-819","경기도 안양시 만안구 안양5동 380번지 10호","경기도 안양시 만안구 관악대로 10 (안양동)","","원천의료재단","2026-02-03 14:10:04","U","2026-02-07 02:40:00","","","","","0","0","0","0","","","","","","0","0","","","0","",
"13","의료법인","01_01_08_P","6530000","200564200001000001","2005-11-04","","01","영업/정상","BBBB","","","","","","0332625002","","","강원특별자치도 홍천군 북방면 본궁리 94번지","강원특별자치도 홍천군 북방면 팔봉산로 2420-58","","의료법인 연호의료재단","2026-02-05 00:00:00","U","2026-02-07 02:40:00","의료법인","271723.032524382","470277.602750368","","0","0","185","0","","","","","","0","0","","","0","",
"14","의료법인","01_01_08_P","6260000","200762600001000009","2007-08-01","","01","영업/정상","BBBB","","","","","","0513107738","","","부산광역시 사상구 학장동  62번지 2호 부산시립정신병원","부산광역시 사상구 학감대로39번길 104-36, 부산시립정신병원층 (학장동,부산시립정신병원)","","의료법인 경산의료재단","2026-02-05 00:00:00","U","2026-02-07 02:40:00","의료법인","381764.732610877","183335.307173343","","0","0","0","0","","","","","","0","0","","","0","",
"15","의료법인","01_01_08_P","6310000","201263100001000003","2012-10-29","","01","영업/정상","BBBB","","","","","","0527008275","","","울산광역시 중구 복산동  63번지 1호","울산광역시 중구 도화골14길 3 (복산동)","","의료법인 주보배의료재단","2026-02-05 00:00:00","U","2026-02-07 02:40:00","의료법인","411455.646411856","231745.29669855","","0","0","136","0","","","","","","0","0","","","0","",
"16","의료법인","01_01_08_P","6310000","201363100001000001","2013-06-27","","01","영업/정상","BBBB","","","","","","0557801000","","","156번지 2호","울산광역시 울주군 삼남면 하방로 39","","의료법인 이손의료재단","2026-02-05 00:00:00","U","2026-02-07 02:40:00","의료법인","389600.302651886","224965.402780313","","0","0","351","0","","","","","","0","0","","","0","",
"17","의료법인","01_01_08_P","4060000","PHMA420074060023021400001","2007-01-15","","01","영업/정상","10","변경","","","","","","","413-841","경기도 파주시 탄현면 갈현리 290번지","경기도 파주시 탄현면 평화로574번길 17","","의료법인청학의료재단","2026-02-06 14:36:10","U","2026-02-08 02:40:00","","175349.870472825","474640.294229502","","0","0","0","0","","","","","","0","0","","","0","",
"18","의료법인","01_01_08_P","3920000","PHMA419663920017021400001","1966-04-27","","01","영업/정상","10","변경","","","","","031-865-2380","","","경기도 동두천시 생연동 611-29","경기도 동두천시 중앙로 309, 서울의원 (생연동)","11326","재단법인 서울병원유지재단","2026-02-06 15:45:17","U","2026-02-08 02:40:00","","204722.940809595","489602.842684071","","0","0","0","0","","","","","","0","0","","","0","",
"19","의료법인","01_01_08_P","6480000","201664800001000003","2016-05-26","","01","영업/정상","BBBB","","","","","","0558048000","","","경상남도 고성군 고성읍 율대리 743번지","경상남도 고성군 고성읍 남해안대로 2514","","의료법인 수영의료재단","2026-02-06 00:00:00","U","2026-02-08 02:40:00","의료법인","321917.897868596","164063.984840526","","0","0","190","0","","","","","","0","0","","","0","",
"20","의료법인","01_01_08_P","4090000","PHMA420124090023021400001","2012-05-22","","01","영업/정상","10","변경","","","","","031-999-1926","","","","경기도 김포시 감암로 11 (걸포동)","415-020","의료법인 우리 의료재단","2026-02-06 16:46:39","U","2026-02-08 02:40:00","","174399.775786821","458900.137458176","","0","0","0","0","","","","","","0","0","","","0","",
"21","의료법인","01_01_08_P","5530000","PHMA420115530021021400001","2011-01-10","","01","영업/정상","10","변경","","","","","","","","경기도 화성시 만세구 마도면 두곡리 418번지 2호","경기도 화성시 만세구 마도면 화성로 848-16","18537","의료법인 정도의료재단","2026-02-06 17:13:26","U","2026-02-08 02:40:00","","180603.130562148","411414.554343326","","0","0","0","0","","","","","","0","0","","","0","",
