번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,침대수,다중이용업소여부,Unnamed: 44,record_key
836,미용업,05_18_01_P,4671000,4671000-215-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,27.41,,전북특별자치도 군산시 조촌동 2-62,"전북특별자치도 군산시 궁포안1길 33, 1동 1층 104호 (조촌동)",54072.0,모드네일,2026-03-05 15:26:00,I,2026-03-07 00:20:02,네일아트업,176849.307996938,275130.072391929,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,모드네일_전북특별자치도군산시조촌동2-62
863,미용업,05_18_01_P,3660000,3660000-211-2026-00020,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,302-859,대전광역시 서구 탄방동 707 나비家 아르누보팰리스,"대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 1층 116,117,118호 (탄방동)",35260.0,미미무드 헤어,2026-03-05 11:24:56,I,2026-03-07 00:20:02,일반미용업,234687.414670866,316466.718230761,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,미미무드헤어_대전광역시서구탄방동707나비家아르누보팰리스
791,미용업,05_18_01_P,6510000,6510000-215-2026-00006,2026-03-05,,1,영업/정상,1,영업,,,,,,32.97,690-844,제주특별자치도 제주시 이도이동 1776-3 메카플러스,"제주특별자치도 제주시 서광로 288, 메카플러스 1층 103호 (이도이동)",63207.0,네일뮤드,2026-03-05 13:28:34,I,2026-03-07 00:20:02,네일아트업,156002.397150283,507.531054829429,네일미용업,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,네일뮤드_제주특별자치도제주시이도이동1776-3메카플러스
792,미용업,05_18_01_P,3210000,3210000-212-2026-00007,2026-03-05,,1,영업/정상,1,영업,,,,,,99.07,137-828,서울특별시 서초구 방배동 750-8 스튜디오빌,"서울특별시 서초구 동광로19길 142, 스튜디오빌 2층 201호 (방배동)",6552.0,스파 수이(spa sui),2026-03-05 12:06:38,I,2026-03-07 00:20:02,피부미용업,198676.307667097,443999.466554213,피부미용업,2.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,3.0,N,,스파수이(spasui)_서울특별시서초구방배동750-8스튜디오빌
793,미용업,05_18_01_P,3620000,3620000-211-2026-00010,2026-03-05,,1,영업/정상,1,영업,,,,,,41.58,500-842,광주광역시 북구 용봉동 1205-1 용봉4차 유창파크맨션 지하1층 1동 상가4호,"광주광역시 북구 용주로30번길 100, 1동 지하1층 상가4호 (용봉동, 용봉4차 유창파크맨션)",61179.0,REV(레브헤어),2026-03-05 14:02:23,I,2026-03-07 00:20:02,일반미용업,191264.556796492,187001.120411341,일반미용업,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,,,,0.0,0.0,0.0,N,,REV(레브헤어)_광주광역시북구용봉동1205-1용봉4차유창파크맨션지하1층1동상가4호
794,미용업,05_18_01_P,5380000,5380000-212-2026-00010,2026-03-05,,1,영업/정상,1,영업,,,,,,66.0,626-811,경상남도 양산시 물금읍 가촌리 1257-17,"경상남도 양산시 물금읍 백호2길 32-18, 1층 일부호",50613.0,잉크(INQUE),2026-03-05 16:33:40,I,2026-03-07 00:20:02,피부미용업,381472.514978427,204034.507304294,피부미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,N,,잉크(INQUE)_경상남도양산시물금읍가촌리1257-17
843,미용업,05_18_01_P,4070000,4070000-215-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,23.0,467-804,경기도 이천시 창전동 149-3,"경기도 이천시 서희로72번길 32, 1층 (창전동)",17364.0,네일스튜디오 팟,2026-03-05 11:14:04,I,2026-03-07 00:20:02,네일아트업,239387.715119037,420050.466191451,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,네일스튜디오팟_경기도이천시창전동149-3
795,미용업,05_18_01_P,5680000,5680000-211-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,,66.0,343-925,충청남도 당진시 읍내동 1039 인스빌,"충청남도 당진시 무수동7길 127, 인스빌 1층 102호 (읍내동)",31772.0,메리앤헤어,2026-03-05 15:13:42,I,2026-03-07 00:20:02,일반미용업,167834.502419257,376838.498427182,일반미용업,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,메리앤헤어_충청남도당진시읍내동1039인스빌
864,미용업,05_18_01_P,3660000,3660000-215-2026-00009,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,302-809,대전광역시 서구 갈마동 313-12,"대전광역시 서구 계룡로394번길 50, 1층 107호 (갈마동)",35270.0,아웬 네일,2026-03-05 11:10:19,I,2026-03-07 00:20:02,네일아트업,233111.770729179,316652.014602278,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,아웬네일_대전광역시서구갈마동313-12
841,미용업,05_18_01_P,3740000,5610000-219-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,19.84,443-814,경기도 수원시 영통구 영통동 1012-1 영통역 아이파크,"경기도 수원시 영통구 반달로35번길 30, 영통역 아이파크 1층 140호 (영통동)",16705.0,우닝브로우,2026-03-05 14:54:15,I,2026-03-07 00:20:02,메이크업업,206801.855826737,416659.168174474,화장ㆍ분장 미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,N,,우닝브로우_경기도수원시영통구영통동1012-1영통역아이파크
