번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,Unnamed: 51,record_key
12,환경전문공사업,09_30_16_P,6410000,641000009202600039,2026-03-05,,1,영업/정상,N,신규,,,,,,,,경기도 시흥시 정왕동 1733-5 로얄퍼스트빌 305호,"경기도 시흥시 옥구공원로 189, 로얄퍼스트빌 305호 (정왕동)",,(주)가나이엔텍,2026-03-05 16:09:41,I,2026-03-07 00:20:02,,,,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)가나이엔텍_경기도시흥시정왕동1733-5로얄퍼스트빌305호
13,환경전문공사업,09_30_16_P,6260000,626000009200600041,2026-03-05,,1,영업/정상,N,신규,,,,,,,607-816,부산광역시 동래구 사직3동   129번지 14호,부산광역시 동래구 여고로 61 (사직동),607-818,(주)한서엔텍,2026-03-05 17:36:10,U,2026-03-07 02:40:00,,388502.134514259,190530.121156756,0,환경전문공사업,0,,,,,,,,,,,,48330.0,4833031000.0,0.0,4814080.0,,0.0,60.0,9.0,626821.0,,(주)한서엔텍_부산광역시동래구사직3동129번지14호
15,환경전문공사업,09_30_16_P,6410000,641000009202500232,2026-03-05,,1,영업/정상,N,신규,,,,,,,16897,경기도 용인시 기흥구 보정동 1261-3 한솔프라자 406-3호,"경기도 용인시 기흥구 죽전로 6, 한솔프라자 406-3호 (보정동)",16897,신동아건설(주),2026-03-05 15:30:30,U,2026-03-07 02:40:00,,209626.011405066,424252.394386038,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,신동아건설(주)_경기도용인시기흥구보정동1261-3한솔프라자406-3호
10,환경전문공사업,09_30_16_P,6410000,641000009202600038,2026-03-04,,1,영업/정상,N,신규,,,,,,,15012,경기도 시흥시 배곧동 291-5 건영테크노밸리,"경기도 시흥시 서울대학로 59-49, 건영테크노밸리 3층 313호(배곧동)",15012,(주)이앤와이,2026-03-04 17:56:59,I,2026-03-06 00:20:02,,174108.305359555,428670.41224638,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)이앤와이_경기도시흥시배곧동291-5건영테크노밸리
11,환경전문공사업,09_30_16_P,6280000,628000009201900006,2026-03-04,,1,영업/정상,N,신규,,,,,,,22530,인천광역시 동구 송현동 129번지 인천산업용품유통단지 A동 203호,"인천광역시 동구 방축로37번길 30, 인천산업용품유통단지 A동 203호(송현동)",22530,하나산업,2026-03-04 13:48:54,U,2026-03-06 02:40:00,,169226.889631696,442817.65455975,0,환경전문공사업,0,,2814010300.0,22530.0,0.0,129.0,0.0,,,인천산업용품유통단지,A,203.0,28140.0,2814010300.0,1.0,4250066.0,인천산업용품유통단지,0.0,30.0,0.0,22530.0,,하나산업_인천광역시동구송현동129번지인천산업용품유통단지A동203호
1,환경전문공사업,09_30_16_P,6470000,647000009202600005,2026-03-03,,1,영업/정상,N,신규,,,,,,,,,경북 경주시 동천로 56번길 2 3층,,(주)마린이앤씨,2026-03-03 15:35:10,I,2026-03-05 00:20:02,,,,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)마린이앤씨_
2,환경전문공사업,09_30_16_P,6410000,641000009202600036,2026-03-03,,1,영업/정상,N,신규,,,,,,,,경기도 안양시 동안구 관양동 810번지 금강펜테리움IT타워 B동 1415호,"경기도 안양시 동안구 학의로 282, 금강펜테리움IT타워 B동 1415호 (관양동)",,(주)이엠이앤씨,2026-03-03 14:32:31,I,2026-03-05 00:20:02,,,,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)이엠이앤씨_경기도안양시동안구관양동810번지금강펜테리움IT타워B동1415호
3,환경전문공사업,09_30_16_P,6410000,641000009202600037,2026-03-03,,1,영업/정상,N,신규,,,,,,,,경기도 시흥시 정왕동 2095-4 (주)청록환경엔지니어링,"경기도 시흥시 공단2대로 239, (주)청록환경엔지니어링 (정왕동)",,(주)청록환경엔지니어링,2026-03-03 14:33:24,I,2026-03-05 00:20:02,,,,0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)청록환경엔지니어링_경기도시흥시정왕동2095-4(주)청록환경엔지니어링
4,환경전문공사업,09_30_16_P,6440000,644000009200700017,2026-03-03,,1,영업/정상,N,신규,,,,,,,320-030,충청남도 논산시 내동   363번지 7호,충청남도 논산시 시민로 227 (내동),320-030,좋은환경(주) - 수질,2026-03-03 14:44:34,U,2026-03-05 02:40:00,,208585.23273558,298503.125875793,0,환경전문공사업,64,,,,,,,,,,,,,,,,,,,,,,좋은환경(주)-수질_충청남도논산시내동363번지7호
7,환경전문공사업,09_30_16_P,6440000,644000009202400004,2026-03-03,,1,영업/정상,N,신규,,,,,,,32533,충청남도 공주시 우성면 보흥리 907번지,충청남도 공주시 우성면 보흥1길 116-28,32533,(주)자연과환경,2026-03-03 14:58:46,U,2026-03-05 02:40:00,,203994.55338208,327346.866892587,0,환경전문공사업,0,,1171010500.0,5680.0,0.0,235.0,18.0,,,,,,11710.0,1171010500.0,1.0,4169186.0,,0.0,12.0,0.0,5680.0,,(주)자연과환경_충청남도공주시우성면보흥리907번지
