"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"1","약국","01_01_06_P","5380000","PHMD120265380361084000001","2026-03-03","","01","영업/정상","13","영업중","","","","","055-912-7900","","","경상남도 양산시 명동 774-1","경상남도 양산시 서창로 59-1, 1층 (명동)","50536","열린성모약국","2026-03-03 11:14:21","I","2026-03-05 00:20:02","","396533.104913864","214067.986051262","178.15","20260303",
"2","약국","01_01_06_P","3010000","PHMD120263010033084000012","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로2가 66-20","서울특별시 중구 명동8길 41, 1층 (충무로2가)","04536","명동중앙로 퓨어약국","2026-03-03 16:30:29","I","2026-03-05 00:20:02","","198610.045106415","451070.446041123","60","20260303",
"3","약국","01_01_06_P","3060000","PHMD120263060034084000003","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 126-8","서울특별시 중랑구 면목로 417, 새마을금고 1층 102호 (면목동)","02146","프라임약국","2026-03-03 10:49:43","I","2026-03-05 00:20:02","","207618.310653511","454106.058096969","36","20260303",
"4","약국","01_01_06_P","5590000","PHMD120265590021084000002","2026-03-03","","01","영업/정상","13","영업중","","","","","031-877-1226","","","경기도 양주시 장흥면 일영리 135-6","경기도 양주시 장흥면 권율로 10, 1층","11520","나은약국","2026-03-03 11:58:11","I","2026-03-05 00:20:02","","194792.910153108","468340.656275985","37.05","20260303",
"5","약국","01_01_06_P","3010000","PHMD120263010033084000011","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 을지로6가 18-95","서울특별시 중구 장충단로13길 7, 1~2층 (을지로6가)","04564","디디피약국","2026-03-03 13:41:34","I","2026-03-05 00:20:02","","200653.453828451","451718.128484063","173","20260303",
"6","약국","01_01_06_P","3090000","PHMD120263090033084000001","2026-03-03","","01","영업/정상","13","영업중","","","","","02-3492-2828","","","서울특별시 도봉구 방학동 670-2","서울특별시 도봉구 방학로 169, 1층 (방학동)","01384","사랑약국","2026-03-03 10:07:25","I","2026-03-05 00:20:02","","202878.778399507","462193.498927906","33.5","20260303",
"7","약국","01_01_06_P","4050000","PHMD120264050149084000003","2026-03-03","","01","영업/정상","13","영업중","","","","","031-8404-6300","","","경기도 용인시 수지구 성복동 33-1 수지 골드프라자1","경기도 용인시 수지구 성복2로 17, 수지 골드프라자1 119-1호 (성복동)","16860","우리동네 3층약국","2026-03-03 10:54:30","I","2026-03-05 00:20:02","","207127.809553669","423202.488409925","46.62","20260303",
"8","약국","01_01_06_P","4490000","PHMD120264490261084000004","2026-03-03","","01","영업/정상","13","영업중","","","","","041-906-7606","","","충청남도 천안시 서북구 성성동 673","충청남도 천안시 서북구 성성8로 2-44, 바루나타워 102호 (성성동)","31078","성성노블약국","2026-03-03 09:41:26","I","2026-03-05 00:20:02","","211412.589500138","370953.275330079","48.15","20260303",
"9","약국","01_01_06_P","3050000","PHMD120263050034084000006","2026-03-03","","01","영업/정상","13","영업중","","","","","02-960-3492","","","서울특별시 동대문구 이문동 149-8 1층 이문아이파크자이상가동 C103호","서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 1층 C103호 (이문동)","02418","외대경희약국","2026-03-03 16:40:01","I","2026-03-05 00:20:02","","205541.211931615","455132.605075423","43.66","20260303",
"10","약국","01_01_06_P","3410000","PHMD120183410023084000002","2018-01-29","","03","폐업","03","폐업","2026-03-01","","","","0532578817","","","대구광역시 중구 봉산동 195번지 12호","대구광역시 중구 이천로 234-1 (봉산동)","41949","튼튼약국","2026-03-03 09:38:16","U","2026-03-05 02:40:00","","344389.988387109","263607.811717229","51.24","20180129",
