번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,record_key
2500,대기오염물질배출시설설치사업장,09_30_08_P,3360000,336000021202600001,2026-02-26,,1,영업/정상,11,영업,,,,,07077105660,,,부산광역시 강서구 송정동 1571-14,부산광역시 강서구 녹산산단261로23번길 20 (송정동),46753,지엠스페셜코팅서비스,2026-02-26 17:17:54,I,2026-02-28 00:20:02,도장 및 기타 피막처리업,368092.706393236,178458.755327244,대기배출업소관리,도장 및 기타 피막처리업,4종,,,0.0,8.0,260.0,5740702037.0,,지엠스페셜코팅서비스_부산광역시강서구송정동1571-14
2503,대기오염물질배출시설설치사업장,09_30_08_P,6300000,630000001202600004,2026-02-26,,1,영업/정상,1,영업,,,,,0427163080,,,대전광역시 유성구 신동 661-7,대전광역시 유성구 국제과학7로 17 (신동),34000,주식회사 켐이,2026-02-26 19:11:38,I,2026-02-28 00:20:02,,,,대기배출업소관리,그외 기타 분류안된 화학제품 제조업,5종,,0.0,0.0,0.0,0.0,3218501562.0,,주식회사켐이_대전광역시유성구신동661-7
2502,대기오염물질배출시설설치사업장,09_30_08_P,3990000,399000021202600005,2026-02-26,,1,영업/정상,11,영업,,,,,0315712202,,,경기도 남양주시 오남읍 양지리 796-2,,,도은,2026-02-26 13:21:42,I,2026-02-28 00:20:02,도장및기타피막처리업,216405.994224328,466297.005048264,대기배출업소관리,도장및기타피막처리업,5종,,7.0,300.0,7.0,300.0,2103637613.0,,도은_경기도남양주시오남읍양지리796-2
2505,대기오염물질배출시설설치사업장,09_30_08_P,3730000,373000021202600002,2026-02-26,,1,영업/정상,11,영업,,,,,0522208900,,,울산광역시 울주군 삼남읍 방기리 394-2,울산광역시 울주군 삼남읍 방기로 39,44955,세계식품(주),2026-02-26 21:41:17,I,2026-02-28 00:20:02,,388965.017620225,224696.527727295,대기배출업소관리,,4종,,,0.0,,245.0,6028118533.0,,세계식품(주)_울산광역시울주군삼남읍방기리394-2
2498,대기오염물질배출시설설치사업장,09_30_08_P,5530000,553000021202500144,2026-02-26,,1,영업/정상,11,영업,,,,,02-621-0803,,,"경기도 화성시 만세구 장안면 금의리 609-9 , -7, -3",경기도 화성시 만세구 장안면 금의솔안길 73-59,18580,(주)뽀득,2026-02-26 18:55:57,I,2026-02-28 00:20:02,,,,대기배출업소관리,,,,,0.0,,0.0,,,"(주)뽀득_경기도화성시만세구장안면금의리609-9,-7,-3"
2532,대기오염물질배출시설설치사업장,09_30_08_P,5360000,536000021202600003,2026-02-26,,1,영업/정상,11,영업,,,,,,,,경상남도 밀양시 초동면 명성리 1457-6,경상남도 밀양시 초동면 명성로 616,50455,(주)제이제이환경,2026-02-26 15:26:27,U,2026-02-28 02:40:00,폐기물 처리업,350157.23595526,215060.46262934,대기배출업소관리,폐기물 처리업,4종,,,300.0,,300.0,3378600866.0,,(주)제이제이환경_경상남도밀양시초동면명성리1457-6
2501,대기오염물질배출시설설치사업장,09_30_08_P,3490000,349000021202600003,2026-02-26,,1,영업/정상,11,영업,,,,,032-832-6979,,,인천광역시 중구 신흥동3가 43-36,,,한국디젤서비스,2026-02-26 14:54:48,I,2026-02-28 00:20:02,,166930.615807588,438124.950830949,대기배출업소관리,,5종,,8.0,24.0,8.0,24.0,1310291643.0,,한국디젤서비스_인천광역시중구신흥동3가43-36
2504,대기오염물질배출시설설치사업장,09_30_08_P,4080000,408000021202600005,2026-02-25,,1,영업/정상,11,영업,,,,,0316761896,,,경기도 안성시 대덕면 소내리 121-5,경기도 안성시 대덕면 쇠금장길 41,17542,(주)유니테크,2026-02-26 14:20:24,I,2026-02-28 00:20:02,그 외 자동차용 신품 부품 제조업,220395.51489167,392825.214938487,대기배출업소관리,그 외 자동차용 신품 부품 제조업,5종,중장비용 O-Ring,16.0,300.0,16.0,300.0,1338131587.0,,(주)유니테크_경기도안성시대덕면소내리121-5
2415,대기오염물질배출시설설치사업장,09_30_08_P,4450000,445000021202600002,2026-02-25,,1,영업/정상,11,영업,,,,,,,,충청북도 진천군 광혜원면 죽현리 148-2 (주)디아이디,충청북도 진천군 광혜원면 죽현길 33 (주)디아이디,27809,(주)케이에스더블유 디아이디벽지지점,2026-02-25 13:13:48,I,2026-02-27 00:20:02,벽지 및 장판지 제조업,237643.970030582,382797.240258938,대기배출업소관리,벽지 및 장판지 제조업,4종,,12.0,300.0,12.0,300.0,5178502954.0,,(주)케이에스더블유디아이디벽지지점_충청북도진천군광혜원면죽현리148-2(주)디아이디
2416,대기오염물질배출시설설치사업장,09_30_08_P,3220000,322000021202600003,2026-02-25,,1,영업/정상,11,영업,,,,,,,,서울특별시 강남구 역삼동 832-2,서울특별시 강남구 강남대로 330 (역삼동),06252,더강남832피에프브이(주),2026-02-25 10:16:34,I,2026-02-27 00:20:02,부동산업,202641.61,443388.09,대기배출업소관리,부동산업,4종,,,0.0,,365.0,1748601814.0,,더강남832피에프브이(주)_서울특별시강남구역삼동832-2
2417,대기오염물질배출시설설치사업장,09_30_08_P,4520000,452000021202600003,2026-02-25,,1,영업/정상,11,영업,,,,,0415321541,,,충청남도 아산시 염치읍 강청리 240,충청남도 아산시 염치읍 강청리길 51-25,31440,(주)엠케이텍,2026-02-25 09:47:49,I,2026-02-27 00:20:02,그 외 자동차용 신품 부품 제조업,194005.663813643,369564.826117471,대기배출업소관리,그 외 자동차용 신품 부품 제조업,5종,,20.0,300.0,,0.0,6078700063.0,,(주)엠케이텍_충청남도아산시염치읍강청리240
2419,대기오염물질배출시설설치사업장,09_30_08_P,4751000,475100021202600001,2026-02-25,,1,영업/정상,11,영업,,,,,063-350-2931,,,전북특별자치도 장수군 장계면 금곡리 96-1,전북특별자치도 장수군 장계면 금곡로 351,55611,장수군청(가축분뇨자원화시설),2026-02-25 18:03:46,I,2026-02-27 00:20:02,비료 및 질소화합물 제조업,251198.227942585,252191.032195405,대기배출업소관리,비료 및 질소화합물 제조업,4종,,8.0,100.0,,100.0,4068300652.0,,장수군청(가축분뇨자원화시설)_전북특별자치도장수군장계면금곡리96-1
2497,대기오염물질배출시설설치사업장,09_30_08_P,4080000,408000021202600004,2026-02-25,,1,영업/정상,11,영업,,,,,,,,경기도 안성시 대덕면 무능리 169,경기도 안성시 대덕면 무능로 164-1,17541,자운메디컬,2026-02-26 15:09:07,I,2026-02-28 00:20:02,그외 기타 플라스틱 제품 제조업,220259.179606473,394086.160837487,대기배출업소관리,그외 기타 플라스틱 제품 제조업,5종,,8.0,300.0,8.0,300.0,6284600956.0,,자운메디컬_경기도안성시대덕면무능리169
2418,대기오염물질배출시설설치사업장,09_30_08_P,4050000,563000021202600001,2026-02-24,,1,영업/정상,11,영업,,,,,,,,"경기도 용인시 기흥구 중동 1030 대우프론티어밸리 Ⅰ(501~504호,516~521호,601~602호,315호)","경기도 용인시 기흥구 동백중앙로16번길 16-25, 대우프론티어밸리 Ⅰ(501~504호,516~521호,601~602호,315호) (중동)",17015,(주)제테마,2026-02-25 14:55:02,I,2026-02-27 00:20:02,의료용품 및 기타 의약관련제품 제조업,214825.487241183,417223.951685752,대기배출업소관리,의료용품 및 기타 의약관련제품 제조업,5종,,4.0,365.0,,0.0,1358603665.0,,"(주)제테마_경기도용인시기흥구중동1030대우프론티어밸리Ⅰ(501~504호,516~521호,601~602호,315호)"
2309,대기오염물질배출시설설치사업장,09_30_08_P,4390000,439000021202600001,2026-02-24,,1,영업/정상,11,영업,,,,,043-854-6836,,,충청북도 충주시 산척면 영덕리 1641-2 (주)대현하이텍,충청북도 충주시 산척면 매지골길 18 (주)대현하이텍,27316,(주)대현하이텍 제2공장,2026-02-24 16:35:01,I,2026-02-26 00:20:08,기계장비 조립용 플라스틱제품 제조업,282478.816175372,395902.039202387,대기배출업소관리,기계장비 조립용 플라스틱제품 제조업,5종,,24.0,265.0,24.0,265.0,3038131003.0,,(주)대현하이텍제2공장_충청북도충주시산척면영덕리1641-2(주)대현하이텍
2305,대기오염물질배출시설설치사업장,09_30_08_P,3000000,300000021202600001,2026-02-24,,1,영업/정상,11,영업,,,,,,,,서울특별시 종로구 인사동 87 외 130필지,,,주식회사 공평십오십육피에프브이,2026-02-24 13:58:15,I,2026-02-26 00:20:08,부동산업,198721.636127521,452036.050252952,대기배출업소관리,부동산업,4종,,10.0,365.0,10.0,365.0,6988700958.0,,주식회사공평십오십육피에프브이_서울특별시종로구인사동87외130필지
2304,대기오염물질배출시설설치사업장,09_30_08_P,3940000,394000021202600001,2026-02-24,,1,영업/정상,11,영업,,,,,031-972-8766,,,경기도 고양시 덕양구 화전동 691-11,경기도 고양시 덕양구 항공대학로 46 (화전동),10540,(주)풍강정밀,2026-02-24 15:10:47,I,2026-02-26 00:20:08,주형 및 금형 제조업,187876.928455432,455718.166508003,대기배출업소관리,주형 및 금형 제조업,5종,,,0.0,,300.0,1288144891.0,,(주)풍강정밀_경기도고양시덕양구화전동691-11
2303,대기오염물질배출시설설치사업장,09_30_08_P,4090000,409000021202600006,2026-02-24,,1,영업/정상,11,영업,,,,,031-992-2330,,,경기도 김포시 통진읍 가현리 726-30,경기도 김포시 통진읍 대곶북로 322-7,10030,(주)윤창산업,2026-02-24 13:17:15,I,2026-02-26 00:20:08,구조용 금속 판제품 및 공작물 제조업,162594.642007866,463586.148637284,대기배출업소관리,구조용 금속 판제품 및 공작물 제조업,4종,,8.0,300.0,8.0,300.0,7238803146.0,,(주)윤창산업_경기도김포시통진읍가현리726-30
2308,대기오염물질배출시설설치사업장,09_30_08_P,5540000,554000021202600004,2026-02-24,,1,영업/정상,11,영업,,,,,,,,경기도 광주시 도척면 방도리 198-1,경기도 광주시 도척면 마도로 45-30,12818,(주)예지에프엔지,2026-02-24 15:47:52,I,2026-02-26 00:20:08,기타 인쇄업,230262.123024379,419721.587962454,대기배출업소관리,기타 인쇄업,5종,,12.0,300.0,12.0,300.0,3218800356.0,,(주)예지에프엔지_경기도광주시도척면방도리198-1
2531,대기오염물질배출시설설치사업장,09_30_08_P,5590000,559000021202600002,2026-02-23,,1,영업/정상,11,영업,,,,,031-894-7370,,,경기도 양주시 광적면 가납리 6-5,경기도 양주시 광적면 그루고개로258번길 86-10,11415,(주)비원테크,2026-02-26 13:22:34,U,2026-02-28 02:40:00,,200474.886014175,481181.865034024,대기배출업소관리,,5종,,,0.0,,0.0,6658101047.0,,(주)비원테크_경기도양주시광적면가납리6-5
2223,대기오염물질배출시설설치사업장,09_30_08_P,4181000,418100021202600001,2026-02-23,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 춘천시 칠전동 440 외,,,춘천바이오텍 주식회사,2026-02-23 18:19:00,I,2026-02-25 00:20:01,하수 처리업,260434.784742742,482757.249549406,대기배출업소관리,하수 처리업,4종,,24.0,300.0,24.0,300.0,1758103576.0,,춘천바이오텍주식회사_강원특별자치도춘천시칠전동440외
2224,대기오염물질배출시설설치사업장,09_30_08_P,5250000,525000021202500003,2026-02-23,,1,영업/정상,11,영업,,,,,,,,"경상북도 울진군 북면 나곡리 860-1 , 860-2, 864-2번지",,,(주)전국산업개발,2026-02-23 17:59:53,I,2026-02-25 00:20:01,모래 및 자갈 채취업,409870.173179405,405535.306014588,대기배출업소관리,모래 및 자갈 채취업,5종,,,0.0,,0.0,2388603324.0,,"(주)전국산업개발_경상북도울진군북면나곡리860-1,860-2,864-2번지"
2219,대기오염물질배출시설설치사업장,09_30_08_P,6280000,628000001202600003,2026-02-23,,1,영업/정상,1,영업,,,,,0327247509,,,인천광역시 부평구 청천동 427-4 펌텍코리아(주)제4공장,"인천광역시 부평구 부평북로236번길 10, 펌텍코리아(주)제4공장 (청천동)",21315,피티프라스㈜,2026-02-23 11:24:42,I,2026-02-25 00:20:01,,,,대기배출업소관리,포장용 플라스틱 성형용기 제조업,5종,,0.0,0.0,0.0,0.0,1098655320.0,,피티프라스㈜_인천광역시부평구청천동427-4펌텍코리아(주)제4공장
2221,대기오염물질배출시설설치사업장,09_30_08_P,4900000,490000021202600001,2026-02-23,,1,영업/정상,11,영업,,,,,,,,전라남도 화순군 동면 운농리 1040-2,전라남도 화순군 동면 동농공길 26-6,58143,(주)글리제,2026-02-23 10:07:57,I,2026-02-25 00:20:01,조화 및 모조장식품 제조업,202184.88296648,169232.217573842,대기배출업소관리,조화 및 모조장식품 제조업,4종,,8.0,264.0,8.0,264.0,4088606371.0,,(주)글리제_전라남도화순군동면운농리1040-2
2220,대기오염물질배출시설설치사업장,09_30_08_P,6280000,628000001202600004,2026-02-23,,1,영업/정상,1,영업,,,,,0328167742,,,인천광역시 남동구 고잔동 724-4,인천광역시 남동구 남동동로64번길 87 (고잔동),21692,(주)에이에스피,2026-02-23 13:15:48,I,2026-02-25 00:20:01,,173272.380014452,431995.089991808,대기배출업소관리,도장 및 기타 피막처리업,4종,,0.0,0.0,0.0,0.0,1318192273.0,,(주)에이에스피_인천광역시남동구고잔동724-4
2222,대기오염물질배출시설설치사업장,09_30_08_P,3560000,356000021202600002,2026-02-23,,1,영업/정상,11,영업,,,,,032-583-0022,,,인천광역시 서구 가좌동 602-51 (주)대일매스램,인천광역시 서구 중봉대로198번길 39 (주)대일매스램 2층 (가좌동),22843,(주)신성에스지,2026-02-23 15:07:11,I,2026-02-25 00:20:01,경성 인쇄회로기판 제조업,169223.02079551,443953.793165094,대기배출업소관리,경성 인쇄회로기판 제조업,5종,,,0.0,,0.0,2468100395.0,,(주)신성에스지_인천광역시서구가좌동602-51(주)대일매스램
2307,대기오염물질배출시설설치사업장,09_30_08_P,5530000,553000021202600014,2026-02-23,,1,영업/정상,11,영업,,,,,0313574966,,,경기도 화성시 만세구 마도면 백곡리 337,경기도 화성시 만세구 마도면 마도로 109-7,18544,(주)다온철강,2026-02-24 14:07:28,I,2026-02-26 00:20:08,폐기물 처리업,174828.223975695,408981.286078869,대기배출업소관리,폐기물 처리업,5종,,,0.0,,0.0,5668700646.0,,(주)다온철강_경기도화성시만세구마도면백곡리337
2306,대기오염물질배출시설설치사업장,09_30_08_P,4520000,452000021202600002,2026-02-23,,1,영업/정상,11,영업,,,,,0415446220,,,충청남도 아산시 음봉면 쌍암리 355-22,충청남도 아산시 음봉면 월암로 336-35,31414,주식회사 디자인메카,2026-02-24 14:06:29,I,2026-02-26 00:20:08,그 외 기타 금속 가공업,206955.231130969,374185.017447754,대기배출업소관리,그 외 기타 금속 가공업,5종,산업용나이프,8.0,260.0,24.0,365.0,3128138446.0,,주식회사디자인메카_충청남도아산시음봉면쌍암리355-22
