"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","3320000","PHMB320033320045062300002","2003-12-17","","01","영업/정상","13","영업중","","","","","051-332-2874","","616-816","부산광역시 북구 덕천2동 347번지 1호 3층","부산광역시 북구 만덕대로15번길 34 (덕천동, 3층)","46547","유림치과기공소","2026-02-02 11:48:53","U","2026-02-04 02:40:00","","382630.41736696","192158.553083603","1","1","7","1","1","2","2","1","2","1","1","1","1","1","1",
"2","치과기공소","01_02_04_P","3630000","PHMB320203630020062300002","2018-08-07","","03","폐업","03","폐업","2026-02-02","","","","","","","광주광역시 광산구 월계동 836-2","광주광역시 광산구 산월로9번길 45, 1층 (월계동)","62269","제이에스 치과기공소","2026-02-02 16:15:06","U","2026-02-04 02:40:00","","185199.93563254","190208.495050843","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1",
"3","치과기공소","01_02_04_P","5690000","PHMB320135690045062300002","2013-05-01","","01","영업/정상","13","영업중","","","","","044)865-2875","","339-807","세종특별자치시 조치원읍 신흥리 1번지 11호 (3층)","세종특별자치시 조치원읍 충현로 97, 3층","30029","예스치과기공소","2026-01-30 10:08:43","U","2026-02-04 11:04:37","","226359.375982421","344053.831046199","1","2","5","1","1","2","1","1","1","1","1","1","1","1","1",
"4","치과기공소","01_02_04_P","4470000","PHMB320264470017062300001","2026-02-03","","01","영업/정상","13","영업중","","","","","","","","충청북도 음성군 음성읍 읍내리 352-8 아우룸아파트","충청북도 음성군 음성읍 시장로 53, 201호 (아우룸아파트)","27702","임플랩","2026-02-03 14:05:26","I","2026-02-06 00:20:02","","261757.698166531","381439.655357963","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"5","치과기공소","01_02_04_P","3320000","PHMB320263320045062300001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 덕천동 388-1 대방아파트","부산광역시 북구 만덕대로90번길 13, 상가동 307호 (덕천동, 대방아파트)","46568","이다움치과기공소","2026-02-04 13:33:51","I","2026-02-06 00:20:02","","383443.264423517","192181.296404737","1","1","4","1","1","1","2","1","1","1","1","2","1","1","1",
"6","치과기공소","01_02_04_P","3080000","PHMB320263080033062300001","2019-03-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 수유동 50-75 수유대림쇼핑아파트","서울특별시 강북구 도봉로71가길 11, 수유대림쇼핑아파트 312, 313호 (수유동)","01114","에이랩(A-Lab) 치과기공소","2026-02-04 11:28:58","U","2026-02-06 02:40:00","","201892.114537193","458840.846634921","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"7","치과기공소","01_02_04_P","3560000","PHMB320243560021062300003","2024-03-26","","03","폐업","03","폐업","2026-02-04","","","","032-569-2821","","","인천광역시 서구 당하동 1235-2 KR법조타워","인천광역시 서구 이음4로 6, KR법조타워 6층 604호 (당하동)","22869","와이디엘(YDL)","2026-02-04 12:45:14","U","2026-02-06 02:40:00","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"8","치과기공소","01_02_04_P","3670000","PHMB320133670022062300001","2013-01-07","","01","영업/정상","13","영업중","","","","","822-3739","","","대전광역시 유성구 덕명동 511-5","대전광역시 유성구 덕명서로12번길 34, 지상 1층 (덕명동)","34152","메이저(유성)치과기공소","2026-02-03 17:09:38","U","2026-02-06 02:40:00","","228408.746749718","319252.423699038","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"9","치과기공소","01_02_04_P","3560000","PHMB320263560021062300001","2026-02-05","","01","영업/정상","13","영업중","","","","","032-569-2821","","","인천광역시 서구 당하동 1235-2 KR법조타워 604호","인천광역시 서구 이음4로 6, KR법조타워 604호 (당하동)","22869","예온덴탈랩","2026-02-05 13:18:51","I","2026-02-07 00:20:02","","","","1","1","5","0","1","1","1","1","1","1","1","3","1","1","1",
"10","치과기공소","01_02_04_P","5080000","PHMB320055080035062300001","2005-08-03","","03","폐업","03","폐업","2026-02-04","","","","054-452-7849","","","경상북도 구미시 원평동 1032-39","경상북도 구미시 금오시장로6길 9-4, 4층 (원평동)","39229","주화당치과기공소","2026-02-05 15:07:59","U","2026-02-07 02:40:00","","320738.556495378","292518.620331898","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"11","치과기공소","01_02_04_P","3170000","PHMB320253170035062300004","2025-02-24","","03","폐업","03","폐업","2026-02-04","","","","","","","서울특별시 금천구 가산동 549-1 한라 원앤원타워 B동 12층 1210호","서울특별시 금천구 가산디지털2로 101, 한라 원앤원타워 B동 12층 1210호 (가산동)","08505","Big Maker dental lab","2026-02-05 09:05:52","U","2026-02-07 02:40:00","","189282.642165078","441654.484590816","1","2","1","0","1","1","1","1","1","1","1","1","1","1","0",
"12","치과기공소","01_02_04_P","3660000","PHMB320263660023062300001","2016-07-07","","01","영업/정상","13","영업중","","","","","","","","","대전광역시 서구 탄방로7번길 103, 4층 (탄방동)","35255","즐거운치과기공소","2026-02-06 16:09:13","I","2026-02-08 00:20:01","","235440.007265163","316293.6847031","1","2","6","1","2","2","2","1","2","1","1","2","2","1","1",
"13","치과기공소","01_02_04_P","4520000","PHMB320264520031062300001","2026-02-06","","01","영업/정상","13","영업중","","","","","041-910-2996","","","충청남도 아산시 탕정면 용두리 728","충청남도 아산시 탕정면 용머리길 40, 유니콘101 513호","31457","ZND치과기공소","2026-02-06 10:48:56","I","2026-02-08 00:20:01","","204502.200831663","365981.059499878","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"14","치과기공소","01_02_04_P","3410000","PHMB320083410023062300003","2008-10-02","","01","영업/정상","13","영업중","","","","","","","700-191","대구광역시 중구 종로1가 13번지 2호 2층","대구광역시 중구 종로 58 (종로1가)","41918","해바라기치과기공소","2026-02-06 11:39:51","U","2026-02-08 02:40:00","","343633.495714204","264579.413396148","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
