"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","부속의료기관","01_01_03_P","4520000","PHMA320114520031041300001","2011-07-05","","01","영업/정상","13","영업중","","","","","041-623-9372","","","","충청남도 아산시 탕정면 탕정로 380-2","31454","삼성디스플레이(주) 아산2 부속의원","2026-04-02 23:13:34","U","2026-04-04 02:40:00","","205572.745307463","368619.108181335","부속의원","9","0","0","304.88","101 103 104 105 112 114 122","내과, 정신건강의학과, 외과, 정형외과, 안과, 피부과, 가정의학과","","","","0","0","","","0","",
"2","부속의료기관","01_01_03_P","3910000","PHMA320173910165041300001","2017-08-30","","01","영업/정상","13","영업중","","","","","031-6191-1004","","","경기도 평택시 고덕동 1697 삼성전자(주) 평택캠퍼스","경기도 평택시 삼성로 144, 삼성전자(주) 평택캠퍼스 복지동 2층 (고덕동)","17786","삼성전자(주) 평택부속의원","2026-04-02 21:43:33","U","2026-04-04 02:40:00","","204538.699823208","392857.319489022","부속의원","6","0","0","721.4","122 114 103 101","내과, 정신건강의학과, 피부과, 가정의학과","","","","0","0","","","0","",
"3","부속의료기관","01_01_03_P","3740000","PHMA320133740106041300001","2013-06-28","","01","영업/정상","13","영업중","","","","","031-200-1318","","443-742","경기도 수원시 영통구 매탄동 416번지 2,3층","경기도 수원시 영통구 삼성로 129, 2,3층 (매탄동)","16677","삼성전자수원부속의원","2026-04-02 22:13:49","U","2026-04-04 02:40:00","","204466.046131577","417102.66211722","부속의원","28","0","0","1408","101 104 105 113 122 124 103","내과, 정신건강의학과, 외과, 정형외과, 이비인후과, 가정의학과, 직업환경의학과","","","","0","0","","","0","",
"4","부속의료기관","01_01_03_P","5670000","PHMA320225670554041300001","2022-07-29","","02","휴업","02","휴업","","2026-04-04","2026-04-06","","","","","","경상남도 창원시 성산구 창원대로 1124, 지엠대우창원공장 (성주동)","51539","한국지엠 주식회사 창원공장 부속의원","2026-04-02 17:19:03","U","2026-04-04 02:40:00","","354934.615950986","189907.545549006","부속의원","3","0","0","274","101 104 105 114 124","내과, 외과, 정형외과, 피부과, 직업환경의학과","","","","0","0","","","0","",
"5","부속의료기관","01_01_03_P","3210000","PHMA320083210034041300001","2008-11-21","","01","영업/정상","13","영업중","","","","","02-772-6154","","","서울특별시 서초구 서초동 1320번지 10호 삼성전자빌딩","서울특별시 서초구 서초대로74길 11, 삼성전자빌딩 지하2,2층 (서초동)","06620","서초삼성부속의원","2026-04-03 04:43:20","U","2026-04-05 02:40:00","","202305.084677949","443831.909375165","부속의원","8","0","0","327.12","103 122","정신건강의학과, 가정의학과","","","","0","0","","","0","",
"6","부속의료기관","01_01_03_P","3210000","PHMA320153210034041300001","2015-11-06","","01","영업/정상","13","영업중","","","","","02-6147-3690","","","","서울특별시 서초구 성촌길 34, F동 지1층 (우면동, (주)삼성전자 우면R&D 쎈터)","06765","삼성전자 서울알앤디(R&D) 부속의원","2026-04-03 04:13:32","U","2026-04-05 02:40:00","","202070.429402224","440438.965829416","부속의원","8","0","0","963.95","103 122","정신건강의학과, 가정의학과","","","","0","0","","","0","",
"7","부속의료기관","01_01_03_P","3910000","PHMA320253910165041300001","2025-12-30","","01","영업/정상","13","영업중","","","","","031-6191-6278","","","경기도 평택시 고덕동 1695 삼성전자(주) 평택캠퍼스","경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 3동 6층 (고덕동)","17786","삼성전자(주)평택사무3동부속의원","2026-04-03 06:13:44","U","2026-04-05 02:40:00","","205276.542163998","392561.65560657","부속의원","2","0","0","696.4","122 101","내과, 가정의학과","","","","0","0","","","0","",
"8","부속의료기관","01_01_03_P","3780000","PHMA320183780064041300001","2018-08-13","","01","영업/정상","13","영업중","","","","","031-784-4119","","","경기도 성남시 분당구 정자동 178-4 1784","경기도 성남시 분당구 정자일로 95, 5층 일부호 (정자동)","13561","네이버부속의원","2026-04-03 02:14:13","U","2026-04-05 02:40:00","","209247.067526","428537.936079393","부속의원","10","0","0","918.02","122 120 116 115 114 113 112 111 110 101","내과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"9","부속의료기관","01_01_03_P","3000000","PHMA320213000034041300003","2021-10-01","","01","영업/정상","13","영업중","","","","","02-3671-6891~2","","","서울특별시 종로구 세종로 100 KT 광화문 빌딩 West","서울특별시 종로구 세종대로 178, KT 광화문 빌딩 West 3층 (세종로)","03154","KT광화문부속의원","2026-04-03 07:13:23","U","2026-04-05 02:40:00","","197982.889600104","452206.123138933","부속의원","2","0","0","156.43","122","가정의학과","","","","0","0","","","0","",
"10","부속의료기관","01_01_03_P","3360000","PHMA320143360024041300001","2014-08-27","","01","영업/정상","13","영업중","","","","","051979-9089","","","","부산광역시 강서구 르노삼성대로 61 (신호동)","46758","르노코리아부속의원","2026-04-03 07:13:18","U","2026-04-05 02:40:00","","371070.269343302","178844.95719133","부속의원","3","0","0","580","101 104 105","내과, 외과, 정형외과","","","","0","0","","","0","",
"11","부속의료기관","01_01_03_P","3740000","PHMA320143740106041300001","2014-04-30","","01","영업/정상","13","영업중","","","","","031-210-5874","","","경기도 수원시 영통구 매탄동 310 삼성전기","경기도 수원시 영통구 매영로 150, 삼성전기 5동 2층 (매탄동)","16674","삼성전기 부속의원","2026-04-03 02:13:45","U","2026-04-05 02:40:00","","205011.647923585","418078.816794824","부속의원","4","0","0","196.2","101 104 114 122","내과, 외과, 피부과, 가정의학과","","","","0","0","","","0","",
