"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","4170000","PHMA420064170019021400001","2006-11-15","","01","영업/정상","10","변경","","","","","031-775-1927","","","경기도 양평군 청운면 신론리 225 홍영노인전문병원","경기도 양평군 청운면 신론로 406-17, 홍영노인전문병원","12531","의료법인 홍영의료재단","2026-04-01 16:56:03","U","2026-04-03 02:40:00","","268881.646295796","450750.771782819","","0","0","0","0","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","6300000","200663000001000001","2006-01-05","","01","영업/정상","BBBB","","","","","","0422561177","","","대전광역시 중구 대흥동  49번지 0호","대전광역시 중구 대종로 400-0 (대흥동)","","의료법인 산수의료재단","2026-04-01 00:00:00","U","2026-04-03 02:40:00","의료법인","238608.785150283","313427.313933843","","0","0","384","0","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","3930000","PHMA420133930162021400001","2013-11-29","","01","영업/정상","10","변경","","","","","","","426-160","경기도 안산시 상록구 이동 345번지","경기도 안산시 상록구 광덕1로 345 (이동)","426-863","의료법인 서전의료재단","2026-04-01 13:54:21","U","2026-04-03 02:40:00","","186493.44385095","422800.614800288","","0","0","0","0","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","3780000","PHMA420043780064021400001","1980-10-27","","01","영업/정상","10","변경","","","","","781-9229","","","경기도 성남시 분당구 야탑동 360-1 시그마3","경기도 성남시 분당구 장미로 78, 시그마3 (야탑동)","13506","의료법인진성","2026-04-01 09:18:32","U","2026-04-03 02:40:00","","211400.205761988","434607.080135576","","0","0","0","0","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","4080000","PHMA420064080023021400003","2006-07-18","","01","영업/정상","13","영업중","","","","","031-677-2613","","456-892","경기도 안성시 죽산면 장능리 782번지 4호","경기도 안성시 죽산면 녹배길 139","456-892","의료법인 대한불교조계종승려복지","2026-04-01 11:38:21","U","2026-04-03 02:40:00","","234459.569363826","395980.59643171","","0","0","0","0","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","4050000","PHMA420034050147021400001","2003-06-03","","01","영업/정상","10","변경","","","","","","","449-923","경기도 용인시 처인구 고림동 787번지 1호","경기도 용인시 처인구 고림로 81 (고림동)","","의료법인 효심의료재단","2026-04-02 11:45:45","U","2026-04-04 02:40:00","","218952.275729626","415384.032916223","","0","0","0","0","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","6310000","197763100001000001","1977-01-08","","01","영업/정상","BBBB","","","","","","","","","울산광역시 중구 태화동  123번지 3호","울산광역시 중구 태화로 239 (태화동)","","의료법인 동강의료재단","2026-04-02 00:00:00","U","2026-04-04 02:40:00","의료법인","408662.026192934","230621.993376911","","0","0","842","0","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","3150000","PHMA420013150037021400001","2001-05-19","","01","영업/정상","10","변경","","","","","02-2608-8855","","157-010","서울특별시 강서구 화곡동 349번지 3호","서울특별시 강서구 강서로17길 24 (화곡동)","","(의료법인)필의료재단","2026-04-02 17:21:53","U","2026-04-04 02:40:00","","186171.569591143","447873.285103959","","0","0","0","0","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","5690000","PHMA420195690249021400001","2019-04-18","","01","영업/정상","10","변경","","","","","","","","세종특별자치시 나성동 722번지 세종시 NK리움힐 상가","세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 3~8층 (나성동)","30130","의료법인 영제의료재단 엔케이세종병원","2026-04-03 13:27:12","U","2026-04-05 02:40:00","","223430.86798229","330990.495508785","","0","0","0","0","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","6530000","201364200001000001","2013-04-26","","01","영업/정상","BBBB","","","","","","0332649885","","","강원특별자치도 춘천시 서면 당림리 167번지 1호","강원특별자치도 춘천시 서면 샛말길 122-11","","의료법인 윤영의료재단","2026-04-03 00:00:00","U","2026-04-05 02:40:00","의료법인","254245.483818577","483370.766177782","","0","0","299","0","","","","","","0","0","","","0","",
