"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"1","담배소매업","11_43_02_P","5350000","2026535037405600014","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","경상남도 김해시 외동 1226-6","경상남도 김해시 금관대로1190번길 17-15, 1층 (외동)","50956","노다지공인중개사사무소","2026-04-01 10:01:16","I","2026-04-03 00:20:02","","368769.707690073","194223.964725339","20260401","제7조의3제2항에따른경우",
"2","담배소매업","11_43_02_P","3290000","2026329018605600020","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 부산진구 개금동 796 개금 롯데캐슬","부산광역시 부산진구 개금온정로 10, 상가2동 B110호 (개금동, 개금 롯데캐슬)","47269","오마이댕댕이","2026-04-01 15:40:14","I","2026-04-03 00:20:02","","384603.385142206","185799.475455775","20260401","제7조의3제2항에따른경우",
"3","담배소매업","11_43_02_P","4010000","2026401031705600019","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","경기도 시흥시 장현동 591 장현호반써밋","경기도 시흥시 장현순환로 58, 1230동 1층 1-102,1-103호 (장현동, 장현호반써밋)","14996","씨유 장현호반써밋점","2026-04-01 16:09:56","I","2026-04-03 00:20:02","","181813.453038849","430394.245643811","20260401","제7조의3제2항에따른경우",
"4","담배소매업","11_43_02_P","4010000","2026401031705600020","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","경기도 시흥시 정왕동 2040-3","경기도 시흥시 오이도1길 38, 1층 (정왕동)","15015","세븐일레븐 오이도남길점","2026-04-01 16:10:47","I","2026-04-03 00:20:02","","172445.60960542","426606.223120748","20260401","제7조의3제2항에따른경우",
"5","담배소매업","11_43_02_P","3510500","2026351057905600016","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 미추홀구 주안동 406-2","인천광역시 미추홀구 경인로 416, 101호 (주안동)","22149","위베이프 점","2026-04-01 10:20:10","I","2026-04-03 00:20:02","","172170.706664671","439555.186284892","20260401","제7조의3제2항에따른경우",
"6","담배소매업","11_43_02_P","4830000","2026483019105600008","2026-04-02","","01","영업/정상","0","정상영업","","","","","","","","전라남도 나주시 다도면 송학리 1219-1 해피니스 컨트리클럽","전라남도 나주시 다도면 다도로 171-60, 해피니스 컨트리클럽","58233","해피니스 프로샵","2026-04-01 17:36:53","I","2026-04-03 00:20:02","","184684.184229398","166340.722764478","20260402","제7조의3제2항에따른경우",
"7","담배소매업","11_43_02_P","4181000","2026418108105600007","2026-04-01","","01","영업/정상","0","정상영업","","","","","02-535-6103","","","강원특별자치도 춘천시 동내면 사암리 산 121-1 춘천휴게소","강원특별자치도 춘천시 동내면 영서로 1432, 춘천휴게소 1층","24408","(주)비지에프휴먼넷 CU E춘천휴게소점","2026-04-01 17:29:38","I","2026-04-03 00:20:02","","267388.620999565","479155.563019943","20260401","제7조의3제2항에따른경우",
"8","담배소매업","11_43_02_P","3110000","2026311028105600014","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 은평구 응암동 770-5 드림타워 녹번역","서울특별시 은평구 은평로20나길 1, 지1층 102호 (응암동, 드림타워 녹번역)","03473","씨유 녹번본점","2026-04-01 15:28:07","I","2026-04-03 00:20:02","","","","20260401","제7조의3제2항에따른경우",
"9","담배소매업","11_43_02_P","3500000","2026350017805600006","2026-03-31","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 동구 송림동 42-35","인천광역시 동구 샛골로162번길 52 (송림동)","22545","씨유 인천두산위브점","2026-04-01 15:23:02","I","2026-04-03 00:20:02","","168766.448385631","441736.09465018","20260331","제7조의3제2항에따른경우",
"10","담배소매업","11_43_02_P","3560000","2026356028505600023","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 서구 원창동 379-1","인천광역시 서구 중봉대로393번길 16, 1층 (원창동)","22769","지에스25 인천홈씨씨몰","2026-04-01 15:20:34","I","2026-04-03 00:20:02","","168732.756201711","445970.833890771","20260401","제7조의3제2항에따른경우",
"11","담배소매업","11_43_02_P","3560000","2026356028505600024","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 서구 청라동 92-18","인천광역시 서구 경제로 70 (청라동)","22758","이마트24 청라국제도시주유소점","2026-04-01 15:30:04","I","2026-04-03 00:20:02","","166913.338709859","448258.455382902","20260401","제7조의3제2항에따른경우",
"12","담배소매업","11_43_02_P","3630000","2026363034405600023","2026-04-01","","01","영업/정상","0","정상영업","","","","","062-956-8088","","","광주광역시 광산구 신창동 782-2","광주광역시 광산구 수등로258번길 86, 1층 (신창동)","62294","풍영장","2026-04-01 14:50:27","I","2026-04-03 00:20:02","","185531.901241682","187273.40583777","20260401","제7조의3제2항에따른경우",
"13","담배소매업","11_43_02_P","3650000","2026365014705600014","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 중구 중촌동 472 중촌역푸르지오센터파크","대전광역시 중구 대전천서로 709, 상가동 101호 (중촌동, 중촌역푸르지오센터파크)","34802","이마트24대전중촌푸르지오점","2026-04-01 16:00:52","I","2026-04-03 00:20:02","","236637.950206631","316119.834512021","20260401","제7조의3제2항에따른경우",
"14","담배소매업","11_43_02_P","3170000","2026317025705600007","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 금천구 시흥동 915","서울특별시 금천구 금하로24가길 4, 1층 (시흥동)","08644","지에스(GS)25 시흥별장점","2026-04-01 16:13:42","I","2026-04-03 00:20:02","","191851.767471121","438552.144226235","20260401","제7조의3제2항에따른경우",
"15","담배소매업","11_43_02_P","3130000","2026313027805600015","2026-04-01","","01","영업/정상","0","정상영업","","","","","02-1688-9216","","","서울특별시 마포구 서교동 403-3","서울특별시 마포구 어울마당로 51-1, 1층 103호 (서교동)","04048","[유예]전담GATE 홍대상수점","2026-04-01 16:16:30","I","2026-04-03 00:20:02","","192928.722248904","449730.225257157","20260401","제7조의3제3항에따른경우",
"16","담배소매업","11_43_02_P","3130000","2026313027805600016","2026-04-01","","01","영업/정상","0","정상영업","","","","","1877-7025","","","서울특별시 마포구 서교동 395-199","서울특별시 마포구 독막로7길 57, 비동 1층 (서교동)","04043","[유예]전담플레이 홍대점","2026-04-01 16:39:12","I","2026-04-03 00:20:02","","192856.217443957","449788.14268063","20260401","제7조의3제3항에따른경우",
"17","담배소매업","11_43_02_P","3260000","2026326010805600008","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 서구 서대신동2가 570 대신 2차 푸르지오","부산광역시 서구 고운들로 181, 901동 109,110호 (서대신동2가, 대신 2차 푸르지오)","49229","지에스(GS)25 대신푸르지오2차점","2026-04-01 09:38:38","I","2026-04-03 00:20:02","","383361.798045199","180726.255054268","20260401","제7조의3제2항에따른경우",
"18","담배소매업","11_43_02_P","3130000","2026313027805600017","2026-04-01","","01","영업/정상","0","정상영업","","","","","1877-7025","","","서울특별시 마포구 서교동 494 서교동 효성 해링턴 타워","서울특별시 마포구 양화로 72, 101동 104호 (서교동, 서교동 효성 해링턴 타워)","04044","[유예]전담플레이 합정역점","2026-04-01 16:39:22","I","2026-04-03 00:20:02","","192571.398185225","449840.234160062","20260401","제7조의3제3항에따른경우",
"19","담배소매업","11_43_02_P","5230000","2026523012805600004","2026-03-31","","01","영업/정상","0","정상영업","","","","","","","","경상북도 예천군 예천읍 남본리 218-1","경상북도 예천군 예천읍 중앙로 72","36829","씨유예천남산점","2026-04-01 06:53:04","I","2026-04-03 00:20:02","","330076.085943761","351156.820691645","20260331","제7조의3제2항에따른경우",
"20","담배소매업","11_43_02_P","3640000","2026364018105600017","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 동구 가양동 146-14","대전광역시 동구 우암로 332, 1층 (가양동)","34506","씨유 대전가양하나점","2026-04-01 14:46:13","I","2026-04-03 00:20:02","","240454.18855707","316509.911090545","20260401","제7조의3제2항에따른경우",
"21","담배소매업","11_43_02_P","3940000","2026395005205600018","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","경기도 고양시 덕양구 신원동 613 신원마을엘에이치3단지","경기도 고양시 덕양구 오금로 7, 상가동 103,104,105호 (신원동, 신원마을엘에이치3단지)","10579","세븐일레븐 삼송 주공점","2026-04-01 10:08:44","I","2026-04-03 00:20:02","","190544.929330832","462400.665287831","20260401","제7조의3제2항에따른경우",
"22","담배소매업","11_43_02_P","3420000","2026342020705600023","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","대구광역시 동구 신암동 175-19","대구광역시 동구 송라로28길 31, 1층 (신암동)","41206","오케이마트 신암점","2026-04-01 18:05:27","I","2026-04-03 00:20:02","","345908.644233609","265591.916657969","20260401","제7조의3제2항에따른경우",
"23","담배소매업","11_43_02_P","3410000","2026341018205600018","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","대구광역시 중구 북성로1가 32-1","대구광역시 중구 북성로 83, 1층 (북성로1가)","41917","세븐일레븐 대구북성로점","2026-04-01 09:40:52","I","2026-04-03 00:20:02","","343650.349168519","264960.405900379","20260401","제7조의3제2항에따른경우",
"24","담배소매업","11_43_02_P","3860000","2026387100705600020","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","경기도 부천시 원미구 상동 456 일번지프라자","경기도 부천시 원미구 송내대로74번길 22, 일번지프라자 1층 117호 (상동)","14623","전담스팟 부천송내점","2026-04-01 18:17:29","I","2026-04-03 00:20:02","","178291.325661308","443100.622006149","20260401","제7조의3제2항에따른경우",
"25","담배소매업","11_43_02_P","3530000","2026353017905600018","2026-03-31","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 남동구 간석동 617-107 양곡직매장","인천광역시 남동구 석정로497번길 48, 양곡직매장 1층 (간석동)","21502","세븐일레븐 인천간석영남점","2026-04-01 08:53:18","I","2026-04-03 00:20:02","","172677.827181439","440663.581396173","20260331","제7조의3제2항에따른경우",
"26","담배소매업","11_43_02_P","4691000","2026469107605600010","2026-03-31","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 정읍시 연지동 377-1","전북특별자치도 정읍시 벚꽃로 131, 1층 (연지동)","56156","지에스(GS)25 정읍문화원점","2026-04-01 11:12:38","I","2026-04-03 00:20:02","","185180.015650436","230769.300001819","20260331","제7조의3제2항에따른경우",
