번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),사용목적,사용방법,월사용량,수용정원수,시설사용여부,Unnamed: 33,record_key
61,특정고압가스업,09_28_14_P,3680000,2026368022212200002,2026-02-26,,1,영업/정상,1,사용중,,,,,,,,대전광역시 대덕구 대화동 40-66 (주)디엔에프 대화2공장,대전광역시 대덕구 대전로1331번길 190 (주)디엔에프 대화2공장 (대화동),34365.0,(주)디엔에프,2026-02-26 13:53:10,I,2026-02-28 00:20:02,,236691.406767535,319076.388027769,전구체 성능평가,전구체 성능평가,50.0,10,,,(주)디엔에프_대전광역시대덕구대화동40-66(주)디엔에프대화2공장
60,특정고압가스업,09_28_14_P,4050000,2026562002712200003,2026-02-26,,1,영업/정상,BBBB,,,,,,,,,경기도 용인시 처인구 김량장동 254-337,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),17050.0,메디필드한강병원,2026-02-26 16:22:30,I,2026-02-28 00:20:02,,217774.903307083,414848.291964864,의료용,"옥외 액화산소 탱크는 기화기를 통해 기화시켜 감압장치에서 0.4MPa이하로 배관을 통해 공급하고, 압축산소는 용기보관실에 저장하다 각 병실의 이동용 환자 호흡용으로 사욘한다. 옥외저장탱크 사용시설이 완공되면 지하 특고사용시설은 폐쇄한다.",5000.0,300,,,메디필드한강병원_경기도용인시처인구김량장동254-337
59,특정고압가스업,09_28_14_P,3990000,2026399031612200002,2026-02-26,,1,영업/정상,BBBB,,,,,,,,,경기도 남양주시 진접읍 팔야리 738,경기도 남양주시 진접읍 금강로1845번길 9,12018.0,(주)새한텅스텐,2026-02-26 11:09:23,I,2026-02-28 00:20:02,,218285.675773041,471990.311264665,산업용,수소가스 (산업용 사용),200.0,100,,,(주)새한텅스텐_경기도남양주시진접읍팔야리738
56,특정고압가스업,09_28_14_P,5680000,2026568037312200001,2026-02-25,,1,영업/정상,BBBB,,,,,,,,,충청남도 당진시 순성면 아찬리 332-3,충청남도 당진시 순성면 순성로 740,31758.0,(주)엔아이스틸,2026-02-25 13:47:26,I,2026-02-27 00:20:02,,175873.873172943,372977.896230108,생산제품의 표면 절단용,절단용,15000.0,10,,,(주)엔아이스틸_충청남도당진시순성면아찬리332-3
55,특정고압가스업,09_28_14_P,4691000,2026469107612200001,2026-02-25,,1,영업/정상,BBBB,,,,,,,,,전북특별자치도 정읍시 신정동 1266 한국원자력연구원,"전북특별자치도 정읍시 금구길 29, 한국원자력연구원 (신정동)",56212.0,한국원자력연구원,2026-02-25 17:28:14,I,2026-02-27 00:20:02,,184764.995470446,223633.90983382,반도체 방사선 센서 제조 공정용,반도체 방사선 센서 제조 공정용,30.0,5,,,한국원자력연구원_전북특별자치도정읍시신정동1266한국원자력연구원
54,특정고압가스업,09_28_14_P,3320000,2026332014212200001,2026-02-25,,1,영업/정상,BBBB,,,,,,,,,부산광역시 북구 구포동 146-3 구포성심병원,"부산광역시 북구 낙동대로 1786, 구포성심병원 (구포동)",46581.0,구포성심병원,2026-02-25 10:43:11,I,2026-02-27 00:20:02,,382477.974687074,191891.351677837,의료용,의료용,5000.0,0,,,구포성심병원_부산광역시북구구포동146-3구포성심병원
53,특정고압가스업,09_28_14_P,4090000,2026409048512200002,2026-02-25,,1,영업/정상,1,사용중,,,,,,,,경기도 김포시 월곶면 갈산리 58,경기도 김포시 월곶면 안진골로64번길 102,10022.0,(주)중원후렉시블,2026-02-25 14:29:36,I,2026-02-27 00:20:02,,162649.566965467,468705.920009476,열처리용 가스 저장(30m 이격),저장소에서 기존 사용시설로 용기를 이동하여 사용,2500.0,3,,,(주)중원후렉시블_경기도김포시월곶면갈산리58
51,특정고압가스업,09_28_14_P,5540000,2026554035912200001,2026-02-24,,1,영업/정상,BBBB,,,,,,,,,경기도 광주시 능평동 49,경기도 광주시 오포로 240 (능평동),12773.0,주성엔지니어링(주),2026-02-24 10:00:43,I,2026-02-26 00:20:08,,,,반도체 장비 테스트 부품 용접용,반도체 장비 테스트 부품 용접용,7.097,8,,,주성엔지니어링(주)_경기도광주시능평동49
49,특정고압가스업,09_28_14_P,3990000,2026399031612200001,2026-02-23,,1,영업/정상,1,사용중,,,,,,,,경기도 남양주시 진접읍 팔야리 797-10,"경기도 남양주시 진접읍 광릉내로 83, 새봄요양병원",12019.0,새봄요양병원,2026-02-23 09:43:04,I,2026-02-25 00:20:01,,217874.624567168,471441.511424582,환자치료용,흡입제,3000.0,250,,,새봄요양병원_경기도남양주시진접읍팔야리797-10
48,특정고압가스업,09_28_14_P,3930000,2026393053012200001,2026-02-20,,1,영업/정상,BBBB,,,,,,,,,경기도 안산시 단원구 원시동 0 안산플러스에너지센터,"경기도 안산시 단원구 시화호수로 1035, 안산플러스에너지센터 (원시동)",15658.0,에이치현대일렉트릭(주),2026-02-21 09:52:41,I,2026-02-23 00:20:02,,,,전기차충전용 수소 연료전지발전,배관으로 수소를 공급받아 사용,0.0,0,,,에이치현대일렉트릭(주)_경기도안산시단원구원시동0안산플러스에너지센터
38,특정고압가스업,09_28_14_P,3620000,2026362025912200001,2026-02-19,,1,영업/정상,BBBB,,,,,,,,,광주광역시 북구 월출동 987,광주광역시 북구 삼소로270번길 25 (월출동),61003.0,한국에너지기술연구원,2026-02-19 09:29:09,I,2026-02-21 00:20:05,,187798.042564657,193261.514199565,충전지 연구용,-,1000.0,0,,,한국에너지기술연구원_광주광역시북구월출동987
33,특정고압가스업,09_28_14_P,5350000,2026535037412200001,2026-02-13,,1,영업/정상,1,사용중,,,,,,,,경상남도 김해시 진영읍 진영리 783,경상남도 김해시 진영읍 진산대로 235-2,50859.0,유진산업 주식회사,2026-02-13 15:13:40,I,2026-02-15 00:20:02,,356114.403763343,203930.505804907,절단기 사용,액화산소용기를 저장하여 대기식 기화기를 통해 기화시킨후 감압하여 배관을 통하여 절단기로 공급하기 위한 시설,5000.0,11,,,유진산업주식회사_경상남도김해시진영읍진영리783
29,특정고압가스업,09_28_14_P,3610000,2026361026812200001,2026-02-12,,1,영업/정상,BBBB,,,,,,,,,광주광역시 남구 백운동 637-18 동아병원,"광주광역시 남구 대남대로 238, 동아병원 (백운동)",61656.0,동아병원,2026-02-12 10:14:49,I,2026-02-14 00:20:02,,190807.602412339,181764.584339105,의료처치 및 수술,의료처치 및 수술,8300.0,276,,,동아병원_광주광역시남구백운동637-18동아병원
25,특정고압가스업,09_28_14_P,3230000,2026323031012200002,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,서울특별시 송파구 오금동 126,서울특별시 송파구 마천로 164 (오금동),5729.0,시그니처 요양병원,2026-02-11 09:45:01,I,2026-02-13 00:20:38,,212081.527971261,444598.236691622,의료용,환자 치료용(흡입제),2000.0,200,,,시그니처요양병원_서울특별시송파구오금동126
27,특정고압가스업,09_28_14_P,5670000,2026567057412200002,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,경상남도 창원시 진해구 장천동 782-52,경상남도 창원시 진해구 천자로 268 (장천동),51627.0,성문(주),2026-02-11 20:29:56,I,2026-02-13 00:20:38,,354492.585496421,182705.578307374,실험용 가스,용기,108.602,5,,,성문(주)_경상남도창원시진해구장천동782-52
26,특정고압가스업,09_28_14_P,3070000,2026307028712200001,2026-02-11,,1,영업/정상,BBBB,,,,,,,,,서울특별시 성북구 하월곡동 39-1,서울특별시 성북구 화랑로14길 5 (하월곡동),2792.0,한국과학기술연구원(실험공장연구실 P-1),2026-02-11 15:41:50,I,2026-02-13 00:20:38,,203934.360214315,455417.925754463,실험공장 연구실 암모니아 사용,감압조정기 및 전열실기화기,1224.0,10,,,한국과학기술연구원(실험공장연구실P-1)_서울특별시성북구하월곡동39-1
22,특정고압가스업,09_28_14_P,3630000,2026363034512200002,2026-02-09,,1,영업/정상,BBBB,,,,,,,,,광주광역시 광산구 수완동 1152 KS병원,"광주광역시 광산구 왕버들로 220, KS병원 (수완동)",62248.0,KS병원,2026-02-09 16:59:07,I,2026-02-11 00:20:41,,184709.214219568,188787.787099798,의료용,저장탱크,15000.0,50,,,KS병원_광주광역시광산구수완동1152KS병원
18,특정고압가스업,09_28_14_P,3380000,2026338009412200001,2026-02-06,,1,영업/정상,1,사용중,,,,,,,,부산광역시 수영구 망미동 253-1,부산광역시 수영구 수미로41번길 31 (망미동),48216.0,토정개발 주식회사,2026-02-06 15:28:42,I,2026-02-08 00:20:01,,392675.399746369,188241.709148298,망미동 253-1번지 공사현장,산소절단작업,600.0,20,,,토정개발주식회사_부산광역시수영구망미동253-1
19,특정고압가스업,09_28_14_P,3740000,2026375003212200001,2026-02-06,,1,영업/정상,BBBB,,,,,,,,,경기도 수원시 장안구 천천동 585 성균관대학교 자연과학캠퍼스,"경기도 수원시 장안구 서부로 2066, 성균관대학교 자연과학캠퍼스 86591호 (천천동)",16419.0,성균관대학교,2026-02-06 16:33:39,I,2026-02-08 00:20:01,,197655.310801404,421305.50595434,연구용,연구용,6966.0,20,,,성균관대학교_경기도수원시장안구천천동585성균관대학교자연과학캠퍼스
20,특정고압가스업,09_28_14_P,4641000,2026466100712200001,2026-02-06,,1,영업/정상,BBBB,,,,,,,,,전북특별자치도 전주시 덕진구 금암동 663 전북대학교,"전북특별자치도 전주시 덕진구 백제대로 567, 전북대학교 (금암동)",54896.0,전북대학교(공과대학4호관),2026-02-06 09:08:14,I,2026-02-08 00:20:01,,211946.248805144,260605.22207451,연구용,연구용,7.0,10,,,전북대학교(공과대학4호관)_전북특별자치도전주시덕진구금암동663전북대학교
11,특정고압가스업,09_28_14_P,3300000,2026330011912200001,2026-02-04,,1,영업/정상,BBBB,,,,,,,,,부산광역시 동래구 낙민동 23-3 설봉빌딩,"부산광역시 동래구 충렬대로348번길 23, 설봉빌딩 (낙민동)",47889.0,동래봉생병원(미래관),2026-02-04 11:36:44,I,2026-02-06 00:20:02,,390805.03821952,190612.851490212,의료용,액체산소를 대기식 기화기를 통해 기화하여 의료용 산소로 사용,5000.0,100,,,동래봉생병원(미래관)_부산광역시동래구낙민동23-3설봉빌딩
10,특정고압가스업,09_28_14_P,4050000,2026562002712200002,2026-02-04,,1,영업/정상,BBBB,,,,,,,,,경기도 용인시 처인구 이동읍 덕성리 1264-4,경기도 용인시 처인구 이동읍 덕성산단2로 12-1,17130.0,(주)후성,2026-02-04 15:41:27,I,2026-02-06 00:20:02,,218260.569397082,408086.871780151,반도체시험용,반도체시험용,58.75,8,,,(주)후성_경기도용인시처인구이동읍덕성리1264-4
1,특정고압가스업,09_28_14_P,4830000,2026483019512200002,2026-02-02,,1,영업/정상,1,사용중,,,,,,,,전라남도 나주시 동강면 곡천리 570-1,"전라남도 나주시 동강면 곡천로 192, 외 2필지(곡천리 570-1, 570-2, 623)",58293.0,유강영어조합법인,2026-02-02 19:38:59,I,2026-02-04 00:20:02,,158354.287309832,158834.857800727,양식용,액화산소,8.0,2,,,유강영어조합법인_전라남도나주시동강면곡천리570-1
24,특정고압가스업,09_28_14_P,5710000,2025573002312200003,2025-12-29,,3,폐업,2,폐지,2026-02-10,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주),2026-02-10 16:16:18,U,2026-02-12 02:40:00,,236684.228643235,355658.056219102,생산설비 가동용,생산설비 가동용,0.297,31,,,제이에스알마이크로코리아(주)_충청북도청주시흥덕구옥산면남촌리1111-5
14,특정고압가스업,09_28_14_P,3740000,2025375003212200013,2025-10-30,,1,영업/정상,1,사용중,,,,,,,,경기도 수원시 장안구 천천동 585 성균관 대학교,"경기도 수원시 장안구 서부로 2066, 성균관 대학교 N센터 86591호 (천천동)",16419.0,성균관대학교,2026-02-04 15:34:28,U,2026-02-06 02:40:00,,197655.310801404,421305.50595434,"연구용(수소,액화암모니아,메탄)",연구용,22.748,20,,,성균관대학교_경기도수원시장안구천천동585성균관대학교
47,특정고압가스업,09_28_14_P,3910000,2025391025112200002,2025-07-01,,1,영업/정상,1,사용중,,,,,,,,경기도 평택시 포승읍 내기리 680-2,경기도 평택시 포승읍 평택항로156번길 82,17960.0,에이치디하이드로젠(주),2026-02-20 13:29:33,U,2026-02-22 02:40:00,,186926.993750238,385950.027846757,시험용(연료전지 연구용),"*아직 사무실 설치 전이라 대표자 정보에 직원연락처(3163-3681) 기재*
가스공급업체로부터 공급받은 용기를 보관실에 보관하고, 수소 및 메탄 용기에서 배관을 거쳐 조정기에서 감압 후 배관을 통해 사용처에 산소 가스를 안정적으로 사용함",3700.0,0,,,에이치디하이드로젠(주)_경기도평택시포승읍내기리680-2
52,특정고압가스업,09_28_14_P,3930000,2025393053012200003,2025-05-26,,1,영업/정상,1,사용중,,,,,,,,경기도 안산시 단원구 성곡동 602-9 (주)창일테크,경기도 안산시 단원구 신원로 275-23 (주)창일테크 (성곡동),15601.0,(주)어드밴스드튜브테크놀로지스,2026-02-24 16:37:08,U,2026-02-26 02:40:00,,179197.632250481,423258.324715202,금속 열처리(수소사용),"용기보관실에 보관, 조정기를 통해 감압하여 배관을 통해 사용
에너지정책과-5728호(2026.2.24.)로 변경",5760.0,30,,,(주)어드밴스드튜브테크놀로지스_경기도안산시단원구성곡동602-9(주)창일테크
44,특정고압가스업,09_28_14_P,3160000,2023316028812200002,2023-11-16,,1,영업/정상,1,사용중,,,,,,,,서울특별시 구로구 구로동 636-89,,,(주)태영건설,2026-02-19 14:20:16,U,2026-02-21 02:40:00,,188669.484398215,444010.738380277,절단용,부자재 및 철골 부재 절단,760.0,21,,,(주)태영건설_서울특별시구로구구로동636-89
