번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업소구분명,소재지,지정일자,신청일자,항목값1,Unnamed: 33,record_key
1910,쓰레기종량제봉투판매업,09_30_13_P,4221000,422100014202600003,2026-02-26,,1,영업/정상,11,영업,,,,,033-552-7676,,,강원특별자치도 태백시 황지동 267-1,강원특별자치도 태백시 황지로 226 (황지동),26026,칠육철물,2026-02-26 17:20:25,I,2026-02-28 00:20:02,,376378.56899902,410218.730848008,지정,,20260226.0,20260226.0,관급봉투,,칠육철물_강원특별자치도태백시황지동267-1
1909,쓰레기종량제봉투판매업,09_30_13_P,4221000,422100014202600002,2026-02-26,,1,영업/정상,11,영업,,,,,0335539997,,,강원특별자치도 태백시 황지동 135-2,강원특별자치도 태백시 태백산로 5117 (황지동),26037,태백산철물건재상사,2026-02-26 17:14:54,I,2026-02-28 00:20:02,,376792.781189231,406820.735994424,지정,강원특별자치도 태백시 황지동 135-2,20260226.0,20260226.0,관급봉투,,태백산철물건재상사_강원특별자치도태백시황지동135-2
1908,쓰레기종량제봉투판매업,09_30_13_P,5050000,505000014202600008,2026-02-26,,1,영업/정상,11,영업,,,,,,,,경상북도 경주시 용강동 1704,경상북도 경주시 용황로11길 34-2 (용강동),38069,용황마트,2026-02-26 10:07:08,I,2026-02-28 00:20:02,,401386.22690238,267278.570942025,지정,경상북도 경주시 용강동 1704,20260226.0,20260225.0,관급봉투,,용황마트_경상북도경주시용강동1704
1907,쓰레기종량제봉투판매업,09_30_13_P,4090000,409000014202600005,2026-02-26,,1,영업/정상,11,영업,,,,,,,,경기도 김포시 고촌읍 향산리 83-1 힐스테이트 리버시티 1단지,"경기도 김포시 고촌읍 상미로 38, 나동 B102호 (힐스테이트 리버시티 1단지)",10121,지에스25 김포리버시티점,2026-02-26 18:14:05,I,2026-02-28 00:20:02,,177521.002805273,457465.186085307,지정,경기도 김포시 고촌읍 향산리 83-1 힐스테이트 리버시티 1단지,20260227.0,20260220.0,관급봉투,,지에스25김포리버시티점_경기도김포시고촌읍향산리83-1힐스테이트리버시티1단지
1906,쓰레기종량제봉투판매업,09_30_13_P,3610000,361000014202600004,2026-02-26,,1,영업/정상,11,영업,,,,,,,,광주광역시 남구 방림동 107-15,광주광역시 남구 방림로 24 (방림동),61677,와이마트 방림점,2026-02-26 11:42:09,I,2026-02-28 00:20:02,,192641.328758488,181683.122555909,지정,광주광역시 남구 방림동 107-15,20260226.0,20260226.0,관급봉투,,와이마트방림점_광주광역시남구방림동107-15
1905,쓰레기종량제봉투판매업,09_30_13_P,3940000,396010014202600004,2026-02-26,,1,영업/정상,11,영업,,,,,,,,"경기도 고양시 일산동구 백석동 1341 103,104호","경기도 고양시 일산동구 장백로 60, 103,104호 (백석동)",10447,올리브 마트,2026-02-26 09:35:42,I,2026-02-28 00:20:02,,181071.087418806,460124.902877474,지정,,20260226.0,20260225.0,관급봉투,,"올리브마트_경기도고양시일산동구백석동1341103,104호"
1904,쓰레기종량제봉투판매업,09_30_13_P,6520000,652000014202600001,2026-02-26,,1,영업/정상,11,영업,,,,,,,,제주특별자치도 서귀포시 대정읍 일과리 1699-1,제주특별자치도 서귀포시 대정읍 일주서로3000번길 42,63504,씨유서귀대정태화점,2026-02-26 10:26:40,I,2026-02-28 00:20:02,,127518.031151263,-26992.3591561774,지정,제주특별자치도 서귀포시 대정읍 하모리 973-1 동명세탁,20260226.0,20260225.0,관급봉투,,씨유서귀대정태화점_제주특별자치도서귀포시대정읍일과리1699-1
1896,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600018,2026-02-25,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 완산구 삼천동1가 632-8,전북특별자치도 전주시 완산구 거마산로 3 (삼천동1가),55089,삼천쿨마트,2026-02-25 13:21:52,I,2026-02-27 00:20:02,,210935.990731969,255160.85158287,지정,전북특별자치도 전주시 완산구 삼천동1가 632-8,20260225.0,20260225.0,관급봉투,,삼천쿨마트_전북특별자치도전주시완산구삼천동1가632-8
1898,쓰레기종량제봉투판매업,09_30_13_P,5050000,505000014202600007,2026-02-25,,1,영업/정상,11,영업,,,,,,,,경상북도 경주시 외동읍 문산리 403-4,경상북도 경주시 외동읍 관문로 1274,38209,외동할인마트,2026-02-25 13:45:05,I,2026-02-27 00:20:02,,409929.668176232,244609.906240105,지정,경상북도 경주시 외동읍 문산리 403-4,20260225.0,20260225.0,관급봉투,,외동할인마트_경상북도경주시외동읍문산리403-4
1897,쓰레기종량제봉투판매업,09_30_13_P,3940000,395000014202600005,2026-02-25,,1,영업/정상,11,영업,,,,,,,,경기도 고양시 덕양구 신원동 622-2,"경기도 고양시 덕양구 신원로 40-12, 102,103,104호 (신원동)",10568,씨유 삼송신원4단지점,2026-02-25 14:26:48,I,2026-02-27 00:20:02,,190167.464456364,462457.577242758,지정,경기도 고양시 덕양구 신원동 622-2,20260225.0,20260224.0,관급봉투,,씨유삼송신원4단지점_경기도고양시덕양구신원동622-2
