번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,Unnamed: 36,record_key
16,개인하수처리시설관리업(사업장),09_30_03_P,4261000,426100053202600001,2026-02-04,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 횡성군 우천면 양적리 37-11,강원특별자치도 횡성군 우천면 수남로266번길 56,25249,주식회사 이앤에이,2026-02-04 10:51:24,I,2026-02-06 00:20:02,축산 관련 서비스업,293716.374704997,439710.421022806,분뇨등관련영업관리,축산 관련 서비스업,,,,0,,0,,주식회사이앤에이_강원특별자치도횡성군우천면양적리37-11
15,개인하수처리시설관리업(사업장),09_30_03_P,4490000,449000053202600001,2026-02-03,,1,영업/정상,11,영업,,,,,041-537-8121,,,충청남도 천안시 서북구 성성동 1001,"충청남도 천안시 서북구 2공단4로 40-11, G1캠퍼스 1028호 (성성동)",31074,탑에코에너지(주),2026-02-03 15:56:47,I,2026-02-06 00:20:02,하수 및 폐수 처리업,,,분뇨등관련영업관리,하수 및 폐수 처리업,,,,0,,0,,탑에코에너지(주)_충청남도천안시서북구성성동1001
10,개인하수처리시설관리업(사업장),09_30_03_P,4221000,422100053202600001,2026-01-30,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 태백시 황지동 662 태백황지청솔아파트,"강원특별자치도 태백시 청솔길 8, 108동 9층 7호 (황지동, 태백황지청솔아파트)",26032,백두환경,2026-02-05 15:28:57,U,2026-02-07 02:40:00,,376026.920538997,408769.773874892,분뇨등관련영업관리,,,,,0,,0,,백두환경_강원특별자치도태백시황지동662태백황지청솔아파트
9,개인하수처리시설관리업(사업장),09_30_03_P,4170000,417000053202600002,2026-01-23,,1,영업/정상,11,영업,,,,,0317714500,,,경기도 양평군 양평읍 오빈리 359-2,경기도 양평군 양평읍 경강로 1677-1,12545,한강종합환경,2026-02-03 08:36:55,U,2026-02-06 02:40:00,폐기물처리 및 오염방지시설 건설업,241291.499286844,444726.41580402,분뇨등관련영업관리,폐기물처리 및 오염방지시설 건설업,,,,0,,0,,한강종합환경_경기도양평군양평읍오빈리359-2
13,개인하수처리시설관리업(사업장),09_30_03_P,4910000,491000053202400001,2024-03-11,,1,영업/정상,11,영업,,,,,070-4247-3085,,,"전라남도 장흥군 장흥읍 건산리 720-69 , 2층","전라남도 장흥군 장흥읍 중앙로 47-2, 2층",59327,주식회사 서영기술,2026-02-03 16:12:04,U,2026-02-06 02:40:00,,191423.491406802,131307.620519989,분뇨등관련영업관리,,,,,0,,0,,"주식회사서영기술_전라남도장흥군장흥읍건산리720-69,2층"
11,개인하수처리시설관리업(사업장),09_30_03_P,5670000,567020653202300001,2023-04-26,,1,영업/정상,11,영업,,,,,,,,경상남도 창원시 진해구 원포동 100 (주)케이조선,경상남도 창원시 진해구 명제로 60 (주)케이조선 (원포동),51624,정수엔텍,2026-02-04 11:34:06,U,2026-02-06 02:40:00,하수 및 폐수 처리업,356384.281778708,180292.023069971,분뇨등관련영업관리,하수 및 폐수 처리업,,,,0,,0,,정수엔텍_경상남도창원시진해구원포동100(주)케이조선
19,개인하수처리시설관리업(사업장),09_30_03_P,4641000,466100053202300001,2023-03-06,,1,영업/정상,11,영업,,,,,063-243-9744,,,전북특별자치도 전주시 덕진구 인후동1가 948-4,"전북특별자치도 전주시 덕진구 한배미1길 59, 1층 (인후동1가)",55030,성화환경건설(주),2026-02-12 10:20:01,U,2026-02-14 02:40:00,,215081.550055062,258081.874550469,분뇨등관련영업관리,,,,,0,,0,,성화환경건설(주)_전북특별자치도전주시덕진구인후동1가948-4
6,개인하수처리시설관리업(사업장),09_30_03_P,4930000,493000053201900001,2019-12-24,,1,영업/정상,11,영업,,,,,061-536-8758,,,전라남도 해남군 해남읍 남외리 361-1,전라남도 해남군 해남읍 남외1길 124-1,59033,(유)명인환경,2026-02-02 15:35:32,U,2026-02-04 02:40:00,,162449.673519478,119220.724434332,분뇨등관련영업관리,,,,,0,,0,,(유)명인환경_전라남도해남군해남읍남외리361-1
12,개인하수처리시설관리업(사업장),09_30_03_P,5220000,522000053201700001,2017-04-10,,1,영업/정상,11,영업,,,,,054-977-7109,,,경상북도 칠곡군 지천면 신리 623-27,경상북도 칠곡군 지천면 신동로 95-25,39864,서우E&P,2026-02-12 09:49:40,U,2026-02-14 02:40:00,,333581.254115862,274254.39409537,분뇨등관련영업관리,,,,,0,,0,,서우E&P_경상북도칠곡군지천면신리623-27
1,개인하수처리시설관리업(사업장),09_30_03_P,4090000,409000053201600001,2016-02-29,,1,영업/정상,11,영업,,,,,031-984-2273,,,경기도 김포시 고촌읍 태리 582-6,"경기도 김포시 고촌읍 이화남로 141-1, 1층",10127,가나환경,2026-02-04 11:16:18,U,2026-02-06 02:40:00,,176666.232627143,454460.556841133,분뇨등관련영업관리,,,,,0,,0,,가나환경_경기도김포시고촌읍태리582-6
17,개인하수처리시설관리업(사업장),09_30_03_P,5670000,567020653201400001,2014-03-21,,1,영업/정상,11,영업,,,,,5477030,,,경상남도 창원시 진해구 이동 634-14,경상남도 창원시 진해구 충장로446번길 14 (이동),51655,동부환경산업(주),2026-02-04 11:27:59,U,2026-02-06 02:40:00,,354571.89162442,184637.284939204,분뇨등관련영업관리,,,,,0,,0,,동부환경산업(주)_경상남도창원시진해구이동634-14
5,개인하수처리시설관리업(사업장),09_30_03_P,4520000,452000053201300001,2013-06-25,,1,영업/정상,11,영업,,,,,0415347040,,,충청남도 아산시 권곡동 549-16,충청남도 아산시 청운로116번길 23-1 (권곡동),31520,태민엔지니어링(주),2026-02-04 13:59:27,U,2026-02-06 02:40:00,,200875.542073973,364728.400091648,분뇨등관련영업관리,,,,,0,,0,,태민엔지니어링(주)_충청남도아산시권곡동549-16
20,개인하수처리시설관리업(사업장),09_30_03_P,4910000,491000053201200003,2012-08-27,,3,폐업,2,폐업,2026-02-04,,2014-04-23,2014-04-23,061-862-4666,,,전라남도 장흥군 장흥읍 상리 650-2,전라남도 장흥군 장흥읍 산단1로 32-33,59315,(주)코엔텍,2026-02-10 21:30:00,U,2026-02-12 02:40:00,,,,분뇨등관련영업관리,,,,,0,,0,,(주)코엔텍_전라남도장흥군장흥읍상리650-2
