"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","원목생산업","09_27_02_P","3350000","335000090201800001","2018-12-18","","03","폐업","3","폐업","","","","","051-583-5201","","","부산광역시 금정구 구서동 465-4 승님빌딩","부산광역시 금정구 금정로 213-1, 승님빌딩 5층 (구서동)","46244","주식회사 신화산업건설","2026-04-01 15:37:07","U","2026-04-03 02:40:00","","390129.184020567","195785.84975963","원목생산업","2종","소나무, 낙엽송, 활엽수 등","","5000","10","폐업",
"2","원목생산업","09_27_02_P","4400000","440000090202000001","2020-09-03","","03","폐업","3","폐업","","","","","","","","충청북도 제천시 화산동 216-31","충청북도 제천시 숭의로 26, 2층 (화산동)","27184","대호임업","2026-04-01 17:49:15","U","2026-04-03 02:40:00","","307326.175729887","404023.012678006","원목생산업","2종","원목","1","0","20","폐업",
"3","원목생산업","09_27_02_P","3560000","356000090202600004","2026-04-02","","01","영업/정상","1","정상","","","","","","","","인천광역시 서구 오류동 1657-10","인천광역시 서구 원당대로 103, 2층 (오류동)","22664","에코우드에너지","2026-04-02 17:00:30","I","2026-04-04 00:20:02","","165926.668681558","454662.160815683","원목생산업","2종","","","0","10","영업",
"4","원목생산업","09_27_02_P","4450000","445000090202600004","2026-04-02","","01","영업/정상","1","정상","","","","","","","","충청북도 진천군 문백면 계산리 7-14 (주)코시플러스","충청북도 진천군 문백면 계산3길 162-32, (주)코시플러스","27870","초록숲주식회사","2026-04-02 18:24:09","I","2026-04-04 00:20:02","","238158.127517925","363613.184865087","원목생산업","2종","원목","1","5000","30","영업",
"5","원목생산업","09_27_02_P","5570000","557000090202600002","2026-04-02","","01","영업/정상","1","정상","","","","","","","","충청북도 증평군 증평읍 미암리 1073 코아루휴티스아파트 121동 203호","충청북도 증평군 증평읍 미암로 59, 121동 2층 203호 (코아루휴티스아파트)","27916","유현임업","2026-04-02 13:42:18","I","2026-04-04 00:20:02","","252569.24203284","366049.866575644","원목생산업","2종","원목,임목부산물","대표자 원목생산업 과정 수료","3000","10","영업",
"6","원목생산업","09_27_02_P","5600000","560000090201300010","2013-11-19","","01","영업/정상","1","정상","","","","","","","","경기도 포천시 소흘읍 이동교리 39-3","경기도 포천시 소흘읍 호국로 526, 2층 201호","11184","***","2026-04-02 10:26:20","U","2026-04-04 02:40:00","","212050.65635462","479635.176924856","원목생산업","2종","원목","산림기사 1명","5000","50","영업",
"7","원목생산업","09_27_02_P","4761000","476000090201500002","2015-10-29","","03","폐업","3","폐업","","","","","","","","","전북특별자치도 임실군 임실읍 호국로 1716-12 (힐하우스)","55927","***","2026-04-02 17:07:10","U","2026-04-04 02:40:00","","226093.374360787","235014.645869987","원목생산업","2종","원목","","5000","30","폐업",
"8","원목생산업","09_27_02_P","4761000","476000090201300002","2013-07-02","","03","폐업","3","폐업","","","","","","","","","전북특별자치도 임실군 임실읍 호국로 1716-12 (힐하우스)","55927","***","2026-04-02 17:06:32","U","2026-04-04 02:40:00","","226093.374360787","235014.645869987","원목생산업","2종","","원목생산업기본교육이수1명","5000","16","폐업",
"9","원목생산업","09_27_02_P","4520000","452000090202600001","2026-04-03","","01","영업/정상","1","정상","","","","","","","","충청남도 아산시 법곡동 29-2","충청남도 아산시 순천향로 847-19 (법곡동)","31560","하온임업","2026-04-03 13:43:16","I","2026-04-05 00:20:22","","201143.027801323","361857.311714397","원목생산업","2종","원목","1인","5000","10","영업",
"10","원목생산업","09_27_02_P","3560000","356000090202600005","2026-04-02","","01","영업/정상","1","정상","","","","","","","","","인천광역시 서구 원당대로 103 (오류동)","22664","***","2026-04-03 10:53:11","I","2026-04-05 00:20:22","","165926.668681558","454662.160815683","원목생산업","2종","","","0","10","영업",
"11","원목생산업","09_27_02_P","3610000","361000090202600001","2026-04-03","","01","영업/정상","BBBB","","","","","","","","","광주광역시 남구 월산동 533-115","광주광역시 남구 대남대로340번길 52 (월산동)","61621","이종현","2026-04-03 10:05:35","I","2026-04-05 00:20:22","","190406.181203649","182987.324593209","원목생산업","2종","편백, 소나무 등","산림경영기술자 기능 1급","0","10","",
"12","원목생산업","09_27_02_P","3610000","361000090202600002","2026-03-27","","01","영업/정상","1","정상","","","","","","","","광주광역시 남구 월산동 533-115","광주광역시 남구 대남대로340번길 52 (월산동)","61621","이종현","2026-04-03 10:18:56","I","2026-04-05 00:20:22","","190406.181203649","182987.324593209","원목생산업","2종","편백 및 소나무 등","산림경영기술자 기능 1급","0","10","영업",
"13","원목생산업","09_27_02_P","5330000","533000090202500001","2025-05-22","","01","영업/정상","1","정상","","","","","","","","경상남도 통영시 광도면 죽림리 1570-19","경상남도 통영시 광도면 죽림4로 37-38, 강남빌딩 4층 403호","53013","주식회사 미륵산","2026-04-03 09:23:02","U","2026-04-05 02:40:00","","329642.012244382","154892.584417987","원목생산업","1종","","","0","0","영업",
