번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
158,동물약국,02_03_02_P,3370000,337000001120260004,2026-02-13,,3,폐업,2,폐업,2026-02-13,,,,,,,부산광역시 연제구 연산동 2122-30 신양빌딩,"부산광역시 연제구 연수로 219, 신양빌딩 1층층 (연산동)",47594,대웅약국,2026-02-13 16:56:42,I,2026-02-15 00:20:02,,390759.88110877,188076.982600036,동물약국,,000,0,,대웅약국_부산광역시연제구연산동2122-30신양빌딩
155,동물약국,02_03_02_P,3780000,378000001120260006,2026-02-13,,1,영업/정상,0,정상,,,,,031-753-8563,,,경기도 성남시 중원구 성남동 4182 한성빌딩,"경기도 성남시 중원구 성남대로 1127, 한성빌딩 1층 (성남동)",13376,매일365약국,2026-02-13 15:12:36,I,2026-02-15 00:20:02,,211337.115802163,436474.453170119,동물약국,,000,0,,매일365약국_경기도성남시중원구성남동4182한성빌딩
156,동물약국,02_03_02_P,3150000,315000001120260005,2026-02-13,,1,영업/정상,0,정상,,,,,,,,서울특별시 강서구 마곡동 798-11 문영 퀸즈파크13,"서울특별시 강서구 마곡중앙로 55, 문영 퀸즈파크13 107호 (마곡동)",07807,백세365약국,2026-02-13 11:10:06,I,2026-02-15 00:20:02,,184578.929001014,450713.855921875,동물약국,,000,0,,백세365약국_서울특별시강서구마곡동798-11문영퀸즈파크13
157,동물약국,02_03_02_P,3230000,323000001120260004,2026-02-13,,1,영업/정상,0,정상,,,,,,,,서울특별시 송파구 신천동 17-6 잠실르엘상가동 5층 514호,"서울특별시 송파구 올림픽로 329, 잠실르엘상가동 5층 514호 (신천동)",05509,잠실르엘약국,2026-02-13 13:38:15,I,2026-02-15 00:20:02,,209393.076054654,446147.977949052,동물약국,,000,0,,잠실르엘약국_서울특별시송파구신천동17-6잠실르엘상가동5층514호
191,동물약국,02_03_02_P,3130000,313000001120260006,2026-02-12,,1,영업/정상,0,정상,,,,,,,,서울특별시 마포구 공덕동 467 롯데캐슬 프레지던트,"서울특별시 마포구 마포대로 109, 2층 (공덕동, 롯데캐슬 프레지던트)",04146,마리약국,2026-02-12 13:13:03,I,2026-02-16 00:20:01,,195564.375757848,449186.933273231,동물약국,,000,0,,마리약국_서울특별시마포구공덕동467롯데캐슬프레지던트
144,동물약국,02_03_02_P,4191000,419100001120260004,2026-02-12,,1,영업/정상,0,정상,,,,,033-763-3434,40.18,,강원특별자치도 원주시 단구동 1655-5,"강원특별자치도 원주시 단구로 394, 101호 (단구동)",26487,아침약국,2026-02-12 09:32:07,I,2026-02-14 00:20:02,,284641.428607427,424853.890743009,동물약국,,000,0,,아침약국_강원특별자치도원주시단구동1655-5
146,동물약국,02_03_02_P,5690000,569000001120260001,2026-02-12,,1,영업/정상,0,정상,,,,,,,,세종특별자치시 아름동 1330 세종 제이디빌딩,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 105호 (아름동)",30100,해오름약국,2026-02-12 15:01:29,I,2026-02-14 00:20:02,,221717.806857047,334538.729739877,동물약국,,000,0,,해오름약국_세종특별자치시아름동1330세종제이디빌딩
143,동물약국,02_03_02_P,3860000,386000001120260002,2026-02-12,,1,영업/정상,0,정상,,,,,,,,경기도 부천시 원미구 중동 1058-1 신명타운,"경기도 부천시 원미구 길주로 273, 신명타운 109호 (중동)",14539,어울림약국,2026-02-12 16:07:24,I,2026-02-14 00:20:02,,179843.93,444665.525,동물약국,,000,0,,어울림약국_경기도부천시원미구중동1058-1신명타운
116,동물약국,02_03_02_P,3740000,374000001120260007,2026-02-11,,1,영업/정상,0,정상,,,,,,,,경기도 수원시 팔달구 인계동 1124 한국교직원공제회 경기회관 102호,"경기도 수원시 팔달구 권광로 178, 한국교직원공제회 경기회관 102호 (인계동)",16488,수원약국,2026-02-11 09:07:52,I,2026-02-13 00:20:38,,202867.593879545,417926.366209221,동물약국,,000,0,,수원약국_경기도수원시팔달구인계동1124한국교직원공제회경기회관102호
145,동물약국,02_03_02_P,6510000,651000001120260005,2026-02-11,,1,영업/정상,0,정상,,,,,,,,제주특별자치도 제주시 이호일동 313-3,"제주특별자치도 제주시 도리로 111, 1층 (이호일동)",63108,빅세이브동물약국,2026-02-11 15:59:08,I,2026-02-14 00:20:02,,150068.521393021,648.563700788403,동물약국,,000,0,,빅세이브동물약국_제주특별자치도제주시이호일동313-3
