"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","5530000","CDFI2260042023000013","2023-08-21","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 만세구 향남읍 평리 81-70 중앙빌딩 303호","경기도 화성시 만세구 향남읍 삼천병마로 216, 중앙빌딩 303호","18592","(주)에즈탑","2026-03-02 13:26:42","U","2026-03-04 02:40:00","","192015.515457571","403375.410213696","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20241001","20250930","","0","",
"2","종합여행업","03_12_03_P","3220000","CDFI2260042022000011","2022-03-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 735-36","서울특별시 강남구 테헤란로20길 18, 2층 (역삼동)","06235","(주)에이에프트레블앤뷰티","2026-03-01 10:03:38","U","2026-03-04 02:40:00","","202975.045940135","444034.659792294","종합여행업","","","0","","","서울보증보험(5천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260228","20270227","","0","",
"3","종합여행업","03_12_03_P","3780000","CDFI2260042025000016","2025-12-21","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 중원구 성남동 2264","경기도 성남시 중원구 광명로 67, 1308호 (성남동)","13356","주식회사 와이비즈투어","2026-03-01 15:45:33","U","2026-03-04 02:40:00","","212015.519208776","436953.172442404","종합여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260119","20270118","","0","",
"4","종합여행업","03_12_03_P","5540000","CDFI2260042023000004","2023-07-10","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 신현동 346-12 해피밸리AZONE","경기도 광주시 문형산길 59, 해피밸리AZONE 에이동 1층 101호 (신현동)","12820","주식회사 해피밸리","2026-03-01 12:47:11","U","2026-03-04 02:40:00","","","","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250714","20260713","","0","",
"5","종합여행업","03_12_03_P","5540000","CDFI2260042022000004","2022-11-11","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 쌍령동 104-5","경기도 광주시 경충대로 1514-24 (쌍령동)","12791","대명관광 주식회사","2026-03-01 12:47:49","U","2026-03-04 02:40:00","","223870.606816179","433798.672115687","종합여행업","","","0","","","관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","1200000000","20251212","20261212","","0","",
"6","종합여행업","03_12_03_P","3780000","CDFI2260042024000029","2024-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 복정동 641-1","경기도 성남시 수정구 복정로158번길 4, B1층 L02호 (복정동)","13113","필 여행사(FEEL TRAVEL)","2026-03-01 15:52:16","U","2026-03-04 02:40:00","","211195.119361551","440542.448334775","종합여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260102","20270101","","0","",
"7","종합여행업","03_12_03_P","3180000","CDFI2260042026000011","2024-06-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 14-8 극동브이아이피빌딩","서울특별시 영등포구 국회대로70길 15-1, 극동브이아이피빌딩 1111호 (여의도동)","07238","(주)코리아트래블스토어2","2026-03-03 10:37:57","I","2026-03-05 00:20:02","","192883.820838805","447484.878116314","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250703","20260702","","0","",
"8","종합여행업","03_12_03_P","3180000","CDFI2260042026000012","2017-02-16","","01","영업/정상","13","영업중","","","","","02-337-2337","","","서울특별시 영등포구 영등포동7가 94-64 영등포 리버텔","서울특별시 영등포구 버드나루로12길 8, 영등포 리버텔 403호 (영등포동7가)","07248","(주)트래블메카","2026-03-03 11:47:30","I","2026-03-05 00:20:02","","192045.145444595","446998.470153147","종합여행업","","","0","","","관광공제회(5천만원)","근린생활시설","0","0","0","0","Travel Mecca Co., Ltd.","General Travel Business","0","0","","0","0","","0","66.11","","0","","","","","","","100000000","20250621","20260621","","66","",
"9","종합여행업","03_12_03_P","3550000","CDFI2260042026000002","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","인천광역시 계양구 계산동 1062 하이베라스","인천광역시 계양구 계산새로 71, 하이베라스 D동 603호 (계산동)","21060","스카이원 주식회사","2026-03-03 10:50:17","I","2026-03-05 00:20:02","","176607.326609066","448516.12033842","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"10","종합여행업","03_12_03_P","5350000","CDFI2260042026000002","2026-03-03","","01","영업/정상","13","영업중","","","","","055-338-5050","","","경상남도 김해시 서상동 25-34","경상남도 김해시 가락로 102, 2층 (서상동)","50915","우리여행사","2026-03-03 10:40:19","I","2026-03-05 00:20:02","","371186.135696087","194539.563389631","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0","",
"11","종합여행업","03_12_03_P","6510000","CDFI2260042026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 연동 280-15 삼무파크빌 301호","제주특별자치도 제주시 도령로 128, 301호 (연동, 삼무파크빌)","63118","미미글로벌메디컬 유한회사","2026-03-03 14:12:44","I","2026-03-05 00:20:02","","152634.735188386","-300.029959198282","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"12","종합여행업","03_12_03_P","3010000","CDFI2260042026000028","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 소공동 80 복창빌딩","서울특별시 중구 남대문로7길 29, 복창빌딩 802호 (소공동)","04532","주식회사 이니셜원","2026-03-03 09:20:17","I","2026-03-05 00:20:02","","198181.065719655","451278.604208341","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","10000000","","","","0","",
"13","종합여행업","03_12_03_P","3290000","CDFI2260042026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","051-802-2223","","","부산광역시 부산진구 부전동 521-1 KT&G 상상마당부산","부산광역시 부산진구 서면로 39, KT&G 상상마당부산 6층 606호 (부전동)","47288","주식회사 해인","2026-03-03 17:47:29","I","2026-03-05 00:20:02","","387394.967970419","185837.316568408","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"14","종합여행업","03_12_03_P","3680000","CDFI2260042026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","대전광역시 대덕구 중리동 243-32","대전광역시 대덕구 홍도로 105-2, 3층 (중리동)","34429","공감투어(주)","2026-03-03 11:56:02","I","2026-03-05 00:20:02","","238279.22","317274.24","종합여행업","","일반주거지역","3","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","71.13","","0","","","","","","","300000000","","","","71","",
"15","종합여행업","03_12_03_P","3130000","CDFI2260042026000013","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 159-5 케이스퀘어","서울특별시 마포구 양화로 161, 케이스퀘어 808호 (동교동)","03995","주식회사 아이피엔글로벌","2026-03-03 12:57:30","I","2026-03-05 00:20:02","","193152.62383534","450523.47124017","종합여행업","","","0","","","","","0","0","0","0","IPN GLOBAL Co., Ltd.","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"16","종합여행업","03_12_03_P","3130000","CDFI2260042026000014","2026-03-03","","01","영업/정상","13","영업중","","","","","02-2064-2767","","","서울특별시 마포구 합정동 372-28","서울특별시 마포구 성지길 25-11, 3층 비091호 (합정동)","04071","주식회사 에스앤티커뮤니케이션즈","2026-03-03 15:16:33","I","2026-03-05 00:20:02","","192332.918156777","449461.477885688","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","60000000","","","","0","",
"17","종합여행업","03_12_03_P","3000000","CDFI2260042003000003","2003-03-06","","01","영업/정상","13","영업중","","","","","732-2909","","","서울특별시 종로구 수송동 58 두산위브파빌리온 337호","서울특별시 종로구 삼봉로 81, 두산위브파빌리온 337호 (수송동)","03150","(주)미토스여행사","2026-03-03 17:53:40","U","2026-03-05 02:40:00","","198324.653631679","452252.812389497","종합여행업","","","0","","","서울보증보험(85,000,000)","","0","0","0","0","Mitos Travel Co., Ltd.","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","0","20260311","20270310","","0","",
"18","종합여행업","03_12_03_P","3220000","CDFI2260042023000081","2023-08-23","","03","폐업","03","폐업","2026-03-03","","","","","","","서울특별시 강남구 대치동 66 쌍용아파트","서울특별시 강남구 영동대로 210, B1층 113호 (대치동, 쌍용아파트)","06286","헬시소울","2026-03-03 09:52:31","U","2026-03-05 02:40:00","","206228.074633143","443988.386409621","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"19","종합여행업","03_12_03_P","3550000","CDFI2260042023000004","2023-07-21","","01","영업/정상","13","영업중","","","","","","","","인천광역시 계양구 계산동 944-11","인천광역시 계양구 경명대로 1058, 3층 302-1251호 (계산동)","21049","주식회사 세한국제여행사","2026-03-03 10:50:04","U","2026-03-05 02:40:00","","175580.130764869","449023.210582272","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"20","종합여행업","03_12_03_P","3280000","CDFI2260042019000001","2019-03-12","","01","영업/정상","13","영업중","","","","","051-418-1863","","","부산광역시 영도구 대평동1가 103","부산광역시 영도구 대평로27번길 6 (대평동1가)","49043","대평동마을회(깡깡이예술마을)","2026-03-03 15:35:15","U","2026-03-05 02:40:00","","385417.826534029","178803.12189352","종합여행업","","일반상업지역","3","기타","","서울보증보험주식회사","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","219.4","","0","","","","","","","213000000","20260318","20270317","","219","",
"21","종합여행업","03_12_03_P","6510000","CDFI2260042013001086","2013-11-05","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 연동 2331-7","제주특별자치도 제주시 도령로 111, 604호 (연동, 진호뉴캐슬)","63126","(주)한화국제여행사","2026-03-03 19:21:28","U","2026-03-05 02:40:00","","152457.711260866","-369.093836496097","종합여행업","","","0","","","제주특별자치도 관광협회","","0","0","0","0","HANHWA INTERNATIONAL TRAVEL","General Travel Business","0","0","","0","0","","0","92","","0","","","","","","","350000000","20260303","20270303","","92","",
"22","종합여행업","03_12_03_P","4050000","CDFI2260042026000004","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 수지구 죽전동 472-3 진미상가","경기도 용인시 수지구 정든로 12, 진미상가 201호 (죽전동)","16873","비쥬얼 허브","2026-03-03 17:48:08","U","2026-03-05 02:40:00","","210031.815730252","425026.043212039","종합여행업","","","0","","","서울보증","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260303","20270302","","0","",
"23","종합여행업","03_12_03_P","3000000","CDFI2260042024000057","2024-09-01","","01","영업/정상","13","영업중","","","","","02-734-6513","","","서울특별시 종로구 적선동 122-1 한국생산성본부","서울특별시 종로구 새문안로5가길 32, 한국생산성본부 (적선동)","03170","(주)한국사회능력개발원","2026-03-03 10:43:32","U","2026-03-05 02:40:00","","197583.394691008","452513.612017871","종합여행업","","","0","","","서울보증보험(50,000,000)","","0","0","0","0","KPCICE Co.,Ltd.","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","300000000","20250904","20260903","","0","",
"24","종합여행업","03_12_03_P","4160000","CDFI2260042022000001","2022-02-10","","03","폐업","03","폐업","2026-03-03","","","","070-7576-0052","","","경기도 가평군 가평읍 달전리 452-1","경기도 가평군 가평읍 호반로 2562, 2층","12422","리모밸리주식회사","2026-03-03 15:19:12","U","2026-03-05 02:40:00","","245286.319395509","479221.184496009","종합여행업","","관리지역","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","20230210","20240209","","0","",
"25","종합여행업","03_12_03_P","3290000","CDFI2260042022000001","2022-02-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 232-22","부산광역시 부산진구 중앙대로 675, 4층 (부전동)","47289","필미소여행사","2026-03-03 16:38:59","U","2026-03-05 02:40:00","","387537.392954508","185694.018371092","종합여행업","","","0","","","SGI서울보증보험","","0","0","0","0","Philmiso Tour","General travel Agency","0","0","","0","0","","0","0","","0","","","","","","","53222576","20260801","20270731","","0","",
"26","종합여행업","03_12_03_P","3000000","CDFI2260042024000025","2024-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관수동 3-2 서광빌딩","서울특별시 종로구 삼일대로20길 19, 서광빌딩 305호 (관수동)","03191","(주)제이이씨 투어","2026-03-03 14:49:43","U","2026-03-05 02:40:00","","198958.283792369","451941.721546298","종합여행업","","","0","","","한국관광협회(50,000,000)","","0","0","0","0","JEC Tour Co.,Ltd","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260411","20270411","","0","",
"27","종합여행업","03_12_03_P","3670000","CDFI2260042025000009","2024-03-14","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 용계동 667-4 힐스테이트 도안 2차","대전광역시 유성구 동서대로656번길 16-32, 힐스테이트 도안 2차 203동 603호 (용계동)","34218","Tour-Tplace","2026-03-03 15:56:53","U","2026-03-05 02:40:00","","229934.640252792","314591.773812606","종합여행업","","근린상업지역","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260315","20270315","","0","",
"28","종합여행업","03_12_03_P","3860000","CDFI2260042025000031","2025-12-01","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 소사구 소사본동 70-17","경기도 부천시 소사구 소사로 257, 6층 C51호 (소사본동)","14704","Zenith Korea Tour(제니스 코리아 투어)","2026-03-03 13:28:39","U","2026-03-05 02:40:00","","181813.840320429","442136.769913265","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251202","20261201","","0","",
"29","종합여행업","03_12_03_P","3980000","CDFI2260042024000002","2024-02-20","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 수택동 424-28 현주Ifriend빌딩","경기도 구리시 검배로 36, 현주Ifriend빌딩 1401호 (수택동)","11928","(주)케이메나콘텐츠","2026-03-03 17:11:41","U","2026-03-05 02:40:00","","212566.74122775","455080.399126274","종합여행업","","일반상업지역","18","기타","","서울보증보험","근린생활시설","14","4","0","0","","","0","0","","0","0","","0","56.35","","0","","","","","","","50000000","20260306","20270305","","56","",
"30","종합여행업","03_12_03_P","3300000","CDFI2260042026000005","2026-02-25","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 사직동 71-24 2층 2803호","부산광역시 동래구 석사로 42-1, 2층 2803호 (사직동)","47858","바다투어","2026-03-03 16:38:22","U","2026-03-05 02:40:00","","387906.59050205","190934.500141631","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260225","20270224","","0","",
"31","종합여행업","03_12_03_P","4050000","CDFI2260042026000008","2026-02-25","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 김량장동 329-6","경기도 용인시 처인구 중부대로 1391, 2층 D227호 (김량장동)","17049","도날드 가이드","2026-03-03 09:17:39","U","2026-03-05 02:40:00","","217583.070105489","414635.136387847","종합여행업","","","0","","","서울보증","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260303","20270302","","0","",
"32","종합여행업","03_12_03_P","3210000","CDFI2260042026000007","2026-02-20","","01","영업/정상","13","영업중","","","","","02-3665-7879","","","서울특별시 서초구 방배동 931-1 광희빌딩","서울특별시 서초구 방배중앙로 60, 광희빌딩 402호 (방배동)","06680","주식회사 더블엠글로벌케어","2026-03-03 11:22:30","U","2026-03-05 02:40:00","","199108.278067196","442538.351728139","종합여행업","","","0","","","서울보증보험(1억원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260211","20290210","","0","",
"33","종합여행업","03_12_03_P","3940000","CDFI2260042026000009","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 화정동 975-3 동양트레벨II","경기도 고양시 덕양구 백양로 85, 동양트레벨II 206-A225호 (화정동)","10500","주식회사 유앤아이투어","2026-03-03 16:14:18","U","2026-03-05 02:40:00","","185260.272932577","459039.869296121","종합여행업","","","0","","","서울보증보험(오천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260303","20270302","","0","",
"34","종합여행업","03_12_03_P","3210000","CDFI2260042025000053","2025-09-16","","02","휴업","02","휴업","","2026-03-03","2029-03-03","","","","","서울특별시 서초구 양재동 125-7","서울특별시 서초구 양재천로19길 14, 2층 6호 (양재동)","06753","올리브투어","2026-03-03 15:54:15","U","2026-03-05 02:40:00","","203304.716566268","441523.836757107","종합여행업","","","0","","","한국관광협회(5천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250923","20260923","","0","",
"35","종합여행업","03_12_03_P","3130000","CDFI2260042026000012","2023-02-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 209-4 숲센터","서울특별시 마포구 성미산로11길 5, 숲센터 3층 (성산동)","03978","주식회사 아칸","2026-03-03 12:56:09","U","2026-03-05 02:40:00","","192548.773757025","450954.382746344","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","AKAN Inc.","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260214","20270213","","0","",
"36","종합여행업","03_12_03_P","3630000","CDFI2260042018000002","2018-06-20","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 월곡동 679-12 우석빌딩","광주광역시 광산구 풍영로 83, 우석빌딩 205호 (월곡동)","62328","주식회사 굿라이프투어","2026-03-03 17:00:20","U","2026-03-05 02:40:00","","182700.58271837","186714.356754767","종합여행업","","준주거지역","0","","","관광공제회","근린생활시설","0","0","0","0","Goodlife Tour","Travel Business","0","0","","0","0","","0","0","","0","","","","","","","100000000","20250625","20260625","","0","",
"37","종합여행업","03_12_03_P","3160000","CDFI2260042018000001","2016-08-05","","01","영업/정상","13","영업중","","","","","02-866-6288","","","서울특별시 구로구 구로동 106-4 선경오피스텔","서울특별시 구로구 공원로 3, 선경오피스텔 1810호 (구로동)","08298","(주)글로벌국제","2026-03-03 14:15:21","U","2026-03-05 02:40:00","","190410.047738361","443953.502895004","종합여행업","","","0","","","서울보증보험주식회사","사무실","0","0","0","0","JH INTERNATIONAL CO., Ltd","General travel business","0","0","","0","0","","0","1.65","","0","","","","","20260331","20270330","100000000","20260328","20270327","","2","",
"38","종합여행업","03_12_03_P","3180000","CDFI2260042026000008","2026-02-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동3가 91-1","서울특별시 영등포구 국회대로38길 8, 4층 403호 B-805호 (당산동3가)","07257","올 코리아 투어(All Korea Tour)","2026-03-03 16:22:18","U","2026-03-05 02:40:00","","190984.071034863","447125.064596042","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260223","20270222","","0","",
"39","종합여행업","03_12_03_P","3630000","CDFI2260042025000003","2025-03-11","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 월계동 765-2 첨단산업기지 라인1차아파트","광주광역시 광산구 월계로 117-32, 상가2동 3층 301호 (월계동, 첨단산업기지 라인1차아파트)","62260","주식회사 이루다스포츠아카데미","2026-03-03 09:29:28","U","2026-03-05 02:40:00","","185428.659086869","190839.197786654","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","8000000","20250311","20260310","","0","",
"40","종합여행업","03_12_03_P","3820000","CDFI2260042026000002","2026-02-23","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 녹양동 412-4","경기도 의정부시 체육로 298-21, 2111호 (녹양동)","11610","슬리스트 투어 SEULIST TOUR","2026-03-03 16:04:00","U","2026-03-05 02:40:00","","203544.229548948","473071.050006068","종합여행업","","준주거지역","7","","","","","0","0","0","0","SEULIST TOUR","General travel business","0","0","","0","0","","0","0","","0","","","","","","","51395480","20260226","20270227","","0","",
"41","종합여행업","03_12_03_P","3630000","CDFI2260042023000005","2023-09-21","","01","영업/정상","13","영업중","","","","","070-8666-4925","","","광주광역시 광산구 신창동 1220-1 우리은행 신창점","광주광역시 광산구 장신로 253, 우리은행 신창점 3층 (신창동)","62252","부럽트래블(주)","2026-03-03 17:00:54","U","2026-03-05 02:40:00","","185162.455632391","187984.749063686","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250921","20260920","","0","",
"42","종합여행업","03_12_03_P","3110000","CDFI2260042026000003","2016-11-17","","01","영업/정상","13","영업중","","","","","02-337-3070","","","서울특별시 은평구 역촌동 41-52 은혜빌딩","서울특별시 은평구 진흥로 51, 은혜빌딩 301호 (역촌동)","03408","(주)에나프투어","2026-03-04 17:58:38","I","2026-03-06 00:20:02","","192890.628840405","455496.445462724","종합여행업","","","0","","","서울보증보험(6천5백만원)","","0","0","0","0","ENAF Tour Co., Ltd.","General Travel Business","0","0","","0","0","","0","90.75","","0","","","","","","","200000000","20241113","20251112","","91","",
"43","종합여행업","03_12_03_P","3440000","CDFI2260042026000002","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","대구광역시 남구 대명동 1256-1 1동 1호","대구광역시 남구 대명서6길 18, 1동 1층 1호 (대명동)","42498","엔엔엔(NNN)","2026-03-04 13:39:41","I","2026-03-06 00:20:02","","340817.596613627","260422.538764551","종합여행업","","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","44.85","","0","","","","","","","50000000","","","","45","",
"44","종합여행업","03_12_03_P","3300000","CDFI2260042026000006","2024-11-06","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 안락동 172-12","부산광역시 동래구 온천천로519번길 22, 1층 171호 (안락동)","47905","트립0820","2026-03-04 11:08:54","I","2026-03-06 00:20:02","","392145.152188526","190076.701637764","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20241107","20251106","","0","",
"45","종합여행업","03_12_03_P","3180000","CDFI2260042026000013","2026-03-03","","01","영업/정상","13","영업중","","","","","02-835-0987","","","서울특별시 영등포구 대림동 693-1","서울특별시 영등포구 대림로 178, 한경빌딩 4층 406호 (대림동)","07410","주식회사 에이아이피프라퍼티","2026-03-04 19:20:56","I","2026-03-06 00:20:02","","191037.677472063","443838.749034997","종합여행업","","","0","","","100-000-2026 0165 4917","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","55000000","20260303","20270302","","0","",
