번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
562,유료직업소개소,11_50_02_P,3450000,2026345018914500002,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,대구광역시 북구 칠성동2가 409-121,"대구광역시 북구 칠성남로37길 33, 2층 (칠성동2가)",41580,카멜,2026-02-26 13:53:42,I,2026-02-28 00:20:02,,344506.262371617,265391.883014395,개인,유료,,카멜_대구광역시북구칠성동2가409-121
555,유료직업소개소,11_50_02_P,3110000,2026311028114500002,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,서울특별시 은평구 역촌동 85-12 센타폴리스 상가동 205호,"서울특별시 은평구 연서로 9, 상가동 2층 205호 (역촌동, 센타폴리스)",03421,든든한파출부 은평구점,2026-02-26 10:57:20,I,2026-02-28 00:20:02,,192471.660518408,455317.295369423,개인,유료,,든든한파출부은평구점_서울특별시은평구역촌동85-12센타폴리스상가동205호
560,유료직업소개소,11_50_02_P,5670000,2026567056614500005,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,경상남도 창원시 의창구 소답동 113-21,"경상남도 창원시 의창구 의안로2번길 1, 2층 (소답동)",51199,매일인력직업소개소,2026-02-26 17:41:45,I,2026-02-28 00:20:02,,347705.564163182,197040.039144537,개인,유료,,매일인력직업소개소_경상남도창원시의창구소답동113-21
559,유료직업소개소,11_50_02_P,5690000,2026569029214500002,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,세종특별자치시 보람동 759 강남제일타워,"세종특별자치시 남세종로 454, 강남제일타워 8층 (보람동)",30150,코어라인드(Coaligned),2026-02-26 16:23:25,I,2026-02-28 00:20:02,,225890.448392882,330733.456722094,개인,유료,,코어라인드(Coaligned)_세종특별자치시보람동759강남제일타워
557,유료직업소개소,11_50_02_P,6510000,2026651024514500003,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,제주특별자치도 제주시 내도동 226,"제주특별자치도 제주시 논세길 56, 다동 2층 (내도동)",63074,개척 인력파트너스,2026-02-26 15:57:44,I,2026-02-28 00:20:02,,148028.585939038,-711.962700259544,개인,유료,,개척인력파트너스_제주특별자치도제주시내도동226
563,유료직업소개소,11_50_02_P,4050000,2026562002714500016,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,경기도 용인시 처인구 마평동 623-5,"경기도 용인시 처인구 금령로140번길 11-5, 1층 (마평동)",17154,가온인력,2026-02-26 17:12:32,I,2026-02-28 00:20:02,,218767.400480011,414726.561595422,개인,유료,,가온인력_경기도용인시처인구마평동623-5
556,유료직업소개소,11_50_02_P,3480000,2026348039714500002,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,대구광역시 달성군 화원읍 천내리 100-2 (1층),"대구광역시 달성군 화원읍 성천로 110-1, (1층)",42948,삼성유료직업소개소,2026-02-26 21:39:37,I,2026-02-28 00:20:02,,334944.788818507,257223.384413475,개인,유료,,삼성유료직업소개소_대구광역시달성군화원읍천내리100-2(1층)
564,유료직업소개소,11_50_02_P,3000000,2026300024514500003,2026-02-26,,1,영업/정상,20,영업중,,,,,,,,서울특별시 종로구 수송동 58 두산위브파빌리온,"서울특별시 종로구 삼봉로 81, 두산위브파빌리온 1030호 (수송동)",03150,두커리어,2026-02-26 16:21:16,I,2026-02-28 00:20:02,,198324.653631679,452252.812389497,개인,유료,,두커리어_서울특별시종로구수송동58두산위브파빌리온
514,유료직업소개소,11_50_02_P,4191000,2026419100714500003,2026-02-25,,1,영업/정상,20,영업중,,,,,,,,강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛,"강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 429-112호 (단구동)",26487,늘 따뜻한 간병,2026-02-25 11:19:23,I,2026-02-27 00:20:02,,284818.874360771,425225.032426821,개인,유료,,늘따뜻한간병_강원특별자치도원주시단구동1599-4원주프리미엄아울렛
515,유료직업소개소,11_50_02_P,4500000,2026450036514500001,2026-02-25,,1,영업/정상,20,영업중,,,,,,,,충청남도 공주시 신관동 585-1,충청남도 공주시 관골1길 32 (신관동),32574,부자인력사무소,2026-02-25 08:39:13,I,2026-02-27 00:20:02,,211818.65907112,330202.422971751,개인,유료,,부자인력사무소_충청남도공주시신관동585-1
