"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","당구장업","10_32_01_P","5130000","CDFH3301082026000003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 진량읍 내리리 94-14 2층","경상북도 경산시 진량읍 대구대로 252-8, 2층","38454","올데이당구탁구","2026-04-01 09:37:29","I","2026-04-03 00:20:02","","367046.953429716","267842.931639204","당구장업","사립","","0","0","1727.6","0","","",
"2","당구장업","10_32_01_P","5580000","CDFH3301082012000001","2012-07-11","","01","영업/정상","13","영업중","","","","","551-0999","","321-931","충청남도 계룡시 엄사면 엄사리 190-1","충청남도 계룡시 엄사면 번영로 54, 3층","32805","에이스당구장","2026-04-01 14:47:45","U","2026-04-03 02:40:00","","221437.505893811","309853.380812079","당구장업","사립","","0","0","0","0","","",
"3","당구장업","10_32_01_P","3910000","CDFH3301082019000004","2019-03-08","","03","폐업","03","폐업","2026-03-26","","","","","","","경기도 평택시 서정동 817-3","경기도 평택시 관광특구로 31 (서정동)","17774","W당구장(당구클럽)","2026-04-01 13:28:39","U","2026-04-03 02:40:00","","205492.236552315","396154.00193992","당구장업","사립","","0","0","2927.18","0","","",
"4","당구장업","10_32_01_P","4540000","CDFH3301082019000002","2019-03-25","","03","폐업","03","폐업","2026-04-01","","","","733-5533","","","충청남도 논산시 취암동 1056-12","충청남도 논산시 중앙로410번길 19-12, 3층 301호 (취암동)","32974","알다마다당구장","2026-04-01 16:39:29","U","2026-04-03 02:40:00","","207981.600230057","300202.149401506","당구장업","사립","","0","0","0","0","","",
"5","당구장업","10_32_01_P","4201000","CDFH3301082019000005","2019-08-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 노암동 660","강원특별자치도 강릉시 임영로 13, 2층 (노암동)","25595","구슬모아 당구장","2026-04-01 10:13:34","U","2026-04-03 02:40:00","","367046.089679323","472920.224524339","당구장업","사립","","0","1","1980.51","0","","",
"6","당구장업","10_32_01_P","3600000","CDFH3301082016000013","2016-09-30","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 치평동 1306-17","광주광역시 서구 마륵로 126, 2층 (치평동)","61961","히든당구장","2026-04-01 18:12:30","U","2026-04-03 02:40:00","","185813.171347226","183041.86371487","당구장업","사립","","0","0","0","0","","",
"7","당구장업","10_32_01_P","3780000","CDFH3301082004000034","2004-11-23","","01","영업/정상","13","영업중","","","","","701-4555","","463-856","경기도 성남시 분당구 야탑동 291-3 2층","경기도 성남시 분당구 매화로 42 (야탑동,2층)","","월드 캐롬 클럽","2026-04-01 17:31:57","U","2026-04-03 02:40:00","","211808.798970955","434364.522443273","당구장업","사립","","0","0","0","0","","",
"8","당구장업","10_32_01_P","3560000","CDFH3301082012000012","2012-08-27","","03","폐업","03","폐업","2026-04-01","","","","","","404-180","인천광역시 서구 청라동 167-4 우성메디피아 501~502호","인천광역시 서구 청라에메랄드로102번길 8, 501~502호 (연희동, 우성메디피아)","22739","애플당구장","2026-04-01 16:54:43","U","2026-04-03 02:40:00","","169597.594481518","448018.399319865","당구장업","사립","","0","0","0","0","","",
"9","당구장업","10_32_01_P","3560000","CDFH3301082014000009","2014-11-27","","01","영업/정상","13","영업중","","","","","","","404-835","인천광역시 서구 심곡동 333-15","인천광역시 서구 탁옥로 17, 3층 (심곡동)","22724","스타 당구장","2026-04-01 17:01:51","U","2026-04-03 02:40:00","","170892.364477137","449159.927290198","당구장업","사립","","0","0","0","0","","",
"10","당구장업","10_32_01_P","4390000","CDFH3301082021000008","2021-09-14","","01","영업/정상","13","영업중","","","","","","","","충청북도 충주시 성서동 505","충청북도 충주시 성서7길 2, 2층 (성서동)","27387","태양 당구장","2026-04-01 09:31:56","U","2026-04-03 02:40:00","","282915.464251114","385728.025489464","당구장업","사립","","0","0","0","0","","",
