"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6410000","201964100002040002-20190321","2019-03-21","","01","영업/정상","0","운영","","","","","0315516565","","","경기도 구리시 수택동 504-2 세진빌딩 4호","경기도 구리시 검배로 61, 세진빌딩 4층 (수택동)","","구리제일요양보호사교육원","2026-02-02 17:14:05","U","2026-02-04 02:40:00","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6300000","201063000000040001-20100629","2010-06-29","","02","휴업","2","휴지","","2025-02-03","2026-02-02","","0425840011","","","대전광역시 중구 태평동 381번지 17호 2층","대전광역시 중구 동서대로 1220, 2층 (태평동)","","세종요양보호사교육원","2026-02-02 13:23:02","U","2026-02-04 02:40:00","","235340.476891966","313913.928270433","","","","",
"3","요양보호사교육기관","11_49_01_P","6410000","201864100002040010-20180529","2018-05-29","","01","영업/정상","0","운영","","","","","07086113535","","","경기도 고양시 일산동구 장항동 863-2 일호골든타워","경기도 고양시 일산동구 정발산로 11, 7층701호,702호 (장항동)","41285","수레요양보호사교육원","2026-02-02 17:09:37","U","2026-02-04 02:40:00","","179650.952445261","461600.790850072","","","","",
"4","요양보호사교육기관","11_49_01_P","6410000","202464100001040003-20240110","2024-01-10","","01","영업/정상","0","운영","","","","","0319983811","","","경기도 김포시 마산동 621-15 골든하임 207,208호","경기도 김포시 김포한강3로 432, 골든하임 207,208호 (마산동)","","성실요양보호사교육원","2026-02-02 16:30:02","U","2026-02-04 02:40:00","","","","","","","",
"5","요양보호사교육기관","11_49_01_P","6260000","202262600000040003-20220829","2022-08-29","","01","영업/정상","0","운영","","","","","0519280508","","","부산광역시 사상구 괘법동 554-11 비철금속","부산광역시 사상구 사상로163번길 20, 비철금속 2층(괘법동)","","온정 요양보호사교육원","2026-02-02 17:20:37","U","2026-02-04 02:40:00","","","","","","","",
"6","요양보호사교육기관","11_49_01_P","6410000","202464100001040035-20241118","2024-11-18","","01","영업/정상","0","운영","","","","","0318575000","","","경기도 동두천시 생연동 641-24 2층호","경기도 동두천시 정장로 51, 2층 (생연동)","","인재개발요양보호사교육원","2026-02-02 16:27:11","U","2026-02-04 02:40:00","","","","","","","",
"7","요양보호사교육기관","11_49_01_P","6260000","201062600000040073-20101011","2010-10-11","","01","영업/정상","0","운영","","","","","0515245243","","","부산광역시 동래구 명장동   29번지 124호","부산광역시 동래구 명안로85번길 52, 명장랜드마크 8층 (명장동)","","새원 요양보호사교육원","2026-01-30 14:27:17","U","2026-02-04 11:04:37","","391247.903308578","191464.279275904","","","","",
"8","요양보호사교육기관","11_49_01_P","6410000","202264100001040026-20220404","2022-04-04","","01","영업/정상","0","운영","","","","","0323253007","","","경기도 부천시 원미구 상동 400번지 중동다모아쇼핑타운 904·907호","경기도 부천시 원미구 상일로 82, 중동다모아쇼핑타운 904·907호 (상동)","41192","미리요양보호사교육원","2026-01-30 10:42:21","U","2026-02-04 11:04:37","","177961.836844054","443263.90393206","","","","",
"9","요양보호사교육기관","11_49_01_P","6470000","201164700000040076-20110713","2011-07-13","","01","영업/정상","0","운영","","","","","0543339927","","","경상북도 영천시 완산동 1411번지 5층","경상북도 영천시 시장로 120 (완산동)","47230","대안요양보호사교육원","2026-01-30 10:24:53","U","2026-02-04 11:04:37","","375279.102269532","275433.102592939","","","","",
"10","요양보호사교육기관","11_49_01_P","6410000","202664100001040002-20260204","2026-02-04","","01","영업/정상","0","운영","","","","","0312708812","","","경기도 용인시 기흥구 마북동 142-12 칼빈대학교 대학본부동 1,2호","경기도 용인시 기흥구 마북로 184, 칼빈대학교 대학본부동 1,2층 (마북동)","","칼빈대학교 요양보호사교육원","2026-02-04 11:00:05","I","2026-02-06 00:20:02","","","","","","","",
