번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,Unnamed: 47,record_key
2022,집단급식소,07_21_02_P,5710000,5710000-105-2026-00003,2026-02-13,,1,영업/정상,1,영업,,,,,043290 1000,156.16,360-817,충청북도 청주시 청원구 율량동 500-3,"충청북도 청주시 청원구 충청대로 114, 지하2층 (율량동)",28320.0,엔포드 청주호텔 중원산업,2026-02-13 15:17:51,I,2026-02-15 00:20:02,산업체,244184.944567344,351834.595747257,산업체,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,156.16,,,,,엔포드청주호텔중원산업_충청북도청주시청원구율량동500-3
2028,집단급식소,07_21_02_P,5590000,5590000-105-2026-00003,2026-02-13,,1,영업/정상,1,영업,,,,,,230.77,482-130,"경기도 양주시 옥정동 963-4 1101,1102호","경기도 양주시 옥정로 222, 1101,1102호 (옥정동)",11473.0,사랑나눔주야간보호센터,2026-02-13 17:24:46,I,2026-02-15 00:20:02,사회복지시설,208043.505977284,479875.38250011,사회복지시설,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,22.03,,,,,"사랑나눔주야간보호센터_경기도양주시옥정동963-41101,1102호"
2027,집단급식소,07_21_02_P,3500000,3500000-105-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,,21.09,401-823,인천광역시 동구 송림동 51-63 어린이집,"인천광역시 동구 샛골로184번길 10, 어린이집 3층 (송림동)",22544.0,송림어린이집,2026-02-13 13:50:47,I,2026-02-15 00:20:02,어린이집,168602.06567688,441867.201209167,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,17.5,,,,,송림어린이집_인천광역시동구송림동51-63어린이집
2026,집단급식소,07_21_02_P,4080000,4080000-105-2026-00004,2026-02-13,,1,영업/정상,1,영업,,,,,,121.96,456-893,경기도 안성시 죽산면 매산리 687-3 가동 1층,"경기도 안성시 죽산면 죽양대로 197-22, 가동 1층",17518.0,안성요양원,2026-02-13 16:50:21,I,2026-02-15 00:20:02,사회복지시설,238266.873021456,399520.563356081,사회복지시설,0.0,0.0,,,지하수전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,121.96,,,,,안성요양원_경기도안성시죽산면매산리687-3가동1층
2020,집단급식소,07_21_02_P,3620000,3620000-105-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,311.51,500-701,광주광역시 북구 용봉동 239-2 북구청 신관 1층,"광주광역시 북구 우치로 77, 북구청 신관 1층 (용봉동)",61187.0,광주광역시 북구청,2026-02-13 10:45:37,I,2026-02-15 00:20:02,공공기관,191936.062069264,186126.032423704,공공기관,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,311.51,,,,,광주광역시북구청_광주광역시북구용봉동239-2북구청신관1층
2025,집단급식소,07_21_02_P,3530000,3530000-105-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,031 295 1550,165.91,405-848,인천광역시 남동구 논현동 438-7,"인천광역시 남동구 남동동로277번길 24, A동 지하1층 일부호 (논현동)",21639.0,주식회사 에스테르,2026-02-13 13:55:55,I,2026-02-15 00:20:02,산업체,173849.312287652,434112.756983122,산업체,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,165.91,,,,,주식회사에스테르_인천광역시남동구논현동438-7
2021,집단급식소,07_21_02_P,4010000,4010000-105-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,66.0,429-845,경기도 시흥시 정왕동 1 시흥시환경미화타운,"경기도 시흥시 뒷방울길 80, 시흥시환경미화타운 가.공장동 1층 일부호 (정왕동)",15007.0,시흥시환경미화타운,2026-02-13 17:25:11,I,2026-02-15 00:20:02,기타 집단급식소,178415.477913612,429982.431301423,기타 집단급식소,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,시흥시환경미화타운_경기도시흥시정왕동1시흥시환경미화타운
2023,집단급식소,07_21_02_P,4840000,4840000-105-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,281.7,545-090,전라남도 광양시 금호동 880 광양LNG터미널 3층중 1층일부,"전라남도 광양시 제철로 2148-581, 광양LNG터미널 3층중 1층일부 (금호동)",57812.0,주식회사 포스코인터내셔널,2026-02-13 21:09:03,I,2026-02-15 00:20:02,산업체,271216.430730326,154729.46948111,산업체,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,54.0,,,,,주식회사포스코인터내셔널_전라남도광양시금호동880광양LNG터미널3층중1층일부
1932,집단급식소,07_21_02_P,5380000,5380000-105-2026-00002,2026-02-12,,1,영업/정상,1,영업,,,,,,721.09,626-823,경상남도 양산시 동면 사송리 산 57-58 사송고등학교,"경상남도 양산시 동면 외송로 21, 사송고등학교 1층",50659.0,사송고등학교,2026-02-12 16:04:03,I,2026-02-14 00:20:02,학교,388584.813506564,203309.347468197,학교,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,290.19,,,,,사송고등학교_경상남도양산시동면사송리산57-58사송고등학교
1926,집단급식소,07_21_02_P,4080000,4080000-105-2026-00003,2026-02-12,,1,영업/정상,1,영업,,,,,03180528288,79.25,456-060,경기도 안성시 영동 30 성민빌딩 5층,"경기도 안성시 중앙로411번길 8, 성민빌딩 5층 (영동)",17589.0,바른정형외과의원,2026-02-12 10:22:53,I,2026-02-14 00:20:02,병원,224206.179059936,389533.231341686,병원,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,79.25,,,,,바른정형외과의원_경기도안성시영동30성민빌딩5층
1928,집단급식소,07_21_02_P,3820000,3820000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,21.55,480-821,경기도 의정부시 금오동 65-3,"경기도 의정부시 금오로95번길 16, 힐스테이트금오더퍼스트 지상1층 (금오동)",11765.0,공립금오더퍼스트어린이집,2026-02-12 14:23:45,I,2026-02-14 00:20:02,어린이집,206666.381757445,472878.326426452,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,21.55,,,,,공립금오더퍼스트어린이집_경기도의정부시금오동65-3
1929,집단급식소,07_21_02_P,3270000,3270000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,051773 6410,0.0,601-812,부산광역시 동구 수정동 3,"부산광역시 동구 중앙대로361번길 14, 해양수산부 2~3층 (수정동)",48789.0,예그리나어린이집,2026-02-12 16:45:39,I,2026-02-14 00:20:02,어린이집,386554.375537144,182969.445397226,어린이집,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,예그리나어린이집_부산광역시동구수정동3
1930,집단급식소,07_21_02_P,3110000,3110000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,1093.0,122-802,서울특별시 은평구 갈현동 240-1 선일학교,"서울특별시 은평구 갈현로29길 27, 선일학교 (갈현동)",3322.0,선일빅데이터고등학교,2026-02-12 16:29:07,I,2026-02-14 00:20:02,학교,192203.175160351,457491.95841735,학교,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,169.0,,,,,선일빅데이터고등학교_서울특별시은평구갈현동240-1선일학교
1931,집단급식소,07_21_02_P,4400000,4400000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,043220 5410,716.04,390-892,충청북도 제천시 신백동 44-2 2층 교육동,"충청북도 제천시 관전로 116, 교육동 2층 (신백동)",27178.0,충청북도자치연수원,2026-02-12 18:00:54,I,2026-02-14 00:20:02,공공기관,309331.496209186,404515.634050788,공공기관,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,100.58,,,,,충청북도자치연수원_충청북도제천시신백동44-22층교육동
1936,집단급식소,07_21_02_P,3900000,3900000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,0226867603,16.56,423-010,경기도 광명시 광명동 785 광명 해모로 이연 아파트,"경기도 광명시 목감로 58, 관리동 1층 (광명동, 광명 해모로 이연 아파트)",14295.0,자연숲어린이집,2026-02-12 17:47:38,I,2026-02-14 00:20:02,어린이집,186442.311166067,441180.587238876,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,16.56,,,,,자연숲어린이집_경기도광명시광명동785광명해모로이연아파트
1927,집단급식소,07_21_02_P,4830000,4830000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,0.0,520-350,전라남도 나주시 빛가람동 186 한국전력거래소,"전라남도 나주시 빛가람로 625, 한국전력거래소 (빛가람동)",58322.0,반디꿈어린이집,2026-02-12 13:39:49,I,2026-02-14 00:20:02,어린이집,179890.833603163,169306.726051904,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,반디꿈어린이집_전라남도나주시빛가람동186한국전력거래소
2024,집단급식소,07_21_02_P,3830000,3850000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,,0.0,431-825,경기도 안양시 동안구 비산동 1059 비산동 키즈맘센터,"경기도 안양시 동안구 관악대로 272, 비산동 키즈맘센터 3,4,5층 320, F20, 550호 (비산동)",13944.0,주)마인즈온에듀,2026-02-13 09:51:10,I,2026-02-15 00:20:02,기타 집단급식소,195768.441345668,433306.804031828,기타 집단급식소,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,주)마인즈온에듀_경기도안양시동안구비산동1059비산동키즈맘센터
1935,집단급식소,07_21_02_P,5590000,5590000-105-2026-00002,2026-02-12,,1,영업/정상,1,영업,,,,,,15.31,482-130,경기도 양주시 옥정동 1022 ELIF 옥정 시그니처 어린이집 1층 일부,"경기도 양주시 옥정동로9길 35, 어린이집동 1층 일부호 (옥정동, ELIF 옥정 시그니처)",11466.0,공립 시그니처 루아 어린이집,2026-02-12 11:42:23,I,2026-02-14 00:20:02,어린이집,208458.205901061,481180.508803952,어린이집,0.0,0.0,,,상수도전용,0.0,10,0.0,0.0,0.0,,0.0,0.0,N,15.31,,,,,공립시그니처루아어린이집_경기도양주시옥정동1022ELIF옥정시그니처어린이집1층일부
1933,집단급식소,07_21_02_P,4950000,4950000-105-2026-00003,2026-02-12,,1,영업/정상,1,영업,,,,,0619419880,654.16,,전라남도 무안군 일로읍 오룡리 321 사랑유치원,"전라남도 무안군 일로읍 오룡번영1로 28, 사랑유치원",58582.0,무안사랑유치원,2026-02-12 11:48:37,I,2026-02-14 00:20:02,어린이집,,,어린이집,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,151.74,,,,,무안사랑유치원_전라남도무안군일로읍오룡리321사랑유치원
1937,집단급식소,07_21_02_P,3140000,3140000-105-2026-00002,2026-02-12,,1,영업/정상,1,영업,,,,,,854.5,158-822,서울특별시 양천구 신월동 17-7 신화중학교,"서울특별시 양천구 남부순환로29길 35, 신화중학교 (신월동)",7902.0,신화중학교,2026-02-12 17:44:23,I,2026-02-14 00:20:02,학교,184910.787241097,448723.039465856,학교,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,292.7,,,,,신화중학교_서울특별시양천구신월동17-7신화중학교
1934,집단급식소,07_21_02_P,4060000,4060000-105-2026-00001,2026-02-12,,1,영업/정상,1,영업,,,,,031 80712325,267.7,413-843,경기도 파주시 탄현면 축현리 1021,"경기도 파주시 탄현면 축현산단로 87-15, 1층 일부호",10846.0,코스탈주식회사,2026-02-12 14:53:51,I,2026-02-14 00:20:02,산업체,177701.42895107,478116.177877369,산업체,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,89.9,,,,,코스탈주식회사_경기도파주시탄현면축현리1021
1870,집단급식소,07_21_02_P,4490000,5660000-105-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,,60.0,331-949,충청남도 천안시 서북구 쌍용동 1057 하나빌딩,"충청남도 천안시 서북구 서부대로 410, 5층 (쌍용동)",31155.0,명품노인전문요양원,2026-02-11 14:39:38,I,2026-02-13 00:20:38,사회복지시설,211339.070605794,366938.04973253,사회복지시설,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,60.0,,,,,명품노인전문요양원_충청남도천안시서북구쌍용동1057하나빌딩
1871,집단급식소,07_21_02_P,3660000,3660000-105-2026-00002,2026-02-11,,1,영업/정상,1,영업,,,,,,,302-869,대전광역시 서구 둔산동 1255,"대전광역시 서구 둔산남로 46, 5,6층 (둔산동)",35235.0,마음쉼한방병원,2026-02-11 16:56:39,I,2026-02-13 00:20:38,병원,234272.04,316468.44,병원,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,마음쉼한방병원_대전광역시서구둔산동1255
1873,집단급식소,07_21_02_P,5380000,5380000-105-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,055 785 2088,121.94,626-800,경상남도 양산시 북부동 462-24,"경상남도 양산시 양산대로 822, 9층 (북부동)",50619.0,이손요양원,2026-02-11 11:54:49,I,2026-02-13 00:20:38,사회복지시설,384898.058354857,206860.235353511,사회복지시설,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,87.6,,,,,이손요양원_경상남도양산시북부동462-24
1874,집단급식소,07_21_02_P,3130000,3130000-105-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,,16.83,121-867,서울특별시 마포구 연남동 370-6 연남어린이집,"서울특별시 마포구 연남로7길 32-10, 연남어린이집 (연남동)",3975.0,연남어린이집,2026-02-11 17:57:15,I,2026-02-13 00:20:38,어린이집,192723.481520332,451301.048490151,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,16.83,,,,,연남어린이집_서울특별시마포구연남동370-6연남어린이집
1872,집단급식소,07_21_02_P,5090000,5090000-105-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,054 630 0314,111.12,750-882,경상북도 영주시 문수면 적동리 125-4 영주소방서,"경상북도 영주시 문수면 적서로448번길 17, 영주소방서",36171.0,영주소방서,2026-02-11 15:14:44,I,2026-02-13 00:20:38,공공기관,345693.560794935,366834.049242266,공공기관,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,36.75,,,,,영주소방서_경상북도영주시문수면적동리125-4영주소방서
1925,집단급식소,07_21_02_P,5530000,5740000-105-2026-00002,2026-02-10,,1,영업/정상,1,영업,,,,,,82.65,,경기도 화성시 만세구 남양읍 남양리 273-6,"경기도 화성시 만세구 남양읍 화성로1081번길 89-4, 지하 1층 일부호",18254.0,하나재활요양원,2026-02-12 13:17:22,I,2026-02-14 00:20:02,사회복지시설,182188.093535892,412352.28063643,사회복지시설,0.0,0.0,,,상수도전용,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,40.81,,,,,하나재활요양원_경기도화성시만세구남양읍남양리273-6
1821,집단급식소,07_21_02_P,3910000,3910000-105-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,,19.0,450-040,경기도 평택시 통복동 767 평택역경남아너스빌디아트,"경기도 평택시 통복길 5, 101동 2층 (통복동, 평택역경남아너스빌디아트)",17893.0,디아트어린이집,2026-02-10 11:17:51,I,2026-02-12 00:20:02,어린이집,207231.638808092,388468.082231847,어린이집,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,19.0,,,,,디아트어린이집_경기도평택시통복동767평택역경남아너스빌디아트
1818,집단급식소,07_21_02_P,3930000,5560000-105-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,,,425-836,경기도 안산시 단원구 성곡동 689-6 툴리스러쎌코터스코리아(주) 바동 3층,"경기도 안산시 단원구 진흥로24번길 15, 툴리스러쎌코터스코리아(주) 바동 3층 (성곡동)",15618.0,툴리스러쎌코터스코리아 주식획사,2026-02-10 16:21:11,I,2026-02-12 00:20:02,산업체,176749.221363713,423178.231123477,산업체,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,툴리스러쎌코터스코리아주식획사_경기도안산시단원구성곡동689-6툴리스러쎌코터스코리아(주)바동3층
1823,집단급식소,07_21_02_P,4820000,4820000-105-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,,25.57,540-968,전라남도 순천시 조례동 1603-11 1층,"전라남도 순천시 장선배기길 27, 1층 (조례동)",57968.0,한아름주야간보호센터,2026-02-10 09:27:40,I,2026-02-12 00:20:02,사회복지시설,247922.510136936,161777.25946902,사회복지시설,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,25.57,,,,,한아름주야간보호센터_전라남도순천시조례동1603-111층
1822,집단급식소,07_21_02_P,4681000,4681000-105-2026-00002,2026-02-10,,1,영업/정상,1,영업,,,,,,182.1,,전북특별자치도 익산시 용안면 동지산리 422-1,"전북특별자치도 익산시 용안면 동지산안대길 46, 사무동 1층",54508.0,솔루스첨단소재(주),2026-02-10 09:45:48,I,2026-02-12 00:20:02,산업체,,,산업체,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,54.72,,,,,솔루스첨단소재(주)_전북특별자치도익산시용안면동지산리422-1
1819,집단급식소,07_21_02_P,3310000,3310000-105-2026-00002,2026-02-10,,1,영업/정상,1,영업,,,,,051 621 5003,82.53,608-833,부산광역시 남구 용호동 295,"부산광역시 남구 동명로101번길 37-7, 지하1층 (용호동)",48521.0,해피실버타운,2026-02-10 16:48:49,I,2026-02-12 00:20:02,사회복지시설,392028.530289989,182305.263485033,사회복지시설,0.0,0.0,,,,0.0,0,0.0,0.0,0.0,,0.0,0.0,N,82.53,,,,,해피실버타운_부산광역시남구용호동295
