번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,사업자등록번호,Unnamed: 52,record_key
37,환경컨설팅회사,09_30_18_P,6410000,641000020202300020,2026-02-26,,1,영업/정상,N,신규,,,,,,,15434.0,경기도 안산시 단원구 원시동 784-2 타원TAKRAV지식산업센터 707호,"경기도 안산시 단원구 별망로 555, 타원TAKRAV지식산업센터 7층 707호 (원시동)",15434.0,(주)다우환경,2026-02-26 15:49:48,U,2026-02-28 02:40:00,,181041.227729424,422140.831653563,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)다우환경_경기도안산시단원구원시동784-2타원TAKRAV지식산업센터707호
35,환경컨설팅회사,09_30_18_P,6410000,641000020201500007,2026-02-26,,1,영업/정상,N,신규,,,,,,,,경기도 안산시 단원구 성곡동 802번지,경기도 안산시 단원구 엠티브이10로10번길 5 (성곡동),0.0,㈜하이텍환경,2026-02-26 15:50:12,U,2026-02-28 02:40:00,,177030.533761654,422661.039947603,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1408110692.0,,㈜하이텍환경_경기도안산시단원구성곡동802번지
28,환경컨설팅회사,09_30_18_P,6470000,647000020202600002,2026-02-26,,1,영업/정상,N,신규,,,,,544573335.0,,39436.0,경상북도 구미시 인의동 671-4 정도빌딩,"경상북도 구미시 인동15길 15, 정도빌딩 (인의동)",39436.0,정도환경(주),2026-02-26 16:52:28,I,2026-02-28 00:20:02,,328397.972394601,289837.05574048,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,4388100510.0,,정도환경(주)_경상북도구미시인의동671-4정도빌딩
31,환경컨설팅회사,09_30_18_P,6410000,641000020202400029,2026-02-26,,1,영업/정상,N,신규,,,,,,,15415.0,경기도 안산시 단원구 성곡동 712-3 (주)애슬런트,"경기도 안산시 단원구 정왕천동로70번길 18, (주)애슬런트 1동 (성곡동)",15415.0,(주)애슬런트,2026-02-26 15:50:38,U,2026-02-28 02:40:00,,176050.36,424071.41,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)애슬런트_경기도안산시단원구성곡동712-3(주)애슬런트
32,환경컨설팅회사,09_30_18_P,6460000,646000020202400001,2026-02-26,,1,영업/정상,N,신규,,,,,,,59054.0,전라남도 해남군 북평면 오산리 1103-2,전라남도 해남군 북평면 용수길 55-12,59054.0,(주)도향,2026-02-26 09:30:42,U,2026-02-28 02:40:00,,167375.019473458,103389.274938557,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)도향_전라남도해남군북평면오산리1103-2
34,환경컨설팅회사,09_30_18_P,6410000,641000020201500002,2026-02-26,,1,영업/정상,N,신규,,,,,,,14118.0,경기도 안양시 동안구 호계동 555-34 안양2차SKV1center 928호,"경기도 안양시 동안구 엘에스로116번길 118, 안양2차SKV1center 928호 (호계동)",14118.0,㈜가비,2026-02-26 14:54:58,U,2026-02-28 02:40:00,,195300.972963617,430335.232081331,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1238641666.0,,㈜가비_경기도안양시동안구호계동555-34안양2차SKV1center928호
30,환경컨설팅회사,09_30_18_P,6300000,630000020201700002,2026-02-26,,1,영업/정상,N,신규,,,,,,,34016.0,대전광역시 유성구 관평동 1359번지 한신에스메카 758호,"대전광역시 유성구 테크노3로 65, 한신에스메카 7층 758호 (관평동)",34016.0,(주)유퍼스트경영컨설팅,2026-02-26 17:20:50,U,2026-02-28 02:40:00,,234968.933701246,325442.543051499,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3148602838.0,,(주)유퍼스트경영컨설팅_대전광역시유성구관평동1359번지한신에스메카758호
29,환경컨설팅회사,09_30_18_P,6470000,647000020202600003,2026-02-26,,3,폐업,Q,폐업,2026-02-26,,,,544573335.0,,,경상북도 구미시 인의동 671-4 정도빌딩,"경상북도 구미시 인동15길 15, 정도빌딩 (인의동)",,정도환경 주식회사,2026-02-26 17:55:42,I,2026-02-28 00:20:02,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,정도환경주식회사_경상북도구미시인의동671-4정도빌딩
36,환경컨설팅회사,09_30_18_P,6410000,641000020202500011,2026-02-26,,1,영업/정상,N,신규,,,,,,,,경기도 부천시 원미구 도당동 95-2 y-제니스파크 306호,"경기도 부천시 원미구 부천로 323, y-제니스파크 306호 (도당동)",,주식회사 채움환경,2026-02-26 16:04:04,U,2026-02-28 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,주식회사채움환경_경기도부천시원미구도당동95-2y-제니스파크306호
26,환경컨설팅회사,09_30_18_P,6410000,641000020202500001,2026-02-24,,1,영업/정상,N,신규,,,,,,,,"경기도 안양시 만안구 안양동 218번지 명지e스페이스 305,605호","경기도 안양시 만안구 덕천로 34, 명지e스페이스 305,605호 (안양동)",,명화환경산업(주),2026-02-24 18:55:08,U,2026-02-26 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,"명화환경산업(주)_경기도안양시만안구안양동218번지명지e스페이스305,605호"
