"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체육도장업","10_41_01_P","3670000","CDFH3301022026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 노은동 534-15","대전광역시 유성구 노은동로75번길 20, 2층 201호 (노은동)","34091","한국체대 파워복싱","2026-04-01 15:27:58","I","2026-04-03 00:20:02","권투","228859.445","318555.949999999","체육도장업","사립","","1","0","0","0","","",
"2","체육도장업","10_41_01_P","3560000","CDFH3301022026000014","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 가정동 515-3","인천광역시 서구 원창로 226-3, 3층 (가정동)","22783","트리거복싱짐","2026-04-01 13:46:56","I","2026-04-03 00:20:02","권투","171160.669045789","446173.269739986","체육도장업","사립","","0","0","0","0","","",
"3","체육도장업","10_41_01_P","4510000","CDFH3301021996000001","1996-07-22","","01","영업/정상","13","영업중","","","","","041-933-2244","","","충청남도 보령시 동대동 1609","충청남도 보령시 큰오랏6길 46 (동대동)","33433","대천검도관","2026-04-01 17:14:12","U","2026-04-03 02:40:00","검도","164759.034642625","316498.947907357","체육도장업","사립","","1","1","918.05","0","","",
"4","체육도장업","10_41_01_P","4510000","CDFH3301021998000001","1998-08-11","","01","영업/정상","13","영업중","","","","","041-934-1314","","","충청남도 보령시 대천동 119-2","충청남도 보령시 대천로 58 (대천동)","33438","용인대반석태권도교육관","2026-04-01 17:15:05","U","2026-04-03 02:40:00","태권도","163986.178110977","316995.053142865","체육도장업","사립","","1","1","887.43","0","","",
"5","체육도장업","10_41_01_P","4510000","CDFH3301022000000002","2000-12-12","","01","영업/정상","13","영업중","","","","","041-931-4466","","","충청남도 보령시 죽정동 735-27","충청남도 보령시 지장골길 158, 2층 (죽정동)","33443","경희대효태권도장","2026-04-01 17:16:01","U","2026-04-03 02:40:00","태권도","163945.957410747","317922.113542751","체육도장업","사립","","1","1","998.2","0","","",
"6","체육도장업","10_41_01_P","4510000","CDFH3301022002000003","2002-06-03","","01","영업/정상","13","영업중","","","","","0507-1457-4969","","","충청남도 보령시 대천동 395-45","충청남도 보령시 청수로길 74, 3층 (대천동)","33453","마스터태권도장","2026-04-01 17:17:22","U","2026-04-03 02:40:00","태권도","163009.803864832","317053.079537432","체육도장업","사립","","1","1","613.15","0","","",
"7","체육도장업","10_41_01_P","4490000","CDFH3301022001000005","2001-05-08","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 526-2 극동늘푸른아파트","충청남도 천안시 서북구 늘푸른6길 42, 301~302호 (두정동, 극동늘푸른아파트)","31099","온새미로 태권도장","2026-04-01 10:08:19","U","2026-04-03 02:40:00","태권도","211699.276528722","369640.619098503","체육도장업","사립","","0","0","0","0","","",
"8","체육도장업","10_41_01_P","3740000","CDFH3301022003000028","2003-01-21","","01","영업/정상","13","영업중","","","","","258-3424","","442-870","경기도 수원시 팔달구 화서동 649-2","경기도 수원시 팔달구 덕영대로697번길 34 (화서동)","","지음태권도장","2026-04-01 20:29:27","U","2026-04-03 02:40:00","","199222.690352437","420331.541554465","체육도장업","사립","","0","0","0","0","","",
"9","체육도장업","10_41_01_P","3990000","CDFH3301022015000001","2015-01-06","","01","영업/정상","13","영업중","","","","","031-529-1555","","472-501","경기도 남양주시 별내동 826 천보프라자 604호","경기도 남양주시 별내3로 340, 604호 (별내동, 천보프라자)","12097","명인태권도장","2026-04-01 16:27:57","U","2026-04-03 02:40:00","","210223.646988094","462816.418807795","체육도장업","사립","","1","0","0","0","","",
"10","체육도장업","10_41_01_P","3670000","CDFH3301022020000007","2020-03-31","","01","영업/정상","13","영업중","","","","","042-544-9990","","","대전광역시 유성구 교촌동 623-7 2층","대전광역시 유성구 진잠로149번길 29, 2층 (교촌동)","34225","용치관 드림합기도","2026-04-01 09:12:48","U","2026-04-03 02:40:00","합기도","228439.287295082","311609.052859852","체육도장업","사립","","0","1","0","0","","",
