"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"1","안전상비의약품 판매업소","01_01_05_P","3200000","PHMH320263200033087500003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 신림동 95-53","서울특별시 관악구 참숯5길 12, 1층 (신림동)","08829","지에스(GS)25 관악이편한점","2026-04-01 15:53:25","I","2026-04-03 00:20:02","","194656.426343828","441654.982514438","0",
"2","안전상비의약품 판매업소","01_01_05_P","5710000","PHMH320265710109087500003","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 청원구 율량동 2036","충청북도 청주시 청원구 율량로190번길 45, 103호 (율량동)","28320","(주)코리아세븐 청주센터점","2026-04-01 15:23:39","I","2026-04-03 00:20:02","","244303.245","351685.52","55.55",
"3","안전상비의약품 판매업소","01_01_05_P","3620000","PHMH320263620020087500012","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 동림동 44-35","광주광역시 북구 북문대로247번길 34, 1층 (동림동)","61265","세븐일레븐 광주동림삼호가든점","2026-04-01 13:35:33","I","2026-04-03 00:20:02","","187582.782821414","187431.375146703","0",
"4","안전상비의약품 판매업소","01_01_05_P","3660000","PHMH320263660023087500004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","","대전광역시 서구 월평중로13번길 22, 1층 101호 (월평동)","35225","세븐일레븐 대전월평행복점","2026-04-01 15:58:58","I","2026-04-03 00:20:02","","232485.153965712","317279.831131617","72.6",
"5","안전상비의약품 판매업소","01_01_05_P","3410000","PHMH320263410023087500004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대구광역시 중구 북성로1가 32-1","대구광역시 중구 북성로 83, 1층 (북성로1가)","41917","세븐일레븐 대구북성로점","2026-04-01 16:52:26","I","2026-04-03 00:20:02","","343650.349168519","264960.405900379","53",
"6","안전상비의약품 판매업소","01_01_05_P","3050000","PHMH320263050034087500002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 이문동 149-8","서울특별시 동대문구 이문로 120, 1층 D111호 (이문동)","02418","이마트24 이문대장점","2026-04-01 13:28:14","I","2026-04-03 00:20:02","","205541.211931615","455132.605075423","3.3",
"7","안전상비의약품 판매업소","01_01_05_P","3480000","PHMH320263480012087500005","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","","대구광역시 달성군 다사읍 다사로 71, 201동 B101호 (다사역 금호어울림 센트럴)","42909","세븐일레븐 다사금호점","2026-04-01 11:49:26","I","2026-04-03 00:20:02","","","","80",
"8","안전상비의약품 판매업소","01_01_05_P","5100000","PHMH320175100028087500002","2017-06-02","","01","영업/정상","13","영업중","","","","","","","","","경상북도 영천시 호국로 70 (야사동)","38860","CU영천동부점","2026-04-01 11:14:10","U","2026-04-03 02:40:00","","375419.849513961","276574.504205595","102",
"9","안전상비의약품 판매업소","01_01_05_P","5700000","PHMH320175700008087500012","2017-06-23","","01","영업/정상","13","영업중","","","","","","","","","경기도 여주시 여흥로4번길 11 (하동)","12618","GS25 여주하동점","2026-04-01 16:36:19","U","2026-04-03 02:40:00","","255354.973215392","422249.439215256","73",
"10","안전상비의약품 판매업소","01_01_05_P","3290000","PHMH320193290024087500007","2019-04-25","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 당감동 569번지 38호","부산광역시 부산진구 가야대로679번길 146, 1층 (당감동)","47272","씨유 부산당감중앙점","2026-04-01 21:24:02","U","2026-04-03 02:40:00","","385706.823646385","186014.058256982","60",
"11","안전상비의약품 판매업소","01_01_05_P","5370000","PHMH320195370025087500013","2019-05-08","","03","폐업","03","폐업","2026-03-26","","","","","","","경상남도 거제시 장승포동 698번지 3호","경상남도 거제시 장승포로2길 25, 구)자연산횟집 (장승포동)","53320","세븐일레븐 거제장승포항점","2026-04-01 16:38:24","U","2026-04-03 02:40:00","","357928.61967832","153468.207754911","0",
"12","안전상비의약품 판매업소","01_01_05_P","3200000","PHMH320193200033087500027","2019-06-24","","03","폐업","03","폐업","2026-04-01","","","","","","","서울특별시 관악구 신림동 95번지 53호 영어린이집","서울특별시 관악구 참숯5길 12, 1층 (신림동)","08829","지에스25 관악이편한점","2026-04-01 15:45:02","U","2026-04-03 02:40:00","","194656.426343828","441654.982514438","0",
"13","안전상비의약품 판매업소","01_01_05_P","4191000","PHMH320234190023087500003","2023-01-18","","03","폐업","03","폐업","2026-04-01","","","","1577-0711","","","강원특별자치도 원주시 태장동 891-1 영진2차아파트","강원특별자치도 원주시 현충로 157, 영진2차아파트 상가동 101호 (태장동)","26320","(주)코리아세븐 원주태장영진점","2026-04-01 13:39:44","U","2026-04-03 02:40:00","","284094.583228923","430001.237603248","3.3",
"14","안전상비의약품 판매업소","01_01_05_P","4241000","PHMH320214240025087500010","2021-10-25","","03","폐업","03","폐업","2026-03-31","","","","033-573-7771","","","","강원특별자치도 삼척시 대학로 18(당저동)","25920","세븐일레븐 삼척남양점","2026-04-01 09:25:09","U","2026-04-03 02:40:00","","391392.597888404","440026.909647858","1.4",
"15","안전상비의약품 판매업소","01_01_05_P","3290000","PHMH320243290024087500019","2024-09-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 전포동 683-8","부산광역시 부산진구 동천로 72, 1층 (전포동)","47294","지에스(GS)25 전포제일점","2026-04-01 21:56:29","U","2026-04-03 02:40:00","","387869.713042656","185948.091861527","54",
