번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
343,유료직업소개소,11_50_02_P,3180000,2026318027014500003,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,서울특별시 영등포구 신길동 302-7 호루스벤누빌딩,"서울특별시 영등포구 가마산로65길 15, 호루스벤누빌딩 1층 102호 (신길동)",07383,여명종합인력개발,2026-02-13 13:37:34,I,2026-02-15 00:20:02,,191648.256516192,444992.541871962,개인,유료,,여명종합인력개발_서울특별시영등포구신길동302-7호루스벤누빌딩
341,유료직업소개소,11_50_02_P,4170000,2026417023214500001,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,경기도 양평군 양평읍 백안리 535,"경기도 양평군 양평읍 중앙로167번길 89, 1층 105호",12549,퍼스널비,2026-02-13 10:53:19,I,2026-02-15 00:20:02,,245330.121786086,443930.821043483,개인,유료,,퍼스널비_경기도양평군양평읍백안리535
342,유료직업소개소,11_50_02_P,5070000,2026507028614500004,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,경상북도 안동시 태화동 242-16,경상북도 안동시 태화길 57 (태화동),36677,더채움인력,2026-02-13 16:59:26,I,2026-02-15 00:20:02,,353296.016870168,341417.453460692,개인,유료,,더채움인력_경상북도안동시태화동242-16
344,유료직업소개소,11_50_02_P,4840000,2026484026414500002,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,전라남도 광양시 광양읍 읍내리 114-2,전라남도 광양시 광양읍 읍내중앙길 1,57743,은성인력,2026-02-13 13:23:24,I,2026-02-15 00:20:02,,253578.009172287,164239.020721212,개인,유료,,은성인력_전라남도광양시광양읍읍내리114-2
345,유료직업소개소,11_50_02_P,5710000,2026572002514500002,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,충청북도 청주시 상당구 남일면 효촌리 251-23,"충청북도 청주시 상당구 남일면 효촌송암길 3-2, 2층",28187,광성 인력 사무소,2026-02-13 10:10:53,I,2026-02-15 00:20:02,,245351.676173,343318.623285769,개인,유료,,광성인력사무소_충청북도청주시상당구남일면효촌리251-23
346,유료직업소개소,11_50_02_P,3910000,2026391003514500002,2026-02-13,,1,영업/정상,20,영업중,,,,,031 666 3089,,,경기도 평택시 서정동 552-165,경기도 평택시 복창로 40 (서정동),17768,송서인력,2026-02-13 10:42:51,I,2026-02-15 00:20:02,,204507.72517109,396701.189336332,개인,유료,,송서인력_경기도평택시서정동552-165
347,유료직업소개소,11_50_02_P,3640000,2026364018114500002,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,대전광역시 동구 대성동 322,대전광역시 동구 산내로 1396-37 (대성동),34699,탄탄재활사업장,2026-02-13 09:47:20,I,2026-02-15 00:20:02,,241847.600570199,309707.188301267,개인,유료,,탄탄재활사업장_대전광역시동구대성동322
348,유료직업소개소,11_50_02_P,4050000,2026562002714500013,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,경기도 용인시 처인구 양지읍 양지리 486-9,"경기도 용인시 처인구 양지읍 중부대로 2235, 101호",17158,초원인력,2026-02-13 14:50:55,I,2026-02-15 00:20:02,,225548.842963002,414692.428550176,개인,유료,,초원인력_경기도용인시처인구양지읍양지리486-9
349,유료직업소개소,11_50_02_P,4050000,2026562002714500014,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,경기도 용인시 처인구 원삼면 고당리 79,"경기도 용인시 처인구 원삼면 고당로 6, 3층 301호",17168,용인OK인력사무소,2026-02-13 14:52:53,I,2026-02-15 00:20:02,,227633.588224987,407129.726753456,개인,유료,,용인OK인력사무소_경기도용인시처인구원삼면고당리79
350,유료직업소개소,11_50_02_P,3460000,2026346019714500002,2026-02-13,,1,영업/정상,20,영업중,,,,,,,,대구광역시 수성구 범물동 1262-13 1층,"대구광역시 수성구 지범로39길 114-20, 1층 (범물동)",42191,한사랑간병센터,2026-02-13 10:31:33,I,2026-02-15 00:20:02,,348584.707505739,259390.558494131,개인,유료,,한사랑간병센터_대구광역시수성구범물동1262-131층
322,유료직업소개소,11_50_02_P,3190000,2026319028214500001,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,서울특별시 동작구 사당동 148-16 에스엔빌딩,"서울특별시 동작구 동작대로25길 47, 에스엔빌딩 (사당동)",07008,한일인력개발,2026-02-12 15:36:07,I,2026-02-14 00:20:02,,198163.406852914,442551.091942446,개인,유료,,한일인력개발_서울특별시동작구사당동148-16에스엔빌딩
323,유료직업소개소,11_50_02_P,4810000,2026481045114500003,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,전라남도 여수시 학동 206-3,"전라남도 여수시 시청서1길 50-3, 2층 201호 (학동)",59674,산모피아 전남여수점,2026-02-12 17:40:47,I,2026-02-14 00:20:02,,260349.035,140110.655,개인,유료,,산모피아전남여수점_전라남도여수시학동206-3
321,유료직업소개소,11_50_02_P,3730000,2026373025414500001,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,울산광역시 울주군 범서읍 구영리 796-2 한신아파트,"울산광역시 울주군 범서읍 점촌4길 77, 2층 101호 (한신아파트)",44923,라임간병인센터,2026-02-12 18:23:57,I,2026-02-14 00:20:02,,403039.364416377,232573.884052302,개인,유료,,라임간병인센터_울산광역시울주군범서읍구영리796-2한신아파트
320,유료직업소개소,11_50_02_P,4641000,2026466100614500002,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,전북특별자치도 전주시 덕진구 호성동1가 732-1,"전북특별자치도 전주시 덕진구 호성1길 33-10, 302호 (호성동1가)",54905,백합화간병인유료직업소개소,2026-02-12 16:23:47,I,2026-02-14 00:20:02,,213717.091709496,261794.062595882,개인,유료,,백합화간병인유료직업소개소_전북특별자치도전주시덕진구호성동1가732-1
319,유료직업소개소,11_50_02_P,3620000,2026362026314500001,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,광주광역시 북구 양산동 288-2,광주광역시 북구 하서로 326 (양산동),61068,로또직업소개소,2026-02-12 09:54:22,I,2026-02-14 00:20:02,,188446.972517665,189440.246403495,개인,유료,,로또직업소개소_광주광역시북구양산동288-2
318,유료직업소개소,11_50_02_P,3020000,2026302019914500001,2026-02-12,,1,영업/정상,20,영업중,,,,,,,,서울특별시 용산구 서계동 238-32,"서울특별시 용산구 만리재로28길 15, 지층 1호 (서계동)",04302,세종 글로벌 직업 소개센터,2026-02-12 13:41:14,I,2026-02-14 00:20:02,,196867.215508123,450068.93535358,개인,유료,,세종글로벌직업소개센터_서울특별시용산구서계동238-32
317,유료직업소개소,11_50_02_P,3010000,2026301024314500005,2026-02-12,,1,영업/정상,20,영업중,,,,,02  22330224,,,서울특별시 중구 신당동 251-130,서울특별시 중구 퇴계로71길 34-3 (신당동),04566,세종그룹 주식회사,2026-02-12 09:11:44,I,2026-02-14 00:20:02,,201085.236731867,451553.719005525,법인,유료,,세종그룹주식회사_서울특별시중구신당동251-130
288,유료직업소개소,11_50_02_P,3600000,2026360023114500002,2026-02-11,,1,영업/정상,20,영업중,,,,,,,,광주광역시 서구 농성동 649-20,광주광역시 서구 군분로 240 (농성동),61981,탑인력대기소,2026-02-11 16:23:11,I,2026-02-13 00:20:38,,189151.344740895,183661.622835731,개인,유료,,탑인력대기소_광주광역시서구농성동649-20
289,유료직업소개소,11_50_02_P,3130000,2026313027814500001,2026-02-11,,1,영업/정상,20,영업중,,,,,027047601,,,서울특별시 마포구 도화동 173 삼창주택,"서울특별시 마포구 마포대로 63-8, 삼창주택 13층 1331호 (도화동)",04157,주식회사 커리어플라이,2026-02-11 14:35:40,I,2026-02-13 00:20:38,,195324.793653981,448885.430093289,법인,유료,,주식회사커리어플라이_서울특별시마포구도화동173삼창주택
290,유료직업소개소,11_50_02_P,3670000,2026367021514500003,2026-02-11,,1,영업/정상,20,영업중,,,,,,,,대전광역시 유성구 봉명동 561-1,"대전광역시 유성구 계룡로 37-18, 청담빌딩 2층층 (봉명동)",34175,명장외국인취업센터,2026-02-11 11:06:01,I,2026-02-13 00:20:38,,230064.808141645,317318.951320057,개인,유료,,명장외국인취업센터_대전광역시유성구봉명동561-1
291,유료직업소개소,11_50_02_P,4490000,2026566002914500004,2026-02-11,,1,영업/정상,20,영업중,,,,,0415661203,,,충청남도 천안시 서북구 쌍용동 384-14,"충청남도 천안시 서북구 쌍용대로 13, 1층 103,104호 (쌍용동)",31155,주식회사 제이비휴먼스,2026-02-11 17:28:23,I,2026-02-13 00:20:38,,211558.664869392,366388.879137168,법인,유료,,주식회사제이비휴먼스_충청남도천안시서북구쌍용동384-14
292,유료직업소개소,11_50_02_P,3010000,2026301024314500004,2026-02-11,,1,영업/정상,20,영업중,,,,,02  21869117,,,서울특별시 중구 중림동 128-104 실로암빌딩,"서울특별시 중구 중림로 49, 실로암빌딩 301-1호, 401호, 501호 (중림동)",04507,인크루트 주식회사,2026-02-11 09:33:01,I,2026-02-13 00:20:38,,197156.145532304,450606.976833455,법인,유료,,인크루트주식회사_서울특별시중구중림동128-104실로암빌딩
293,유료직업소개소,11_50_02_P,3710000,2026371015114500001,2026-02-11,,1,영업/정상,20,영업중,,,,,,,,울산광역시 동구 방어동 1088-10,울산광역시 동구 문재6길 29 (방어동),44098,단비직업소개소,2026-02-11 13:03:09,I,2026-02-13 00:20:38,,419425.523481146,223187.750576342,개인,유료,,단비직업소개소_울산광역시동구방어동1088-10
