"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","4450000","445000001020260001","2026-04-01","","01","영업/정상","0000","정상","","","","","043-532-7005","92.73","","충청북도 진천군 진천읍 읍내리 395-11","충청북도 진천군 진천읍 상산로 82-1","27833","위드미 동물병원","2026-04-01 17:59:23","I","2026-04-03 00:20:02","","239445.945291476","372652.578271168","동물병원","","000","0",
"2","동물병원","02_03_01_P","4040000","404000001020260001","2026-03-31","","01","영업/정상","0000","정상","","","","","02-6408-8580","72.98","","경기도 하남시 감이동 514-3 감일역 트루엘","경기도 하남시 감일백제로 155, 감일역 트루엘 211,212호 (감이동)","13003","오른손동물병원","2026-04-01 14:37:30","I","2026-04-03 00:20:02","","213759.742703294","444963.220003654","동물병원","","000","0",
"3","동물병원","02_03_01_P","3450000","345000001019840001","1984-03-16","","01","영업/정상","0000","정상","","","","","053-950-6898","0","","대구광역시 북구 산격동 1370-1 경북대학교 수의과대학","대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)","41566","경북대학교 수의과대학 부속동물병원","2026-04-01 16:38:00","U","2026-04-03 02:40:00","","345299.742438478","266806.443246079","동물병원","","000","0",
"4","동물병원","02_03_01_P","4040000","404000001020220001","2022-04-25","","01","영업/정상","0000","정상","","","","","031-791-8275","91.39","","경기도 하남시 풍산동 502-1 상아프라자2, 2층 201호","경기도 하남시 미사강변대로54번길 125, 상아프라자2 2층 201호 (풍산동)","12919","미사 센트럴 동물병원","2026-04-01 14:47:36","U","2026-04-03 02:40:00","","216583.121429789","450640.477245547","동물병원","","000","0",
"5","동물병원","02_03_01_P","4050000","563000001020070001","2007-02-26","","01","영업/정상","0000","정상","","","","","285-6334","148.9","","경기도 용인시 기흥구 상갈동 119-8","경기도 용인시 기흥구 상갈로 31 (상갈동)","17067","현대동물병원","2026-04-01 13:30:28","U","2026-04-03 02:40:00","","209530.187222169","418583.339658078","동물병원","","000","0",
"6","동물병원","02_03_01_P","4040000","404000001020250002","2025-04-22","","01","영업/정상","0000","정상","","","","","031-8027-0223","158","","경기도 하남시 망월동 1093 203호","경기도 하남시 미사강변동로 127, 경서타워 203호 (망월동)","12913","리연외과동물병원","2026-04-01 14:49:56","U","2026-04-03 02:40:00","","216809.580749603","451560.940535611","동물병원","","000","0",
"7","동물병원","02_03_01_P","3210000","321000001020260004","2026-04-01","","01","영업/정상","0000","정상","","","","","02-6925-1396","189.97","","서울특별시 서초구 반포동 737-18 원빌딩","서울특별시 서초구 강남대로 487, 원빌딩 1층 (반포동)","06541","엠에스동물안과병원","2026-04-01 13:53:01","I","2026-04-04 00:20:02","","201997.65513961","444838.539761233","동물병원","","000","0",
"8","동물병원","02_03_01_P","3140000","314000001019970002","1997-03-20","","01","영업/정상","0000","정상","","","","","2607-0022","128.3","","서울특별시 양천구 신월동 444-11","서울특별시 양천구 오목로 45 (신월동)","07930","양천종합동물병원","2026-04-02 17:57:39","U","2026-04-04 02:40:00","","186019.55678499","446684.721550158","동물병원","","000","0",
"9","동물병원","02_03_01_P","4540000","454000001020130002","2013-07-30","","01","영업/정상","0000","정상","","","","","","102.6","","충청남도 논산시 성동면 정지리 367-11","충청남도 논산시 성동면 원봉길 7","","우리생명과학동물병원","2026-04-02 16:36:06","U","2026-04-04 02:40:00","","204830.802575186","301089.338427166","동물병원","","000","0",
"10","동물병원","02_03_01_P","4191000","419000001020130001","2013-01-16","","01","영업/정상","0000","정상","","","","","033-744-7585","176.08","","강원특별자치도 원주시 단계동 1114-1","강원특별자치도 원주시 서원대로 111 (단계동)","26437","행복드림 동물병원","2026-04-02 18:09:20","U","2026-04-04 02:40:00","","281974.142875278","427668.864809842","동물병원","","000","0",
"11","동물병원","02_03_01_P","5110000","511000001020150003","2015-07-07","","01","영업/정상","0000","정상","","","","","","68.63","","경상북도 상주시 낙동면 구잠리 600 1동","경상북도 상주시 낙동면 낙운로 192, 1동","37250","상주가축진료소","2026-04-02 16:47:36","U","2026-04-04 02:40:00","","313990.542629986","319818.437966757","동물병원","","000","0",
"12","동물병원","02_03_01_P","4920000","492000001020140001","2014-08-01","","01","영업/정상","0000","정상","","2023-04-01","2023-05-31","","061-430-2827","0","","전라남도 강진군 강진읍 평동리 253","전라남도 강진군 강진읍 보은로 40","59239","강진완도축협동물병원","2026-04-02 17:52:29","U","2026-04-04 02:40:00","","178344.486815832","126039.293166306","동물병원","","L00","0",
"13","동물병원","02_03_01_P","4060000","406000001020200001","2020-02-17","","01","영업/정상","0000","정상","","","","","","311.2","","경기도 파주시 동패동 1899-1","경기도 파주시 한울로 59, 202호 (동패동)","10902","또바기","2026-04-02 13:23:31","U","2026-04-04 02:40:00","","176853.302871588","467676.123809767","동물병원","","000","0",
