번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,기타내역2,Unnamed: 60,record_key
684,인터넷컴퓨터게임시설제공업,03_05_05_P,5050000,CDFF2241022026000002,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경상북도 경주시 성건동 369-18,"경상북도 경주시 동성로 21, 1층 (성건동)",38156,고래PC,2026-02-13 14:13:37,I,2026-02-15 00:20:02,,398948.301784198,262629.492084224,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,52.6,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,고래PC_경상북도경주시성건동369-18
691,인터넷컴퓨터게임시설제공업,03_05_05_P,3910000,CDFF2241022026000014,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 고덕동 2269-9,"경기도 평택시 고덕여염5길 65-1, 101호 (고덕동)",18017,복돼지PC,2026-02-13 13:14:58,I,2026-02-15 00:20:02,,203667.803155606,392777.259935064,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,87.64,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,,,,,,성인PC방,,복돼지PC_경기도평택시고덕동2269-9
683,인터넷컴퓨터게임시설제공업,03_05_05_P,5710000,CDFF2241022026000009,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 청원구 오창읍 양청리 791-4,"충청북도 청주시 청원구 오창읍 중심상업1로 8-46, 2층 201호",28120,퀸카PC,2026-02-13 17:07:25,I,2026-02-15 00:20:02,,238243.173044576,357264.598356366,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,162.56,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,10,,청소년이용불가,,,,,,,퀸카PC_충청북도청주시청원구오창읍양청리791-4
701,인터넷컴퓨터게임시설제공업,03_05_05_P,5530000,CDFF2241022026000021,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 만세구 향남읍 행정리 457-14,"경기도 화성시 만세구 향남읍 행정서로1길 9-20, 1층 102호",18598,고려PC,2026-02-13 09:46:26,I,2026-02-15 00:20:02,,192227.3461641,402662.265532201,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,성인PC방,24.83,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,고려PC_경기도화성시만세구향남읍행정리457-14
699,인터넷컴퓨터게임시설제공업,03_05_05_P,3860000,CDFF2241022026000005,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 원미구 상동 545-4 맘모스타워,"경기도 부천시 원미구 소향로13번길 28-14, 맘모스타워 1층 104호 (상동)",14544,잭팟PC,2026-02-13 16:37:40,I,2026-02-15 00:20:02,,177842.247183278,444764.172527335,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,PC 7대,47.6,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,잭팟PC_경기도부천시원미구상동545-4맘모스타워
698,인터넷컴퓨터게임시설제공업,03_05_05_P,4470000,CDFF2241022026000002,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청북도 음성군 대소면 오산리 114-32,"충청북도 음성군 대소면 오태로 74, 2층",27668,오태로PC장,2026-02-13 11:21:16,I,2026-02-15 00:20:02,,242974.470141461,385328.14971129,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,116.8,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,,,,오태로PC장_충청북도음성군대소면오산리114-32
697,인터넷컴퓨터게임시설제공업,03_05_05_P,3910000,CDFF2241022026000016,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 고덕동 2257-2,"경기도 평택시 고덕여염5길 53, 1층 (고덕동)",18017,최고다PC,2026-02-13 13:15:20,I,2026-02-15 00:20:02,,203703.907253186,392826.788179369,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,99.06,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,,성인PC방,,최고다PC_경기도평택시고덕동2257-2
696,인터넷컴퓨터게임시설제공업,03_05_05_P,3910000,CDFF2241022026000015,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 고덕동 2253-1,"경기도 평택시 고덕여염5길 23-7, 1층 (고덕동)",18017,사랑방PC,2026-02-13 13:15:08,I,2026-02-15 00:20:02,,203772.276281664,392834.682283829,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,30.24,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,,,,,,성인PC방,,사랑방PC_경기도평택시고덕동2253-1
694,인터넷컴퓨터게임시설제공업,03_05_05_P,4241000,CDFF2241022026000001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 삼척시 도계읍 도계리 357-5,강원특별자치도 삼척시 도계읍 도계로 342,25947,철길PC,2026-02-13 11:40:49,I,2026-02-15 00:20:02,,381469.699415492,417228.95627742,인터넷컴퓨터게임시설제공업,유통관련업,1.0,,인터넷게임,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,철길PC_강원특별자치도삼척시도계읍도계리357-5
693,인터넷컴퓨터게임시설제공업,03_05_05_P,4191000,CDFF2241022026000004,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 원주시 단계동 853-1 이룸레지던스,"강원특별자치도 원주시 북원로 2235-12, 이룸레지던스 110호 (단계동)",26436,공주PC,2026-02-13 14:59:48,I,2026-02-15 00:20:02,,282400.45,427505.14,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,34.42,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,청소년이용불가,,,,,,,공주PC_강원특별자치도원주시단계동853-1이룸레지던스
