"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","전화권유판매업","08_26_03_P","3460000","2026346019724200003","2026-04-01","","01","영업/정상","01","정상영업","","","","","053-792-3000","","","대구광역시 수성구 대흥동 ***-* *층 ***호","대구광역시 수성구 알파시티*로**길 *, *층 ***호 (대흥동)","42251","한국에이아이산업진흥원 주식회사","2026-04-01 11:12:51","I","2026-04-03 00:20:02","","352394.190292076","260667.989451401","222781728","342213280","50000000","",
"2","전화권유판매업","08_26_03_P","3180000","2019318022624200017","2019-01-17","","03","폐업","03","폐업처리","2026-04-01","","","","02-2608-1078","","","서울특별시 영등포구 여의도동 **번지 *호","서울특별시 영등포구 국제금융로*길 **, ***호_A*** (여의도동)","07331","에스앤피시스템즈","2026-04-01 14:32:38","U","2026-04-03 02:40:00","","193469.554731741","446508.068667777","0","0","0","",
"3","전화권유판매업","08_26_03_P","3160000","2022316015924200013","2017-07-31","","01","영업/정상","01","정상영업","","","","","02-501-8604","","","서울특별시 구로구 신도림동 *** 디큐브시티","서울특별시 구로구 경인로 ***, **층 (신도림동, 디큐브시티)","08209","(주)에스티유니타스","2026-04-01 16:15:46","U","2026-04-03 02:40:00","","190107.045415333","445157.626366229","291685040000","454500286000","3750324990","",
"4","전화권유판매업","08_26_03_P","3210000","2026321015324200003","2026-04-02","","01","영업/정상","01","정상영업","","","","","02-583-1808","","","서울특별시 서초구 서초동 ****-*","서울특별시 서초구 서초대로 ***, ***호 (서초동)","06647","주식회사 포인트리","2026-04-02 15:36:54","I","2026-04-04 00:20:02","","200706.658462318","443295.844111214","103264624","183769632","1000000","",
"5","전화권유판매업","08_26_03_P","5710000","2026571029324200002","2026-04-02","","01","영업/정상","01","정상영업","","","","","","","","충청북도 청주시 청원구 율량동 ****","충청북도 청주시 청원구 율중로**번길 **-*, ***호 (율량동)","28315","스마트 AI","2026-04-02 15:12:47","I","2026-04-04 00:20:02","","245491.7","351018.69","0","0","0","",
"6","전화권유판매업","08_26_03_P","4060000","2026406055224200005","2026-04-02","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 금촌동 ***-** 한솔주택","경기도 파주시 금정로 *, ***호 (금촌동, 한솔주택)","10924","다우리컴퍼니","2026-04-02 17:34:44","I","2026-04-04 00:20:02","","180203.073207244","472589.940529766","0","0","0","",
"7","전화권유판매업","08_26_03_P","3820000","2024382038024200006","2024-10-08","","03","폐업","03","폐업처리","2026-04-02","","","","1544-5323","","","경기도 의정부시 고산동 ***-* 한강듀클래스 의정부 고산","경기도 의정부시 문충로 **, 한강듀클래스 의정부 고산 제비동 제**층 제****,****호 (고산동)","11822","주식회사 제이와이정보통신","2026-04-02 10:14:12","U","2026-04-04 02:40:00","","208993.591522238","469561.661983424","604509440","362692960","170000000","",
"8","전화권유판매업","08_26_03_P","3440000","2026344014924200002","2015-11-04","","01","영업/정상","01","정상영업","","","","","053-716-7786","","","대구광역시 남구 대명동 ****-** 계명대학교","대구광역시 남구 명덕로 ***, 계명대학교 전문관 ***-*호 (대명동)","42403","주식회사 에이팩시스템","2026-04-02 11:23:31","U","2026-04-04 02:40:00","","342632.844134809","262643.90217311","50000000","0","50000000","",
"9","전화권유판매업","08_26_03_P","5600000","2018560013424200001","2018-08-13","","03","폐업","03","폐업처리","2026-03-31","","","","031-541-8549","","","경기도 포천시 신읍동 **번지 **호","경기도 포천시 중앙로 **, *층 (신읍동)","11149","신광에너지","2026-04-02 10:06:33","U","2026-04-04 02:40:00","","217503.256457695","487793.199906948","0","0","0","",
"10","전화권유판매업","08_26_03_P","3290000","2007329008524200008","2007-03-09","","03","폐업","03","폐업처리","2026-04-02","","","","051-806-1666","","","","부산광역시 부산진구 전포대로***번길 **, *층 (전포동)","47304","대성유통","2026-04-02 10:40:40","U","2026-04-04 02:40:00","","388231.481767283","185971.634025125","0","0","0","",
