"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경측정대행업","09_30_17_P","6260000","626000008202600001","2026-04-01","","01","영업/정상","N","신규","","","","","","","48730","부산광역시 동구 초량동 1158-7 부산YWCA","부산광역시 동구 중앙대로 298, 부산YWCA 1층 (초량동)","48730","(주)다음환경연구소","2026-04-01 16:34:54","I","2026-04-03 00:20:02","","386287.078882652","182353.593813228","0","측정대행업","0","","2617010100","48730","0","1158","7","","","부산YWCA","","","26170","2617010100","1","2000010","부산YWCA","0","298","0","48730",
"2","환경측정대행업","09_30_17_P","6260000","626000008202600002","2026-04-01","","01","영업/정상","N","신규","","","","","","","48730","부산광역시 동구 초량동 1158-7 부산YWCA","부산광역시 동구 중앙대로 298, 부산YWCA 1층 (초량동)","48730","(주)다음환경연구소","2026-04-01 16:34:54","I","2026-04-03 00:20:02","","386287.078882652","182353.593813228","0","측정대행업","0","","2617010100","48730","0","1158","7","","","부산YWCA","","","26170","2617010100","1","2000010","부산YWCA","0","298","0","48730",
"3","환경측정대행업","09_30_17_P","5710000","571000066201900022","2019-04-14","","01","영업/정상","BBBB","영업","","","","","","","","충청북도 청주시 청원구 율량동 1873 은곡빌딩","충청북도 청주시 청원구 공항로 101, 은곡빌딩 2층 (율량동)","28350","(주)연합환경기술","2026-04-01 19:14:20","U","2026-04-03 02:40:00","","243382.202750605","351774.04998322","0","측정대행업","0","","4311410300","","1","1873","","","","은곡빌딩","","","43114","4311410300","1","3236064","은곡빌딩 2층 (율량동)","0","101","","28350",
"4","환경측정대행업","09_30_17_P","3830000","383000066201800003","2018-12-26","","01","영업/정상","BBBB","영업","","","","","","","","경기도 안양시 동안구 관양동 224-5 대륭테크노타운15차 1712,호","경기도 안양시 동안구 시민대로 401, 대륭테크노타운15차 1712,2107,401,2103호 (관양동)","14057","(주)대현환경","2026-04-01 14:46:36","U","2026-04-03 02:40:00","","197692.013396525","432777.290185295","0","측정대행업","0","","4117310200","","1","861","","","","","","","41173","4117310200","1","4349128","(관양동)","0","14","","14057",
"5","환경측정대행업","09_30_17_P","6260000","626000008202400007","2026-04-01","","01","영업/정상","N","신규","","","","","","","48730","부산광역시 동구 초량동 1158-7 부산YWCA","부산광역시 동구 중앙대로 298, 부산YWCA 1층 (초량동)","48730","(주)다음환경연구소","2026-04-01 16:34:54","U","2026-04-03 02:40:00","","386287.078882652","182353.593813228","0","측정대행업","0","","2617010100","48730","0","1158","7","","","부산YWCA","","","26170","2617010100","1","2000010","부산YWCA","0","298","0","48730",
"6","환경측정대행업","09_30_17_P","6460000","646000008202400009","2026-04-01","","01","영업/정상","N","신규","","","","","","","59613","전라남도 여수시 중흥동 750-2","전라남도 여수시 산단중앙로 409 (중흥동)","59613","리뉴어스 주식회사","2026-04-01 17:49:04","U","2026-04-03 02:40:00","","261556.69545853","148743.565438831","0","측정대행업","0","","4613014400","59613","0","750","2","","","","","","46130","4613014400","1","3282035","","0","409","0","59613",
"7","환경측정대행업","09_30_17_P","6260000","626000008202000008","2026-04-01","","01","영업/정상","N","신규","","","","","","","46213","부산광역시 금정구 청룡동 87번지","부산광역시 금정구 중앙대로 2140, 5층 (청룡동)","46213","(주)유림환경기술연구소","2026-04-01 10:06:39","U","2026-04-03 02:40:00","","390367.323272678","199348.933631719","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"8","환경측정대행업","09_30_17_P","4490000","449000066202100002","2021-01-11","","01","영업/정상","BBBB","영업","","","","","417-1204","","","충청남도 천안시 서북구 두정동 1423","충청남도 천안시 서북구 두정상가6길 9, 올양빌딩 402호 (두정동)","31105","㈜세원환경기술","2026-04-01 17:09:07","U","2026-04-03 02:40:00","","212778.299990569","369917.825977052","351","측정대행업","0","","4413310400","","1","1423","","","","","","","44133","4413310400","1","4550128","(두정동)","0","9","","31105",
"9","환경측정대행업","09_30_17_P","6540000","654000008202400012","2026-04-01","","01","영업/정상","N","신규","","","","","","","","전북특별자치도 군산시 지곡동 516번지 15호","전북특별자치도 군산시 현충로 38-1 (나운동)","573-872","(유)대신환경개발","2026-04-01 17:30:08","U","2026-04-03 02:40:00","","171825.674279549","273227.546898423","76","측정대행업","0","","","","","","","","","","","","52130","5213014400","1","3268110","","0","38","1","573872",
"10","환경측정대행업","09_30_17_P","6260000","626000008202000014","2026-04-01","","01","영업/정상","N","신규","","","","","","","47838","부산광역시 동래구 온천동 1379-29","부산광역시 동래구 여고북로33번길 36-5, 1~2층(온천동)","47838","(주)디에이치환경측정연구소","2026-04-01 17:31:03","U","2026-04-03 02:40:00","","388299.92076613","191182.08085589","0","측정대행업","0","","2626010800","47838","0","1379","29","","","","","","26260","2626010800","1","4190376","","0","36","5","47838",
