"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","제조구분명","사업장부지용도구분명",
"1","고압가스업","09_28_05_P","3630000","2022363028202100002","2022-06-24","","01","영업/정상","01","영업중","","","","","","","","광주광역시 광산구 도천동 620-2","광주광역시 광산구 하남산단10번로 160 (도천동)","62242","지금강(주)","2026-04-01 16:50:42","I","2026-04-03 00:20:02","제조","183059.615888468","190674.098679584","냉동","",
"2","고압가스업","09_28_05_P","4580000","2026458012502200001","2026-04-01","","01","영업/정상","01","영업중","","","","","","","","충청남도 서천군 종천면 장구리 190-4","","","주식회사 소문난삼부자","2026-04-01 16:35:09","I","2026-04-03 00:20:02","제조","168221.658035296","288150.837064516","냉동","",
"3","고압가스업","09_28_05_P","5600000","2026560022902100002","2026-03-31","","01","영업/정상","01","영업중","","","","","","","","경기도 포천시 창수면 추동리 1-3","경기도 포천시 창수면 메치골로 162","11134","창수가스","2026-04-01 08:57:07","I","2026-04-03 00:20:02","판매","216626.07382898","498629.969353349","","",
"4","고압가스업","09_28_05_P","5400000","2026540011802100001","2026-04-01","","01","영업/정상","01","영업중","","","","","","","","경상남도 함안군 칠서면 대치리 282-3 (주)동아오츠카","경상남도 함안군 칠서면 공단서길 18 (주)동아오츠카","52001","동아오츠카(주) 칠서공장","2026-04-01 17:20:15","I","2026-04-03 00:20:02","제조","334412.877320629","208638.765553129","냉동","",
"5","고압가스업","09_28_05_P","4530000","2026453042402100001","2026-03-31","","01","영업/정상","01","영업중","","","","","","","","충청남도 서산시 고북면 신정리 834-4","충청남도 서산시 해미면 신성로 330-1","32024","공군제20전투비행단","2026-04-01 11:06:04","I","2026-04-03 00:20:02","제조","153861.026074075","354357.648044825","","",
"6","고압가스업","09_28_05_P","4490000","1995449013102219506","1995-07-18","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 서북구 성거읍 천흥리 240-1","충청남도 천안시 서북구 성거읍 삼곡2길 6","","(주)코리아나화장품","2026-04-01 13:17:52","U","2026-04-03 02:40:00","제조","216554.817592394","376864.855752861","냉동","특수토지",
"7","고압가스업","09_28_05_P","4470000","2022447010202100003","2022-03-02","","01","영업/정상","01","영업중","","","","","","","","충청북도 음성군 금왕읍 봉곡리 689","충청북도 음성군 금왕읍 금왕테크노3길 32","27681","(주)몰테크","2026-04-01 10:21:12","U","2026-04-03 02:40:00","제조","250490.335741768","384685.050501407","일반","",
"8","고압가스업","09_28_05_P","3210000","1997321012202200133","2010-04-27","","01","영업/정상","01","영업중","","","","","","","","서울특별시 서초구 서초동 1645","서울특별시 서초구 서초대로64길 76-21 (서초동)","","삼성생명(주)서초3사옥","2026-04-01 10:44:30","U","2026-04-03 02:40:00","제조","201836.199766856","443284.171448529","냉동","업무용",
"9","고압가스업","09_28_05_P","4470000","2026447014502100001","2026-01-27","","01","영업/정상","01","영업중","","","","","","","","충청북도 음성군 소이면 대장리 1","충청북도 음성군 소이면 소이로 313","27711","에이치디현대에너지솔루션(주)","2026-04-01 17:30:58","U","2026-04-03 02:40:00","제조","266944.535320054","381337.389968915","냉동","",
"10","고압가스업","09_28_05_P","5670000","2024567056602200001","2024-04-15","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 의창구 퇴촌동 69 창원대학교","경상남도 창원시 의창구 창원대학로 20, 창원대학교 생활관 5동 (퇴촌동)","51140","주식회사 에스엠 (창원대학교 생활관 5동)","2026-04-01 15:50:33","U","2026-04-03 02:40:00","제조","353936.09789638","195478.969693508","냉동","기타",
"11","고압가스업","09_28_05_P","5700000","2016570003502100001","2016-11-04","","01","영업/정상","01","영업중","","","","","","","","경기도 여주시 강천면 간매리 132-1","경기도 여주시 강천면 강문로 480","12616","(주)한국나노가스","2026-04-01 20:58:02","U","2026-04-03 02:40:00","제조","262385.762931651","419825.689597402","충전","",
"12","고압가스업","09_28_05_P","3210000","2021321019702100004","2021-11-29","","01","영업/정상","01","영업중","","","","","","","","서울특별시 서초구 서초동 1645 삼성레포츠센터(지하3층 기계실)","서울특별시 서초구 서초대로64길 76-21, 삼성레포츠센터(지하3층 기계실) (서초동)","06636","삼성생명(주)서초3사옥","2026-04-01 10:44:41","U","2026-04-03 02:40:00","제조","201836.199766856","443284.171448529","냉동","",
"13","고압가스업","09_28_05_P","3010000","2000301007102100177","2000-06-12","","01","영업/정상","01","영업중","","","","","","","","서울특별시 중구 남창동 1-1","서울특별시 중구 남대문로 30 (남창동)","","기독교대한감리회 상동교회","2026-04-01 08:58:15","U","2026-04-03 02:40:00","제조","198095.7951961","450940.108370401","냉동","상업.업무용",
"14","고압가스업","09_28_05_P","3730000","2020373018602100008","2020-10-27","","02","휴업","02","휴업","","2026-04-01","2027-03-31","","","","","울산광역시 울주군 상북면 거리 1157-6","","","주식회사 케이엔지","2026-04-01 17:49:16","U","2026-04-03 02:40:00","제조","388561.563224057","234982.211826949","일반","",
"15","고압가스업","09_28_05_P","3700000","2011370007802100008","2011-11-10","","01","영업/정상","01","영업중","","","","","","","","울산광역시 남구 여천동 832-23","울산광역시 남구 처용로 91 (여천동)","","한국석유공업(주)","2026-04-01 11:20:36","U","2026-04-03 02:40:00","제조","","","충전","공업용",
"16","고압가스업","09_28_05_P","4400000","2014440020902200001","2014-07-02","","02","휴업","02","휴업","","2026-03-31","2027-03-31","","","","","충청북도 제천시 왕암동 945","충청북도 제천시 바이오밸리로 107 (왕암동)","27159","(주)광무제천지점","2026-04-01 10:57:09","U","2026-04-03 02:40:00","제조","303535.478645405","406007.992113154","냉동","",
"17","고압가스업","09_28_05_P","3170000","2009317011202200001","2009-11-09","","02","휴업","02","휴업","","2026-03-26","2027-03-25","","","","","서울특별시 금천구 독산동 371-2","서울특별시 금천구 독산로54길 188 (독산동)","","금천구민문화체육센터","2026-04-01 09:34:09","U","2026-04-03 02:40:00","제조","191726.600362916","440888.699596195","냉동","기타",
"18","고압가스업","09_28_05_P","4050000","2025405057802100008","2025-04-09","","01","영업/정상","01","영업중","","","","","","","","경기도 용인시 기흥구 영덕동 537-3 현대자동차 수원서비스센터","경기도 용인시 기흥구 중부대로 30 (영덕동)","16956","현대자동차(주)","2026-04-01 14:47:06","U","2026-04-03 02:40:00","제조","206355.705742487","418355.744859018","냉동","",
"19","고압가스업","09_28_05_P","3670000","2015367010602100009","2015-12-15","","01","영업/정상","01","영업중","","","","2026-03-30","","","","대전광역시 유성구 수남동 111","대전광역시 유성구 북유성대로488번길 160 (수남동)","","국방과학연구소","2026-04-01 16:20:33","U","2026-04-03 02:40:00","제조","228854.45802767","324214.132571722","일반","기타",
"20","고압가스업","09_28_05_P","4570000","2005457001202200001","2005-01-18","","01","영업/정상","01","영업중","","","","","","","","충청남도 부여군 규암면 합정리 백제역사문화관","","","백제역사문화관","2026-04-01 11:41:55","U","2026-04-03 02:40:00","제조","","","일반","지정되지않음",
"21","고압가스업","09_28_05_P","5700000","2011411000902100001","2011-02-01","","01","영업/정상","01","영업중","","","","","","1","","경기도 여주시 강천면 간매리 129-3","경기도 여주시 강천면 강문로 464","","(주)한국나노가스","2026-04-02 09:11:09","I","2026-04-04 00:20:02","제조","262290.949006249","419960.912125289","충전","기타",
"22","고압가스업","09_28_05_P","3730000","2026373018602100002","2026-04-02","","01","영업/정상","01","영업중","","","","","","","","울산광역시 울주군 삼남읍 방기리 22-1 삼성SDI","울산광역시 울주군 삼남읍 반구대로 163, 삼성SDI","44953","삼성에스디아이(주)","2026-04-02 08:59:15","I","2026-04-04 00:20:02","제조","390026.211602929","225921.135699983","냉동","",
"23","고압가스업","09_28_05_P","4671000","2026467111402100004","2026-04-02","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 군산시 오식도동 867-6 우진고분자","전북특별자치도 군산시 무역로 90, 우진고분자 (오식도동)","54002","(주)우진고분자","2026-04-02 18:39:13","I","2026-04-04 00:20:02","제조","159959.489484954","272580.300607559","냉동","",
