"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6410000","201064100001040163-20101012","2010-10-12","","01","영업/정상","0","운영","","","","","0316676922","","","경기도 평택시 서정동 887-1","경기도 평택시 송탄로 227, 3층 (서정동)","41220","포도요양보호사교육원","2026-03-02 09:18:52","U","2026-03-04 02:40:00","","205094.716844564","395816.351460157","","","","",
"2","요양보호사교육기관","11_49_01_P","6300000","201063000000040001-20100629","2010-06-29","","02","휴업","2","휴지","","2025-02-03","2026-02-02","","0425840011","","","대전광역시 중구 태평동 335-10 동성빌딩","대전광역시 중구 동서대로 1243, 동성빌딩 3층 (태평동)","30140","세종요양보호사교육원","2026-03-03 15:27:50","U","2026-03-05 02:40:00","","235643.018938709","314076.535375532","","","","",
"3","요양보호사교육기관","11_49_01_P","6460000","202664600000040001-20260127","2026-01-27","","01","영업/정상","0","운영","","","","","0617272877","","","전라남도 순천시 해룡면 상삼리 626-1 대우가스보일러","전라남도 순천시 해룡면 조례못등2길 4, 대우가스보일러","","순천에덴요양보호사교육원","2026-03-03 09:27:06","U","2026-03-05 02:40:00","","","","","","","",
"4","요양보호사교육기관","11_49_01_P","6270000","201062700000040053-20101001","2010-10-01","","01","영업/정상","0","운영","","","","","0535897763","","","대구광역시 달서구 신당동 700번지 계명문화대학교 1401호","대구광역시 달서구 달서대로 675, 계명문화대학교 4층 1401호(신당동)","","계명문화대학교부설요양보호사 교육원","2026-03-03 10:39:16","U","2026-03-05 02:40:00","","","","","","","",
"5","요양보호사교육기관","11_49_01_P","6110000","202661100000040001-20260304","2026-03-04","","01","영업/정상","0","운영","","","","","0226323361","","","서울특별시 영등포구 당산동1가 256-27 동화빌딩","서울특별시 영등포구 당산로 84, 동화빌딩 4층 (당산동1가)","11560","서울영등포요양보호사교육원","2026-03-04 19:59:03","I","2026-03-06 00:20:02","","190740.086381042","446660.886443547","","","","",
"6","요양보호사교육기관","11_49_01_P","6410000","202664100001040007-20260304","2026-03-04","","03","폐업","1","폐지","","","","","","","","경기도 용인시 처인구 모현읍 일산리 112-10","경기도 용인시 처인구 모현읍 문현로 345, 2층","41461","(가칭) 프라임요양보호사교육원","2026-03-04 14:27:25","I","2026-03-06 00:20:02","","221732.905367067","426189.966987432","","","","20260304",
"7","요양보호사교육기관","11_49_01_P","6480000","201464800000040001-20140225","2014-02-25","","01","영업/정상","0","운영","","","","","0553377114","","","경상남도 김해시 대청동 61번지 4호 장유아카데미빌딩 803호","경상남도 김해시 대청로210번길 34, 803호 (대청동,장유아카데미빌딩)","","가족사랑요양보호사교육원","2026-03-04 09:24:14","U","2026-03-06 02:40:00","","363711.099127506","189805.732404112","","","","",
"8","요양보호사교육기관","11_49_01_P","6480000","201064800000040021-20100914","2010-09-14","","01","영업/정상","0","운영","","","","","0553223700","","","경상남도 김해시 외동 238-13 4층","경상남도 김해시 분성로 156, 4층 (외동)","","김해중앙복지전문학원부설요양보호사교육원","2026-03-04 09:28:53","U","2026-03-06 02:40:00","","","","","","","",
"9","요양보호사교육기관","11_49_01_P","6460000","202564600000040002-20250318","2025-03-18","","01","영업/정상","0","운영","","","","","0617407203","","","전라남도 순천시 덕월동 217번지 순천청암대학(산학정보관) 106호","전라남도 순천시 녹색로 1641, 순천청암대학(산학정보관) 106호 (덕월동)","","청암대학교 평생교육원 부설 요양보호사교육원","2026-03-04 13:47:17","U","2026-03-06 02:40:00","","","","","","","",
"10","요양보호사교육기관","11_49_01_P","6410000","201064100001040044-20100810","2010-08-10","","01","영업/정상","0","운영","","","","","0326625777","","","경기도 부천시소사구 송내1동   708번지 2호 202호","경기도 부천시 소사구 송내대로 23 (송내동,202호)","","산재 요양보호사교육원","2026-03-05 07:52:37","U","2026-03-07 02:40:00","","","","","","","",
"11","요양보호사교육기관","11_49_01_P","6280000","201062800000041018-20100826","2010-08-26","","01","영업/정상","0","운영","","","","","0324227878","","","인천광역시 남동구 논현동   636번지 1호","인천광역시 남동구 논현로 42 (논현동)","","논현요양보호사교육원","2026-03-05 09:23:43","U","2026-03-07 02:40:00","","174345.744164753","433375.043521099","","","","",
