"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위급수시설","11_46_01_P","3540000","3540000-E198800001","1988-11-30","","01","영업/정상","18","사용중","","","","","","550","","인천광역시 부평구 부평동 891번지","인천광역시 부평구 신트리로 21 (부평동, 북구도서관)","21354","신트리공원","2026-04-01 09:33:33","U","2026-04-03 02:40:00","","175777.876606355","444956.983639905","인천광역시 부평구 부평동 891번지","정부지원시설","신트리공원","",
"2","민방위급수시설","11_46_01_P","5350000","5350000-E201500001","2015-04-29","","01","영업/정상","18","사용중","","","","","","100","","경상남도 김해시 지내동 67번지","경상남도 김해시 분성로727번길 16 (지내동, 지내동원1차아파트)","50828","지내동 동원1차아파트(101동과 102동 사이)","2026-04-01 13:33:14","U","2026-04-03 02:40:00","","375061.098094066","194037.280501416","경상남도 김해시 지내동 67번지","공공용시설","지내동 동원1차아파트(101동과 102동 사이)","",
"3","민방위급수시설","11_46_01_P","3940000","4100100-E200700001","2007-04-02","","01","영업/정상","18","사용중","","","","","","120","","경기도 고양시 일산서구 가좌동 1098","경기도 고양시 일산서구 송산로 387-7 (가좌동)","10210","가좌공원","2026-04-02 13:18:14","U","2026-04-04 02:40:00","","175375.206580727","464986.688318176","경기도 고양시 일산서구 가좌동 1098","정부지원시설","가좌공원","",
"4","민방위급수시설","11_46_01_P","5080000","5080000-E199800002","1998-09-12","","01","영업/정상","18","사용중","","","","","","287","","경상북도 구미시 고아읍 원호리 451번지","경상북도 구미시 고아읍 문장로26길 11 (구미원호대우아파트)","39149","고아읍 민방위비상급수시설(원호싸리공원내)","2026-04-02 14:43:53","U","2026-04-04 02:40:00","","319662.863012764","295453.922782033","경상북도 구미시 고아읍 원호리 451번지","정부지원시설","고아읍 민방위비상급수시설(원호싸리공원내)","",
"5","민방위급수시설","11_46_01_P","4500000","4500000-E199200001","1992-10-02","","01","영업/정상","18","사용중","","","","","","100","","충청남도 공주시 금학동 244번지 1호","충청남도 공주시 금학동길 40 (금학동, 대일아파트)","32602","대일아파트","2026-04-02 11:54:47","U","2026-04-04 02:40:00","","210705.306092712","326407.580747045","충청남도 공주시 금학동 244번지 1호","공공용시설","대일아파트","",
"6","민방위급수시설","11_46_01_P","4020000","4020000-E198800001","1988-08-11","","01","영업/정상","18","사용중","","","","","","500","","경기도 군포시 산본동 1100 남부기술교육원","경기도 군포시 고산로 589, 남부기술교육원 (산본동)","15820","서울특별시립 남부노인전문요양원","2026-04-03 15:08:11","U","2026-04-05 02:40:00","","193312.818906687","429325.532881072","경기도 군포시 산본동 1100 남부기술교육원","공공용시설","서울특별시립 남부노인전문요양원","",
"7","민방위급수시설","11_46_01_P","4020000","4020000-E200300001","2003-12-31","","01","영업/정상","18","사용중","","","","","","145","","경기도 군포시 금정동 871번지","경기도 군포시 산본로 267 (금정동, 시민체육광장)","15862","시민체육광장","2026-04-03 14:17:00","U","2026-04-05 02:40:00","","194299.941746038","428037.537232175","경기도 군포시 금정동 871번지","정부지원시설","시민체육광장","",
"8","민방위급수시설","11_46_01_P","4331000","4331000-E201400001","2014-10-24","","01","영업/정상","18","사용중","","","","","","170","","강원특별자치도 인제군 기린면 북리 1500","강원특별자치도 인제군 기린면 상하답로 130","24654","인제오토테마파크(스피디움)","2026-04-03 11:00:00","U","2026-04-05 02:40:00","","313347.093858807","500672.838290134","강원특별자치도 인제군 기린면 북리 1500","공공용시설","인제오토테마파크(스피디움)","",
"9","민방위급수시설","11_46_01_P","4331000","4331000-E201400002","2014-11-07","","01","영업/정상","18","사용중","","","","","","300","","강원특별자치도 인제군 북면 용대리 1528번지 12호","강원특별자치도 인제군 북면 십이선녀탕길 165","","내설악 미리내캠프","2026-04-03 11:01:33","U","2026-04-05 02:40:00","","312891.341455063","520476.435901066","강원특별자치도 인제군 북면 용대리 1528번지 12호","공공용시설","내설악 미리내캠프","",
"10","민방위급수시설","11_46_01_P","3230000","3230000-E199100004","1991-01-01","","01","영업/정상","18","사용중","","","","","","60","","서울특별시 송파구 방이동 111-8","서울특별시 송파구 오금로19길 9 (방이동)","05641","수정사우나","2026-04-03 14:26:29","U","2026-04-05 02:40:00","","209976.524409625","445404.925079176","서울특별시 송파구 방이동 111-8","공공용시설","수정사우나","",
