번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,Unnamed: 47,record_key
1456,유통전문판매업,07_22_17_P,3830000,3830000-113-2026-00007,2026-02-13,,1,영업/정상,1,영업,,,,,,,430-852,경기도 안양시 만안구 석수동 266-16 동원연립,"경기도 안양시 만안구 안양로532번길 39-7, 102호 (석수동, 동원연립)",13962.0,큐어브리즈,2026-02-13 15:19:38,I,2026-02-15 00:20:02,유통전문판매업,,,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,큐어브리즈_경기도안양시만안구석수동266-16동원연립
1458,유통전문판매업,07_22_17_P,3860000,3860000-113-2026-00010,2026-02-13,,1,영업/정상,1,영업,,,,,,10.0,,경기도 부천시 원미구 중동 1056-3 동현빌딩 2층 일부호,"경기도 부천시 원미구 길주로 251, 동현빌딩 2층 일부호 (중동)",14539.0,주식회사 트랜드랩,2026-02-13 15:35:49,I,2026-02-15 00:20:02,유통전문판매업,179642.649826485,444699.219834258,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,0.0,,,,,주식회사트랜드랩_경기도부천시원미구중동1056-3동현빌딩2층일부호
1466,유통전문판매업,07_22_17_P,3230000,3230000-113-2026-00010,2026-02-13,,1,영업/정상,1,영업,,,,,,1.44,138-825,서울특별시 송파구 문정동 29-15 송학빌딩,"서울특별시 송파구 동남로 126, 송학빌딩 4층 4044호 (문정동)",5804.0,메이트포유,2026-02-13 16:12:08,I,2026-02-15 00:20:02,유통전문판매업,210992.250655565,443161.882493746,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,0.0,,,,,메이트포유_서울특별시송파구문정동29-15송학빌딩
1464,유통전문판매업,07_22_17_P,4940000,4940000-113-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,,3.3,526-812,전라남도 영암군 신북면 유곡리 233-1,전라남도 영암군 신북면 닭실길 42,58401.0,둥이네 초록농산,2026-02-13 10:31:39,I,2026-02-15 00:20:02,유통전문판매업,171067.026158522,156350.007088932,유통전문판매업,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,임대,0.0,0.0,N,0.0,,,,,둥이네초록농산_전라남도영암군신북면유곡리233-1
1463,유통전문판매업,07_22_17_P,3560000,3560000-113-2026-00011,2026-02-13,,1,영업/정상,1,영업,,,,,,1.21,,인천광역시 서구 청라동 97-2 청라 큐브시그니처 2차 오피스텔 407-06호,"인천광역시 서구 청라한내로72번길 13, 청라 큐브시그니처 2차 오피스텔 4층 407호 일부호 (청라동)",22758.0,백억쇼핑,2026-02-13 15:00:44,I,2026-02-15 00:20:02,유통전문판매업,167139.636334067,447818.775,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,1.21,,,,,백억쇼핑_인천광역시서구청라동97-2청라큐브시그니처2차오피스텔407-06호
1462,유통전문판매업,07_22_17_P,4940000,4940000-113-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,3.3,526-897,전라남도 영암군 삼호읍 용앙리 1669-1 중흥S클래스리버티아파트 115동 2401호,"전라남도 영암군 삼호읍 대불주거6로 16, 115동 2401호 (중흥S클래스리버티아파트)",58455.0,희망담은 잼,2026-02-13 15:42:20,I,2026-02-15 00:20:02,유통전문판매업,150409.655338089,139729.870311522,유통전문판매업,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,임대,0.0,0.0,N,0.0,,,,,희망담은잼_전라남도영암군삼호읍용앙리1669-1중흥S클래스리버티아파트115동2401호
1461,유통전문판매업,07_22_17_P,3220000,3220000-113-2026-00044,2026-02-13,,1,영업/정상,1,영업,,,,,,6.6,135-868,서울특별시 강남구 삼성동 44-14 로얄빌딩,"서울특별시 강남구 봉은사로 443, 로얄빌딩 12층 (삼성동)",6097.0,주식회사 디더블하우스,2026-02-13 15:44:50,I,2026-02-15 00:20:02,유통전문판매업,204193.943965059,445511.524674933,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,6.6,,,,,주식회사디더블하우스_서울특별시강남구삼성동44-14로얄빌딩
1460,유통전문판매업,07_22_17_P,3220000,3220000-113-2026-00043,2026-02-13,,1,영업/정상,1,영업,,,,,02  555 4590,3.0,135-936,서울특별시 강남구 역삼동 832-7 황화빌딩,"서울특별시 강남구 강남대로 320, 황화빌딩 11층 1108호 (역삼동)",6252.0,신생명공학연구소,2026-02-13 12:23:17,I,2026-02-15 00:20:02,유통전문판매업,202667.551184905,443299.218136257,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,3.0,,,,,신생명공학연구소_서울특별시강남구역삼동832-7황화빌딩
1459,유통전문판매업,07_22_17_P,6510000,6510000-113-2026-00006,2026-02-13,,1,영업/정상,1,영업,,,,,,25.0,695-965,제주특별자치도 제주시 조천읍 함덕리 1593,"제주특별자치도 제주시 조천읍 일주동로 1180, 가동 1층",63334.0,틸(till)99,2026-02-13 15:47:21,I,2026-02-15 00:20:02,유통전문판매업,168955.319857486,4529.19232670239,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,0.0,,,,,틸(till)99_제주특별자치도제주시조천읍함덕리1593
1457,유통전문판매업,07_22_17_P,4060000,4060000-113-2026-00010,2026-02-13,,1,영업/정상,1,영업,,,,,,34.0,413-854,경기도 파주시 광탄면 신산리 35-57,"경기도 파주시 광탄면 만장산로 37, 2층 일부호",10948.0,밀리언컴퍼니,2026-02-13 16:18:12,I,2026-02-15 00:20:02,유통전문판매업,187037.452457536,475217.8171847,유통전문판매업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,임대,0.0,0.0,N,0.0,,,,,밀리언컴퍼니_경기도파주시광탄면신산리35-57
