"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","3650000","CDFI2260032026000007","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 대흥동 31-7","대전광역시 중구 대흥로158번길 25 (대흥동)","34928","대전 아늑료칸","2026-04-01 15:08:32","I","2026-04-03 00:20:02","","238523.644091243","313739.082550123","관광숙박업","","일반상업지역","0","","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","292.96","","0","","","","","","","438200000","","","","293","호스텔업",
"2","관광숙박업","03_11_01_P","3180000","CDFI2260032023000001","2023-08-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 13-18 컴포트 인 여의도","서울특별시 영등포구 국회대로72길 7, 컴포트 인 여의도 (여의도동)","07238","컴포트 인 여의도","2026-04-01 11:33:32","U","2026-04-03 02:40:00","","192899.064795934","447567.13830193","관광숙박업","","","12","","","","","10","2","71","4345","","","0","0","","0","0","","0","4344.84","","0","","","","","","","300000000","","","","4345","관광호텔업",
"3","관광숙박업","03_11_01_P","6510000","CDFI2260032014001011","2014-01-17","","01","영업/정상","13","영업중","","","","","064-735-2000","","","제주특별자치도 제주시 해안동 2101-3","제주특별자치도 제주시 해안마을북길 14-6 (해안동)","63061","NH 신신호텔 제주시티","2026-04-01 16:37:04","U","2026-04-03 02:40:00","","149144.037758331","-3511.92972140884","관광숙박업","","자연녹지지역","5","","","","숙박시설","4","1","198","8355","","","0","0","","0","0","","0","8355.29","","0","","","","","","","0","","","","8355","가족호텔업",
"4","관광숙박업","03_11_01_P","3590000","CDFI2260032022000001","2022-02-07","","01","영업/정상","13","영업중","","","","","062-223-0421","","","광주광역시 동구 대의동 33","광주광역시 동구 서석로 89 (대의동)","61474","컬쳐호텔 람","2026-04-01 14:27:45","U","2026-04-03 02:40:00","","192723.138577662","183408.297836247","관광숙박업","","중심상업지역","11","","","","숙박시설","10","1","43","0","","","0","0","","0","0","","0","7115.26","","0","","","","","","","600000000","","","","7115","관광호텔업",
"5","관광숙박업","03_11_01_P","6510000","CDFI2260032003000002","2003-10-29","","01","영업/정상","13","영업중","","","","","064-725-9000","","","제주특별자치도 제주시 회천동 3-16 한화리조트","제주특별자치도 제주시 명림로 575-107, 한화리조트 (회천동)","63330","한화리조트제주","2026-04-01 14:58:00","U","2026-04-03 02:40:00","","166285.365458268","-5257.14441273754","관광숙박업","관광사업","관리지역","0","","","","숙박시설","0","0","397","39501","","","0","0","","0","0","","0","39500.75","","0","","","","","","","0","","","","39501","휴양콘도미니엄업",
"6","관광숙박업","03_11_01_P","3000000","CDFI2260031967000001","1967-04-03","","02","휴업","02","휴업","","2023-01-01","2027-12-31","","02-734-6884","","","서울특별시 종로구 종로2가 9 (8층)","서울특별시 종로구 종로 69 (종로2가, YMCA)","03164","주식회사 더맥파이","2026-04-01 10:53:57","U","2026-04-03 02:40:00","","198630.79627088","452035.412646906","관광숙박업","관광사업","","9","","","","호텔","8","1","30","0","The Magpie Co., Ltd.","TOURIST HOTEL","0","0","","0","0","","0","892.86","","0","","","","","","","0","","","","893","관광호텔업",
"7","관광숙박업","03_11_01_P","3180000","CDFI2260032016000005","2016-12-30","","01","영업/정상","13","영업중","","","","","02-2018-3700","","","서울특별시 영등포구 신길동 65-85","서울특별시 영등포구 영등포로 389 (신길동)","07318","셀립 여의","2026-04-01 11:31:31","U","2026-04-03 02:40:00","","193001.202811156","445744.288122131","관광숙박업","","","22","학교정화(상대)","","","호텔","20","2","130","0","","","0","0","","0","0","","0","4886.43","","0","","","","","","","0","","","","4886","관광호텔업",
"8","관광숙박업","03_11_01_P","3180000","CDFI2260032015000003","2015-02-25","","01","영업/정상","13","영업중","","","","","02-2677-5511","","150-103","서울특별시 영등포구 양평동3가 30-26","서울특별시 영등포구 양산로1길 5 (양평동3가)","07269","호텔AROZO 2","2026-04-01 11:30:45","U","2026-04-03 02:40:00","","189680.769993867","447133.971430075","관광숙박업","","준공업지역","10","기타","","","숙박시설","9","1","27","731","","","0","0","","0","0","","0","731","","0","","","","","","","1800000000","","","","731","소형호텔업",
"9","관광숙박업","03_11_01_P","3180000","CDFI2260032007000001","2007-08-16","","01","영업/정상","13","영업중","","","","","02-2090-8000, 8345","","","서울특별시 영등포구 여의도동 28-3","서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)","07320","메리어트 이그제큐티브 아파트먼트 서울","2026-04-01 11:33:58","U","2026-04-03 02:40:00","","192739.314354154","446552.469845648","관광숙박업","관광사업","","0","","","","","0","0","103","20997","Marriott Executive Apartments Seoul","FAMILY HOTEL","0","0","","0","0","","0","20997.37","","0","","","","","","","0","","","","20997","가족호텔업",
"10","관광숙박업","03_11_01_P","3180000","CDFI2260032015000002","2015-02-25","","01","영업/정상","13","영업중","","","","","02-2677-5511","","150-103","서울특별시 영등포구 양평동3가 30-8","서울특별시 영등포구 양산로1길 3-1 (양평동3가)","07269","호텔AROZO","2026-04-01 11:30:26","U","2026-04-03 02:40:00","","189670.698184757","447129.428172873","관광숙박업","","준공업지역","10","기타","","","숙박시설","9","1","27","731","","","0","0","","0","0","","0","731","","0","","","","","","","1800000000","","","","731","소형호텔업",
"11","관광숙박업","03_11_01_P","3180000","CDFI2260032018000003","2018-01-09","","01","영업/정상","13","영업중","","","","","02-2632-9000","","","서울특별시 영등포구 양평동5가 62-3 더 스테이트 선유 호텔","서울특별시 영등포구 양평로 132 (양평동5가)","07205","위브 스위트 - 선유 파크사이드","2026-04-01 11:32:10","U","2026-04-03 02:40:00","","190507.597888342","448477.522453196","관광숙박업","","준공업지역","17","학교정화(상대)","","","","14","3","157","0","","","0","0","","0","0","","0","9317.87","","0","","","","","","","0","","","","9318","가족호텔업",
"12","관광숙박업","03_11_01_P","3010000","CDFI2260032014000006","2014-10-29","","01","영업/정상","13","영업중","","","","","","","100-412","서울특별시 중구 광희동2가 238-1","서울특별시 중구 퇴계로 334 (광희동2가)","100-412","맹그로브 동대문","2026-04-01 13:35:05","U","2026-04-03 02:40:00","","200701.142404743","451316.536804153","관광숙박업","","일반상업지역","0","기타","","2성","호텔","16","3","177","5967","mangrove dongdaemun","Tourist Hotel","0","0","","0","0","","0","5967.01","","0","","","","","","","0","","","","5967","관광호텔업",
"13","관광숙박업","03_11_01_P","3410000","CDFI2260032026000001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","대구광역시 중구 완전동 1-18","대구광역시 중구 교동길 106-6 (완전동)","41912","스테이305","2026-04-02 14:40:00","I","2026-04-04 00:20:02","","344439.171168412","264808.444103633","관광숙박업","","중심상업지역","4","","","","숙박시설","4","0","0","0","","","0","0","","0","0","","0","222.57","","0","","","","","","","450000000","","","","223","호스텔업",
"14","관광숙박업","03_11_01_P","3330000","CDFI2260032018000004","2018-07-05","","01","영업/정상","13","영업중","","","","","051-742-0021","","","부산광역시 해운대구 중동 1488-7","부산광역시 해운대구 달맞이길 209 (중동)","48115","선트리호텔","2026-04-02 19:43:54","U","2026-04-04 02:40:00","","398857.534892358","186663.552507473","관광숙박업","","일반주거지역","10","","","","","6","4","32","2701","","","0","0","","0","0","","0","2700.74","","0","","","","","","","0","","","","2701","관광호텔업",
"15","관광숙박업","03_11_01_P","3010000","CDFI2260032026000024","2026-03-31","","01","영업/정상","13","영업중","","","","","02-752-2300","","","서울특별시 중구 회현동3가 8-4","서울특별시 중구 퇴계로16길 37, 블리스호텔Ⅱ (회현동3가)","04631","호텔블리스Ⅱ","2026-04-02 13:23:12","U","2026-04-04 02:40:00","","198513.004471552","450790.358157938","관광숙박업","","주거지역","5","학교정화(상대)","","","숙박시설","5","2","14","0","HOTEL BLISSⅡ","Hostel","0","0","","0","0","","0","467.58","","0","","","","","","","990000000","","","","468","호스텔업",
"16","관광숙박업","03_11_01_P","4181000","CDFI2260032018000001","2018-04-24","","01","영업/정상","13","영업중","","","","","033 262 4183","","","강원특별자치도 춘천시 동산면 조양리 산 199 라비에벨 컨트리클럽","강원특별자치도 춘천시 동산면 종자리로 436, 라비에벨 컨트리클럽","24410","라비에벨 콘도 1차(빌라듄스)","2026-04-02 09:07:16","U","2026-04-04 02:40:00","","266801.723069835","471255.505860593","관광숙박업","","","2","","","","콘도미니엄","2","0","34","3653","","","0","0","","0","0","","0","45063","","0","","","","","","","0","","","","45063","휴양콘도미니엄업",
"17","관광숙박업","03_11_01_P","3650000","CDFI2260031986000002","1986-11-27","","01","영업/정상","13","영업중","","","","","","","301-822","대전광역시 중구 선화동 230-6 외5필지","대전광역시 중구 대종로505번길 50 (선화동,외5필지)","","대림호텔","2026-04-02 13:15:24","U","2026-04-04 02:40:00","","237867.647635938","314268.665022617","관광숙박업","관광사업","일반상업지역","7","기타","","","호텔","6","1","44","5378","","","0","0","","0","0","","0","5378.48","","0","","","","","","","200000000","","","","5378","관광호텔업",
"18","관광숙박업","03_11_01_P","3330000","CDFI2260032024000001","2024-05-08","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 313-12","부산광역시 해운대구 송정중앙로6번길 126, 3~5층 (송정동)","48073","스테이 SD","2026-04-02 19:25:31","U","2026-04-04 02:40:00","","400170.32219517","188826.733902683","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","267.77","","0","","","","","","","200000000","","","","268","호스텔업",
