"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","대기오염물질배출시설설치사업장","09_30_08_P","4540000","454000021202600001","2026-04-01","","01","영업/정상","11","영업","","","","","041-742-9002","","","충청남도 논산시 연무읍 동산리 164-1","충청남도 논산시 연무읍 행정1길 60","33010","(주)이편한","2026-04-01 13:22:03","I","2026-04-03 00:20:02","기타 목재가구 제조업","211371.877090825","292481.659659588","대기배출업소관리","기타 목재가구 제조업","5종","","8","300","24","365","2878102109",
"2","대기오염물질배출시설설치사업장","09_30_08_P","3560000","356000021202600007","2026-04-01","","01","영업/정상","11","영업","","","","","","","","인천광역시 서구 가좌동 162-14","인천광역시 서구 가정로57번길 6, 1층 (가좌동)","22837","신테크","2026-04-01 10:13:18","I","2026-04-03 00:20:02","그외 기타 금속가공제품 제조업","170805.737860169","443152.250862057","대기배출업소관리","그외 기타 금속가공제품 제조업","4종","","","0","","0","1131691375",
"3","대기오염물질배출시설설치사업장","09_30_08_P","3730000","373000021202600008","2026-04-01","","01","영업/정상","11","영업","","","","","","","","울산광역시 울주군 웅촌면 은현리 1-37","울산광역시 울주군 웅촌면 은현공단3길 20","44965","(주)제이와이신소재","2026-04-01 13:45:39","I","2026-04-03 00:20:02","합성수지 및 기타 플라스틱 물질 제조업","397850.164552144","221850.786512788","대기배출업소관리","합성수지 및 기타 플라스틱 물질 제조업","5종","","24","312","24","312","1148803736",
"4","대기오염물질배출시설설치사업장","09_30_08_P","5350000","535000021202600013","2026-04-01","","01","영업/정상","11","영업","","","","","0553436714","","","경상남도 김해시 진례면 고모리 167","경상남도 김해시 진례면 고모로 595","50875","(주)경민호이스트","2026-04-01 10:38:42","I","2026-04-03 00:20:02","도장 및 기타 피막처리업","361524.833085336","198986.154767138","대기배출업소관리","도장 및 기타 피막처리업","5종","","8","300","8","300","6228125192",
"5","대기오염물질배출시설설치사업장","09_30_08_P","5530000","553000021202600029","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 만세구 팔탄면 하저리 78-1","경기도 화성시 만세구 팔탄면 하저북1길 16","18293","리더팩","2026-04-01 20:30:37","I","2026-04-03 00:20:02","플라스틱 시트 및 판 제조업","188670.182465478","410456.51056575","대기배출업소관리","플라스틱 시트 및 판 제조업","5종","","","0","","300","2211794137",
"6","대기오염물질배출시설설치사업장","09_30_08_P","5530000","553000021202600028","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 만세구 우정읍 석천리 682-1 외 15필지","경기도 화성시 만세구 우정읍 이화석천로 197","18572","주식회사 오텍","2026-04-01 20:19:27","I","2026-04-03 00:20:02","자동차 종합 수리업","180656.298847922","393100.186340439","대기배출업소관리","자동차 종합 수리업","5종","","8","0","8","240","",
"7","대기오염물질배출시설설치사업장","09_30_08_P","5110000","511000021202600002","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경상북도 상주시 함창읍 오동리 4 외 1필지","","","함창자동차검사정비","2026-04-01 15:30:26","I","2026-04-03 00:20:02","","307092.820701446","341838.17203138","대기배출업소관리","","5종","","8","300","8","300","",
"8","대기오염물질배출시설설치사업장","09_30_08_P","6290000","629000001201700005","2017-02-16","","01","영업/정상","01","영업","","","","","0629519893","","","광주광역시 광산구 안청동 732-4","광주광역시 광산구 하남산단10번로 96 (안청동)","62211","두광금속(주)","2026-04-01 17:15:40","U","2026-04-03 02:40:00","","182404.03407092","190619.117365079","대기배출업소관리","도금업","4종","전자부품","15","300","15","300","4108166741",
"9","대기오염물질배출시설설치사업장","09_30_08_P","6280000","628000001200300029","2003-11-27","","01","영업/정상","01","영업","","","","","0328159333","","","인천광역시 남동구 고잔동  687-9번지 116블럭 9로트","","","한성특수고무공업사","2026-04-01 16:04:12","U","2026-04-03 02:40:00","","","","대기배출업소관리","고무제품 및 플라스틱제품 제조업","5종","","0","0","0","0","",
"10","대기오염물질배출시설설치사업장","09_30_08_P","4550000","455000021202300003","2023-08-04","","01","영업/정상","11","영업","","","","","041-751-2407","","","충청남도 금산군 추부면 서대리 138","충청남도 금산군 추부면 군북로 1145","32710","서하 주식회사","2026-04-01 17:14:04","U","2026-04-03 02:40:00","금속가구 제조업","246583.400301672","300627.65927762","대기배출업소관리","금속가구 제조업","5종","","","0","","0","4968101553",
