번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,Unnamed: 47,record_key
1157,제과점영업,07_22_18_P,6510000,6510000-121-2026-00011,2026-02-13,,1,영업/정상,1,영업,,,,,,73.54,690-851,제주특별자치도 제주시 이도이동 1970-30 다온드리,"제주특별자치도 제주시 신설로2길 1-1, 다온드리 1층 (이도이동)",63227.0,아마토미유,2026-02-13 14:55:33,I,2026-02-15 00:20:02,제과점영업,157363.95907006,-173.513336391331,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,73.54,,,,,아마토미유_제주특별자치도제주시이도이동1970-30다온드리
1152,제과점영업,07_22_18_P,3210000,3210000-121-2026-00006,2026-02-13,,1,영업/정상,1,영업,,,,,,3.6,137-960,서울특별시 서초구 반포동 19-3 센트럴시티,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",6546.0,핫코베이커리,2026-02-13 13:46:33,I,2026-02-15 00:20:02,제과점영업,200250.447804795,444683.220506107,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,3.6,,,,,핫코베이커리_서울특별시서초구반포동19-3센트럴시티
1147,제과점영업,07_22_18_P,3940000,4100100-121-2026-00005,2026-02-13,,1,영업/정상,1,영업,,,,,,,411-766,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 지하1층일부,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층일부 (대화동)",10391.0,치플레1(한시적),2026-02-13 13:52:23,I,2026-02-15 00:20:02,제과점영업,178006.080301401,462865.812502378,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,치플레1(한시적)_경기도고양시일산서구대화동2602현대백화점킨텍스점지하1층일부
1148,제과점영업,07_22_18_P,3230000,3230000-121-2026-00015,2026-02-13,,1,영업/정상,1,영업,,,,,,25.83,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,"서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 지하1층 (잠실동)",5554.0,모모베이글,2026-02-13 17:06:57,I,2026-02-15 00:20:02,제과점영업,208589.363343145,445455.90405262,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,25.83,,,,,모모베이글_서울특별시송파구잠실동40-1롯데월드
1149,제과점영업,07_22_18_P,4191000,4191000-121-2026-00005,2026-02-13,,1,영업/정상,1,영업,,,,,033 7470282,318.78,,강원특별자치도 원주시 행구동 1597-1,"강원특별자치도 원주시 행구로 189, 1층 102호 (행구동)",26454.0,주식회사듀레,2026-02-13 10:22:35,I,2026-02-15 00:20:02,제과점영업,286517.728874091,427299.85857567,제과점영업,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,318.78,,,,,주식회사듀레_강원특별자치도원주시행구동1597-1
1151,제과점영업,07_22_18_P,5330000,5330000-121-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,63.84,650-829,경상남도 통영시 광도면 죽림리 1573-2 주영 더 팰리스 5차아파트 523동 204호,"경상남도 통영시 광도면 죽림5로 56, 523동 1층 204호 (주영 더 팰리스 5차아파트)",53013.0,모모의 빵집,2026-02-13 17:06:17,I,2026-02-15 00:20:02,제과점영업,329812.037355188,154782.065113377,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,63.84,,,,,모모의빵집_경상남도통영시광도면죽림리1573-2주영더팰리스5차아파트523동204호
1150,제과점영업,07_22_18_P,4681000,4681000-121-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,30.63,,전북특별자치도 익산시 신동 791-10,"전북특별자치도 익산시 무왕로4길 16, 1층 (신동)",54645.0,짭쪼롬,2026-02-13 15:31:44,I,2026-02-15 00:20:02,제과점영업,196044.786519111,273610.555678416,제과점영업,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,30.63,,,,,짭쪼롬_전북특별자치도익산시신동791-10
1153,제과점영업,07_22_18_P,3310000,3310000-121-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,,23.4,608-822,부산광역시 남구 문현동 359-20,"부산광역시 남구 수영로 34, 1층 일부호 (문현동)",48457.0,희망베이커리,2026-02-13 16:57:40,I,2026-02-15 00:20:02,제과점영업,388728.140875326,183893.681472423,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,23.4,,,,,희망베이커리_부산광역시남구문현동359-20
1154,제과점영업,07_22_18_P,5670000,5670123-121-2026-00003,2026-02-13,,1,영업/정상,1,영업,,,,,,47.52,641-811,경상남도 창원시 의창구 도계동 419-6 대주빌딩,"경상남도 창원시 의창구 태복산로27번길 32, 대주빌딩 1층 일부호 (도계동)",51167.0,브랑오슈 제과점,2026-02-13 15:44:31,I,2026-02-15 00:20:02,제과점영업,349126.086115609,196418.78093934,제과점영업,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,47.52,,,,,브랑오슈제과점_경상남도창원시의창구도계동419-6대주빌딩
1156,제과점영업,07_22_18_P,4490000,5650000-121-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,134.66,330-891,충청남도 천안시 동남구 성남면 용원리 671 1~2층,"충청남도 천안시 동남구 성남면 종합휴양지로 183, 1~2층",31246.0,브레드보드,2026-02-13 17:50:46,I,2026-02-15 00:20:02,제과점영업,220031.428880929,361794.719841137,제과점영업,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,134.66,,,,,브레드보드_충청남도천안시동남구성남면용원리6711~2층
