"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"1","국제물류주선업","11_45_01_P","6280000","6280000-63-1197","2026-02-10","","01","영업/정상","0010","운행","","","","","","","22334","인천광역시 중구 신흥동3가 33-40 가동 2층호","인천광역시 중구 축항대로291번길 36, 가동 2층 (신흥동3가)","22334","쾌연로지스(주)","2026-03-03 00:00:00","I","2026-03-05 00:20:02","","167095.795142968","438834.067070286","6280000","국제물류주선업","300000000","","","","","",
"2","국제물류주선업","11_45_01_P","6280000","6280000-63-1198","2025-06-17","","01","영업/정상","0010","운행","","","","","","","21990","인천광역시 연수구 송도동 214번지 송도BRC스마트밸리지식산업센터 디동 305호","인천광역시 연수구 송도미래로 30, 송도BRC스마트밸리지식산업센터 디동 305호 (송도동)","21990","(주)넥솔로지스틱스","2026-03-03 00:00:00","I","2026-03-05 00:20:02","","168781.930908815","429455.977053908","6280000","국제물류주선업","300000000","","","","","",
"3","국제물류주선업","11_45_01_P","6260000","6260000-63-147","2005-06-30","","01","영업/정상","0010","운행","","","","","0514415374","","48937","부산광역시 중구 중앙동4가 81-15 대성빌딩 502호","부산광역시 중구 충장대로5번길 32-1, 대성빌딩 502호 (중앙동4가)","48937","(주)뉴오릭스해운","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","385689.004984201","180675.628919087","6260000","국제물류주선업","300000000","","","","","",
"4","국제물류주선업","11_45_01_P","6260000","6260000-63-1029","2018-06-18","","01","영업/정상","0010","운행","","","","","0514694562","","48929","부산광역시 중구 중앙동4가 53-11","부산광역시 중구 중앙대로 87, 5층 (중앙동4가)","48929","(주)에이치아이로지스틱스","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","385554.473566249","180381.456429273","6260000","국제물류주선업","300000000","","","","","",
"5","국제물류주선업","11_45_01_P","6260000","6260000-63-300","2009-10-30","","01","영업/정상","0010","운행","","","","","0519239070","","48930","부산광역시 중구 중앙동4가 36-14 은산빌딩 402호","부산광역시 중구 해관로 65, 은산빌딩 402호(중앙동4가)","48930","(주)로직코리아","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","385502.492320068","180297.579330875","6260000","국제물류주선업","300500000","","","","","",
"6","국제물류주선업","11_45_01_P","6280000","6280000-63-675","2018-06-20","","01","영업/정상","0010","운행","","","","","","","22176","인천광역시 미추홀구 용현동 0번지 403호","인천광역시 미추홀구 인주대로 72, 403호 (용현동)","22176","주식회사 엘에이치에스로지스틱스","2026-03-03 00:00:00","U","2026-03-05 02:40:00","","","","6280000","국제물류주선업","300000000","","","","","",
"7","국제물류주선업","11_45_01_P","6280000","6280000-63-1146","2025-05-30","","01","영업/정상","0010","운행","","","","","","","22755","인천광역시 서구 청라동 0번지 청라국제도시아이파크 101동 3203호","인천광역시 서구 에코로 51, 청라국제도시아이파크 101동 3203호 (청라동)","22755","주식회사 로지스위프트","2026-03-04 00:00:00","U","2026-03-06 02:40:00","","","","6280000","국제물류주선업","300000000","","","","","",
"8","국제물류주선업","11_45_01_P","6480000","6480000-63-177","2026-03-04","","01","영업/정상","0010","운행","","","","","","","52535","경상남도 사천시 사남면 방지리 734번지","경상남도 사천시 사남면 공단4로 155-32","52535","주식회사 용성디와이디","2026-03-05 00:00:00","I","2026-03-07 00:20:02","","295145.10607231","174150.010086926","6480000","국제물류주선업","300000000","","","","","",
"9","국제물류주선업","11_45_01_P","6260000","6260000-63-1129","2019-11-18","","01","영업/정상","0010","운행","","","","","0517173855","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 307호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 307호(재송동)","48058","팍스솔루션(주)","2026-03-05 00:00:00","U","2026-03-07 02:40:00","","393503.395721468","188279.474831553","6260000","국제물류주선업","300000000","","","","","",
"10","국제물류주선업","11_45_01_P","6260000","6260000-63-915","2016-11-03","","01","영업/정상","0010","운행","","","","","","","48400","부산광역시 남구 문현동 1226번지 비아이에프씨2 1511호","부산광역시 남구 남동천로 128, 비아이에프씨2 1511호 (문현동)","48400","(주)엘와이지해운항공","2026-03-05 00:00:00","U","2026-03-07 02:40:00","","","","6260000","국제물류주선업","300000000","","","","","",
"11","국제물류주선업","11_45_01_P","6260000","6260000-63-694","2014-01-09","","01","영업/정상","0010","운행","","","","","0519593001","","","","부산광역시 중구 충장대로9번길 17, 405호 (중앙동4가,동일빌딩)","48938","(주)하이넥스","2026-03-05 00:00:00","U","2026-03-07 02:40:00","","385687.937296255","180542.113582083","6260000","국제물류주선업","300000000","","","","","",
