번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),지정일자,민원종류명,Unnamed: 30,record_key
1699,담배소매업,11_43_02_P,3860000,2026388100605600004,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,경기도 부천시 소사구 심곡본동 623-6,경기도 부천시 소사구 심곡로 73 (심곡본동),14748,에이스할인마트,2026-02-26 16:56:40,I,2026-02-28 00:20:02,,180040.065889141,441723.293690832,20260226.0,제7조의3제2항에따른경우,,에이스할인마트_경기도부천시소사구심곡본동623-6
1703,담배소매업,11_43_02_P,4460000,2026446013805600003,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,충청북도 괴산군 칠성면 도정리 285-1,"충청북도 괴산군 칠성면 칠성로 1, 1층",28019,삼거리슈퍼,2026-02-26 15:20:04,I,2026-02-28 00:20:02,,276962.704141887,365467.405358163,20260226.0,제7조의3제2항에따른경우,,삼거리슈퍼_충청북도괴산군칠성면도정리285-1
1685,담배소매업,11_43_02_P,4030000,2026403026905600004,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,경기도 의왕시 고천동 553 대방 디에트르 센트럴,"경기도 의왕시 시청1로 11, 상가동 105호 (고천동, 대방 디에트르 센트럴)",16075,고천마트,2026-02-26 14:15:48,I,2026-02-28 00:20:02,,,,20260226.0,제7조의3제2항에따른경우,,고천마트_경기도의왕시고천동553대방디에트르센트럴
1688,담배소매업,11_43_02_P,3600000,2026360023705600011,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,광주광역시 서구 금호동 1117 위파크마륵공원아파트,"광주광역시 서구 서광주로106번길 39, 127동 101호,102호 (금호동, 위파크마륵공원아파트)",62004,씨유 마륵공원점,2026-02-26 14:02:58,I,2026-02-28 00:20:02,,,,20260226.0,제7조의3제2항에따른경우,,씨유마륵공원점_광주광역시서구금호동1117위파크마륵공원아파트
1689,담배소매업,11_43_02_P,5670000,2026567057005600005,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,경상남도 창원시 마산합포구 산호동 22-2,경상남도 창원시 마산합포구 산호북15길 46 (산호동),51328,전자담배라운지24 NC점,2026-02-26 10:51:16,I,2026-02-28 00:20:02,,344107.377433078,192275.474645191,20260226.0,제7조의3제2항에따른경우,,전자담배라운지24NC점_경상남도창원시마산합포구산호동22-2
1691,담배소매업,11_43_02_P,4040000,2026404032105600013,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,경기도 하남시 풍산동 493 미사센텀비즈,"경기도 하남시 조정대로 45, 미사센텀비즈 제알비동 지하1층 107호 (풍산동)",12918,의협,2026-02-26 15:26:43,I,2026-02-28 00:20:02,,216197.552708918,449829.801875259,20260226.0,제7조의3제2항에따른경우,,의협_경기도하남시풍산동493미사센텀비즈
1692,담배소매업,11_43_02_P,4641000,2026466100605600007,2026-02-26,,1,영업/정상,0,정상영업,,,,,465-74-00775,,,전북특별자치도 전주시 덕진구 여의동 751-56 3동 1층 일부호,"전북특별자치도 전주시 덕진구 팔복로 253, 3동 1층 일부호 (여의동)",54855,씨유(CU)전주팔복공단점,2026-02-26 16:48:53,I,2026-02-28 00:20:02,,207154.087775322,262014.334508912,20260226.0,제7조의3제2항에따른경우,,씨유(CU)전주팔복공단점_전북특별자치도전주시덕진구여의동751-563동1층일부호
1693,담배소매업,11_43_02_P,4890000,2026489014105600004,2026-02-26,,1,영업/정상,0,정상영업,,,,,061-857-2460,,,전라남도 보성군 벌교읍 연산리 316-5,전라남도 보성군 벌교읍 조정래길 304,59418,장미슈퍼,2026-02-26 13:17:23,I,2026-02-28 00:20:02,,231169.147402631,151939.878792419,20260226.0,제7조의3제2항에따른경우,,장미슈퍼_전라남도보성군벌교읍연산리316-5
1694,담배소매업,11_43_02_P,3630000,2026363034405600014,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,광주광역시 광산구 쌍암동 670-4,"광주광역시 광산구 임방울대로801번길 8, 1층 108호 (쌍암동)",62275,다이나핏,2026-02-26 14:18:30,I,2026-02-28 00:20:02,,185926.472803088,191010.748359574,20260226.0,제7조의3제2항에따른경우,,다이나핏_광주광역시광산구쌍암동670-4
1696,담배소매업,11_43_02_P,6520000,2026652003005600001,2026-02-26,,1,영업/정상,0,정상영업,,,,,,,,제주특별자치도 서귀포시 성산읍 수산리 1695,"제주특별자치도 서귀포시 성산읍 서성일로 872-6, 1층",63631,세븐일레븐 서귀포수산로터리점,2026-02-26 17:45:35,I,2026-02-28 00:20:02,,188169.905370551,-6435.18284015382,20260226.0,제7조의3제2항에따른경우,,세븐일레븐서귀포수산로터리점_제주특별자치도서귀포시성산읍수산리1695
