"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","3420000","3420000-201-1984-00004","1984-01-05","","01","영업/정상","01","영업","","","","","053 9562963","228.76","701-843","대구광역시 동구 효목동 168-19","대구광역시 동구 효동로 9 (효목동)","41176","베르나르모텔","2026-02-27 10:37:16","U","2026-03-04 02:40:00","여관업","348821.214441756","265587.988392012","여관업","3","1","2","3","0","0","0","12","","","","자가","0","0","N",
"2","숙박업","03_11_03_P","3420000","3420000-201-1985-00006","1985-08-27","","01","영업/정상","01","영업","","","","","053 7437747","545.58","701-846","대구광역시 동구 효목동 566","대구광역시 동구 효목로 50 (효목동)","41232","신라모텔","2026-02-27 15:45:33","U","2026-03-04 02:40:00","여관업","348054.488970056","265400.003539545","여관업","4","1","2","4","0","0","16","6","","","","임대","0","0","N",
"3","숙박업","03_11_03_P","3380000","3380000-214-2026-00007","2026-03-03","","01","영업/정상","01","영업","","","","","","59.03","613-828","부산광역시 수영구 민락동 173-21","부산광역시 수영구 민락로13번길 2, 3층 (민락동)","48285","정재스테이(JUNGJAE STAY)","2026-03-03 13:59:50","I","2026-03-05 00:20:02","숙박업(생활)","393320.037728734","186230.304993342","숙박업(생활)","0","0","3","3","0","0","0","1","","","","","0","0","N",
"4","숙박업","03_11_03_P","3020000","3020000-214-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","65.55","140-830","서울특별시 용산구 서계동 232-34","서울특별시 용산구 만리재로 180-1, 2층 (서계동)","04300","스테이터울","2026-03-03 13:33:10","I","2026-03-05 00:20:02","숙박업(생활)","196954.142298721","450212.036562714","숙박업(생활)","0","0","2","0","0","0","0","2","","","","임대","0","0","N",
"5","숙박업","03_11_03_P","4201000","4201000-214-2026-00003","2026-03-03","","01","영업/정상","01","영업","","","","","","167.06","","강원특별자치도 강릉시 주문진읍 주문리 1","강원특별자치도 강릉시 주문진읍 해안로 1929, 2층","25408","수지","2026-03-03 21:42:33","I","2026-03-05 00:20:02","숙박업(생활)","360914.105576114","490375.960959368","숙박업(생활)","0","0","2","2","0","0","0","3","","","","","0","0","N",
"6","숙박업","03_11_03_P","4201000","4201000-201-2026-00003","2026-03-03","","01","영업/정상","01","영업","","","","","","110.70","","강원특별자치도 강릉시 교동 977-1","강원특별자치도 강릉시 원대로20번길 14 (교동)","25506","하우스 워커블","2026-03-03 10:49:31","I","2026-03-05 00:20:02","숙박업 기타","365877.270369031","474391.129417962","숙박업 기타","2","1","0","0","0","0","0","3","","","","","0","0","N",
"7","숙박업","03_11_03_P","3650000","3650000-214-2026-00005","2026-03-03","","01","영업/정상","01","영업","","","","","","0.00","301-805","대전광역시 중구 대흥동 508-67 2층","대전광역시 중구 대흥로 81-1, 2층 (대흥동)","34941","온로재대흥점","2026-03-03 09:12:23","I","2026-03-05 00:20:02","숙박업(생활)","237825.111089833","313694.085301504","숙박업(생활)","0","0","0","0","0","0","0","0","","","","","0","0","N",
"8","숙박업","03_11_03_P","4910000","4910000-214-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","062 956 2490","198.72","529-883","전라남도 장흥군 회진면 회진리 529","전라남도 장흥군 회진면 천년학길 49-85","59360","영진펜션","2026-03-03 11:06:54","I","2026-03-05 00:20:02","숙박업(생활)","194263.368126779","108455.873952197","숙박업(생활)","2","1","0","0","0","0","0","3","","","","","0","0","N",
"9","숙박업","03_11_03_P","5050000","5050000-201-2012-00003","2012-02-03","","01","영업/정상","01","영업","","","","","","815.18","780-400","경상북도 경주시 진현동 611-130","경상북도 경주시 영불로 236 (진현동)","38127","하라가족텔","2026-03-03 17:04:16","U","2026-03-05 02:40:00","여관업","410372.364420417","256163.008182475","여관업","0","0","0","0","0","0","1","18","","","","","0","0","N",
"10","숙박업","03_11_03_P","5580000","5580000-201-2003-00022","2003-12-05","","01","영업/정상","01","영업","","","","","","1266.01","321-900","충청남도 계룡시 금암동 156-6","충청남도 계룡시 서금암2길 7-5 (금암동)","32826","호텔싸이","2026-03-03 13:33:18","U","2026-03-05 02:40:00","여관업","222754.097976578","308023.903295423","여관업","7","1","1","7","0","1","0","28","","","","자가","0","0","N",
