"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기증명업","09_28_04_P","5050000","2013505021306500002","2013-12-27","","01","영업/정상","01","영업중","","","","","054 763 0340","","","","경상북도 경주시 안강읍 두류길 178-1","780-802","(주)에너지경주","2026-01-30 15:39:28","U","2026-02-04 11:04:37","","395216.552454962","276910.743762889","054 763 0340","",
"2","계량기증명업","09_28_04_P","5060000","2014506010206500001","2014-10-01","","03","폐업","03","폐업","2026-01-30","","","","4351300","","","","경상북도 김천시 어모면 은림로 62-7","39504","금강공인계량소","2026-01-30 15:53:22","U","2026-02-04 11:04:37","","301125.634819055","298264.447417901","4351300","",
"3","계량기증명업","09_28_04_P","3430000","1986343001006500014","1986-08-05","","01","영업/정상","01","영업중","","","","","053 565 0221","","","대구광역시 서구 중리동 1120-1번지","대구광역시 서구 와룡로 346 (중리동)","703-833","화성가스 주식회사","2026-01-30 14:31:23","U","2026-02-04 11:04:37","","338844.987977045","263632.89591808","053 565 0221","",
"4","계량기증명업","09_28_04_P","3630000","2010363012106500001","2010-04-09","","01","영업/정상","01","영업중","","","","","062 946 1313","","506-505","광주광역시 광산구 지죽동 410번지 23호","광주광역시 광산구 평동산단외로 183 (지죽동)","506-505","대흥산업","2026-02-03 16:22:12","U","2026-02-06 02:40:00","","177955.242984336","182360.095175511","062 946 1313","",
"5","계량기증명업","09_28_04_P","3630000","2024363031106500002","2024-01-23","","01","영업/정상","01","영업중","","","","","062 944 3021","","","광주광역시 광산구 송촌동 297-1","광주광역시 광산구 평동산단외로 307 (송촌동)","62410","보고산업 (주)","2026-02-03 18:25:43","U","2026-02-06 02:40:00","","177884.434437536","182345.507398201","062 944 3021","",
"6","계량기증명업","09_28_04_P","5680000","2007463008006500001","2007-08-06","","01","영업/정상","01","영업중","","","","","0413561976","","","충청남도 당진시 송악읍 부곡리 133-6","충청남도 당진시 송악읍 북부산업로 827","31723","삼미상사(주)송악톨게이트주유소","2026-02-05 09:07:52","U","2026-02-07 02:40:00","","180313.043309484","383038.26772023","0413561976","",
"7","계량기증명업","09_28_04_P","4550000","2014455001006500002","2014-01-14","","01","영업/정상","01","영업중","","","","","","","","","충청남도 금산군 추부면 서대산로 431","312-943","경원스틸(공인계량소)","2026-02-05 09:10:52","U","2026-02-07 02:40:00","","244501.901136053","302274.266313779","","",
"8","계량기증명업","09_28_04_P","4470000","2005447003906500002","2005-11-03","","03","폐업","03","폐업","2026-01-27","","","","043 8775140","","","충청북도 음성군 감곡면 오향리 592-1번지","충청북도 음성군 감곡면 음성로 2602","27611","현대계량증명업소","2026-02-10 10:28:33","U","2026-02-12 02:40:00","","257051.150519177","400893.608690426","043 8775140","",
"9","계량기증명업","09_28_04_P","4550000","2014455001006500001","2014-01-14","","01","영업/정상","01","영업중","","","","","7532033","","","","충청남도 금산군 추부면 서대산로 431","312-943","경원상사","2014-01-14 13:16:29","I","2026-02-13 00:20:38","","244501.901136053","302274.266313779","7532033","",
"10","계량기증명업","09_28_04_P","3910000","2020391033106500001","2020-03-30","","01","영업/정상","01","영업중","","","","","031 6815022","","","경기도 평택시 포승읍 만호리 573번지 1호","경기도 평택시 포승읍 포승공단로 68","17959","KH에너지(주)포승행복주유소","2026-02-11 17:38:00","U","2026-02-13 02:40:00","","185961.095980913","386234.225183895","031 6815022","",
"11","계량기증명업","09_28_04_P","6510000","2014651014606500004","2014-07-25","","01","영업/정상","01","영업중","","","","","064 725 8714","","","","제주특별자치도 제주시 번영로 102 (화북이동)","690-061","주식회사 우리자원해운","2026-02-13 08:49:20","U","2026-02-15 02:40:00","","158769.859695371","1195.70500318016","064 725 8714","",
