"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","4201000","CDFH3301062026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","268.56","","강원특별자치도 강릉시 교동 1886-12","강원특별자치도 강릉시 솔올로5번길 12-9, 3층 (교동)","25515","핏온 웰니스 피티","2026-03-03 15:39:47","I","2026-03-05 00:20:02","","365255.771054921","475109.640126438","체력단련장업","사립","","1","0","1218.83","0","0","0","0","","",
"2","체력단련장업","10_42_01_P","4600000","CDFH3301062026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","619.94","","충청남도 홍성군 홍북읍 신경리 560 601-1호","충청남도 홍성군 홍북읍 청사로 152, 601-1,3호","32256","다이아 짐","2026-03-03 18:04:20","I","2026-03-05 00:20:02","","171253.687244074","350770.203410721","체력단련장업","사립","","3","1","990.75","0","0","0","0","","",
"3","체력단련장업","10_42_01_P","4490000","CDFH3301062026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","69.36","","충청남도 천안시 동남구 신부동 966 더샾오피스텔 209호","충청남도 천안시 동남구 만남로 9, 더샾오피스텔 209호 (신부동)","31120","공감PT여성전용공간 신부점","2026-03-03 14:27:30","I","2026-03-05 00:20:02","","213580.890985251","368651.289029421","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"4","체력단련장업","10_42_01_P","3660000","CDFH3301062019000001","2019-03-06","","01","영업/정상","13","영업중","","","","","042-522-2728","702.25","","대전광역시 서구 괴정동 426-1 리베라 아이누리","대전광역시 서구 용문로 41-80, 2층 (괴정동, 리베라 아이누리)","35299","헬스바디","2026-03-03 09:05:36","U","2026-03-05 02:40:00","","234851.900864659","315485.260691985","체력단련장업","사립","","2","0","20253.24","0","0","0","0","","",
"5","체력단련장업","10_42_01_P","4600000","CDFH3301062019000002","2019-02-13","","01","영업/정상","13","영업중","","","","","","540","","충청남도 홍성군 홍북읍 신경리 583 세움펠리피아 404호","충청남도 홍성군 홍북읍 의향로 273, 세움펠리피아 404~407호","32256","OLD SCHOOL GYM","2026-03-03 18:02:46","U","2026-03-05 02:40:00","","171434.766998602","350860.611395595","체력단련장업","사립","Y","1","1","663","0","0","0","0","","",
"6","체력단련장업","10_42_01_P","4201000","CDFH3301062018000009","2018-12-14","","01","영업/정상","13","영업중","","","","","","134.14","","강원특별자치도 강릉시 강문동 1-1 세인트존스 호텔","강원특별자치도 강릉시 창해로 307, 세인트존스 호텔 1층 (강문동)","25467","세인트존스호텔 피트니스 센터","2026-03-03 09:27:57","U","2026-03-05 02:40:00","","369147.462906176","478267.144158212","체력단련장업","사립","","1","3","83343.4","0","0","20","0","","",
"7","체력단련장업","10_42_01_P","4681000","CDFH3301062024000005","2024-09-13","","01","영업/정상","13","영업중","","","","","063-833-2999","475.13","","전북특별자치도 익산시 부송동 1037 부송신협마트","전북특별자치도 익산시 부송1로 70, 부송신협마트 3층 (부송동)","54561","제이엠피트니스","2026-03-03 10:36:41","U","2026-03-05 02:40:00","","199004.486927328","273015.232997132","체력단련장업","사립","","0","0","2827.96","0","0","0","0","","",
"8","체력단련장업","10_42_01_P","3150000","CDFH3301062024000025","2024-10-21","","03","폐업","03","폐업","2026-03-03","","","","","216.63","","서울특별시 강서구 마곡동 799-4 마곡지웰타워","서울특별시 강서구 공항대로 200, 마곡지웰타워 303,304호 (마곡동)","07631","비전PT 마곡역점","2026-03-03 14:11:33","U","2026-03-05 02:40:00","","184865.68815993","450758.165943878","체력단련장업","사립","","1","0","21230.82","0","0","0","0","","",
"9","체력단련장업","10_42_01_P","3940000","CDFH3301062013000005","2013-03-07","","03","폐업","03","폐업","2026-03-03","","","","031-904-9692","597.58","","경기도 고양시 일산동구 풍동 1279-4 샘터17","경기도 고양시 일산동구 숲속마을1로 71, 샘터17 1001호,1002호,1003호 (풍동)","10306","라이프짐","2026-03-03 14:10:25","U","2026-03-05 02:40:00","","182261.961828786","462793.473212423","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"10","체력단련장업","10_42_01_P","3990000","CDFH3301062019000012","2019-10-30","","01","영업/정상","13","영업중","","","","","","128.65","","경기도 남양주시 다산동 6119-13 대양빌딩 B1","경기도 남양주시 다산중앙로82번안길 22-40, 대양빌딩 B1층 (다산동)","12249","피트너","2026-03-03 14:56:02","U","2026-03-05 02:40:00","","214258.742004028","457369.616012973","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"11","체력단련장업","10_42_01_P","3230000","CDFH3301062022000009","2022-03-28","","01","영업/정상","13","영업중","","","","","","242.37","","서울특별시 송파구 방이동 207 MIK TOWER","서울특별시 송파구 위례성대로18길 31-20, MIK TOWER 지하1층 (방이동)","05639","스포니스 방이점","2026-03-03 21:15:45","U","2026-03-05 02:40:00","","211050.348471002","445216.912830336","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"12","체력단련장업","10_42_01_P","4191000","CDFH3301062024000005","2024-08-21","","01","영업/정상","13","영업중","","","","","","152.17","","강원특별자치도 원주시 반곡동 1885-1 (주)반곡빌딩","강원특별자치도 원주시 혁신로 37-1 (주)반곡빌딩 (반곡동)","26465","피지컬짐","2026-03-03 14:18:39","U","2026-03-05 02:40:00","","286670.239304977","425110.381120036","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"13","체력단련장업","10_42_01_P","3860000","CDFH3301062011000011","2011-12-30","","01","영업/정상","13","영업중","","","","","","387.4","","경기도 부천시 원미구 상동 584-6 정우프라자","경기도 부천시 원미구 장말로 1, 정우프라자 3층 301호, 302호, 303호, 304호 (상동)","14593","피타짐 부개점 24시 헬스PT","2026-03-03 13:17:50","U","2026-03-05 02:40:00","","177123.885471335","443571.253186653","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"14","체력단련장업","10_42_01_P","3210000","CDFH3301062018000007","2018-02-28","","01","영업/정상","13","영업중","","","","","","209.07","","서울특별시 서초구 양재동 11-47 도담빌딩","서울특별시 서초구 남부순환로350길 19-26, 도담빌딩 지하1층 (양재동)","06737","인디고짐 헬스&PT","2026-03-03 09:09:30","U","2026-03-05 02:40:00","","203187.797457418","442440.131446908","체력단련장업","사립","","1","0","0","0","0","0","0","","",
