"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","3210000","CDFI2260042026000015","2026-04-01","","01","영업/정상","13","영업중","","","","","02-6272-0126","","","서울특별시 서초구 방배동 782-21","서울특별시 서초구 동작대로 186, 6층 (방배동)","06559","주식회사 제이엘워터","2026-04-01 09:39:50","I","2026-04-03 00:20:02","","198443.792714945","443433.51335843","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"2","종합여행업","03_12_03_P","3550000","CDFI2260042026000003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","인천광역시 계양구 용종동 211-6 레드몰","인천광역시 계양구 계산새로87번길 6, 레드몰 B동 507호 내 11-1호 (용종동)","21065","주식회사 아신국제여행사","2026-04-01 11:13:30","I","2026-04-03 00:20:02","","176785.368523779","448494.574806493","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"3","종합여행업","03_12_03_P","3130000","CDFI2260042026000035","2014-01-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 신수동 459 밤섬경남아너스빌","서울특별시 마포구 독막로28길 10, 109동 b101호 (신수동, 밤섬경남아너스빌)","04089","케이시앤티(KC&T)","2026-04-01 14:27:27","I","2026-04-03 00:20:02","","194301.304865904","449388.053900946","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","7.52","","0","","","","","","","200000000","20260326","20270326","","8","",
"4","종합여행업","03_12_03_P","3010000","CDFI2260042026000036","2026-03-31","","01","영업/정상","13","영업중","","","","","02-6367-7081","","","서울특별시 중구 태평로2가 68-7 디지털조선일보","서울특별시 중구 세종대로 78, 디지털조선일보 4층 (태평로2가)","04526","주식회사 옐로우벌룬재팬 서울지사","2026-04-01 10:11:36","I","2026-04-03 00:20:02","","197903.588492543","451202.050494548","종합여행업","","","0","","","","","0","0","0","0","Seoul Branch, Yellow Ballon Japan Co., Ltd.","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","946780030","","","","0","",
"5","종합여행업","03_12_03_P","4641000","CDFI2260042026000006","2026-03-31","","01","영업/정상","13","영업중","","","","","063-255-5581","","","전북특별자치도 전주시 완산구 중노송동 470-4 전주정보문화산업진흥원","전북특별자치도 전주시 완산구 아중로 33, 전주정보문화산업진흥원 403호 (중노송동)","55011","주식회사 문화나들이","2026-04-01 16:41:01","I","2026-04-03 00:20:02","","213821.580306295","258202.786051221","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","72","","0","","","","","","","0","20260331","20270330","","72","",
"6","종합여행업","03_12_03_P","3280000","CDFI2260042026000003","2017-11-16","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 769-8","부산광역시 영도구 태종로763번길 21, 3층 (동삼동)","49125","성창여행사","2026-04-01 15:16:39","I","2026-04-03 00:20:02","","389795.204754207","176426.971307265","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20251026","20261025","","0","",
"7","종합여행업","03_12_03_P","3460000","CDFI2260042026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 범어동 551-7 범어네거리 클래시아","대구광역시 수성구 달구벌대로480길 9, 범어네거리 클래시아 107호 (범어동)","42117","링크에이지 주식회사","2026-04-01 13:05:30","I","2026-04-03 00:20:02","","346662.838831769","263244.952940366","종합여행업","","","0","","","","","0","0","0","0","LinkAge Co.,Ltd","General travel business","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"8","종합여행업","03_12_03_P","6510000","CDFI2260042019000003","2019-01-10","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 아라일동 2408-18","제주특별자치도 제주시 구산로 26, 201호 (아라일동)","63236","프로젝트H","2026-04-01 13:22:32","U","2026-04-03 02:40:00","","156983.632279207","-1389.46620676663","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","20260205","20270204","","0","",
"9","종합여행업","03_12_03_P","3590000","CDFI2260042014000002","2014-03-10","","02","휴업","02","휴업","","2026-03-30","2028-03-31","","","","","광주광역시 동구 대인동 133-1","광주광역시 동구 구성로194번길 25, 2층 (대인동)","61473","(유)모닝투어","2026-04-01 09:00:07","U","2026-04-03 02:40:00","","192291.277349542","183604.090346189","종합여행업","","","0","","","한국관광협회중앙회 관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20230430","20240430","","0","",
"10","종합여행업","03_12_03_P","3130000","CDFI2260042024000005","2024-01-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 347-21 기린빌딩","서울특별시 마포구 어울마당로 130, 기린빌딩 3375호 (서교동)","04053","이민영여행미식연구소","2026-04-01 16:14:11","U","2026-04-03 02:40:00","","193260.779825462","450395.053477987","종합여행업","","","0","","","서울보증보험","","0","0","0","0","Minyoung Lee Travel Gastronomy Lab","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250115","20260512","","0","",
