번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
52,농어촌민박업,03_11_08_P,4271000,AGCV042710002026000004,2026-03-05,,1,영업/정상,1,정상,,,,,,400.0,,강원특별자치도 영월군 무릉도원면 무릉리 672,강원특별자치도 영월군 무릉도원면 아래골길 57-57,26201.0,더숲,2026-03-05 10:02:55,I,2026-03-07 00:20:02,,313001.204837465,422830.218171253,계획관리,,1,137.51,0.0,4,3,2,3,0,3,0,1,1,,0.0,2,,,더숲_강원특별자치도영월군무릉도원면무릉리672
57,농어촌민박업,03_11_08_P,4160000,AGCV041600002026000011,2026-03-05,,1,영업/정상,1,정상,,,,,,843.0,477-813,경기도 가평군 청평면 청평리 470-65,경기도 가평군 청평면 갈오현로 66-26,12451.0,희정당,2026-03-05 14:47:36,I,2026-03-07 00:20:02,,236679.268804031,471117.145388776,자연녹지지역,,2,99.49,99.49,6,6,3,4,0,4,0,3,3,,3.48,2,,,희정당_경기도가평군청평면청평리470-65
56,농어촌민박업,03_11_08_P,4251000,AGCV042510002026000002,2026-03-05,,1,영업/정상,1,정상,,,,,,1946.0,,"강원특별자치도 홍천군 영귀미면 월운리 168 , 447",강원특별자치도 홍천군 영귀미면 석봉길 50,25153.0,월운여관,2026-03-05 15:55:58,I,2026-03-07 00:20:02,,282004.257336379,460062.841927185,"계획관리, 생산관리지역",,1,220.83,35.05,1,5,1,1,0,1,0,1,1,,0.0,2,,,"월운여관_강원특별자치도홍천군영귀미면월운리168,447"
47,농어촌민박업,03_11_08_P,3400000,AGCV034000002026000003,2026-03-05,,1,영업/정상,1,정상,,,,,,102.0,,,"부산광역시 기장군 기장읍 원죽길 56-1, 스테이죽성",46078.0,스테이죽성,2026-03-05 18:08:19,I,2026-03-07 00:20:02,,404232.413170345,196129.700650318,,,1,76.36,0.0,1,3,1,1,0,1,0,0,1,,5.0,1,,,스테이죽성_
55,농어촌민박업,03_11_08_P,5370000,AGCV053700002026000013,2026-03-05,,1,영업/정상,1,정상,,,,,,400.0,656-891,경상남도 거제시 일운면 구조라리 767-3,경상남도 거제시 일운면 거제대로 1934,53329.0,까사델문도B,2026-03-05 20:59:55,I,2026-03-07 00:20:02,,353593.413245124,147386.380208771,계획관리지역,,5,213.43,0.0,5,5,0,5,0,5,2,0,0,,8.0,6,,,까사델문도B_경상남도거제시일운면구조라리767-3
48,농어촌민박업,03_11_08_P,4170000,AGCV041700002026000016,2026-03-05,,1,영업/정상,1,정상,,,,,,812.0,,,경기도 양평군 단월면 양동로 321,12529.0,까사 더 제니,2026-03-05 16:06:38,I,2026-03-07 00:20:02,,,,생산관리,,2,16.95,40.06,5,7,2,3,0,2,0,2,2,,0.0,3,,,까사더제니_
49,농어촌민박업,03_11_08_P,4920000,AGCV049200002026000002,2026-03-05,,1,영업/정상,1,정상,,,,,,963.0,,,전라남도 강진군 칠량면 칠량옹기로 331,59262.0,남도민박,2026-03-05 16:52:39,I,2026-03-07 00:20:02,,181919.108359851,117173.470710989,생산관리지역,,5,188.0,188.0,6,5,6,5,5,0,0,0,6,,5.0,5,,,남도민박_
51,농어촌민박업,03_11_08_P,5020000,AGCV050200002026000019,2026-03-05,,1,영업/정상,1,정상,,,,,,181.0,,,경상북도 포항시 남구 동해면 호미로 2514,37922.0,하이포항ABC,2026-03-05 16:51:03,I,2026-03-07 00:20:02,,425391.71943273,283279.505533621,자연환경보전지역 주거개발진흥지구,,2,223.13,210.96,5,4,3,4,3,4,3,0,0,,10.0,3,,,하이포항ABC_
54,농어촌민박업,03_11_08_P,6520000,AGCV065200002026000028,2026-03-05,,1,영업/정상,1,정상,,,,,,,,,제주특별자치도 서귀포시 남원읍 하례로620번길 11-5,63607.0,서귀포 더 혜윰 홈엔펜션,2026-03-05 14:46:12,I,2026-03-07 00:20:02,,164121.441413069,-21628.4584621502,,,2,91.8,0.0,4,4,2,4,0,1,0,1,1,,1.83,2,,,서귀포더혜윰홈엔펜션_
53,농어촌민박업,03_11_08_P,4870000,AGCV048700002026000005,2026-03-04,,1,영업/정상,1,정상,,,,,,960.0,,,전라남도 구례군 토지면 내서신촌길 19-27,57622.0,나비뜨란 펜션,2026-03-04 15:45:08,I,2026-03-07 00:20:02,,253516.3807488,192575.356176122,생산관리지역,,4,156.0,156.0,4,4,0,4,0,4,0,0,0,,6.0,5,,,나비뜨란펜션_
