"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기수입업","09_28_02_P","4450000","2005445000406500882","2005-12-20","","01","영업/정상","01","영업중","","","","","043535 5300","","","충청북도 진천군 광혜원면 광혜원리 747번지 1호","충청북도 진천군 광혜원면 진광로 1382","365-831","대성계량소","2023-07-28 14:29:01","I","2026-02-13 16:21:57","","239163.108170642","386472.957895812","","043535 5300",
"2","계량기수입업","09_28_02_P","3540000","2024354016106500003","2024-09-23","","01","영업/정상","01","영업중","","","","","032 552 7989","","","","인천광역시 부평구 평천로115번길 13, K&K 3층 (청천동)","21310","연상연하","2024-09-25 09:45:29","I","2026-02-13 16:21:57","","173916.870995905","446626.761018682","","032 552 7989",
"3","계량기수입업","09_28_02_P","3540000","2018354011906500003","2018-12-12","","01","영업/정상","01","영업중","","","","","0325800506","","","","서울특별시 강남구 언주로 725, 보전빌딩 14층 (논현동)","06050","유한회사 사조씨피케이 부평공장","2024-11-13 11:25:50","I","2026-02-13 16:21:57","","202973.705","446342.07","","0325800506",
"4","계량기수입업","09_28_02_P","4990000","2015499013106500003","2015-08-10","","01","영업/정상","01","영업중","","","","","061 554 4467","","","전라남도 완도군 완도읍 군내리 1255번지","전라남도 완도군 완도읍 해변공원로 18 (동명수산)","59120","유한회사 동명수산","2024-06-13 17:30:14","I","2026-02-13 16:21:57","","177929.49438752","90975.9483063993","","061 554 4467",
"5","계량기수입업","09_28_02_P","5670000","2011567024106500005","2011-10-17","","01","영업/정상","01","영업중","","","","","055 543 9460","","","경상남도 창원시 진해구 용원동 1336번지 부산항신항북컨배후물류부지 6단지 3단계","경상남도 창원시 진해구 신항북로 320 (용원동, 내트럭(주) 부산신항 사업소)","51611","내트럭(주)부산신항사업소","2024-08-12 09:48:22","I","2026-02-13 16:21:57","","364006.306194435","178005.413716041","","055 543 9460",
"6","계량기수입업","09_28_02_P","5690000","2021569020006500001","2021-04-14","","01","영업/정상","01","영업중","","","","","","","","","세종특별자치시 부강면 부강외천로 279","30073","광성기계계량소","2021-08-08 10:08:28","I","2026-02-13 16:21:57","","235551.173368769","336597.045793667","","010 29348849",
"7","계량기수입업","09_28_02_P","3930000","2023393045906500001","2023-11-03","","01","영업/정상","01","영업중","","","","","070 88026300","","","경기도 과천시 갈현동 554 디 테크 타워 과천","경기도 과천시 과천대로7길 33, 디 테크 타워 과천 a동 508호 (갈현동)","13840","가이아스(주)","2024-03-11 13:39:49","I","2026-02-13 16:21:57","","197918.302255043","434646.387855287","","070 88026300",
"8","계량기수입업","09_28_02_P","3170000","2017317017406500004","2017-12-28","","01","영업/정상","01","영업중","","","","","000208065022","","","서울특별시 금천구 시흥동 954번지 27호","서울특별시 금천구 시흥대로 80 (시흥동)","08652","한성계기 (주)","2019-08-05 10:14:45","I","2026-02-13 16:21:57","","191418.84098059","437663.852858361","","000208065022",
"9","계량기수입업","09_28_02_P","5710000","2010441006706500003","2010-12-08","","01","영업/정상","01","영업중","","","","","043 216 5961","","363-885","충청북도 청주시 청원구 오창읍 각리 87-20번지 1통","충청북도 청주시 청원구 오창읍 중신길 6","363-883","청원계량증명업소","2020-12-14 08:19:54","I","2026-02-13 16:21:57","","239141.567236398","356309.499541505","","",
"10","계량기수입업","09_28_02_P","5410000","2016541009906500002","2016-12-20","","01","영업/정상","01","영업중","","","","","055 526 0300","","","경상남도 창녕군 남지읍 남지리 167번지 25호 , 167-26번지","경상남도 창녕군 남지읍 남지중앙로 132","50357","제일공인계량증명소","2020-11-19 09:07:50","I","2026-02-13 16:21:57","","334728.257234876","211364.25869843","","055 526 0300",
"11","계량기수입업","09_28_02_P","4530000","2021453039106500002","2021-07-29","","01","영업/정상","01","영업중","","","","","0416698631","","","","충청남도 서산시 성연면 성왕산길 153","31930","농업회사법인 (주)서산아그로","2021-07-29 13:33:09","I","2026-02-13 16:21:57","","151717.775492971","368643.746497027","","0416698631",
"12","계량기수입업","09_28_02_P","4530000","2021453039106500001","2021-07-16","","01","영업/정상","01","영업중","","","","","0416671107","","","","충청남도 서산시 음암면 음암로 250","31942","농업회사법인 (주)충서","2021-07-20 09:40:06","I","2026-02-13 16:21:57","","157123.703640338","362587.123028669","","0416671107",
"13","계량기수입업","09_28_02_P","4550000","2025455012806500001","2025-08-26","","01","영업/정상","01","영업중","","","","","","","","충청남도 금산군 금성면 하류리 298-1","충청남도 금산군 금성면 서원모정길 28","32708","세영자원","2025-08-29 16:46:23","I","2026-02-13 16:21:57","","242612.202001326","292884.642732217","","010 64955307",
"14","계량기수입업","09_28_02_P","4711000","2005471020406500001","2005-07-14","","01","영업/정상","01","영업중","","","","","063 834 0775","","","전북특별자치도 김제시 백산면 부거리 1580번지 1호","전북특별자치도 김제시 백산면 자유무역2길 45-87","54325","한백카셈(주)","2025-09-19 15:55:38","I","2026-02-13 16:21:57","","189443.157084351","260574.690877327","","063 834 0775",
"15","계량기수입업","09_28_02_P","3330000","2014333010306500001","2014-05-14","","01","영업/정상","01","영업중","","","","","0515581334","","","부산광역시 해운대구 반송동 872 삼한그린타운2차","부산광역시 해운대구 신반송로 102, 213동 4층 401호 (반송동, 삼한그린타운2차)","48012","(주)아이티시스","2023-01-02 11:32:30","I","2026-02-13 16:21:57","","396841.065778346","194463.478475608","","0515581334",
"16","계량기수입업","09_28_02_P","3420000","2025342020706500001","2025-06-13","","01","영업/정상","01","영업중","","","","","0539543744","","","대구광역시 동구 상매동 515-4","대구광역시 동구 매여로1길 37-12, 1층 (상매동)","41059","주식회사 레이월드","2025-06-13 13:44:13","I","2026-02-13 16:21:57","","353753.700728207","266949.969932007","","0539543744",
