"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"1","다단계판매업체","08_26_01_P","6110000","20126110000041000009","2012-08-22","","01","영업/정상","2","영업","","","","","0221671700","","08208","서울특별시 구로구 신도림동  337번지 0호 신도림1차푸르지오 503호","서울특별시 구로구 경인로 661, 신도림1차푸르지오 503호 (신도림동)","","뉴키(주)","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","190005.132500398","445250.538868558","다단계판매업","610000000","2208842034",
"2","다단계판매업체","08_26_01_P","6110000","20186110000041000007","2018-03-30","","01","영업/정상","2","영업","","","","","028382688","","07236","서울특별시 영등포구 여의도동  17번지 3호 삼환까뮤빌딩","서울특별시 영등포구 의사당대로 8, 삼환까뮤빌딩 602호(여의도동)","","피엠인터내셔널코리아(유)","2026-02-03 00:00:00","U","2026-02-06 02:40:00","","192585.693382087","447295.194165729","다단계판매업","588512000","",
"3","다단계판매업체","08_26_01_P","6110000","20146110000041000009","2012-06-22","","01","영업/정상","1","영업","","","","","0236759190","","06621","서울특별시 서초구 서초동  1328번지 0호 홍우빌딩","서울특별시 서초구 강남대로 373, 홍우빌딩 13층 101호(서초동)","","비더블유엘코리아(주)","2026-02-04 00:00:00","U","2026-02-06 02:40:00","","202403.66","443766.244999999","다단계판매업","500000000","1018645338",
"4","다단계판매업체","08_26_01_P","6410000","20136410000041100003","2013-12-30","","01","영업/정상","BBBB","영업","","","","","0704685205","","463-824","경기도 성남시 분당구 서현동  261번지 5호 엔타운빌딩 801호","경기도 성남시 분당구 황새울로335번길 5, 801호 (서현동,엔타운빌딩)","","주식회사 카리스","2026-02-04 00:00:00","U","2026-02-06 02:40:00","","210707.843513014","431558.520481044","다단계판매업","500000000","1268671117",
"5","다단계판매업체","08_26_01_P","6440000","20246440000041000001","2024-12-23","","01","영업/정상","1","영업","","","","","0269521393","","31457","충청남도 아산시 탕정면 용두리 702번지 0호 907호","충청남도 아산시 탕정면 이순신대로 442, 907호","","(주)스테미코리아","2026-02-03 00:00:00","U","2026-02-06 02:40:00","","204640.565340069","366179.180158544","다단계판매업","0","",
"6","다단계판매업체","08_26_01_P","6110000","20236110000041000004","2023-05-08","","01","영업/정상","BBBB","영업","","","","","024759595","","06194","서울특별시 강남구 대치동  891번지 44호 노벨과개미","서울특별시 강남구 테헤란로78길 16, 노벨과개미 8층 (대치동)","","주식회사 캘러리코리아","2026-02-05 00:00:00","U","2026-02-07 02:40:00","","204828.002550249","444777.618635215","다단계판매업","860000000","5428602393",
"7","다단계판매업체","08_26_01_P","6110000","20246110000041000002","2024-05-24","","01","영업/정상","BBBB","영업","","","","","028662994","","08510","서울특별시 금천구 가산동  50번지 3호 대륭포스트타워6차","서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차 12층 1202호 (가산동)","","주식회사 지씨엔코리아","2026-02-05 00:00:00","U","2026-02-07 02:40:00","","189662.959175776","442139.514492212","다단계판매업","520000000","5958102994",
"8","다단계판매업체","08_26_01_P","6110000","20106110000041000715","2010-05-14","","01","영업/정상","2","영업","","","","","0234680700","","05558","서울특별시 송파구 잠실동  183번지 7호 AWTOWER","서울특별시 송파구 백제고분로7길 53, AWTOWER 2층(잠실동)","","니오라코리아 유한회사","2026-02-05 00:00:00","U","2026-02-07 02:40:00","","207430.386103005","445423.301336362","다단계판매업","1521430020","2208794670",
"9","다단계판매업체","08_26_01_P","6110000","20106110000041000678","2008-02-25","","01","영업/정상","2","영업","","","","","0220552191","","06173","서울특별시 강남구 삼성동  169번지 0호 대화빌딩","서울특별시 강남구 영동대로96길 20, 대화빌딩 3층 (삼성동)","","(주)리브퓨어코리아","2026-02-09 00:00:00","U","2026-02-11 02:40:00","","205611.579905873","445395.50794402","다단계판매업","1154182400","1208723778",
"10","다단계판매업체","08_26_01_P","6110000","20216110000041000003","2021-02-01","","01","영업/정상","1","영업","","","","","0218332080","","04514","서울특별시 중구 서소문동  111번지 0호 태평로빌딩","서울특별시 중구 세종대로 73, 태평로빌딩 24층 (서소문동)","","아이야유니온 주식회사","2026-02-09 00:00:00","U","2026-02-11 02:40:00","","197786.630049666","451192.227609488","다단계판매업","499999998000","6228701381",
"11","다단계판매업체","08_26_01_P","6110000","20176110000041000012","2017-06-09","","01","영업/정상","BBBB","영업","","","","","0218999990","","","서울특별시 중구 을지로2가  6번지 교원내외빌딩","서울특별시 중구 을지로 51, 15층 (을지로2가,교원내외빌딩)","","(주)교원헬스케어","2026-02-10 00:00:00","U","2026-02-12 02:40:00","","198477.517150403","451579.634210825","다단계판매업","500000000","4338700730",
"12","다단계판매업체","08_26_01_P","6260000","20256260000041000001","2025-05-14","","01","영업/정상","BBBB","영업","","","","","07077016050","","48058","부산광역시 해운대구 재송동  1208번지 2호 센텀스카이비즈","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 3903호 (재송동)","","주식회사 유넥사코리아","2026-02-11 00:00:00","U","2026-02-13 02:40:00","","393503.395721468","188279.474831553","다단계판매업","1400000000","8648803447",
"13","다단계판매업체","08_26_01_P","6110000","20156110000041000021","2015-10-16","","01","영업/정상","2","영업","","","","","0216662204","","","서울특별시 강남구 삼성동  115번지 8호","서울특별시 강남구 봉은사로68길 11 (삼성동)","","㈜굿모닝월드","2026-02-13 00:00:00","U","2026-02-15 02:40:00","","204382.364595357","445446.197455067","다단계판매업","6516101100","3128608063",
"14","다단계판매업체","08_26_01_P","6110000","20106110000041000090","1996-07-18","","01","영업/정상","2","영업","","","","","025087575","","06052","서울특별시 강남구 논현동  86번지 1호 아이캐슬빌딩","서울특별시 강남구 논현로 706, 아이캐슬빌딩 1,2,4층 (논현동)","","한국허벌라이프㈜","2026-02-13 00:00:00","U","2026-02-15 02:40:00","","202647.939435719","445895.523560174","다단계판매업","14775000100","1208165742",
"15","다단계판매업체","08_26_01_P","6110000","20106110000041000686","2008-12-15","","01","영업/정상","2","영업","","","","","025654011","","06193","서울특별시 강남구 대치동  890번지 8호 연봉빌딩","서울특별시 강남구 테헤란로 416, 연봉빌딩 12층 (대치동)","","㈜엔잭타","2026-02-14 00:00:00","U","2026-02-16 02:40:00","","204511.261869377","444757.911128383","다단계판매업","1260000000","2208730230",
"16","다단계판매업체","08_26_01_P","6110000","20106110000041000469","2002-06-17","","01","영업/정상","2","영업","","","","","0234578585","","06099","서울특별시 강남구 논현동  240번지 2호","서울특별시 강남구 학동로 326 (논현동)","","멜라루카인터내셔날코리아㈜","2026-02-14 00:00:00","U","2026-02-16 02:40:00","","203360.362160821","445992.746769389","다단계판매업","4639246300","1208635923",
