번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,기타내역2,Unnamed: 60,record_key
984,인터넷컴퓨터게임시설제공업,03_05_05_P,3200000,CDFF2241022026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 855-2 준우지하우스,"서울특별시 관악구 관악로14길 10, 준우지하우스 4층 (봉천동)",08788,플스피릿,2026-02-26 17:48:02,I,2026-02-28 00:20:02,,195786.740847947,441878.812903274,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,97.92,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,10,,전체이용가,,,,,,,플스피릿_서울특별시관악구봉천동855-2준우지하우스
973,인터넷컴퓨터게임시설제공업,03_05_05_P,3990000,CDFF2241022026000005,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 별내면 청학리 443-8,"경기도 남양주시 별내면 청학로 89, 1층",12089,9회말PC,2026-02-26 16:44:43,I,2026-02-28 00:20:02,,210250.681364408,467253.309451237,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,"바둑이, 맞고, 홀덤, 캐논게임",60.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,9회말PC_경기도남양주시별내면청학리443-8
979,인터넷컴퓨터게임시설제공업,03_05_05_P,3680000,CDFF2241022026000004,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,대전광역시 대덕구 비래동 130-1,"대전광역시 대덕구 비래서로25번길 90, 201호 (비래동)",34417,메리PC,2026-02-26 16:13:07,I,2026-02-28 00:20:02,,240290.844271918,317597.075620317,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,46.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,,,,,,다중이용업소 미해당(지상에 직접 접함),,메리PC_대전광역시대덕구비래동130-1
980,인터넷컴퓨터게임시설제공업,03_05_05_P,6520000,CDFF2241022026000002,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,제주특별자치도 서귀포시 서귀동 273-18 트루젠,"제주특별자치도 서귀포시 중정로 89, 트루젠 1층 (서귀동)",63591,굿모닝PC,2026-02-26 13:15:00,I,2026-02-28 00:20:02,,159455.843610677,-27398.4585052901,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,62.62,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,,,,,,,,굿모닝PC_제주특별자치도서귀포시서귀동273-18트루젠
981,인터넷컴퓨터게임시설제공업,03_05_05_P,3520000,CDFF2241022026000003,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,인천광역시 연수구 송도동 8-8 송도 S 타워,"인천광역시 연수구 테크노파크로111번길 8, 송도 S 타워 1층 102호 (송도동)",21998,송도 원 피씨,2026-02-26 09:13:16,I,2026-02-28 00:20:02,,168401.31115507,431591.539019956,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,63.96,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,,,,,,,,송도원피씨_인천광역시연수구송도동8-8송도S타워
983,인터넷컴퓨터게임시설제공업,03_05_05_P,4090000,CDFF2241022026000002,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 통진읍 서암리 431-1,"경기도 김포시 통진읍 서암로 145, 105호",10016,이벤트PC,2026-02-26 17:50:02,I,2026-02-28 00:20:02,,164815.692074091,466222.809830884,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,60.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,청소년이용불가,,,,,,,이벤트PC_경기도김포시통진읍서암리431-1
976,인터넷컴퓨터게임시설제공업,03_05_05_P,3930000,CDFF2241022026000019,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 안산시 상록구 사동 1284-12,"경기도 안산시 상록구 후곡로 31-1, 지1층 (사동)",15589,홍두깨PC,2026-02-26 13:49:39,I,2026-02-28 00:20:02,,186399.039962401,421697.563277063,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,127.05,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,10,,청소년이용불가,,,,,,,홍두깨PC_경기도안산시상록구사동1284-12
971,인터넷컴퓨터게임시설제공업,03_05_05_P,5080000,CDFF2241022026000007,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경상북도 구미시 옥계동 868-4,"경상북도 구미시 옥계남로 76-5, 1층 (옥계동)",39190,행운PC,2026-02-26 09:42:47,I,2026-02-28 00:20:02,,328245.739257112,293731.349765724,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,57.05,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,5,,,,,,,,,행운PC_경상북도구미시옥계동868-4
972,인터넷컴퓨터게임시설제공업,03_05_05_P,5080000,CDFF2241022026000008,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경상북도 구미시 옥계동 950 어린왕자 하나,"경상북도 구미시 산호대로24길 9-31, 1층 (옥계동, 어린왕자 하나)",39188,여왕PC,2026-02-26 09:43:45,I,2026-02-28 00:20:02,,327347.517719548,293824.569080756,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,141.12,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,11,,,,,,,,,여왕PC_경상북도구미시옥계동950어린왕자하나
985,인터넷컴퓨터게임시설제공업,03_05_05_P,4090000,CDFF2241022026000003,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 구래동 6880-4,"경기도 김포시 김포한강4로 515, 301,302호 (구래동)",10071,(주)오티티라운지 김포구래점,2026-02-26 18:17:44,I,2026-02-28 00:20:02,,166969.328528053,460460.497041275,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,슈퍼마리오 잼버리 등,208.5,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,17,,전체이용가,,,,,,,(주)오티티라운지김포구래점_경기도김포시구래동6880-4
