"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","6260000","202662600001000001","2026-03-03","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 서동  199번지 16호 세웅병원","부산광역시 금정구 서동로 162-0, 세웅병원층 (서동,세웅병원)","","라움의료재단","2026-03-03 00:00:00","I","2026-03-05 00:20:02","의료법인","391486.254862081","192591.188983225","","0","0","0","0","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","3210000","PHMA419953210034021400001","1995-01-13","","01","영업/정상","10","변경","","","","","3475-7000","","","서울특별시 서초구 서초동 1656-4 서초동롯데캐슬메디치","서울특별시 서초구 서초중앙로 110, 3~5층 (서초동, 서초동롯데캐슬메디치)","06634","의료법인명경의료재단","2026-03-03 15:47:53","U","2026-03-05 02:40:00","","201213.653404672","443265.664377177","","0","0","0","0","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","6290000","201262900001000001","2012-03-06","","01","영업/정상","BBBB","","","","","","0622205778","","","광주광역시 동구 학동  8번지","광주광역시 동구 제봉로 42 (학동)","","사단법인 우심","2026-03-03 00:00:00","U","2026-03-05 02:40:00","사단법인","192820.201844066","182514.055026104","","0","0","0","0","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","6480000","201164800001000006","2011-11-22","","01","영업/정상","BBBB","","","","","","0557211004","","","경상남도 김해시 삼정동  13번지 1호","경상남도 김해시 분성로 433 (삼정동)","","의료법인 문용의료재단","2026-03-03 00:00:00","U","2026-03-05 02:40:00","의료법인","372281.179543355","194509.05395788","","0","0","0","0","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","6470000","200764700001000001","2007-09-19","","01","영업/정상","BBBB","","","","","","0542428885","","","경상북도 포항시 북구 장성동  1405번지 8호","경상북도 포항시 북구 법원로116번길 49-10 (장성동)","","생명샘의료재단","2026-03-04 00:00:00","U","2026-03-06 02:40:00","의료법인","415331.829588294","289808.415798316","","0","0","72","0","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","6260000","200862600001000002","2008-10-03","","01","영업/정상","BBBB","","","","","","0516460505","","","부산광역시 동구 좌천동  607번지 1호 부산나라요양병원","부산광역시 동구 중앙대로 421-0, 부산나라요양병원층 (좌천동,부산나라요양병원)","","의료법인 나라의료재단","2026-03-04 00:00:00","U","2026-03-06 02:40:00","의료법인","386945.90680635","183379.530256233","","0","0","372","0","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","6280000","202062800001000003","2020-02-25","","01","영업/정상","BBBB","","","","","","","","","인천광역시 계양구 작전동  866번지 6호","인천광역시 계양구 봉오대로 672-0 (작전동)","","의료법인 인천의료재단","2026-03-04 00:00:00","U","2026-03-06 02:40:00","의료법인","175495.237432901","447537.270305656","","0","0","0","0","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","3060000","PHMA419933060034021400001","1993-11-01","","01","영업/정상","10","변경","","","","","","","131-802","서울특별시 중랑구 망우본동 128번지 29호","서울특별시 중랑구 망우로 511 (망우동)","131-802","의료법인 풍산의료재단","2026-03-04 11:09:52","U","2026-03-07 02:40:00","","209579.612349583","455387.99689292","","0","0","0","0","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","4060000","PHMA420154060023021400001","2015-12-07","","01","영업/정상","10","변경","","","","","","","","","경기도 파주시 금빛로 19 (금촌동, 파주프라임타워 5층, 6층, 7층)","10915","의료법인수현의료재단","2026-03-05 09:38:45","U","2026-03-07 02:40:00","","179349.516188193","472107.243860378","","0","0","0","0","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","6260000","199362600001000001","1993-07-29","","01","영업/정상","BBBB","","","","","","0516644011","","","부산광역시 동구 좌천동  682번지 1호 봉생병원","부산광역시 동구 중앙대로 401-0, 봉생병원층 (좌천동,봉생병원)","","의료법인 정화의료재단","2026-03-05 00:00:00","U","2026-03-07 02:40:00","의료법인","386826.352832801","183250.094671532","","0","0","413","0","","","","","","0","0","","","0","",
"11","의료법인","01_01_08_P","4160000","PHMA420064160015021400001","2006-04-07","","01","영업/정상","10","변경","","","","","","","477-815","경기도 가평군 청평면 청평리 441번지 43호","","","의료법인청운의료재단","2026-03-05 09:56:11","U","2026-03-07 02:40:00","","236589.999734319","470573.292165785","","0","0","0","0","","","","","","0","0","","","0","",
