"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","3410000","2026341018223200001","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","대구광역시 중구 동산동 *** 베네시움","대구광역시 중구 달성로 **, 베네시움 *층 (동산동)","41931","퓨아코리아","2026-04-01 16:04:42","I","2026-04-03 00:20:02","","342873.708751435","264097.482094432","0","0","0","",
"2","방문판매업","08_26_02_P","5350000","2026535037423200002","2026-03-31","","03","폐업","03","폐업처리","2026-03-31","","","","","","","경상남도 김해시 외동 ****-*","경상남도 김해시 금관대로 ****, *층 (외동)","50956","애터미 김해압구정센타","2026-04-01 08:30:40","I","2026-04-03 00:20:02","","368560.910493342","194159.571875183","0","0","0","",
"3","방문판매업","08_26_02_P","5130000","2026513018023200006","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","경상북도 경산시 중산동 *** 중산 하늘채 더퍼스트","경상북도 경산시 경산로 ***, ***동 **호 (중산동, 중산 하늘채 더퍼스트)","38658","오휘화장품","2026-04-01 14:11:35","I","2026-04-03 00:20:02","","355715.901012788","260669.819457523","0","0","0","",
"4","방문판매업","08_26_02_P","4470000","2026447014523200004","2025-09-25","","01","영업/정상","01","정상영업","","","","","","","","충청북도 음성군 대소읍 태생리 ***-*","충청북도 음성군 대소읍 오태로***번길 *-*","27666","동우 아울렛","2026-04-01 11:31:45","I","2026-04-03 00:20:02","","243548.784074986","385140.074897073","0","0","0","",
"5","방문판매업","08_26_02_P","5680000","2026568037023200003","2026-02-13","","01","영업/정상","01","정상영업","","","","","","","","충청남도 당진시 송악읍 기지시리 ***-**","충청남도 당진시 송악읍 송악로 *-*, ***호","31733","신선","2026-04-01 17:18:43","I","2026-04-03 00:20:02","","172527.925819646","378161.136281996","0","0","0","",
"6","방문판매업","08_26_02_P","4490000","2026565003223200002","2022-09-23","","01","영업/정상","01","정상영업","","","","","","","","충청남도 천안시 동남구 대흥동 **-* 화일빌딩","충청남도 천안시 동남구 대흥로 ***, 화일빌딩 지하*층 (대흥동)","31144","홈 헬스케어","2026-04-01 14:10:34","I","2026-04-03 00:20:02","","213160.15713674","367706.647480523","0","0","0","",
"7","방문판매업","08_26_02_P","3470000","2026347022723200003","2021-03-09","","01","영업/정상","01","정상영업","","","","","","","","대구광역시 달서구 감삼동 ***-**","대구광역시 달서구 감삼길 **, *층 (감삼동)","42642","다모아 멀티샵","2026-04-01 16:22:18","I","2026-04-03 00:20:02","","338922.28368546","262196.578055367","0","0","0","",
"8","방문판매업","08_26_02_P","3460000","2026346019723200003","2026-04-01","","01","영업/정상","01","정상영업","","","","","053-792-3000","","","대구광역시 수성구 대흥동 ***-* *층 ***호","대구광역시 수성구 알파시티*로**길 *, *층 ***호 (대흥동)","42251","한국에이아이산업진흥원 주식회사","2026-04-01 11:12:00","I","2026-04-03 00:20:02","","352394.190292076","260667.989451401","222781728","342213280","50000000","",
"9","방문판매업","08_26_02_P","3050000","2026305021023200005","2026-03-30","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 장안동 ***-** 진성빌딩","서울특별시 동대문구 한천로**길 **-*, 진성빌딩 *층 *층 (장안동)","02625","에스에이치 SH 프라자","2026-04-01 11:17:29","I","2026-04-03 00:20:02","","206007.127922129","451838.889985179","50000000","0","50000000","",
"10","방문판매업","08_26_02_P","4181000","2026418108123200002","2026-04-01","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 춘천로 ***, *층 ***-에이**호 (효자동)","24329","주식회사 해피앤딩(HAPPYANDING Inc.)","2026-04-01 16:15:45","I","2026-04-03 00:20:02","","264625.007546706","486195.45439825","0","0","2000000","",
