"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","6500000","2025S65000000001","2025-12-15","","01","영업/정상","1","등록","","","","","","","63624","제주특별자치도 서귀포시 표선면 성읍리 2626번지","제주특별자치도 서귀포시 표선면 번영로 2517","63624","쿠팡로지스틱스서비스 유한회사(표선면)","2026-02-02 14:44:15","U","2026-02-04 02:40:00","","","","2","1476.82","0","0","0","3","테이블리프트, 롤테이너, 네트워크장비","","개인","1","","","",
"2","물류창고업체","11_45_02_P","6500000","2025S65000000002","2025-12-15","","01","영업/정상","1","등록","","","","","","","63528","제주특별자치도 서귀포시 안덕면 사계리 3216-1","제주특별자치도 서귀포시 안덕면 향교로 207","63528","쿠팡로지스틱스서비스 유한회사(안덕면)","2026-02-02 14:43:08","U","2026-02-04 02:40:00","","133872.279310298","-28798.9001070999","1","1465.77","0","0","0","3","테이블리프트, 롤테이너, 네트워크장비","","개인","1","","","",
"3","물류창고업체","11_45_02_P","6310000","2020S63100000002","2020-07-14","","01","영업/정상","1","등록","","","","","0522263380","","44249","울산광역시 북구 진장동 1047-2","울산광역시 북구 진장유통1로 59 (진장동)","44249","씨제이대한통운 주식회사","2026-02-02 15:29:53","U","2026-02-04 02:40:00","","413320.566277722","233396.135729097","1","2090.82","0","0","0","8","신축벨트 4기, 자동분류기 2기","","개인","1","1","","",
"4","물류창고업체","11_45_02_P","3510500","2018351055832500001","2018-09-13","","01","영업/정상","01","영업중","","","","","032-719-7648,7651","","","인천광역시 미추홀구 도화동 985-1 도화물류센터","인천광역시 미추홀구 염전로144번길 25, 도화물류센터 (도화동)","22110","(주)지에스네트웍스","2026-02-02 11:39:57","U","2026-02-04 02:40:00","","169728.312930718","441805.53077974","1","11748","1","5523","18387","200","상온창고, 냉장창고, 냉동창고, 지게차, DPS, DAS, 컨베이어","","법인","1","","","",
"5","물류창고업체","11_45_02_P","5710000","2023571024132500002","2023-09-06","","01","영업/정상","01","영업중","","","","","02-3774-0223","","","충청북도 청주시 청원구 오창읍 성산리 231-1 일산방직(주)","충청북도 청주시 청원구 오창읍 두릉유리로 688, 일산방직(주)","28107","일신방직(주)청주물류센터","2026-01-30 15:56:16","U","2026-02-04 11:04:37","","236577.989985719","358714.898429142","0","0","1","10893.22","0","0","실링팬, 쿨러","","법인","1","","","",
"6","물류창고업체","11_45_02_P","5380000","2014538008532500001","2012-07-25","","01","영업/정상","01","영업중","","","","","055-381-8999","","","경상남도 양산시 물금읍 범어리 2612","경상남도 양산시 물금읍 제방로 325, 양산ICD 1단지","50615","롯데글로벌로지스(주)","2026-01-29 09:12:22","U","2026-02-04 11:04:37","","383132.374325178","202552.219904589","3","6959","0","0","0","150","랙 설치, 지게차, 컨베이어 등","12000","법인","","1","","",
"7","물류창고업체","11_45_02_P","5710000","2013436017632500002","2013-03-08","","01","영업/정상","01","영업중","","","","","043-267-4747","","","충청북도 청주시 흥덕구 송정동 211-5 농수산물유통공사충북지사","충청북도 청주시 흥덕구 공단로 142, 한국농수산물유통공사 청주비축기지 (송정동)","28576","한국농수산식품유통공사","2026-01-30 16:27:35","U","2026-02-04 11:04:37","","238989.250026078","349186.916769941","1","3306","0","0","0","11","지게차, 컨베이어","3306","법인","1","","","",
"8","물류창고업체","11_45_02_P","5710000","2020571020432500004","2020-07-13","","01","영업/정상","01","영업중","","","","","031-8055-8560","","","충청북도 청주시 서원구 현도면 죽암리 308 ㈜코스모","충청북도 청주시 서원구 현도면 청남로 801, ㈜코스모","28212","(주)지에스네트웍스 청주지점","2026-01-30 15:58:07","U","2026-02-04 11:04:37","","238447.589003155","336165.339624752","1","5500","1","1378","0","65","0","0","법인","1","","","",
"9","물류창고업체","11_45_02_P","5710000","2020571020432500008","2020-09-07","","01","영업/정상","01","영업중","","","","","043-211-9523","","","충청북도 청주시 청원구 내수읍 풍정리 16","충청북도 청주시 청원구 내수읍 초정약수로 440","28150","한국농수산식품유통공사","2026-01-30 16:18:36","U","2026-02-04 11:04:37","","249746.748588249","356825.571092847","0","0","4","10198.53","0","5","냉동기, 계근장, 지게차, 파렛트","","법인","1","","","",
"10","물류창고업체","11_45_02_P","4080000","2026408026132500002","2026-02-02","","01","영업/정상","01","영업중","","","","","02-3775-1211","","","경기도 안성시 원곡면 성은리 316","경기도 안성시 원곡면 지문로 459-14, 3층","17554","한국일본통운(주)","2026-02-03 10:02:12","I","2026-02-06 00:20:02","","213502.260858404","397056.072676387","1","13541.58","0","0","0","30","지게차 등","","법인","1","","","",
