"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","5710000","5730000-206-2026-00004","2026-03-03","","01","영업/정상","01","영업","","","","","0432313160","0.00","361-802","충청북도 청주시 흥덕구 가경동 1476-2 1층 일부호","충청북도 청주시 흥덕구 풍년로95번길 29-1, 1층 일부호 (가경동)","28404","(주)다미조경","2026-03-03 11:47:29","I","2026-03-05 00:20:02","건물위생관리업","238807.865596695","346724.831764223","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"2","건물위생관리업","09_30_04_P","3570000","3570000-206-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","032 5775295","70.00","417-817","인천광역시 강화군 송해면 양오리 327","인천광역시 강화군 송해면 장정양오길 275-19, 1층","23013","(주)태현종합개발","2026-03-03 16:20:44","I","2026-03-05 00:20:02","건물위생관리업","150543.145800812","476896.801663174","건물위생관리업","1","0","0","0","0","0","","","","임대","0","0","N",
"3","건물위생관리업","09_30_04_P","3650000","3650000-206-2024-00012","2024-04-04","","01","영업/정상","01","영업","","","","","","4.20","301-803","대전광역시 중구 대흥동 447-4 대흥탑스빌 7층 703호","대전광역시 중구 대흥로 115, 대흥탑스빌 7층 703호 (대흥동)","34918","위드앤클린","2026-03-03 10:51:03","I","2026-03-05 00:20:02","건물위생관리업","238093.174126819","313720.753778661","건물위생관리업","1","0","1","1","0","0","","","","","1","0","N",
"4","건물위생관리업","09_30_04_P","4791000","4791000-206-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","99.00","","전북특별자치도 부안군 행안면 역리 481-1","전북특별자치도 부안군 행안면 염소로 128","56303","유한회사 하진건설","2026-03-03 14:19:11","I","2026-03-05 00:20:02","건물위생관리업","174409.25880366","248834.702663068","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"5","건물위생관리업","09_30_04_P","3180000","3180000-206-2026-00003","2026-03-03","","01","영업/정상","01","영업","","","","","0231611456","296.00","150-823","서울특별시 영등포구 대림동 993-75 고려휴먼스 빌딩","서울특별시 영등포구 시흥대로 613, 고려휴먼스 빌딩 9층 (대림동)","07445","고려휴먼스(주)","2026-03-03 17:30:22","I","2026-03-05 00:20:02","건물위생관리업","191486.816474716","442812.211045947","건물위생관리업","0","0","9","0","0","0","","","","자가","0","0","N",
"6","건물위생관리업","09_30_04_P","3160000","3160000-206-2026-00004","2026-03-03","","01","영업/정상","01","영업","","","","","","45.00","152-810","서울특별시 구로구 개봉동 262-20","서울특별시 구로구 개봉로16길 27, 402호 (개봉동)","08332","영닥터클린","2026-03-03 16:31:35","I","2026-03-05 00:20:02","건물위생관리업","187342.588102484","443122.27382834","건물위생관리업","0","0","4","4","0","0","","","","","0","1","N",
"7","건물위생관리업","09_30_04_P","4000000","4000000-206-2026-00005","2026-03-03","","01","영업/정상","01","영업","","","","","031 377 0947","3.30","447-230","경기도 오산시 외삼미동 339-1 1층 일부","경기도 오산시 외삼미로 50-34, 1층 일부 (외삼미동)","18111","(주)범양이엔지","2026-03-03 16:39:26","I","2026-03-05 00:20:02","건물위생관리업","205007.219421986","409819.466390941","건물위생관리업","3","0","1","1","0","0","","","","자가","0","0","N",
"8","건물위생관리업","09_30_04_P","4191000","4191000-206-2026-00012","2026-03-03","","01","영업/정상","01","영업","","","","","","20.00","","강원특별자치도 원주시 소초면 흥양리 206-2","강원특별자치도 원주시 소초면 황골로 388-4, 1층","26310","유진환경","2026-03-03 11:06:29","I","2026-03-05 00:20:02","건물위생관리업","288734.297037417","429685.252364107","건물위생관리업","1","0","1","1","0","0","","","","임대","0","0","N",
"9","건물위생관리업","09_30_04_P","4691000","4691000-206-2026-00007","2026-03-03","","01","영업/정상","01","영업","","","","","","3.30","","전북특별자치도 정읍시 수성동 723-3","전북특별자치도 정읍시 중앙로 141, 3층 6호 (수성동)","56163","유진개발","2026-03-03 14:44:04","I","2026-03-05 00:20:02","건물위생관리업","186699.513134138","229618.294815323","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"10","건물위생관리업","09_30_04_P","3520000","3520000-206-2026-00003","2026-03-03","","01","영업/정상","01","영업","","","","","","0.00","406-081","인천광역시 연수구 송도동 311 랜드마크시티센트럴더샵 204동 509호","인천광역시 연수구 랜드마크로 68, 204동 지상5층 509호 (송도동, 랜드마크시티센트럴더샵)","22018","(주)건웅엘앤씨","2026-03-03 14:53:03","I","2026-03-05 00:20:02","건물위생관리업","166239.007830646","434891.007675792","건물위생관리업","0","0","0","0","0","0","","","","","1","1","N",
"11","건물위생관리업","09_30_04_P","4691000","4691000-206-2026-00008","2026-03-03","","01","영업/정상","01","영업","","","","","","3.30","","전북특별자치도 정읍시 수성동 723-3 밝은안과의원","전북특별자치도 정읍시 중앙로 141, 3층 4호 (수성동)","56163","다온환경","2026-03-03 14:39:44","I","2026-03-05 00:20:02","건물위생관리업 기타","186699.513134138","229618.294815323","건물위생관리업 기타","0","0","0","0","0","0","","","","","0","0","N",
"12","건물위생관리업","09_30_04_P","4691000","4691000-206-2026-00006","2026-03-03","","01","영업/정상","01","영업","","","","","","3.30","","전북특별자치도 정읍시 수성동 723-3 밝은안과의원","전북특별자치도 정읍시 중앙로 141, 3층 5호 (수성동)","56163","깨끗한 환경","2026-03-03 14:31:14","I","2026-03-05 00:20:02","건물위생관리업","186699.513134138","229618.294815323","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"13","건물위생관리업","09_30_04_P","4620000","4620000-206-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","041673 9679","26.40","357-901","충청남도 태안군 태안읍 남문리 695-3","충청남도 태안군 태안읍 군청로 7","32144","덕영건설(주)","2026-03-03 16:03:48","I","2026-03-05 00:20:02","건물위생관리업","137327.338757768","360831.813269568","건물위생관리업","1","0","1","0","0","0","","","","","1","2","N",
"14","건물위생관리업","09_30_04_P","4490000","5660000-206-2024-00004","2024-07-12","","01","영업/정상","01","영업","","","","","","59.40","331-280","충청남도 천안시 서북구 신당동 25-9","충청남도 천안시 서북구 천일고2길 153, 1층 (신당동)","31081","주식회사성환클린","2026-03-03 14:41:27","U","2026-03-05 02:40:00","건물위생관리업","213493.805667191","373617.674595535","건물위생관리업","3","0","1","1","0","0","","","","","0","0","N",
"15","건물위생관리업","09_30_04_P","3240000","3240000-206-2024-00010","2024-07-22","","01","영업/정상","01","영업","","","","","02 4882622","33.00","134-877","서울특별시 강동구 암사동 515-19","서울특별시 강동구 상암로4가길 3, 101호 (암사동)","05242","(주)사람과자연앤","2026-03-03 11:31:14","U","2026-03-05 02:40:00","건물위생관리업","211070.434681386","449750.751620655","건물위생관리업","0","0","7","7","0","0","","","","임대","0","0","N",
"16","건물위생관리업","09_30_04_P","4191000","4191000-206-2024-00009","2024-06-11","","01","영업/정상","01","영업","","","","","","45.00","","강원특별자치도 원주시 단계동 937","강원특별자치도 원주시 이화3길 22-8, 1층 (단계동)","26476","한양공조시스템","2026-03-03 15:57:11","U","2026-03-05 02:40:00","건물위생관리업","282689.57","426633.99","건물위생관리업","6","0","2","2","0","0","","","","임대","0","0","N",
"17","건물위생관리업","09_30_04_P","3930000","3930000-206-2011-02025","2011-07-20","","01","영업/정상","01","영업","","","","","032 330 1605","23.33","425-906","경기도 안산시 단원구 고잔동 768-3 진성드림프라자","경기도 안산시 단원구 광덕동로 81, 진성드림프라자, 505호 일부 (고잔동)","15470","(주)서원씨에스","2026-03-03 16:41:08","U","2026-03-05 02:40:00","건물위생관리업","185076.37152596","423311.542316698","건물위생관리업","4","1","2","0","0","0","","","","","0","0","N",
"18","건물위생관리업","09_30_04_P","3670000","3670000-206-2019-00009","2019-03-14","","01","영업/정상","01","영업","","","","","042 483 3217","147.60","305-330","대전광역시 유성구 지족동 1101","대전광역시 유성구 지족북로66번길 60, 지상3층 306호 (지족동)","34070","(주)킨스파트너스","2026-03-03 20:08:11","U","2026-03-05 02:40:00","건물위생관리업","227556.564135868","320846.595390043","건물위생관리업","4","2","3","3","0","0","","","","임대","0","0","N",
"19","건물위생관리업","09_30_04_P","3360000","3360000-206-2013-00005","2013-08-30","","01","영업/정상","01","영업","","","","","070 44776801","113.70","618-240","부산광역시 강서구 범방동 1874-10 1층","부산광역시 강서구 범방3로78번길 21, 1층 (범방동)","46727","퍼실리티매니지먼트 주식회사","2026-03-03 10:34:13","U","2026-03-05 02:40:00","건물위생관리업","371579.436933972","185032.785766865","건물위생관리업","3","0","1","1","0","0","","","","","0","0","N",
"20","건물위생관리업","09_30_04_P","3640000","3640000-206-2024-00001","2024-04-04","","03","폐업","02","폐업","2026-03-03","","","","","4.20","300-836","대전광역시 동구 홍도동 136-33","대전광역시 동구 대전로 1006-22, 1층 (홍도동)","34560","위드앤클린","2026-03-03 10:46:49","U","2026-03-05 02:40:00","건물위생관리업","237609.266413684","316249.423651974","건물위생관리업","1","0","1","1","0","0","","","","","1","0","N",
"21","건물위생관리업","09_30_04_P","3140000","3140000-206-2020-00004","2020-08-20","","03","폐업","02","폐업","2026-03-03","","","","02782 9577","33.30","158-859","서울특별시 양천구 신정동 948-30","서울특별시 양천구 중앙로48길 37, 1층 (신정동)","08020","(주)빌딩플러스","2026-03-03 17:11:26","U","2026-03-05 02:40:00","건물위생관리업","187162.214684411","446879.853510224","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"22","건물위생관리업","09_30_04_P","3620000","3620000-206-2009-00024","2009-12-14","","01","영업/정상","01","영업","","","","","061 356 4891","161.00","500-823","광주광역시 북구 문흥동 1010-6 문흥3차 라인아파트 지하1층 상가동 101호","광주광역시 북구 문산로 7-1, 문흥3차 라인아파트 상가동 지하1층 101호 (문흥동)","61133","(유)진흥기업","2026-03-03 11:50:40","U","2026-03-05 02:40:00","건물위생관리업","192678.513379896","187083.549644951","건물위생관리업","2","0","2","2","0","0","","","","임대","0","0","N",
"23","건물위생관리업","09_30_04_P","5020000","5030000-206-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","64.80","790-911","경상북도 포항시 남구 오천읍 원리 934-5 1층","경상북도 포항시 남구 오천읍 냉천로302번길 49, 1층","37885","숨솔공조위생","2026-03-03 14:21:55","U","2026-03-05 02:40:00","건물위생관리업","416810.280467105","276787.400541977","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"24","건물위생관리업","09_30_04_P","4050000","5630000-206-2007-00006","2007-11-02","","01","영업/정상","01","영업","","","","","031 889 9294","30.00","446-908","경기도 용인시 기흥구 영덕동 995-6","경기도 용인시 기흥구 흥덕2로75번길 25-10, 일부(102)호 (영덕동)","16954","(주)신화피엠씨","2026-03-03 15:12:27","U","2026-03-05 02:40:00","건물위생관리업","206233.159646054","419085.655400864","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"25","건물위생관리업","09_30_04_P","6510000","6510000-206-2020-00015","2020-11-12","","03","폐업","02","폐업","2026-03-03","","","","","34.73","690-774","제주특별자치도 제주시 연동 252-1 제원아파트","제주특별자치도 제주시 신광로6길 25, 지하1층 (연동, 제원아파트)","63130","창세기서비스","2026-03-03 15:26:19","U","2026-03-05 02:40:00","건물위생관리업","152277.197325417","-846.829798152126","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"26","건물위생관리업","09_30_04_P","3910000","3910029-206-2018-00007","2018-10-04","","03","폐업","02","폐업","2026-03-03","","","","031 666 6951","75.16","459-709","경기도 평택시 독곡동 464 라이프아파트 302호","경기도 평택시 지산천로 66, 302호 (독곡동, 라이프아파트)","17755","(주)지원산업","2026-03-03 14:15:34","U","2026-03-05 02:40:00","건물위생관리업","205345.936331347","397929.52712084","건물위생관리업","4","0","3","3","0","0","","","","임대","0","0","N",
"27","건물위생관리업","09_30_04_P","5710000","5725000-206-2008-04004","2008-10-23","","01","영업/정상","01","영업","","","","","043 2537109","26.52","361-808","충청북도 청주시 서원구 모충동 446-20 삼호아파트","충청북도 청주시 서원구 모충로104번길 25, 2층 202호 (모충동, 삼호아파트)","28672","충청청소용역","2026-03-03 09:26:25","U","2026-03-05 02:40:00","건물위생관리업","242484.891345897","347539.45950169","건물위생관리업","0","0","0","0","0","0","","","","임대","0","0","N",
"28","건물위생관리업","09_30_04_P","5080000","5080000-206-2022-00012","2022-02-03","","01","영업/정상","01","영업","","","","","054 8008006","34.00","730-360","경상북도 구미시 진평동 506 1층","경상북도 구미시 진평길 69, 1층 (진평동)","39397","청소하루","2026-03-03 13:38:52","U","2026-03-05 02:40:00","건물위생관리업","327742.939077721","290138.565381138","건물위생관리업","3","1","1","1","0","0","","","","임대","0","0","N",
"29","건물위생관리업","09_30_04_P","3990000","3990000-206-2026-00007","2026-03-04","","01","영업/정상","01","영업","","","","","","25.08","472-501","경기도 남양주시 별내동 825 SG타워 805호","경기도 남양주시 덕송1로55번길 6, SG타워 805호 (별내동)","12097","주식회사 로프원","2026-03-04 16:02:32","I","2026-03-06 00:20:02","건물위생관리업","210383.79555887","462637.731384276","건물위생관리업","0","0","0","0","0","0","","","","임대","0","0","N",
"30","건물위생관리업","09_30_04_P","3650000","3650000-206-2025-00010","2025-05-26","","01","영업/정상","01","영업","","","","","","30.99","301-837","대전광역시 중구 유천동 266-7 2층","대전광역시 중구 계백로1584번길 76, 2층 (유천동)","34984","마이스(mais)","2026-03-04 11:59:40","I","2026-03-06 00:20:02","건물위생관리업","235581.036540992","312726.852357581","건물위생관리업","2","0","1","1","0","0","","","","임대","0","0","N",
"31","건물위생관리업","09_30_04_P","3420000","3420000-206-2026-00003","2026-03-04","","01","영업/정상","01","영업","","","","","","17.49","701-842","대구광역시 동구 효목동 161-4","대구광역시 동구 효목로 94-5, 2층 203호 (효목동)","41175","유림산업개발","2026-03-04 13:55:18","I","2026-03-06 00:20:02","건물위생관리업","348303.30246427","265752.500444155","건물위생관리업","2","0","2","2","0","0","","","","임대","0","4","N",
"32","건물위생관리업","09_30_04_P","3420000","3420000-206-2026-00002","2026-03-04","","01","영업/정상","01","영업","","","","","","88.00","701-868","대구광역시 동구 신서동 493-3","대구광역시 동구 반야월로 396, 3층 (신서동)","41084","이원","2026-03-04 11:33:25","I","2026-03-06 00:20:02","건물위생관리업","356351.120591088","264895.359690091","건물위생관리업","4","1","3","3","0","0","","","","임대","0","1","N",
"33","건물위생관리업","09_30_04_P","5690000","5690000-206-2026-00005","2026-03-04","","01","영업/정상","01","영업","","","","","044 866 1211","33.00","339-854","세종특별자치시 전의면 읍내리 250-6","세종특별자치시 전의면 만세길 20-14, 1층","30004","(주)대덕인테크","2026-03-04 11:43:26","I","2026-03-06 00:20:02","건물위생관리업","218253.871061185","353050.662536859","건물위생관리업","2","0","1","1","0","0","","","","자가","0","0","N",
"34","건물위생관리업","09_30_04_P","5600000","5600000-206-2026-00004","2026-03-04","","01","영업/정상","01","영업","","","","","","299.88","487-875","경기도 포천시 군내면 유교리 224-12 1층","경기도 포천시 군내면 연정말길 95, 1층","11157","씨앤씨 파트너스","2026-03-04 15:08:03","I","2026-03-06 00:20:02","건물위생관리업","217660.100391227","483467.960746982","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"35","건물위생관리업","09_30_04_P","3900000","3900000-206-2026-00002","2026-03-04","","01","영업/정상","01","영업","","","","","028096386","49.50","423-826","경기도 광명시 소하동 1243-4 동곡빌딩","경기도 광명시 충현로4번길 10, 동곡빌딩 A동 302호 (소하동)","14327","신흥시스템","2026-03-04 16:54:12","I","2026-03-06 00:20:02","건물위생관리업","189339.407490233","437030.869394484","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
