번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),목재생산업구분코드명,목재생산업종류명,취급목재제품,인력보유현황,년간생산량,자본금,상태구분명,Unnamed: 35,record_key
17,제재업,09_27_03_P,4181000,418100090202600004,2026-03-05,,1,영업/정상,1,정상,,,,,,,,,"인천광역시 동구 방축로 ***, 인천산업용품유통단지 (송림동)",22530.0,***(1종),2026-03-05 18:35:15,I,2026-03-07 00:20:02,,169653.061072083,442555.053277966,제재업,1종,제재목,1,100,130,영업,,***(1종)_
6,제재업,09_27_03_P,4140000,414000090202600001,2026-02-27,,1,영업/정상,1,정상,,,,,,,,,"경기도 연천군 청산면 전영로***번길 **, *동",11020.0,***(4종),2026-03-03 10:26:22,I,2026-03-05 00:20:02,,,,제재업,4종,,,0,0,영업,,***(4종)_
3,제재업,09_27_03_P,5070000,507000090202500006,2025-12-04,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 임하면 신덕리 ***,경상북도 안동시 임하면 충효로 ****-**,36738.0,(주)한국에너지(4종),2026-03-01 12:40:45,I,2026-03-04 00:20:37,,363268.465137746,337753.107292618,제재업,4종,"목재칩, 톱밥",권영백,0,0,영업,,(주)한국에너지(4종)_경상북도안동시임하면신덕리***
4,제재업,09_27_03_P,5070000,507000090202500005,2025-11-25,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 풍산읍 매곡리 ****,"경상북도 안동시 풍산읍 산업단지*길 **, *층",36618.0,주식회사 케이엠산업개발(4종),2026-03-01 12:43:48,I,2026-03-04 00:20:37,,338319.416656952,345215.440251639,제재업,4종,"목재펠릿, 목재칩, 목재브리캣, 성형목탄, 목탄, 임산펠릿, 톱밥, 목분",최경열(교육이수자),0,0,영업,,주식회사케이엠산업개발(4종)_경상북도안동시풍산읍매곡리****
16,제재업,09_27_03_P,4570000,457000090202500001,2025-10-28,,1,영업/정상,1,정상,,,,,,,,충청남도 부여군 초촌면 세탑리 **-*,충청남도 부여군 초촌면 금백로 ***-**,33172.0,부여바이오주식회사(4종),2026-03-04 13:24:31,U,2026-03-06 02:40:00,,202711.086619191,308402.180370206,제재업,4종,"목재펠릿, 목재칩",7명,210000,1250,영업,,부여바이오주식회사(4종)_충청남도부여군초촌면세탑리**-*
1,제재업,09_27_03_P,5070000,507000090202500001,2025-07-15,,1,영업/정상,1,정상,,,,,,,,경상북도 안동시 금곡동 *-* 금곡용마아파트,"경상북도 안동시 금곡아랫길 **, 금곡용마아파트 *층 ***호 (금곡동)",36690.0,(주)이엔알(4종),2026-03-01 12:38:44,I,2026-03-04 00:20:37,,354030.682419598,342267.631654195,제재업,4종,"목탄, 성형목탄, 목재펠릿, 임산펠릿, 목재칩, 톱밥, 목분(나무가루)",이희석(교육수료 2025-2-13),200000,0,영업,,(주)이엔알(4종)_경상북도안동시금곡동*-*금곡용마아파트
15,제재업,09_27_03_P,4570000,457000090202300001,2023-02-27,,3,폐업,3,폐업,,,,,,,,경기도 수원시 팔달구 인계동 ***-** 인계 파밀리에,"경기도 수원시 팔달구 세지로 ***, ***동 *층 ***호 (인계동, 인계 파밀리에)",16475.0,송림(4종),2026-03-04 12:38:34,U,2026-03-06 02:40:00,,201942.305670572,418720.35220815,제재업,4종,"목재칩, 톱밥",1명,150000,50,폐업,,송림(4종)_경기도수원시팔달구인계동***-**인계파밀리에
10,제재업,09_27_03_P,3530000,353000090202200006,2022-12-21,,1,영업/정상,BBBB,,,,,,032-815-5566,,,인천광역시 남동구 고잔동 ***-*,인천광역시 남동구 아암대로 ****(고잔동),21689.0,두산목재(3종),2026-03-04 14:13:08,U,2026-03-06 02:40:00,,173316.124989141,431512.829949508,제재업,3종,,,0,0,,,두산목재(3종)_인천광역시남동구고잔동***-*
11,제재업,09_27_03_P,3530000,353000090202200015,2022-12-21,,1,영업/정상,BBBB,,,,,,032-818-5445,,,인천광역시 남동구 고잔동 ***-**,인천광역시 남동구 앵고개로***번길 **(고잔동),21688.0,대왕목재(1종),2026-03-04 14:26:47,U,2026-03-06 02:40:00,,174183.035974965,431780.676612174,제재업,1종,,,0,0,,,대왕목재(1종)_인천광역시남동구고잔동***-**
12,제재업,09_27_03_P,3530000,353000090202200002,2022-12-21,,1,영업/정상,BBBB,,,,,,,,,인천광역시 남동구 고잔동 ***-**,인천광역시 남동구 남동대로**번길 **(고잔동),21697.0,메라톤(1종),2026-03-04 13:51:39,U,2026-03-06 02:40:00,,172207.740984972,432655.747597577,제재업,1종,,,0,0,,,메라톤(1종)_인천광역시남동구고잔동***-**
