"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","4920000","492000025200100003","2001-11-30","","03","폐업","2","폐업","2026-02-25","","","","","","","전라남도 강진군 대구면 저두리 444 445, 446, 447","전라남도 강진군 대구면 청자로 1542 (445, 446, 447)","","부성수산","2026-03-01 10:25:36","U","2026-03-04 02:40:00","","180601.200386636","113390.334385823","기타수질오염원관리","","","","","0","","0","",
"2","수질오염원설치시설(기타)","09_30_12_P","3730000","373000025202000002","2020-03-16","","01","영업/정상","11","영업","","","","","052-225-1234","","","울산광역시 울주군 웅촌면 대복리 508 (507-3, 507-7, 507-9, 508-2)","","","1급고래공업사","2026-03-02 11:20:17","U","2026-03-04 02:40:00","자동차 종합 수리업","401404.382771971","222304.438087634","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2800200110",
"3","수질오염원설치시설(기타)","09_30_12_P","3060000","306000025202600002","2026-03-03","","01","영업/정상","11","영업","","","","","","","","서울특별시 중랑구 중화동 286-21","서울특별시 중랑구 봉화산로 55-1, 1층 (중화동)","02051","안경상회 중화점","2026-03-03 10:15:34","I","2026-03-05 00:20:02","","207040.268431306","455496.915987203","기타수질오염원관리","","","","","0","","0","5360503739",
"4","수질오염원설치시설(기타)","09_30_12_P","3290000","329000025202600001","2026-03-03","","01","영업/정상","11","영업","","","","","","","","부산광역시 부산진구 부전동 534-6","부산광역시 부산진구 신천대로 66 (부전동)","47289","서면자동차서비스(주)","2026-03-03 11:25:59","I","2026-03-05 00:20:02","","387489.769298595","185457.266629155","기타수질오염원관리","","","","","0","","0","4038603869",
"5","수질오염원설치시설(기타)","09_30_12_P","5350000","535000025200000005","1995-01-02","","03","폐업","2","폐업","2026-03-03","","","","0553337433","","","경상남도 김해시 어방동 1062-24","경상남도 김해시 분성로557번길 17 (어방동)","","김해제일정비공업사","2026-03-03 15:32:02","U","2026-03-05 02:40:00","","373445.342507758","194803.937208787","기타수질오염원관리","","","","","0","","0","6151382202",
"6","수질오염원설치시설(기타)","09_30_12_P","6520000","652000025199980009","2000-10-11","","01","영업/정상","11","영업","","","","","","","","제주특별자치도 서귀포시 남원읍 위미리 105-1 외 2필지","제주특별자치도 서귀포시 남원읍 태위로360번길 63-13","699-944","영어조합법인 위 (We)","2026-03-03 09:52:38","U","2026-03-05 02:40:00","","170622.724379174","-24999.7725617711","기타수질오염원관리","","","","","0","","0","1568603508",
"7","수질오염원설치시설(기타)","09_30_12_P","5070000","507000025202100004","2021-04-20","","01","영업/정상","11","영업","","","","","054-823-2065","","","경상북도 안동시 용상동 1076-4 나동","경상북도 안동시 보현로 46, 나동 (용상동)","36724","잘봄안경","2026-03-03 09:28:15","U","2026-03-05 02:40:00","","357575.201319895","340506.303977197","기타수질오염원관리","","","","","0","","0","6021210781",
"8","수질오염원설치시설(기타)","09_30_12_P","3030000","303000025200300102","2003-10-08","","01","영업/정상","11","영업","","","","","","","","서울특별시 성동구 사근동 110 한양대학교","서울특별시 성동구 왕십리로 222, 한양대학교 학생회관 B1층 (사근동)","04763","한양대구내사진관","2026-03-03 11:04:06","U","2026-03-05 02:40:00","","204117.965772206","450608.519334481","기타수질오염원관리","","","","","0","","0","2061240108",
"9","수질오염원설치시설(기타)","09_30_12_P","6300000","630000007202100027","2026-03-03","","01","영업/정상","01","영업","","","","","","","","대전광역시 유성구 용산동 579번지 현대프리미엄아울렛대전점","대전광역시 유성구 테크노중앙로 123, 현대프리미엄아울렛대전점 2층 (용산동)","34030","룩옵티컬 현대아울렛 대전점","2026-03-03 18:29:17","U","2026-03-05 02:40:00","","235682.718231801","324850.017801251","기타수질오염원관리","","","","","0","","0","1472201009",
"10","수질오염원설치시설(기타)","09_30_12_P","4990000","499000025202500003","2025-06-25","","01","영업/정상","11","영업","","","","","","","","전라남도 완도군 약산면 우두리 1071-8 , 1071-9, 1071-18, 1071-19, 1073","","","유한회사 약산해","2026-03-03 17:26:09","U","2026-03-05 02:40:00","","","","기타수질오염원관리","","","","","0","","0","2248803616",
