"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프연습장업","10_31_01_P","5530000","CDFH3301052016000012","2016-10-31","","01","영업/정상","13","영업중","","","","","031-356-4240","","","경기도 화성시 만세구 송산면 사강리 694-8 3층","경기도 화성시 만세구 송산면 사강로 161, 3층","18550","골프존 송산점","2026-03-03 10:45:34","U","2026-03-05 02:40:00","","176316.768909324","412391.128458028","골프연습장업","사립","Y","0","0","0","0","","",
"2","골프연습장업","10_31_01_P","5710000","CDFH3301052020000003","2020-06-02","","03","폐업","03","폐업","2026-03-03","","","","","","","충청북도 청주시 상당구 금천동 288","충청북도 청주시 상당구 산성로92번길 41, 6층 (금천동)","28744","유림 골프 연습장","2026-03-03 14:24:06","U","2026-03-05 02:40:00","","245139.323326569","347835.801896755","골프연습장업","사립","","0","0","0","0","","",
"3","골프연습장업","10_31_01_P","3320000","CDFH3301052011000004","2011-05-06","","03","폐업","03","폐업","2026-03-03","","","","","","","부산광역시 북구 구포동 942-3 3~4층","부산광역시 북구 백양대로1064번길 4, 3~4층 (구포동)","46635","현대스크린골프","2026-03-03 11:25:23","U","2026-03-05 02:40:00","","381848.61830205","190776.402206681","골프연습장업","사립","","0","1","0","0","","",
"4","골프연습장업","10_31_01_P","5680000","CDFH3301052010000003","2010-09-03","","03","폐업","03","폐업","2026-03-03","","","","356-7010","","","충청남도 당진시 읍내동 266 서해빌딩 5층","충청남도 당진시 당진중앙2로 211-15 (읍내동, 서해빌딩)","31770","서해 스크린 골프","2026-03-03 10:27:03","U","2026-03-05 02:40:00","","167357.51567682","377375.814480936","골프연습장업","사립","","0","0","7953.47","0","","",
"5","골프연습장업","10_31_01_P","3720000","CDFH3301052008000010","2008-09-09","","01","영업/정상","13","영업중","","","","","289-9099","","683-350","울산광역시 북구 진장동 진장명촌지구92B 8L","울산광역시 북구 명촌5길 25 (진장동)","44254","나인스크린 골프연습장","2026-03-04 18:56:49","U","2026-03-06 02:40:00","","413893.25538146","231233.02494353","골프연습장업","사립","","0","0","713.01","0","","",
"6","골프연습장업","10_31_01_P","3440000","CDFH3301052018000001","2018-03-07","","01","영업/정상","13","영업중","","","","","0536570753","","","대구광역시 남구 대명동 1644-41","대구광역시 남구 두류공원로 45, 5층 (대명동)","42474","골프존파크 대명대덕스크린","2026-03-04 15:09:50","U","2026-03-06 02:40:00","","341988.917564159","261275.366420381","골프연습장업","사립","","0","0","2669.11","0","","",
"7","골프연습장업","10_31_01_P","4201000","CDFH3301051994000003","1994-05-12","","01","영업/정상","13","영업중","","","","","652-1309","","210-290","강원특별자치도 강릉시 병산동 514","강원특별자치도 강릉시 성덕로 159 (병산동)","25617","강릉골프연습장(실외)","2026-03-04 17:14:33","U","2026-03-06 02:40:00","","370556.961997937","474977.614736835","골프연습장업","사립","","0","0","961.57","0","","",
"8","골프연습장업","10_31_01_P","3510500","CDFH3301052009000001","2009-04-30","","03","폐업","03","폐업","2026-03-04","","","","423-6111","","402-852","인천광역시 미추홀구 주안동 1298","인천광역시 미추홀구 미추홀대로 510 (주안동)","","SG골프 BOS","2026-03-04 17:38:02","U","2026-03-06 02:40:00","","171532.165270925","437896.859261535","골프연습장업","사립","","0","0","0","0","","",
"9","골프연습장업","10_31_01_P","3930000","CDFH3301052015000009","2015-06-11","","01","영업/정상","13","영업중","","","","","031-406-1788","","426-860","경기도 안산시 상록구 일동 632","경기도 안산시 상록구 성호로1길 4, 3층 (일동)","15326","준스크린","2026-03-04 14:48:51","U","2026-03-06 02:40:00","","188222.456544429","423057.870306612","골프연습장업","사립","","0","0","0","0","","",
"10","골프연습장업","10_31_01_P","3320000","CDFH3301052026000001","2026-03-05","","03","폐업","03","폐업","2026-03-05","","","","051-341-3077","","","부산광역시 북구 구포동 942-3","부산광역시 북구 백양대로1064번길 4, 4층 (구포동)","46635","한양석 골프랩","2026-03-05 14:52:06","I","2026-03-07 00:20:02","","381848.61830205","190776.402206681","골프연습장업","사립","","0","0","1180.48","0","","",
