번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),비상시설위치,시설구분명,시설명건물명,해제일자,Unnamed: 32,record_key
13,민방위급수시설,11_46_01_P,3690000,3690000-E202400001,2024-04-26,,1,영업/정상,18,사용중,,,,,,125,,울산광역시 중구 복산동 470-1,울산광역시 중구 번영로 417 (복산동),44470,SH스포츠센터,2026-03-04 11:37:25,U,2026-03-06 02:40:00,,411215.177093668,231552.708065819,울산광역시 중구 복산동 470-1,공공용시설,SH스포츠센터,,,SH스포츠센터_울산광역시중구복산동470-1
43,민방위급수시설,11_46_01_P,3380000,3380000-E202300001,2023-02-15,,1,영업/정상,18,사용중,,,,,,50,,부산광역시 수영구 수영동 467-11,부산광역시 수영구 수미로14번길 50(수영동),48231,장원갈비,2026-03-05 17:52:27,U,2026-03-07 02:40:00,,392183.696020944,187987.059945907,부산광역시 수영구 수영동 467-11,공공용시설,장원갈비,,,장원갈비_부산광역시수영구수영동467-11
5,민방위급수시설,11_46_01_P,4641000,4661000-E202000002,2020-11-09,2026-03-03,4,취소/말소/만료/정지/중지,19,사용중지,2026-03-03,,,,,666,,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,"전북특별자치도 전주시 덕진구 기린대로 1055, 월드컵경기장 (반월동)",54809,월드컵경기장,2026-03-03 13:19:23,U,2026-03-05 02:40:00,,205942.630087746,263260.013295927,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,공공용시설,월드컵경기장,20260303.0,,월드컵경기장_전북특별자치도전주시덕진구반월동763-1월드컵경기장
6,민방위급수시설,11_46_01_P,4641000,4661000-E202000003,2020-11-09,2026-03-03,4,취소/말소/만료/정지/중지,19,사용중지,2026-03-03,,,,,273,,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,"전북특별자치도 전주시 덕진구 기린대로 1055, 월드컵경기장 (반월동)",54809,사우나1(월드컵경기장내),2026-03-03 13:19:57,U,2026-03-05 02:40:00,,205942.630087746,263260.013295927,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,공공용시설,사우나1(월드컵경기장내),20260303.0,,사우나1(월드컵경기장내)_전북특별자치도전주시덕진구반월동763-1월드컵경기장
7,민방위급수시설,11_46_01_P,4641000,4661000-E202000004,2020-11-09,2026-03-03,4,취소/말소/만료/정지/중지,19,사용중지,2026-03-03,,,,,117,,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,"전북특별자치도 전주시 덕진구 기린대로 1055, 월드컵경기장 (반월동)",54809,사우나2(월드컵경기장내),2026-03-03 13:20:09,U,2026-03-05 02:40:00,,205942.630087746,263260.013295927,전북특별자치도 전주시 덕진구 반월동 763-1 월드컵경기장,공공용시설,사우나2(월드컵경기장내),20260303.0,,사우나2(월드컵경기장내)_전북특별자치도전주시덕진구반월동763-1월드컵경기장
2,민방위급수시설,11_46_01_P,5380000,5380000-E201900001,2019-03-07,,1,영업/정상,18,사용중,,,,,,262,,경상남도 양산시 소주동 960번지 10호 양산서창대동아파트,"경상남도 양산시 소주로 182 (소주동, 양산서창대동아파트)",50516,양산서창대동아파트,2026-03-03 17:44:39,U,2026-03-05 02:40:00,,394993.047274313,214565.229821444,경상남도 양산시 소주동 960번지 10호 양산서창대동아파트,공공용시설,양산서창대동아파트,,,양산서창대동아파트_경상남도양산시소주동960번지10호양산서창대동아파트
11,민방위급수시설,11_46_01_P,3690000,3690000-E201900001,2019-01-31,,1,영업/정상,18,사용중,,,,,,80,,울산광역시 중구 반구동 98번지 3호,울산광역시 중구 서원1길 41 (반구동),44510,수정탕,2026-03-04 09:46:59,U,2026-03-06 02:40:00,,411803.392519165,231614.061886281,울산광역시 중구 반구동 98번지 3호,공공용시설,수정탕,,,수정탕_울산광역시중구반구동98번지3호
33,민방위급수시설,11_46_01_P,3690000,3690000-E201800001,2018-09-07,,1,영업/정상,18,사용중,,,,,,110,,울산광역시 중구 우정동 285번지 15호,울산광역시 중구 당산4길 15 (우정동),44534,뉴강남탕,2026-03-04 10:04:48,U,2026-03-06 02:40:00,,409403.505327089,230711.348140985,울산광역시 중구 우정동 285번지 15호,공공용시설,뉴강남탕,,,뉴강남탕_울산광역시중구우정동285번지15호
42,민방위급수시설,11_46_01_P,3670000,3670000-E201600001,2016-02-15,,1,영업/정상,18,사용중,,,,,,100,,대전광역시 유성구 구암동 668번지,,,로봇공원,2026-03-05 17:37:05,U,2026-03-07 02:40:00,,227498.494904155,317669.821904092,대전광역시 유성구 구암동 668번지,지자체시설,로봇공원,,,로봇공원_대전광역시유성구구암동668번지
9,민방위급수시설,11_46_01_P,5670000,5670156-E201200006,2012-10-31,,1,영업/정상,18,사용중,,,,,,200,,경상남도 창원시 마산합포구 진동면 412번지 2호,경상남도 창원시 마산합포구 진동면 서촌바다길 23 (금호사우나헬스),51792,금호사우나(진동면),2026-03-03 16:35:23,U,2026-03-05 02:40:00,,335312.816077777,180365.650188788,경상남도 창원시 마산합포구 진동면 412번지 2호,공공용시설,금호사우나(진동면),,,금호사우나(진동면)_경상남도창원시마산합포구진동면412번지2호
