번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),설비규격,Unnamed: 29,record_key
8,용기냉동기특정설비,07_22_16_P,4520000,2026452035716500001,2026-02-05,,1,영업/정상,1,영업중,,,,,,,,충청남도 아산시 음봉면 신휴리 777,충청남도 아산시 음봉면 아산밸리로387번길 118,31408.0,(주)테크윙,2026-02-06 10:50:25,I,2026-02-08 00:20:01,,205850.257042608,377981.568755897,,,(주)테크윙_충청남도아산시음봉면신휴리777
23,용기냉동기특정설비,07_22_16_P,3910000,2026391003516500001,2026-01-30,,1,영업/정상,1,영업중,,,,,,,,경기도 평택시 진위면 마산리 0,경기도 평택시 진위면 마산6로 51,17716.0,주식회사 파인텍,2026-02-13 14:39:02,U,2026-02-15 02:40:00,,,,,,주식회사파인텍_경기도평택시진위면마산리0
2,용기냉동기특정설비,07_22_16_P,4261000,2025426107216500001,2025-12-23,,1,영업/정상,1,영업중,,,,,,,,강원특별자치도 횡성군 횡성읍 입석리 162-4,,,알파냉동,2026-02-02 16:12:34,U,2026-02-04 02:40:00,,286719.713729781,442370.658170008,,,알파냉동_강원특별자치도횡성군횡성읍입석리162-4
7,용기냉동기특정설비,07_22_16_P,3630000,2025363034516500001,2025-01-02,,1,영업/정상,1,영업중,,2025-01-03,2026-01-02,,,,,광주광역시 광산구 진곡동 622 (주)준테크,광주광역시 광산구 진곡산단3번로 41-21 (주)준테크 (진곡동),62464.0,(주)준테크,2026-02-05 17:21:32,U,2026-02-07 02:40:00,,180423.498668151,189308.93190867,,,(주)준테크_광주광역시광산구진곡동622(주)준테크
22,용기냉동기특정설비,07_22_16_P,3360000,2024336018716500002,2024-09-27,,3,폐업,3,폐업,2026-01-14,,,,,,,부산광역시 강서구 송정동 1551-13,,,존슨콘트롤즈인터내셔널코리아 주식회사,2026-02-13 09:28:50,U,2026-02-15 02:40:00,,367921.16079389,178494.065234809,,,존슨콘트롤즈인터내셔널코리아주식회사_부산광역시강서구송정동1551-13
5,용기냉동기특정설비,07_22_16_P,3930000,2024393045916500004,2024-08-14,,3,폐업,3,폐업,2026-02-05,,,,,,,경기도 안산시 단원구 성곡동 703-11 (주)유니플로,경기도 안산시 단원구 번영로82번길 21 (주)유니플로 (성곡동),15416.0,(주)유니플로,2026-02-05 13:42:25,U,2026-02-07 02:40:00,,176597.462664988,423874.591742908,,,(주)유니플로_경기도안산시단원구성곡동703-11(주)유니플로
6,용기냉동기특정설비,07_22_16_P,3930000,2024393045916500002,2024-02-22,,3,폐업,3,폐업,2026-02-05,,,,,,,경기도 안산시 단원구 성곡동 698-15,경기도 안산시 단원구 정왕천동로94번길 20 (성곡동),,화성밸브(주),2026-02-05 19:01:47,U,2026-02-07 02:40:00,,176211.541014468,424240.254918028,,,화성밸브(주)_경기도안산시단원구성곡동698-15
11,용기냉동기특정설비,07_22_16_P,5400000,2024540011816500001,2024-01-21,,1,영업/정상,1,영업중,,,,,,,,경상남도 함안군 칠서면 대치리 285-7 공장,,,(주)우경플랜트,2026-02-09 08:54:28,U,2026-02-11 02:40:00,,334422.021533102,208220.618644099,,,(주)우경플랜트_경상남도함안군칠서면대치리285-7공장
13,용기냉동기특정설비,07_22_16_P,3730000,2024373018616500001,2024-01-15,,1,영업/정상,1,영업중,,,,,,,,울산광역시 울주군 온산읍 우봉리 357,울산광역시 울주군 온산읍 우봉길 35,,주식회사 케일럼 울산공장,2026-02-11 17:17:49,U,2026-02-13 02:40:00,,413398.174377831,214137.560552247,,,주식회사케일럼울산공장_울산광역시울주군온산읍우봉리357
12,용기냉동기특정설비,07_22_16_P,3470000,2023347018816500001,2023-04-20,,1,영업/정상,1,영업중,,,,,,,,대구광역시 달서구 장동 209-10,대구광역시 달서구 성서동로 193 (장동),42701.0,(주)금강밸브,2026-02-10 16:06:00,U,2026-02-12 02:40:00,,336848.363464696,260777.789002791,,,(주)금강밸브_대구광역시달서구장동209-10
24,용기냉동기특정설비,07_22_16_P,3480000,2022348036516500001,2022-08-17,,1,영업/정상,1,영업중,,,,,,,,대구광역시 달성군 구지면 대암리 962,대구광역시 달성군 구지면 국가산단남로60길 119,43012.0,(주)하이박,2026-02-13 15:37:12,U,2026-02-15 02:40:00,,,,,,(주)하이박_대구광역시달성군구지면대암리962
3,용기냉동기특정설비,07_22_16_P,4641000,2020464046716500001,2020-04-09,,2,휴업,2,휴업,,2026-01-30,2026-08-31,2026-08-31,,,,전북특별자치도 전주시 덕진구 고랑동 840-21,,,(주)태평양이엔지,2026-02-02 21:08:27,U,2026-02-04 02:40:00,,207401.059597764,264036.739297549,,,(주)태평양이엔지_전북특별자치도전주시덕진구고랑동840-21
10,용기냉동기특정설비,07_22_16_P,4520000,2019452034616500005,2019-05-23,,1,영업/정상,1,영업중,,,,2025-06-27,,,,충청남도 아산시 둔포면 운교리 43-7,충청남도 아산시 둔포면 운교길 200-8,31407.0,(주)에이씨알텍,2026-02-06 10:10:42,U,2026-02-08 02:40:00,,204244.546726289,378819.58793581,,,(주)에이씨알텍_충청남도아산시둔포면운교리43-7
